"BirdieorBetterPercentage125150ya_RANKTHISWEEK_2015","BirdieorBetterPercentage125150ya_RANKLASTWEEK_2015","BirdieorBetterPercentage125150ya_PLAYERNAME_2015","BirdieorBetterPercentage125150ya_ROUNDS_2015","BirdieorBetterPercentage125150ya_Pct_2015","BirdieorBetterPercentage125150ya_TOTALBIRDIES_2015","BirdieorBetterPercentage125150ya_TOTALHOLES_2015","stat_name","year"
43,43,"David Toms",62,21.43,33,154,"BirdieorBetterPercentage125150ya",2015
44,44,"Camilo Villegas",83,21.4,46,215,"BirdieorBetterPercentage125150ya",2015
45,45,"David Hearn",97,21.35,57,267,"BirdieorBetterPercentage125150ya",2015
46,46,"Ben Martin",93,21.33,48,225,"BirdieorBetterPercentage125150ya",2015
47,47,"Hudson Swafford",97,21.24,55,259,"BirdieorBetterPercentage125150ya",2015
48,48,"Jason Day",75,21.18,36,170,"BirdieorBetterPercentage125150ya",2015
49,49,"Sergio Garcia",59,21.15,22,104,"BirdieorBetterPercentage125150ya",2015
49,49,"Henrik Stenson",63,21.15,22,104,"BirdieorBetterPercentage125150ya",2015
51,51,"Kevin Kisner",104,21.09,62,294,"BirdieorBetterPercentage125150ya",2015
52,52,"Matt Kuchar",97,21.05,44,209,"BirdieorBetterPercentage125150ya",2015
53,53,"Lee Westwood",56,21,21,100,"BirdieorBetterPercentage125150ya",2015
54,54,"Brendon Todd",96,20.95,44,210,"BirdieorBetterPercentage125150ya",2015
55,55,"Robert Streb",110,20.83,60,288,"BirdieorBetterPercentage125150ya",2015
56,56,"Bill Haas",89,20.71,41,198,"BirdieorBetterPercentage125150ya",2015
57,57,"Brice Garnett",81,20.63,46,223,"BirdieorBetterPercentage125150ya",2015
58,58,"Kevin Na",98,20.59,42,204,"BirdieorBetterPercentage125150ya",2015
59,59,"Jim Furyk",71,20.57,29,141,"BirdieorBetterPercentage125150ya",2015
60,60,"Colt Knost",90,20.55,45,219,"BirdieorBetterPercentage125150ya",2015
60,60,"John Senden",80,20.55,30,146,"BirdieorBetterPercentage125150ya",2015
62,62,"Spencer Levin",99,20.53,54,263,"BirdieorBetterPercentage125150ya",2015
63,63,"Will Wilcox",58,20.51,32,156,"BirdieorBetterPercentage125150ya",2015
64,64,"Zac Blair",108,20.49,50,244,"BirdieorBetterPercentage125150ya",2015
65,65,"Carl Pettersson",106,20.47,61,298,"BirdieorBetterPercentage125150ya",2015
66,66,"Bryce Molder",91,20.43,47,230,"BirdieorBetterPercentage125150ya",2015
66,66,"Andrew Svoboda",80,20.43,48,235,"BirdieorBetterPercentage125150ya",2015
68,68,"Bubba Watson",71,20.37,33,162,"BirdieorBetterPercentage125150ya",2015
