"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2010","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2010","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2010","PercentageofYardagecoveredbyTeeShots_ROUNDS_2010","PercentageofYardagecoveredbyTeeShots_AVGPct_2010","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2010","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2010","stat_name","year"
79,79,"Jimmy Walker",82,62.14,274790.5,442194,"PercentageofYardagecoveredbyTeeShots",2010
80,80,"Bill Lunde",79,62.06,264142,425623,"PercentageofYardagecoveredbyTeeShots",2010
80,80,"Troy Merritt",86,62.06,302443.3,487361,"PercentageofYardagecoveredbyTeeShots",2010
82,82,"David Lutterus",69,62.03,221406.9,356913,"PercentageofYardagecoveredbyTeeShots",2010
83,83,"Camilo Villegas",78,62.02,221715.6,357466,"PercentageofYardagecoveredbyTeeShots",2010
84,84,"Mathew Goggin",85,62.01,298415.7,481259,"PercentageofYardagecoveredbyTeeShots",2010
84,84,"Roland Thatcher",72,62.01,266479.2,429760,"PercentageofYardagecoveredbyTeeShots",2010
86,86,"Sergio Garcia",58,62,141088.6,227575,"PercentageofYardagecoveredbyTeeShots",2010
86,86,"Chris Stroud",90,62,281608.3,454235,"PercentageofYardagecoveredbyTeeShots",2010
88,88,"Adam Scott",70,61.99,206820.3,333624,"PercentageofYardagecoveredbyTeeShots",2010
88,88,"Steve Wheatcroft",74,61.99,227964.1,367744,"PercentageofYardagecoveredbyTeeShots",2010
90,90,"George McNeill",79,61.98,274596,443013,"PercentageofYardagecoveredbyTeeShots",2010
91,91,"John Senden",103,61.89,341872.4,552355,"PercentageofYardagecoveredbyTeeShots",2010
92,92,"Brenden Pappas",66,61.88,215520.1,348295,"PercentageofYardagecoveredbyTeeShots",2010
92,92,"Chris Tidland",77,61.88,268480.4,433859,"PercentageofYardagecoveredbyTeeShots",2010
