"Scramblingfrom_RANKTHISWEEK_2005","Scramblingfrom_RANKLASTWEEK_2005","Scramblingfrom_PLAYERNAME_2005","Scramblingfrom_ROUNDS_2005","Scramblingfrom_Pct_2005","Scramblingfrom_SUCCESSES_2005","Scramblingfrom_ATTEMPTS_2005","stat_name","year"
33,33,"Bob Tway",87,88.61,70,79,"Scramblingfrom",2005
34,34,"Carlos Franco",78,88.46,92,104,"Scramblingfrom",2005
35,35,"Carl Pettersson",109,88.43,107,121,"Scramblingfrom",2005
36,36,"Brian Gay",101,88.41,122,138,"Scramblingfrom",2005
37,37,"JP Hayes",63,88.31,68,77,"Scramblingfrom",2005
38,38,"Davis Love III",80,88.06,59,67,"Scramblingfrom",2005
39,39,"Bernhard Langer",67,87.88,58,66,"Scramblingfrom",2005
40,40,"Brian Davis",75,87.8,72,82,"Scramblingfrom",2005
40,40,"Heath Slocum",103,87.8,108,123,"Scramblingfrom",2005
42,42,"Charles Howell III",95,87.78,79,90,"Scramblingfrom",2005
43,43,"Vijay Singh",111,87.69,114,130,"Scramblingfrom",2005
44,44,"Tim Herron",100,87.63,85,97,"Scramblingfrom",2005
45,45,"Zach Johnson",96,87.5,91,104,"Scramblingfrom",2005
45,45,"Phillip Price",77,87.5,91,104,"Scramblingfrom",2005
47,47,"Marco Dawson",82,87.38,90,103,"Scramblingfrom",2005
47,47,"Rod Pampling",89,87.38,90,103,"Scramblingfrom",2005
49,49,"Stewart Cink",98,87.36,76,87,"Scramblingfrom",2005
49,49,"Michael Long",72,87.36,76,87,"Scramblingfrom",2005
49,49,"Corey Pavin",77,87.36,76,87,"Scramblingfrom",2005
52,52,"Hideto Tanihara",50,87.3,55,63,"Scramblingfrom",2005
53,53,"Hidemichi Tanaka",106,87.27,96,110,"Scramblingfrom",2005
54,54,"Steve Lowery",100,87.22,116,133,"Scramblingfrom",2005
55,55,"Bill Glasson",54,87.1,54,62,"Scramblingfrom",2005
55,55,"Kenny Perry",82,87.1,81,93,"Scramblingfrom",2005
57,57,"Lee Janzen",75,86.9,73,84,"Scramblingfrom",2005
58,58,"Kevin Sutherland",89,86.87,86,99,"Scramblingfrom",2005
58,58,"Nick Watney",91,86.87,86,99,"Scramblingfrom",2005
60,60,"Steve Flesch",90,86.81,79,91,"Scramblingfrom",2005
61,61,"Chris DiMarco",83,86.73,85,98,"Scramblingfrom",2005
61,61,"Hank Kuehne",84,86.73,85,98,"Scramblingfrom",2005
63,63,"Shigeki Maruyama",99,86.61,110,127,"Scramblingfrom",2005
64,64,"Joey Sindelar",104,86.49,128,148,"Scramblingfrom",2005
65,65,"Tim Petrovic",97,86.32,82,95,"Scramblingfrom",2005
66,66,"Darron Stiles",78,86.27,88,102,"Scramblingfrom",2005
67,67,"Brandt Jobe",96,86.18,106,123,"Scramblingfrom",2005
68,68,"Bob Estes",92,86.13,118,137,"Scramblingfrom",2005
69,69,"Paul Gow",78,86.11,93,108,"Scramblingfrom",2005
69,69,"Jay Haas",54,86.11,62,72,"Scramblingfrom",2005
69,69,"Mark OMeara",66,86.11,62,72,"Scramblingfrom",2005
72,72,"Mark Wilson",74,86.08,68,79,"Scramblingfrom",2005
