"RightTendency_RANKTHISWEEK_2011","RightTendency_RANKLASTWEEK_2011","RightTendency_PLAYERNAME_2011","RightTendency_EVENTS_2011","RightTendency_Pct_2011","RightTendency_NUMBEROFTIMES_2011","RightTendency_ATTEMPTS_2011","RightTendency_AVGRTPSCORE_2011","stat_name","year"
148,148,"Rocco Mediate",23,55.8,111,199,2.79,"RightTendency",2011
148,148,"Jim Renner",22,55.8,158,283,2.03,"RightTendency",2011
148,148,"Michael Thompson",25,55.8,191,342,2.3,"RightTendency",2011
151,151,"Troy Matteson",28,56,238,425,2.1,"RightTendency",2011
152,152,"Aaron Baddeley",22,56.1,194,346,0.93,"RightTendency",2011
152,152,"Kris Blanks",29,56.1,217,387,1.71,"RightTendency",2011
154,154,"Brandt Jobe",28,56.3,206,366,1.55,"RightTendency",2011
155,155,"Robert Garrigus",26,56.6,223,394,1.52,"RightTendency",2011
155,155,"Camilo Villegas",25,56.6,176,311,2.73,"RightTendency",2011
157,157,"Charl Schwartzel",15,56.7,114,201,1.84,"RightTendency",2011
158,158,"Troy Merritt",23,56.8,155,273,3.68,"RightTendency",2011
159,159,"Ben Martin",25,56.9,169,297,3.02,"RightTendency",2011
160,160,"Steve Elkington",17,57.1,97,170,2.78,"RightTendency",2011
160,160,"Matt McQuillan",21,57.1,124,217,2.42,"RightTendency",2011
162,162,"Jarrod Lyle",29,57.3,219,382,2.42,"RightTendency",2011
163,163,"Kevin Chappell",26,57.6,189,328,1.64,"RightTendency",2011
163,163,"Sung Kang",21,57.6,141,245,1.84,"RightTendency",2011
165,165,"Josh Teater",31,58.3,260,446,1.88,"RightTendency",2011
166,166,"Justin Rose",23,58.4,174,298,1.32,"RightTendency",2011
167,167,"Blake Adams",34,59,275,466,1.82,"RightTendency",2011
167,167,"Daniel Summerhays",29,59,194,329,4.28,"RightTendency",2011
169,169,"David Hearn",26,59.1,208,352,2.12,"RightTendency",2011
170,170,"John Merrick",21,59.5,147,247,1.77,"RightTendency",2011
171,171,"Kyle Stanley",28,59.6,242,406,0.58,"RightTendency",2011
171,171,"Marc Turnesa",20,59.6,136,228,1.84,"RightTendency",2011
173,173,"Scott Piercy",23,59.9,200,334,1.7,"RightTendency",2011
174,174,"Jason Dufner",23,60.2,180,299,0.94,"RightTendency",2011
174,174,"David Toms",23,60.2,142,236,0.14,"RightTendency",2011
176,176,"Kevin Streelman",26,60.4,198,328,1.11,"RightTendency",2011
177,177,"Greg Chalmers",28,60.7,235,387,1.4,"RightTendency",2011
178,178,"Zack Miller",30,61.4,248,404,2.9,"RightTendency",2011
179,179,"Bio Kim",25,61.7,208,337,2.36,"RightTendency",2011
180,180,"George McNeill",21,62.2,186,299,1.29,"RightTendency",2011
180,180,"John Rollins",27,62.2,183,294,2.24,"RightTendency",2011
182,182,"Bryce Molder",27,62.7,185,295,1.3,"RightTendency",2011
183,183,"Marc Leishman",27,63,290,460,1.93,"RightTendency",2011
184,184,"Brian Davis",30,63.2,213,337,1.64,"RightTendency",2011
185,185,"Charles Howell III",30,63.5,306,482,1.6,"RightTendency",2011
186,186,"Scott Stallings",28,63.6,232,365,1.34,"RightTendency",2011
