"AverageApproachDistanceBirdieorBetter_RANKTHISWEEK_2012","AverageApproachDistanceBirdieorBetter_RANKLASTWEEK_2012","AverageApproachDistanceBirdieorBetter_PLAYERNAME_2012","AverageApproachDistanceBirdieorBetter_ROUNDS_2012","AverageApproachDistanceBirdieorBetter_AVGYARDS_2012","AverageApproachDistanceBirdieorBetter_TOTALDISTANCEINCHES_2012","AverageApproachDistanceBirdieorBetter_NUMBEROFAPPROACHSHOTS_2012","stat_name","year"
25,25,"Troy Kelly",68,167,961755,160,"AverageApproachDistanceBirdieorBetter",2012
25,25,"William McGirt",96,167,1563182,260,"AverageApproachDistanceBirdieorBetter",2012
27,27,"Jerry Kelly",84,167.2,1498900,249,"AverageApproachDistanceBirdieorBetter",2012
28,28,"JJ Henry",93,167.4,1337708,222,"AverageApproachDistanceBirdieorBetter",2012
29,29,"John Daly",50,168,895169,148,"AverageApproachDistanceBirdieorBetter",2012
29,29,"Roland Thatcher",55,168,907077,150,"AverageApproachDistanceBirdieorBetter",2012
31,31,"Ken Duke",104,168.1,2069664,342,"AverageApproachDistanceBirdieorBetter",2012
32,32,"Stephen Ames",54,168.3,709041,117,"AverageApproachDistanceBirdieorBetter",2012
33,33,"Gary Christian",91,168.4,1594438,263,"AverageApproachDistanceBirdieorBetter",2012
33,33,"Will Claxton",99,168.4,1916242,316,"AverageApproachDistanceBirdieorBetter",2012
33,33,"Ben Curtis",62,168.4,1115695,184,"AverageApproachDistanceBirdieorBetter",2012
36,36,"Stuart Appleby",75,168.6,1238101,204,"AverageApproachDistanceBirdieorBetter",2012
37,37,"Freddie Jacobson",61,168.8,893540,147,"AverageApproachDistanceBirdieorBetter",2012
38,38,"Ricky Barnes",92,168.9,1745424,287,"AverageApproachDistanceBirdieorBetter",2012
38,38,"Chris DiMarco",83,168.9,1422441,234,"AverageApproachDistanceBirdieorBetter",2012
40,40,"Brian Davis",91,169.1,1784117,293,"AverageApproachDistanceBirdieorBetter",2012
40,40,"Patrick Sheehan",58,169.1,785522,129,"AverageApproachDistanceBirdieorBetter",2012
42,42,"Ryo Ishikawa",54,169.2,645741,106,"AverageApproachDistanceBirdieorBetter",2012
43,43,"Marco Dawson",60,169.3,957163,157,"AverageApproachDistanceBirdieorBetter",2012
43,43,"Zach Johnson",95,169.3,1773881,291,"AverageApproachDistanceBirdieorBetter",2012
45,45,"Chez Reavie",83,169.4,1316925,216,"AverageApproachDistanceBirdieorBetter",2012
46,46,"Ryuji Imada",78,169.6,1361284,223,"AverageApproachDistanceBirdieorBetter",2012
46,46,"Michael Thompson",80,169.6,1398567,229,"AverageApproachDistanceBirdieorBetter",2012
48,48,"Matt Bettencourt",80,169.9,1229525,201,"AverageApproachDistanceBirdieorBetter",2012
49,49,"Steve Stricker",73,170.1,1384126,226,"AverageApproachDistanceBirdieorBetter",2012
50,50,"Bob Estes",78,170.2,1360631,222,"AverageApproachDistanceBirdieorBetter",2012
50,50,"Justin Rose",69,170.2,1268134,207,"AverageApproachDistanceBirdieorBetter",2012
52,52,"Steve Wheatcroft",56,170.5,822586,134,"AverageApproachDistanceBirdieorBetter",2012
53,53,"Chad Campbell",84,170.6,1516674,247,"AverageApproachDistanceBirdieorBetter",2012
53,53,"John Merrick",83,170.6,1554038,253,"AverageApproachDistanceBirdieorBetter",2012
55,55,"Carl Pettersson",92,170.7,1874211,305,"AverageApproachDistanceBirdieorBetter",2012
56,56,"Aaron Baddeley",73,170.8,1223417,199,"AverageApproachDistanceBirdieorBetter",2012
56,56,"Luke Donald",63,170.8,1118870,182,"AverageApproachDistanceBirdieorBetter",2012
56,56,"Daniel Summerhays",81,170.8,1408444,229,"AverageApproachDistanceBirdieorBetter",2012
56,56,"YE Yang",64,170.8,1008689,164,"AverageApproachDistanceBirdieorBetter",2012
60,60,"Jason Bohn",81,170.9,1396941,227,"AverageApproachDistanceBirdieorBetter",2012
60,60,"Brian Harman",101,170.9,1907619,310,"AverageApproachDistanceBirdieorBetter",2012
60,60,"Matt Kuchar",86,170.9,1532003,249,"AverageApproachDistanceBirdieorBetter",2012
60,60,"John Rollins",81,170.9,1562567,254,"AverageApproachDistanceBirdieorBetter",2012
60,60,"Charl Schwartzel",56,170.9,984114,160,"AverageApproachDistanceBirdieorBetter",2012
65,65,"Rocco Mediate",70,171,1157552,188,"AverageApproachDistanceBirdieorBetter",2012
65,65,"Mark Wilson",84,171,1311003,213,"AverageApproachDistanceBirdieorBetter",2012
67,67,"Jeff Maggert",83,171.1,1613524,262,"AverageApproachDistanceBirdieorBetter",2012
68,68,"Roberto Castro",92,171.2,1645360,267,"AverageApproachDistanceBirdieorBetter",2012
68,68,"Chris Stroud",86,171.2,1473055,239,"AverageApproachDistanceBirdieorBetter",2012
70,70,"JJ Killeen",101,171.5,1593106,258,"AverageApproachDistanceBirdieorBetter",2012
