"FirstTeeEarlyPar5ScoringAverage_RANKTHISWEEK_2011","FirstTeeEarlyPar5ScoringAverage_RANKLASTWEEK_2011","FirstTeeEarlyPar5ScoringAverage_PLAYERNAME_2011","FirstTeeEarlyPar5ScoringAverage_ROUNDS_2011","FirstTeeEarlyPar5ScoringAverage_AVG_2011","FirstTeeEarlyPar5ScoringAverage_TOTALSTROKES_2011","FirstTeeEarlyPar5ScoringAverage_TOTALHOLES_2011","stat_name","year"
127,127,"Michael Bradley",74,4.72,458,97,"FirstTeeEarlyPar5ScoringAverage",2011
127,127,"Ernie Els",71,4.72,307,65,"FirstTeeEarlyPar5ScoringAverage",2011
129,129,"Robert Allenby",84,4.73,535,113,"FirstTeeEarlyPar5ScoringAverage",2011
129,129,"Keegan Bradley",91,4.73,336,71,"FirstTeeEarlyPar5ScoringAverage",2011
129,129,"Michael Connell",76,4.73,279,59,"FirstTeeEarlyPar5ScoringAverage",2011
129,129,"Andres Gonzales",60,4.73,331,70,"FirstTeeEarlyPar5ScoringAverage",2011
129,129,"Kent Jones",76,4.73,374,79,"FirstTeeEarlyPar5ScoringAverage",2011
129,129,"Rod Pampling",72,4.73,303,64,"FirstTeeEarlyPar5ScoringAverage",2011
135,135,"Greg Chalmers",88,4.74,360,76,"FirstTeeEarlyPar5ScoringAverage",2011
135,135,"Ryan Moore",79,4.74,341,72,"FirstTeeEarlyPar5ScoringAverage",2011
137,137,"Jason Dufner",78,4.75,323,68,"FirstTeeEarlyPar5ScoringAverage",2011
137,137,"Justin Hicks",60,4.75,242,51,"FirstTeeEarlyPar5ScoringAverage",2011
137,137,"Scott McCarron",65,4.75,304,64,"FirstTeeEarlyPar5ScoringAverage",2011
137,137,"Aron Price",58,4.75,242,51,"FirstTeeEarlyPar5ScoringAverage",2011
137,137,"Chris Riley",76,4.75,347,73,"FirstTeeEarlyPar5ScoringAverage",2011
137,137,"Michael Thompson",79,4.75,304,64,"FirstTeeEarlyPar5ScoringAverage",2011
143,143,"Arjun Atwal",91,4.76,533,112,"FirstTeeEarlyPar5ScoringAverage",2011
143,143,"Joseph Bramlett",73,4.76,376,79,"FirstTeeEarlyPar5ScoringAverage",2011
143,143,"Nathan Green",81,4.76,447,94,"FirstTeeEarlyPar5ScoringAverage",2011
143,143,"Trevor Immelman",84,4.76,319,67,"FirstTeeEarlyPar5ScoringAverage",2011
143,143,"Joe Ogilvie",75,4.76,357,75,"FirstTeeEarlyPar5ScoringAverage",2011
143,143,"Martin Piller",63,4.76,281,59,"FirstTeeEarlyPar5ScoringAverage",2011
143,143,"Will Strickler",51,4.76,281,59,"FirstTeeEarlyPar5ScoringAverage",2011
143,143,"Vaughn Taylor",89,4.76,371,78,"FirstTeeEarlyPar5ScoringAverage",2011
