"GIRPuttingAvg3035_RANKTHISWEEK_2009","GIRPuttingAvg3035_RANKLASTWEEK_2009","GIRPuttingAvg3035_PLAYERNAME_2009","GIRPuttingAvg3035_ROUNDS_2009","GIRPuttingAvg3035_PctMADE_2009","GIRPuttingAvg3035_ATTEMPTS_2009","GIRPuttingAvg3035_PUTTSMADE_2009","stat_name","year"
34,34,"Rod Pampling",72,0.93,54,5,"GIRPuttingAvg3035",2009
37,37,"Padraig Harrington",66,0.91,22,2,"GIRPuttingAvg3035",2009
37,37,"Rory Sabbatini",81,0.91,55,5,"GIRPuttingAvg3035",2009
39,39,"Brian Davis",103,0.88,57,5,"GIRPuttingAvg3035",2009
39,39,"Robert Garrigus",83,0.88,57,5,"GIRPuttingAvg3035",2009
41,41,"Anthony Kim",76,0.87,46,4,"GIRPuttingAvg3035",2009
41,41,"Pat Perez",74,0.87,46,4,"GIRPuttingAvg3035",2009
41,41,"Marc Turnesa",77,0.87,69,6,"GIRPuttingAvg3035",2009
44,44,"Woody Austin",84,0.86,58,5,"GIRPuttingAvg3035",2009
45,45,"John Mallinger",90,0.85,59,5,"GIRPuttingAvg3035",2009
45,45,"Tiger Woods",64,0.85,47,4,"GIRPuttingAvg3035",2009
47,47,"Bob Estes",78,0.83,48,4,"GIRPuttingAvg3035",2009
47,47,"Jeff Klauk",97,0.83,96,8,"GIRPuttingAvg3035",2009
49,49,"James Nitties",86,0.82,73,6,"GIRPuttingAvg3035",2009
49,49,"Jeff Quinney",78,0.82,49,4,"GIRPuttingAvg3035",2009
49,49,"Justin Rose",71,0.82,49,4,"GIRPuttingAvg3035",2009
49,49,"Vaughn Taylor",88,0.82,61,5,"GIRPuttingAvg3035",2009
53,53,"Kris Blanks",60,0.81,37,3,"GIRPuttingAvg3035",2009
53,53,"Jason Dufner",90,0.81,62,5,"GIRPuttingAvg3035",2009
53,53,"Scott Piercy",85,0.81,74,6,"GIRPuttingAvg3035",2009
56,56,"Colt Knost",71,0.8,50,4,"GIRPuttingAvg3035",2009
57,57,"Spencer Levin",75,0.79,63,5,"GIRPuttingAvg3035",2009
58,58,"Michael Allen",73,0.78,51,4,"GIRPuttingAvg3035",2009
58,58,"Corey Pavin",73,0.78,51,4,"GIRPuttingAvg3035",2009
60,60,"Brett Quigley",92,0.77,65,5,"GIRPuttingAvg3035",2009
60,60,"DJ Trahan",96,0.77,78,6,"GIRPuttingAvg3035",2009
62,62,"John Rollins",92,0.76,66,5,"GIRPuttingAvg3035",2009
63,63,"Parker McLachlin",71,0.75,40,3,"GIRPuttingAvg3035",2009
63,63,"Ryan Moore",89,0.75,80,6,"GIRPuttingAvg3035",2009
65,65,"Mark Brooks",55,0.74,27,2,"GIRPuttingAvg3035",2009
65,65,"Angel Cabrera",55,0.74,27,2,"GIRPuttingAvg3035",2009
65,65,"Carl Pettersson",86,0.74,68,5,"GIRPuttingAvg3035",2009
65,65,"Brandt Snedeker",81,0.74,54,4,"GIRPuttingAvg3035",2009
65,65,"Darron Stiles",52,0.74,27,2,"GIRPuttingAvg3035",2009
