"LongestPutts_RANKTHISWEEK_2010","LongestPutts_RANKLASTWEEK_2010","LongestPutts_PLAYERNAME_2010","LongestPutts_ROUNDS_2010","LongestPutts_DISTANCE_2010","LongestPutts_YEARTOURN_2010","LongestPutts_ROUND_2010","LongestPutts_HOLE_2010","stat_name","year"
99,100,"Jerod Turner",54,NA,NA,1,5,"LongestPutts",2010
101,102,"Andres Romero",73,NA,NA,1,14,"LongestPutts",2010
103,103,"Stuart Appleby",101,NA,NA,1,12,"LongestPutts",2010
104,105,"Matt Bettencourt",91,NA,NA,4,8,"LongestPutts",2010
106,107,"Marco Dawson",30,NA,NA,4,8,"LongestPutts",2010
106,108,"Vance Veazey",58,NA,NA,2,3,"LongestPutts",2010
110,111,"Alex Cejka",81,NA,NA,2,11,"LongestPutts",2010
110,110,"Sean OHair",84,NA,NA,2,5,"LongestPutts",2010
112,114,"Craig Bowden",56,NA,NA,3,13,"LongestPutts",2010
112,113,"Brian Gay",101,NA,NA,4,8,"LongestPutts",2010
112,112,"John Rollins",81,NA,NA,2,15,"LongestPutts",2010
115,116,"Justin Rose",78,NA,NA,1,17,"LongestPutts",2010
115,115,"Paul Casey",64,NA,NA,4,16,"LongestPutts",2010
117,118,"JP Hayes",79,NA,NA,3,16,"LongestPutts",2010
119,119,"Charlie Wi",95,NA,NA,4,13,"LongestPutts",2010
124,124,"Garrett Willis",82,NA,NA,2,3,"LongestPutts",2010
124,125,"George McNeill",79,NA,NA,2,12,"LongestPutts",2010
126,126,"Jeff Quinney",91,NA,NA,2,2,"LongestPutts",2010
127,128,"Cameron Percy",73,NA,NA,3,16,"LongestPutts",2010
127,127,"Troy Matteson",84,NA,NA,4,3,"LongestPutts",2010
129,131,"John Ellis",4,NA,NA,4,3,"LongestPutts",2010
129,130,"Aron Price",70,NA,NA,1,3,"LongestPutts",2010
132,132,"Rory McIlroy",54,NA,NA,1,3,"LongestPutts",2010
134,136,"Lee Janzen",77,NA,NA,3,17,"LongestPutts",2010
134,135,"Henrik Bjornstad",72,NA,NA,1,10,"LongestPutts",2010
137,138,"Paul Stankowski",62,NA,NA,4,9,"LongestPutts",2010
137,137,"Mike Weir",59,NA,NA,1,17,"LongestPutts",2010
139,139,"Geoff Ogilvy",62,NA,NA,2,18,"LongestPutts",2010
145,146,"Chris Smith",22,NA,NA,2,14,"LongestPutts",2010
145,148,"Kevin Na",94,NA,NA,3,16,"LongestPutts",2010
145,145,"Anthony Kim",45,NA,NA,4,14,"LongestPutts",2010
149,149,"Jason Gore",29,NA,NA,2,18,"LongestPutts",2010
151,151,"Daniel Chopra",74,NA,NA,1,5,"LongestPutts",2010
151,152,"Garth Mulroy",53,NA,NA,2,12,"LongestPutts",2010
153,153,"DA Points",90,NA,NA,2,17,"LongestPutts",2010
157,157,"Lee Westwood",40,NA,NA,1,9,"LongestPutts",2010
158,158,"Freddie Jacobson",83,NA,NA,1,4,"LongestPutts",2010
161,162,"Adam Scott",70,NA,NA,4,16,"LongestPutts",2010
163,165,"Will Ma Kenzie",72,NA,NA,2,6,"LongestPutts",2010
166,166,"Ryan Palmer",84,NA,NA,1,6,"LongestPutts",2010
166,167,"Edoardo Molinari",27,NA,NA,4,17,"LongestPutts",2010
169,169,"Rich Barcelo",70,NA,NA,3,3,"LongestPutts",2010
170,170,"Troy Merritt",86,NA,NA,3,3,"LongestPutts",2010
174,176,"Scott McCarron",90,NA,NA,2,7,"LongestPutts",2010
179,181,"Willie Wood",6,NA,NA,2,7,"LongestPutts",2010
179,180,"Jason Bohn",84,NA,NA,2,4,"LongestPutts",2010
182,182,"Martin Flores",75,NA,NA,3,9,"LongestPutts",2010
184,186,"Steve Stricker",73,NA,NA,2,8,"LongestPutts",2010
184,188,"Josh Teater",101,NA,NA,4,16,"LongestPutts",2010
189,189,"Mathias Gronberg",61,NA,NA,1,9,"LongestPutts",2010
190,190,"Trevor Immelman",55,NA,NA,1,8,"LongestPutts",2010
192,192,"Jay Haas",2,NA,NA,2,5,"LongestPutts",2010
192,194,"Boo Weekley",88,NA,NA,1,3,"LongestPutts",2010
199,201,"Roger Tambellini",77,NA,NA,3,13,"LongestPutts",2010
