"ScoringAverageActual_RANKTHISWEEK_2007","ScoringAverageActual_RANKLASTWEEK_2007","ScoringAverageActual_PLAYERNAME_2007","ScoringAverageActual_ROUNDS_2007","ScoringAverageActual_AVG_2007","ScoringAverageActual_TOTALSTROKES_2007","ScoringAverageActual_TOTALROUNDS_2007","stat_name","year"
64,64,"Will Ma Kenzie",100,71.02,7102,100,"ScoringAverageActual",2007
66,66,"Steve Allan",63,71.03,4475,63,"ScoringAverageActual",2007
66,66,"Steve Marino",106,71.03,7529,106,"ScoringAverageActual",2007
68,68,"Mathew Goggin",97,71.04,6891,97,"ScoringAverageActual",2007
68,68,"Arron Oberholser",69,71.04,4831,68,"ScoringAverageActual",2007
70,70,"Padraig Harrington",64,71.05,4405,62,"ScoringAverageActual",2007
70,70,"Justin Leonard",95,71.05,6750,95,"ScoringAverageActual",2007
70,70,"John Merrick",92,71.05,6537,92,"ScoringAverageActual",2007
73,73,"Mark Wilson",87,71.07,6183,87,"ScoringAverageActual",2007
74,74,"Bob Heintz",85,71.08,6042,85,"ScoringAverageActual",2007
74,74,"Jerry Kelly",101,71.08,7179,101,"ScoringAverageActual",2007
74,74,"Tom Lehman",62,71.08,4407,62,"ScoringAverageActual",2007
74,74,"Rod Pampling",92,71.08,6397,90,"ScoringAverageActual",2007
78,78,"Tim Herron",98,71.1,6968,98,"ScoringAverageActual",2007
78,78,"Jarrod Lyle",77,71.1,5475,77,"ScoringAverageActual",2007
80,80,"Mark Calcavecchia",93,71.11,6613,93,"ScoringAverageActual",2007
81,81,"Michael Allen",74,71.12,5263,74,"ScoringAverageActual",2007
81,81,"Robert Allenby",90,71.12,6330,89,"ScoringAverageActual",2007
81,81,"George McNeill",95,71.12,6756,95,"ScoringAverageActual",2007
84,84,"Craig Kanada",109,71.13,7753,109,"ScoringAverageActual",2007
84,84,"Nick Watney",87,71.13,6188,87,"ScoringAverageActual",2007
86,86,"Bob Estes",88,71.14,6260,88,"ScoringAverageActual",2007
87,87,"Tag Ridings",52,71.15,3700,52,"ScoringAverageActual",2007
88,88,"Kent Jones",97,71.16,6903,97,"ScoringAverageActual",2007
88,88,"Kevin Sutherland",85,71.16,6049,85,"ScoringAverageActual",2007
88,88,"Mike Weir",82,71.16,5764,81,"ScoringAverageActual",2007
91,91,"Stephen Ames",81,71.17,5480,77,"ScoringAverageActual",2007
91,91,"Geoff Ogilvy",84,71.17,5551,78,"ScoringAverageActual",2007
93,93,"JP Hayes",89,71.18,6335,89,"ScoringAverageActual",2007
94,94,"Ryan Armour",107,71.19,7617,107,"ScoringAverageActual",2007
94,94,"Jeff Gove",103,71.19,7333,103,"ScoringAverageActual",2007
94,94,"Mathias Gronberg",95,71.19,6763,95,"ScoringAverageActual",2007
94,94,"Rocco Mediate",72,71.19,5126,72,"ScoringAverageActual",2007
98,98,"Vaughn Taylor",91,71.2,6479,91,"ScoringAverageActual",2007
99,99,"Marco Dawson",73,71.21,5198,73,"ScoringAverageActual",2007
100,100,"Craig Bowden",78,71.22,5555,78,"ScoringAverageActual",2007
100,100,"Jose Coceres",50,71.22,3561,50,"ScoringAverageActual",2007
102,102,"Jeff Quinney",95,71.23,6767,95,"ScoringAverageActual",2007
103,103,"Bubba Watson",80,71.24,5699,80,"ScoringAverageActual",2007
104,104,"Craig Barlow",52,71.25,3705,52,"ScoringAverageActual",2007
104,104,"Glen Day",85,71.25,6056,85,"ScoringAverageActual",2007
104,104,"Steve Flesch",100,71.25,7125,100,"ScoringAverageActual",2007
104,104,"John Mallinger",96,71.25,6840,96,"ScoringAverageActual",2007
104,104,"Bob Tway",103,71.25,7339,103,"ScoringAverageActual",2007
109,109,"Jason Bohn",57,71.26,4062,57,"ScoringAverageActual",2007
110,110,"Chris Stroud",66,71.27,4704,66,"ScoringAverageActual",2007
110,110,"Johnson Wagner",97,71.27,6913,97,"ScoringAverageActual",2007
112,112,"Robert Garrigus",95,71.28,6772,95,"ScoringAverageActual",2007
112,112,"Dean Wilson",92,71.28,6558,92,"ScoringAverageActual",2007
114,114,"Craig Lile",77,71.29,5489,77,"ScoringAverageActual",2007
114,114,"Shigeki Maruyama",84,71.29,5988,84,"ScoringAverageActual",2007
114,114,"Tom Pernice Jr",104,71.29,7414,104,"ScoringAverageActual",2007
117,117,"Jeff Maggert",79,71.3,5633,79,"ScoringAverageActual",2007
118,118,"Gavin Coles",87,71.32,6205,87,"ScoringAverageActual",2007
118,118,"Doug LaBelle II",104,71.32,7417,104,"ScoringAverageActual",2007
118,118,"Frank Lickliter II",95,71.32,6775,95,"ScoringAverageActual",2007
118,118,"Ted Purdy",102,71.32,7275,102,"ScoringAverageActual",2007
122,122,"Steve Lowery",74,71.35,5280,74,"ScoringAverageActual",2007
122,122,"Ian Poulter",63,71.35,4281,60,"ScoringAverageActual",2007
124,124,"Luke Donald",69,71.36,4781,67,"ScoringAverageActual",2007
125,125,"Dicky Pride",71,71.38,5068,71,"ScoringAverageActual",2007
126,126,"JJ Henry",86,71.39,6068,85,"ScoringAverageActual",2007
126,126,"DJ Trahan",99,71.39,7068,99,"ScoringAverageActual",2007
128,128,"Troy Matteson",87,71.41,6213,87,"ScoringAverageActual",2007
129,129,"Brendon de Jonge",76,71.45,5430,76,"ScoringAverageActual",2007
129,129,"Jason Dufner",100,71.45,7145,100,"ScoringAverageActual",2007
131,131,"Charles Howell III",89,71.47,6146,86,"ScoringAverageActual",2007
132,132,"Mark Hensby",81,71.48,5790,81,"ScoringAverageActual",2007
133,133,"Fred Funk",65,71.51,4648,65,"ScoringAverageActual",2007
134,134,"Parker McLachlin",83,71.52,5936,83,"ScoringAverageActual",2007
135,135,"Andrew Buckle",77,71.53,5508,77,"ScoringAverageActual",2007
136,136,"Charley Hoffman",97,71.54,6939,97,"ScoringAverageActual",2007
137,137,"Michael Putnam",96,71.55,6869,96,"ScoringAverageActual",2007
137,137,"Duffy Waldorf",69,71.55,4937,69,"ScoringAverageActual",2007
139,139,"Rich Beem",89,71.57,6370,89,"ScoringAverageActual",2007
139,139,"Daisuke Maruyama",86,71.57,6155,86,"ScoringAverageActual",2007
141,141,"Shaun Micheel",91,71.58,6299,88,"ScoringAverageActual",2007
142,142,"Corey Pavin",81,71.6,5800,81,"ScoringAverageActual",2007
142,142,"Brett Wetterich",88,71.6,6229,87,"ScoringAverageActual",2007
144,144,"Richard Johnson",93,71.61,6660,93,"ScoringAverageActual",2007
145,145,"Mark Brooks",53,71.62,3796,53,"ScoringAverageActual",2007
146,146,"Jason Schultz",63,71.63,4513,63,"ScoringAverageActual",2007
147,147,"Anders Hansen",55,71.64,3940,55,"ScoringAverageActual",2007
148,148,"JB Holmes",71,71.66,5088,71,"ScoringAverageActual",2007
148,148,"Tripp Isenhour",86,71.66,6163,86,"ScoringAverageActual",2007
150,150,"Rich Barcelo",80,71.68,5734,80,"ScoringAverageActual",2007
150,150,"Darron Stiles",65,71.68,4659,65,"ScoringAverageActual",2007
152,152,"DJ Brigman",67,71.69,4803,67,"ScoringAverageActual",2007
152,152,"Paul Stankowski",52,71.69,3728,52,"ScoringAverageActual",2007
154,154,"Stuart Appleby",74,71.71,5235,73,"ScoringAverageActual",2007
155,155,"Nick OHern",72,71.72,4877,68,"ScoringAverageActual",2007
156,156,"Robert Gamez",88,71.73,6312,88,"ScoringAverageActual",2007
157,157,"Billy Andrade",88,71.75,6314,88,"ScoringAverageActual",2007
157,157,"Harrison Frazar",88,71.75,6314,88,"ScoringAverageActual",2007
159,159,"Joe Durant",88,71.76,6243,87,"ScoringAverageActual",2007
159,159,"Scott Gutschewski",67,71.76,4808,67,"ScoringAverageActual",2007
161,161,"Ryan Palmer",91,71.78,6532,91,"ScoringAverageActual",2007
162,162,"Trevor Immelman",74,71.79,4882,68,"ScoringAverageActual",2007
163,163,"Paul Goydos",60,71.8,4236,59,"ScoringAverageActual",2007
163,163,"Joey Sindelar",75,71.8,5385,75,"ScoringAverageActual",2007
165,165,"Paul Gow",70,71.81,5027,70,"ScoringAverageActual",2007
165,165,"Chris Tidland",59,71.81,4237,59,"ScoringAverageActual",2007
167,167,"Tom Johnson",74,71.85,5317,74,"ScoringAverageActual",2007
168,168,"Steve Wheatcroft",73,71.88,5247,73,"ScoringAverageActual",2007
169,169,"Michael Boyd",61,71.9,4386,61,"ScoringAverageActual",2007
170,170,"Jeff Brehaut",59,71.92,4243,59,"ScoringAverageActual",2007
171,171,"Kirk Triplett",77,71.96,5541,77,"ScoringAverageActual",2007
172,172,"Lee Janzen",66,71.97,4750,66,"ScoringAverageActual",2007
173,173,"Greg Owen",81,71.99,5831,81,"ScoringAverageActual",2007
174,174,"Chris Couch",76,72,5472,76,"ScoringAverageActual",2007
175,175,"Chad Campbell",96,72.01,6481,90,"ScoringAverageActual",2007
176,176,"Brian Bateman",55,72.02,3961,55,"ScoringAverageActual",2007
176,176,"Davis Love III",66,72.02,4681,65,"ScoringAverageActual",2007
178,178,"Brett Quigley",79,72.03,5618,78,"ScoringAverageActual",2007
179,179,"Tom Byrum",50,72.08,3604,50,"ScoringAverageActual",2007
179,179,"Retief Goosen",50,72.08,3460,48,"ScoringAverageActual",2007
181,181,"Chris DiMarco",79,72.1,5552,77,"ScoringAverageActual",2007
182,182,"Kevin Stadler",95,72.13,6852,95,"ScoringAverageActual",2007
183,183,"Eric Axley",107,72.26,7732,107,"ScoringAverageActual",2007
184,184,"Matt Hendrix",63,72.27,4553,63,"ScoringAverageActual",2007
185,185,"Henrik Stenson",52,72.3,3326,46,"ScoringAverageActual",2007
186,186,"David Branshaw",83,72.34,6004,83,"ScoringAverageActual",2007
187,187,"John Daly",59,72.39,4271,59,"ScoringAverageActual",2007
188,188,"Jim Rutledge",59,72.41,4272,59,"ScoringAverageActual",2007
188,188,"Jaco Van Zyl",51,72.41,3693,51,"ScoringAverageActual",2007
190,190,"Kyle Reifers",71,72.46,5145,71,"ScoringAverageActual",2007
191,191,"Ben Curtis",80,72.5,5800,80,"ScoringAverageActual",2007
192,192,"Jeff Sluman",60,72.53,4352,60,"ScoringAverageActual",2007
193,193,"Bubba Dickerson",51,72.59,3702,51,"ScoringAverageActual",2007
194,194,"Bryce Molder",56,72.64,4068,56,"ScoringAverageActual",2007
195,195,"Jose Maria Olazabal",52,72.92,3646,50,"ScoringAverageActual",2007
196,196,"Todd Hamilton",76,73.58,5592,76,"ScoringAverageActual",2007
