"FedExCupSeasonPoints_RANKTHISWEEK_2014","FedExCupSeasonPoints_RANKLASTWEEK_2014","FedExCupSeasonPoints_PLAYERNAME_2014","FedExCupSeasonPoints_EVENTS_2014","FedExCupSeasonPoints_POINTS_2014","FedExCupSeasonPoints_OFWINS_2014","FedExCupSeasonPoints_OFTOP10S_2014","FedExCupSeasonPoints_POINTSBEHINDLEAD_2014","FedExCupSeasonPoints_RESETPOINTS_2014","stat_name","year"
23,23,"Keegan Bradley",23,1278,NA,6,1304,NA,"FedExCupSeasonPoints",2014
24,24,"Bill Haas",24,1268,NA,4,1314,NA,"FedExCupSeasonPoints",2014
25,25,"Matt Every",23,1250,1,6,1332,NA,"FedExCupSeasonPoints",2014
26,26,"John Senden",23,1157,1,4,1425,NA,"FedExCupSeasonPoints",2014
27,27,"Marc Leishman",21,1137,NA,6,1445,NA,"FedExCupSeasonPoints",2014
28,28,"Graham DeLaet",21,1113,NA,7,1469,NA,"FedExCupSeasonPoints",2014
29,29,"Tim Clark",24,1111,1,3,1471,NA,"FedExCupSeasonPoints",2014
30,30,"Ryan Palmer",19,1068,NA,6,1514,NA,"FedExCupSeasonPoints",2014
31,31,"Kevin Stadler",23,1067,1,3,1515,NA,"FedExCupSeasonPoints",2014
32,32,"Gary Woodland",21,1059,NA,4,1523,NA,"FedExCupSeasonPoints",2014
33,33,"Charles Howell III",26,1042,NA,6,1540,NA,"FedExCupSeasonPoints",2014
34,34,"Jason Day",11,1028,1,3,1554,NA,"FedExCupSeasonPoints",2014
35,35,"Charley Hoffman",22,1026,NA,5,1556,NA,"FedExCupSeasonPoints",2014
36,36,"JB Holmes",21,1007,1,2,1575,NA,"FedExCupSeasonPoints",2014
37,37,"Camilo Villegas",26,1002,1,1,1580,NA,"FedExCupSeasonPoints",2014
38,38,"Freddie Jacobson",24,987,NA,4,1595,NA,"FedExCupSeasonPoints",2014
39,39,"Kevin Streelman",21,972,1,2,1610,NA,"FedExCupSeasonPoints",2014
40,40,"Matt Jones",22,970,1,1,1612,NA,"FedExCupSeasonPoints",2014
41,41,"George McNeill",21,962,NA,4,1620,NA,"FedExCupSeasonPoints",2014
42,42,"Seung Yul Noh",24,950,1,2,1632,NA,"FedExCupSeasonPoints",2014
43,43,"Graeme McDowell",15,948,NA,8,1634,NA,"FedExCupSeasonPoints",2014
44,44,"Justin Hicks",28,923,NA,3,1659,NA,"FedExCupSeasonPoints",2014
45,45,"Phil Mickelson",18,921,NA,1,1661,NA,"FedExCupSeasonPoints",2014
46,46,"Will Ma Kenzie",24,920,NA,5,1662,NA,"FedExCupSeasonPoints",2014
47,47,"Brian Stuard",26,891,NA,4,1691,NA,"FedExCupSeasonPoints",2014
48,48,"Russell Knox",23,885,NA,3,1697,NA,"FedExCupSeasonPoints",2014
49,49,"Daniel Summerhays",24,869,NA,2,1713,NA,"FedExCupSeasonPoints",2014
50,50,"Russell Henley",25,864,1,2,1718,NA,"FedExCupSeasonPoints",2014
51,51,"Chris Stroud",22,834,NA,4,1748,NA,"FedExCupSeasonPoints",2014
52,52,"Steven Bowditch",27,828,1,1,1754,NA,"FedExCupSeasonPoints",2014
53,53,"Scott Brown",28,816,NA,4,1766,NA,"FedExCupSeasonPoints",2014
54,54,"KJ Choi",20,814,NA,2,1768,NA,"FedExCupSeasonPoints",2014
55,55,"Brandt Snedeker",23,812,NA,3,1770,NA,"FedExCupSeasonPoints",2014
56,56,"Angel Cabrera",20,807,1,1,1775,NA,"FedExCupSeasonPoints",2014
57,57,"Jason Dufner",17,798,NA,4,1784,NA,"FedExCupSeasonPoints",2014
58,58,"Ben Martin",24,789,NA,3,1793,NA,"FedExCupSeasonPoints",2014
59,59,"Jason Bohn",22,784,NA,3,1798,NA,"FedExCupSeasonPoints",2014
60,60,"Charl Schwartzel",15,783,NA,5,1799,NA,"FedExCupSeasonPoints",2014
61,61,"Cameron Tringale",27,781,NA,2,1801,NA,"FedExCupSeasonPoints",2014
62,62,"Hunter Mahan",21,776,NA,5,1806,NA,"FedExCupSeasonPoints",2014
63,63,"Ben Crane",22,774,1,2,1808,NA,"FedExCupSeasonPoints",2014
64,64,"Jerry Kelly",20,765,NA,4,1817,NA,"FedExCupSeasonPoints",2014
65,65,"Erik Compton",25,745,NA,3,1837,NA,"FedExCupSeasonPoints",2014
66,66,"Luke Donald",15,743,NA,3,1839,NA,"FedExCupSeasonPoints",2014
67,67,"Brendan Steele",24,729,NA,4,1853,NA,"FedExCupSeasonPoints",2014
68,68,"Kevin Chappell",25,723,NA,1,1859,NA,"FedExCupSeasonPoints",2014
69,69,"Billy Horschel",23,722,NA,2,1860,NA,"FedExCupSeasonPoints",2014
70,70,"Henrik Stenson",12,720,NA,3,1862,NA,"FedExCupSeasonPoints",2014
71,71,"Brendon de Jonge",29,717,NA,2,1865,NA,"FedExCupSeasonPoints",2014
72,72,"Chesson Hadley",26,705,1,3,1877,NA,"FedExCupSeasonPoints",2014
73,73,"Scott Langley",27,686,NA,1,1896,NA,"FedExCupSeasonPoints",2014
74,74,"Pat Perez",23,682,NA,3,1900,NA,"FedExCupSeasonPoints",2014
75,75,"Ryo Ishikawa",22,681,NA,3,1901,NA,"FedExCupSeasonPoints",2014
76,76,"Robert Garrigus",23,678,NA,2,1904,NA,"FedExCupSeasonPoints",2014
77,77,"Scott Stallings",26,668,1,1,1914,NA,"FedExCupSeasonPoints",2014
78,78,"Ian Poulter",15,657,NA,2,1925,NA,"FedExCupSeasonPoints",2014
79,79,"Carl Pettersson",25,650,NA,3,1932,NA,"FedExCupSeasonPoints",2014
80,80,"Andrew Svoboda",22,647,NA,2,1935,NA,"FedExCupSeasonPoints",2014
81,81,"William McGirt",26,646,NA,3,1936,NA,"FedExCupSeasonPoints",2014
82,82,"David Hearn",26,645,NA,3,1937,NA,"FedExCupSeasonPoints",2014
83,83,"Shawn Stefani",15,640,NA,2,1942,NA,"FedExCupSeasonPoints",2014
84,84,"Robert Streb",19,635,NA,1,1947,NA,"FedExCupSeasonPoints",2014
85,85,"Jason Kokrak",17,632,NA,2,1950,NA,"FedExCupSeasonPoints",2014
86,86,"Jeff Overton",22,631,NA,3,1951,NA,"FedExCupSeasonPoints",2014
87,87,"Billy Hurley III",24,630,NA,4,1952,NA,"FedExCupSeasonPoints",2014
88,88,"Vijay Singh",23,625,NA,1,1957,NA,"FedExCupSeasonPoints",2014
89,89,"Michael Putnam",28,618,NA,1,1964,NA,"FedExCupSeasonPoints",2014
90,90,"Geoff Ogilvy",22,611,1,1,1971,NA,"FedExCupSeasonPoints",2014
91,91,"Ernie Els",21,610,NA,2,1972,NA,"FedExCupSeasonPoints",2014
92,92,"Jonas Blixt",20,599,NA,1,1983,NA,"FedExCupSeasonPoints",2014
93,93,"Kevin Kisner",25,587,NA,3,1995,NA,"FedExCupSeasonPoints",2014
94,94,"Nick Watney",24,584,NA,2,1998,NA,"FedExCupSeasonPoints",2014
95,95,"Luke Guthrie",25,575,NA,2,2007,NA,"FedExCupSeasonPoints",2014
96,96,"Retief Goosen",25,569,NA,2,2013,NA,"FedExCupSeasonPoints",2014
97,97,"Rory Sabbatini",25,567,NA,3,2015,NA,"FedExCupSeasonPoints",2014
98,98,"Stuart Appleby",26,554,NA,2,2028,NA,"FedExCupSeasonPoints",2014
99,99,"John Huh",26,544,NA,2,2038,NA,"FedExCupSeasonPoints",2014
100,100,"Brian Davis",27,534,NA,NA,2048,NA,"FedExCupSeasonPoints",2014
101,101,"Martin Flores",25,530,NA,1,2052,NA,"FedExCupSeasonPoints",2014
102,102,"Aaron Baddeley",23,528,NA,2,2054,NA,"FedExCupSeasonPoints",2014
103,103,"Steve Stricker",11,519,NA,2,2063,NA,"FedExCupSeasonPoints",2014
104,104,"Bo Van Pelt",23,518,NA,1,2064,NA,"FedExCupSeasonPoints",2014
105,105,"Ricky Barnes",26,518,NA,2,2064,NA,"FedExCupSeasonPoints",2014
106,106,"Michael Thompson",21,515,NA,1,2067,NA,"FedExCupSeasonPoints",2014
107,107,"Lee Westwood",17,514,NA,2,2068,NA,"FedExCupSeasonPoints",2014
108,108,"Jhonattan Vegas",22,505,NA,2,2077,NA,"FedExCupSeasonPoints",2014
109,109,"Stewart Cink",23,504,NA,NA,2078,NA,"FedExCupSeasonPoints",2014
110,110,"Andres Romero",24,503,NA,1,2079,NA,"FedExCupSeasonPoints",2014
111,111,"Troy Merritt",19,499,NA,1,2083,NA,"FedExCupSeasonPoints",2014
112,112,"David Toms",19,498,NA,2,2084,NA,"FedExCupSeasonPoints",2014
113,113,"Boo Weekley",23,496,NA,1,2086,NA,"FedExCupSeasonPoints",2014
114,114,"Tim Wilkinson",24,494,NA,3,2088,NA,"FedExCupSeasonPoints",2014
115,115,"Justin Leonard",21,491,NA,2,2091,NA,"FedExCupSeasonPoints",2014
116,116,"Danny Lee",26,490,NA,1,2092,NA,"FedExCupSeasonPoints",2014
117,117,"Brice Garnett",27,488,NA,1,2094,NA,"FedExCupSeasonPoints",2014
118,118,"Paul Casey",15,471,NA,NA,2111,NA,"FedExCupSeasonPoints",2014
119,119,"Gonzalo Fdez Castano",23,470,NA,1,2112,NA,"FedExCupSeasonPoints",2014
120,120,"Sangmoon Bae",23,466,NA,NA,2116,NA,"FedExCupSeasonPoints",2014
121,121,"James Hahn",26,456,NA,2,2126,NA,"FedExCupSeasonPoints",2014
122,122,"Bryce Molder",24,455,NA,2,2127,NA,"FedExCupSeasonPoints",2014
123,123,"Louis Oosthuizen",15,453,NA,1,2129,NA,"FedExCupSeasonPoints",2014
124,124,"Morgan Hoffmann",28,448,NA,NA,2134,NA,"FedExCupSeasonPoints",2014
125,125,"Robert Allenby",28,438,NA,NA,2144,NA,"FedExCupSeasonPoints",2014
126,126,"Nicholas Thompson",30,437,NA,1,2145,NA,"FedExCupSeasonPoints",2014
127,127,"Martin Laird",20,425,NA,1,2157,NA,"FedExCupSeasonPoints",2014
128,128,"JJ Henry",28,425,NA,NA,2157,NA,"FedExCupSeasonPoints",2014
129,129,"Heath Slocum",23,419,NA,1,2163,NA,"FedExCupSeasonPoints",2014
130,130,"Charlie Beljan",26,409,NA,1,2173,NA,"FedExCupSeasonPoints",2014
131,131,"Ben Curtis",24,406,NA,1,2176,NA,"FedExCupSeasonPoints",2014
132,132,"Greg Chalmers",27,402,NA,1,2180,NA,"FedExCupSeasonPoints",2014
133,133,"John Merrick",25,399,NA,NA,2183,NA,"FedExCupSeasonPoints",2014
134,134,"David Lingmerth",26,391,NA,2,2191,NA,"FedExCupSeasonPoints",2014
135,135,"Roberto Castro",27,387,NA,1,2195,NA,"FedExCupSeasonPoints",2014
136,136,"Jonathan Byrd",24,383,NA,1,2199,NA,"FedExCupSeasonPoints",2014
137,137,"Andrew Loupe",22,380,NA,1,2202,NA,"FedExCupSeasonPoints",2014
138,138,"Richard Lee",27,376,NA,2,2206,NA,"FedExCupSeasonPoints",2014
139,139,"Mike Weir",25,375,NA,1,2207,NA,"FedExCupSeasonPoints",2014
140,140,"Brian Gay",26,375,NA,1,2207,NA,"FedExCupSeasonPoints",2014
141,141,"Briny Baird",17,366,NA,1,2216,NA,"FedExCupSeasonPoints",2014
142,142,"Will Wilcox",16,362,NA,2,2220,NA,"FedExCupSeasonPoints",2014
143,143,"Bud Cauley",19,357,NA,1,2225,NA,"FedExCupSeasonPoints",2014
144,144,"Tyrone Van Aswegen",25,355,NA,NA,2227,NA,"FedExCupSeasonPoints",2014
145,145,"Trevor Immelman",28,354,NA,1,2228,NA,"FedExCupSeasonPoints",2014
146,146,"Hudson Swafford",26,351,NA,1,2231,NA,"FedExCupSeasonPoints",2014
147,147,"Jim Renner",25,346,NA,1,2236,NA,"FedExCupSeasonPoints",2014
148,148,"Josh Teater",28,334,NA,NA,2248,NA,"FedExCupSeasonPoints",2014
149,149,"Charlie Wi",25,329,NA,NA,2253,NA,"FedExCupSeasonPoints",2014
150,150,"Johnson Wagner",24,323,NA,1,2259,NA,"FedExCupSeasonPoints",2014
151,151,"Brad Fritsch",18,322,NA,3,2260,NA,"FedExCupSeasonPoints",2014
152,152,"Chad Campbell",18,317,NA,1,2265,NA,"FedExCupSeasonPoints",2014
153,153,"Wes Roach",22,314,NA,1,2268,NA,"FedExCupSeasonPoints",2014
154,154,"Ted Potter Jr",24,311,NA,NA,2271,NA,"FedExCupSeasonPoints",2014
155,155,"James Driscoll",25,311,NA,NA,2271,NA,"FedExCupSeasonPoints",2014
156,156,"Tommy Gainey",26,311,NA,1,2271,NA,"FedExCupSeasonPoints",2014
157,157,"Ken Duke",25,305,NA,NA,2277,NA,"FedExCupSeasonPoints",2014
158,158,"Kyle Stanley",28,297,NA,1,2285,NA,"FedExCupSeasonPoints",2014
159,159,"Chad Collins",28,295,NA,1,2287,NA,"FedExCupSeasonPoints",2014
160,160,"Sean OHair",25,278,NA,1,2304,NA,"FedExCupSeasonPoints",2014
161,161,"Peter Hanson",13,262,NA,NA,2320,NA,"FedExCupSeasonPoints",2014
162,162,"Davis Love III",22,253,NA,NA,2329,NA,"FedExCupSeasonPoints",2014
163,163,"Spencer Levin",20,246,NA,NA,2336,NA,"FedExCupSeasonPoints",2014
164,164,"John Rollins",28,244,NA,NA,2338,NA,"FedExCupSeasonPoints",2014
165,165,"Troy Matteson",23,238,NA,1,2344,NA,"FedExCupSeasonPoints",2014
166,166,"Scott Piercy",12,238,NA,NA,2344,NA,"FedExCupSeasonPoints",2014
167,167,"YE Yang",28,234,NA,NA,2348,NA,"FedExCupSeasonPoints",2014
168,168,"Woody Austin",22,225,NA,NA,2357,NA,"FedExCupSeasonPoints",2014
169,169,"Steve Marino",13,224,NA,NA,2358,NA,"FedExCupSeasonPoints",2014
170,170,"Joe Durant",15,221,NA,NA,2361,NA,"FedExCupSeasonPoints",2014
171,171,"Derek Ernst",28,218,NA,NA,2364,NA,"FedExCupSeasonPoints",2014
172,172,"Jamie Lovemark",20,212,NA,NA,2370,NA,"FedExCupSeasonPoints",2014
173,173,"DA Points",27,206,NA,NA,2376,NA,"FedExCupSeasonPoints",2014
174,174,"Jeff Maggert",19,195,NA,1,2387,NA,"FedExCupSeasonPoints",2014
175,175,"Thorbjorn Olesen",14,182,NA,1,2400,NA,"FedExCupSeasonPoints",2014
176,176,"Jason Gore",7,175,NA,1,2407,NA,"FedExCupSeasonPoints",2014
177,177,"Kevin Tway",23,172,NA,NA,2410,NA,"FedExCupSeasonPoints",2014
178,178,"Peter Malnati",18,172,NA,NA,2410,NA,"FedExCupSeasonPoints",2014
179,179,"John Peterson",25,170,NA,NA,2412,NA,"FedExCupSeasonPoints",2014
180,180,"Dicky Pride",13,159,NA,1,2423,NA,"FedExCupSeasonPoints",2014
181,181,"Tim Herron",15,157,NA,NA,2425,NA,"FedExCupSeasonPoints",2014
182,182,"Jim Herman",21,142,NA,NA,2440,NA,"FedExCupSeasonPoints",2014
183,183,"Mark Wilson",25,142,NA,NA,2440,NA,"FedExCupSeasonPoints",2014
184,184,"Eric Axley",10,141,NA,NA,2441,NA,"FedExCupSeasonPoints",2014
185,185,"Lucas Glover",26,129,NA,NA,2453,NA,"FedExCupSeasonPoints",2014
186,186,"Bronson La Cassie",18,128,NA,NA,2454,NA,"FedExCupSeasonPoints",2014
187,187,"Scott Gardiner",18,125,NA,NA,2457,NA,"FedExCupSeasonPoints",2014
188,188,"Padraig Harrington",16,116,NA,NA,2466,NA,"FedExCupSeasonPoints",2014
189,189,"Miguel Angel Carballo",15,116,NA,NA,2466,NA,"FedExCupSeasonPoints",2014
190,190,"Stephen Ames",18,104,NA,NA,2478,NA,"FedExCupSeasonPoints",2014
191,191,"David Lynn",11,104,NA,NA,2478,NA,"FedExCupSeasonPoints",2014
192,192,"Tim Petrovic",10,96,NA,NA,2486,NA,"FedExCupSeasonPoints",2014
193,193,"DH Lee",20,94,NA,NA,2488,NA,"FedExCupSeasonPoints",2014
194,194,"Blake Adams",8,91,NA,NA,2491,NA,"FedExCupSeasonPoints",2014
195,195,"Ryuji Imada",9,90,NA,NA,2492,NA,"FedExCupSeasonPoints",2014
196,196,"Nicolas Colsaerts",12,88,NA,NA,2494,NA,"FedExCupSeasonPoints",2014
197,197,"Kenny Perry",5,83,NA,NA,2499,NA,"FedExCupSeasonPoints",2014
198,198,"Darren Clarke",15,83,NA,NA,2499,NA,"FedExCupSeasonPoints",2014
199,199,"Bernhard Langer",1,80,NA,1,2502,NA,"FedExCupSeasonPoints",2014
200,200,"Doug LaBelle II",12,79,NA,NA,2503,NA,"FedExCupSeasonPoints",2014
201,201,"Kevin Foley",15,78,NA,NA,2504,NA,"FedExCupSeasonPoints",2014
202,202,"David Duval",15,77,NA,NA,2505,NA,"FedExCupSeasonPoints",2014
203,203,"Rod Pampling",7,74,NA,1,2508,NA,"FedExCupSeasonPoints",2014
204,204,"Lee Williams",13,74,NA,NA,2508,NA,"FedExCupSeasonPoints",2014
205,205,"Bob Estes",2,73,NA,1,2509,NA,"FedExCupSeasonPoints",2014
206,206,"Alex Prugh",16,72,NA,NA,2510,NA,"FedExCupSeasonPoints",2014
207,207,"Cameron Beckman",12,72,NA,NA,2510,NA,"FedExCupSeasonPoints",2014
208,208,"Greg Owen",8,67,NA,NA,2515,NA,"FedExCupSeasonPoints",2014
209,209,"John Daly",15,63,NA,NA,2519,NA,"FedExCupSeasonPoints",2014
210,210,"Jose Coceres",6,59,NA,NA,2523,NA,"FedExCupSeasonPoints",2014
211,211,"Matt Bettencourt",14,57,NA,NA,2525,NA,"FedExCupSeasonPoints",2014
212,212,"Mark Anderson",8,55,NA,NA,2527,NA,"FedExCupSeasonPoints",2014
213,213,"Will Claxton",8,52,NA,NA,2530,NA,"FedExCupSeasonPoints",2014
214,214,"Tom Watson",5,51,NA,NA,2531,NA,"FedExCupSeasonPoints",2014
215,215,"Fred Couples",3,49,NA,NA,2533,NA,"FedExCupSeasonPoints",2014
216,216,"Mark Calcavecchia",8,49,NA,NA,2533,NA,"FedExCupSeasonPoints",2014
217,217,"Patrick Cantlay",5,48,NA,NA,2534,NA,"FedExCupSeasonPoints",2014
218,218,"Tiger Woods",7,45,NA,NA,2537,NA,"FedExCupSeasonPoints",2014
219,219,"Tag Ridings",12,42,NA,NA,2540,NA,"FedExCupSeasonPoints",2014
220,220,"Lee Janzen",8,41,NA,NA,2541,NA,"FedExCupSeasonPoints",2014
221,221,"Joe Ogilvie",13,40,NA,NA,2542,NA,"FedExCupSeasonPoints",2014
222,222,"Glen Day",5,40,NA,NA,2542,NA,"FedExCupSeasonPoints",2014
223,223,"Steve Flesch",5,37,NA,NA,2545,NA,"FedExCupSeasonPoints",2014
223,223,"Harrison Frazar",15,37,NA,NA,2545,NA,"FedExCupSeasonPoints",2014
225,225,"Justin Bolli",6,37,NA,NA,2545,NA,"FedExCupSeasonPoints",2014
226,226,"Jose Maria Olazabal",1,36,NA,NA,2546,NA,"FedExCupSeasonPoints",2014
227,227,"Alex Cejka",6,34,NA,NA,2548,NA,"FedExCupSeasonPoints",2014
228,228,"Dudley Hart",4,32,NA,NA,2550,NA,"FedExCupSeasonPoints",2014
229,229,"Marc Turnesa",6,31,NA,NA,2551,NA,"FedExCupSeasonPoints",2014
230,230,"Chris Smith",7,28,NA,NA,2554,NA,"FedExCupSeasonPoints",2014
231,231,"Sandy Lyle",2,25,NA,NA,2557,NA,"FedExCupSeasonPoints",2014
232,232,"Billy Mayfair",4,24,NA,NA,2558,NA,"FedExCupSeasonPoints",2014
233,233,"Edward Loar",19,23,NA,NA,2559,NA,"FedExCupSeasonPoints",2014
234,234,"Len Mattiace",4,21,NA,NA,2561,NA,"FedExCupSeasonPoints",2014
235,235,"Kent Jones",2,20,NA,NA,2562,NA,"FedExCupSeasonPoints",2014
235,235,"Larry Mize",1,20,NA,NA,2562,NA,"FedExCupSeasonPoints",2014
237,237,"Kris Blanks",8,19,NA,NA,2563,NA,"FedExCupSeasonPoints",2014
238,238,"DJ Trahan",5,18,NA,NA,2564,NA,"FedExCupSeasonPoints",2014
239,239,"Chez Reavie",2,18,NA,NA,2564,NA,"FedExCupSeasonPoints",2014
240,240,"Benjamin Alvarado",6,15,NA,NA,2567,NA,"FedExCupSeasonPoints",2014
241,241,"Nathan Green",4,14,NA,NA,2568,NA,"FedExCupSeasonPoints",2014
242,242,"Ben Kohles",3,13,NA,NA,2569,NA,"FedExCupSeasonPoints",2014
243,243,"Vaughn Taylor",3,12,NA,NA,2570,NA,"FedExCupSeasonPoints",2014
244,244,"Paul Goydos",19,11,NA,NA,2571,NA,"FedExCupSeasonPoints",2014
245,245,"Arjun Atwal",4,11,NA,NA,2571,NA,"FedExCupSeasonPoints",2014
246,246,"Todd Hamilton",4,11,NA,NA,2571,NA,"FedExCupSeasonPoints",2014
247,247,"Fabian Gomez",4,10,NA,NA,2572,NA,"FedExCupSeasonPoints",2014
248,248,"Fred Funk",8,9,NA,NA,2573,NA,"FedExCupSeasonPoints",2014
249,249,"Daniel Chopra",16,9,NA,NA,2573,NA,"FedExCupSeasonPoints",2014
250,250,"Marco Dawson",1,4,NA,NA,2578,NA,"FedExCupSeasonPoints",2014
250,250,"Jesper Parnevik",3,4,NA,NA,2578,NA,"FedExCupSeasonPoints",2014
252,252,"Alex Aragon",18,2,NA,NA,2580,NA,"FedExCupSeasonPoints",2014
253,253,"Scott McCarron",12,2,NA,NA,2580,NA,"FedExCupSeasonPoints",2014
254,254,"Paul Stankowski",3,1,NA,NA,2581,NA,"FedExCupSeasonPoints",2014
255,255,"Scott Verplank",12,1,NA,NA,2581,NA,"FedExCupSeasonPoints",2014
256,256,"Chris DiMarco",7,1,NA,NA,2581,NA,"FedExCupSeasonPoints",2014
257,257,"Brett Quigley",1,1,NA,NA,2581,NA,"FedExCupSeasonPoints",2014
258,258,"Bobby Gates",14,1,NA,NA,2581,NA,"FedExCupSeasonPoints",2014
