"RyderCupEuroPoints_RANKTHISWEEK_2010","RyderCupEuroPoints_RANKLASTWEEK_2010","RyderCupEuroPoints_PLAYERNAME_2010","RyderCupEuroPoints__2010","RyderCupEuroPoints_POINTS_2010","stat_name","year"
108,NA,"Matteo Manassero",NA,130182.73,"RyderCupEuroPoints",2010
109,NA,"John Parry",NA,123736.29,"RyderCupEuroPoints",2010
110,NA,"Mikael Lundberg",NA,118336.97,"RyderCupEuroPoints",2010
111,NA,"Martin Wiegele",NA,117506.82,"RyderCupEuroPoints",2010
112,NA,"Jamie Elson",NA,116911.48,"RyderCupEuroPoints",2010
113,NA,"Markus Brier",NA,111479.07,"RyderCupEuroPoints",2010
114,NA,"Gary Murphy",NA,110709.26,"RyderCupEuroPoints",2010
115,NA,"Jose Manuel Lara",NA,109773.46,"RyderCupEuroPoints",2010
116,NA,"Barry Lane",NA,108937.32,"RyderCupEuroPoints",2010
117,NA,"Michael Lorenzo Vera",NA,108499.8,"RyderCupEuroPoints",2010
118,NA,"Alessandro Tadini",NA,108066,"RyderCupEuroPoints",2010
119,NA,"Jarmo Sandelin",NA,105241.27,"RyderCupEuroPoints",2010
120,NA,"Simon Thornton",NA,104901.55,"RyderCupEuroPoints",2010
121,NA,"Robert Dinwiddie",NA,97891.2,"RyderCupEuroPoints",2010
122,NA,"Miles Tunnicliff",NA,95729.17,"RyderCupEuroPoints",2010
123,NA,"Carlos Del Moral",NA,91602.53,"RyderCupEuroPoints",2010
124,NA,"Philip Archer",NA,83762.34,"RyderCupEuroPoints",2010
125,NA,"Peter Gustafsson",NA,78986.67,"RyderCupEuroPoints",2010
126,NA,"Patrik Sjoland",NA,76819.03,"RyderCupEuroPoints",2010
127,NA,"Sam Little",NA,74929.76,"RyderCupEuroPoints",2010
128,NA,"Sion Bebb",NA,71317.47,"RyderCupEuroPoints",2010
129,NA,"Klas Eriksson",NA,69013.51,"RyderCupEuroPoints",2010
130,NA,"Martin Erlandsson",NA,66005.25,"RyderCupEuroPoints",2010
131,NA,"Jean Francois Lucquin",NA,65279.58,"RyderCupEuroPoints",2010
