"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2008","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2008","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2008","AveragePuttingDistanceAll3Plusputts_ROUNDS_2008","AveragePuttingDistanceAll3Plusputts_AVG_2008","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2008","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2008","stat_name","year"
22,22,"Stewart Cink",87,NA,48.917,1,"AveragePuttingDistanceAll3Plusputts",2008
23,23,"Dean Wilson",109,NA,96,2,"AveragePuttingDistanceAll3Plusputts",2008
24,24,"Jim Furyk",95,NA,47.417,1,"AveragePuttingDistanceAll3Plusputts",2008
25,25,"Jeff Maggert",86,NA,140.5,3,"AveragePuttingDistanceAll3Plusputts",2008
26,26,"Ben Crane",86,NA,46.667,1,"AveragePuttingDistanceAll3Plusputts",2008
27,27,"Cameron Beckman",87,NA,46.417,1,"AveragePuttingDistanceAll3Plusputts",2008
28,28,"Chris Stroud",81,NA,91.333,2,"AveragePuttingDistanceAll3Plusputts",2008
29,29,"Carlos Franco",73,NA,45.333,1,"AveragePuttingDistanceAll3Plusputts",2008
30,30,"Mark Wilson",107,NA,44.25,1,"AveragePuttingDistanceAll3Plusputts",2008
31,31,"Nathan Green",95,NA,43.667,1,"AveragePuttingDistanceAll3Plusputts",2008
32,32,"Tag Ridings",88,NA,43.5,1,"AveragePuttingDistanceAll3Plusputts",2008
33,33,"Tommy Gainey",60,NA,86.75,2,"AveragePuttingDistanceAll3Plusputts",2008
34,34,"Kevin Na",97,NA,86.5,2,"AveragePuttingDistanceAll3Plusputts",2008
35,35,"Lucas Glover",91,NA,42.667,1,"AveragePuttingDistanceAll3Plusputts",2008
36,36,"Charlie Wi",97,NA,83.333,2,"AveragePuttingDistanceAll3Plusputts",2008
37,37,"Ernie Els",51,NA,41.25,1,"AveragePuttingDistanceAll3Plusputts",2008
38,38,"Stuart Appleby",87,NA,41.083,1,"AveragePuttingDistanceAll3Plusputts",2008
39,39,"George McNeill",97,NA,40.583,1,"AveragePuttingDistanceAll3Plusputts",2008
40,40,"Billy Mayfair",103,NA,80.417,2,"AveragePuttingDistanceAll3Plusputts",2008
41,41,"Ryan Armour",87,NA,80.25,2,"AveragePuttingDistanceAll3Plusputts",2008
42,42,"Mathias Gronberg",87,NA,120.333,3,"AveragePuttingDistanceAll3Plusputts",2008
43,43,"Kevin Stadler",90,NA,195.583,5,"AveragePuttingDistanceAll3Plusputts",2008
44,44,"Rory Sabbatini",77,NA,77.5,2,"AveragePuttingDistanceAll3Plusputts",2008
45,45,"Bill Haas",99,NA,38.667,1,"AveragePuttingDistanceAll3Plusputts",2008
46,46,"Tim Wilkinson",95,NA,38.417,1,"AveragePuttingDistanceAll3Plusputts",2008
47,47,"John Merrick",98,NA,74.917,2,"AveragePuttingDistanceAll3Plusputts",2008
48,48,"Cliff Kresge",84,NA,74.25,2,"AveragePuttingDistanceAll3Plusputts",2008
49,49,"Hunter Mahan",87,NA,74.167,2,"AveragePuttingDistanceAll3Plusputts",2008
50,50,"Brad Adamonis",87,NA,36.583,1,"AveragePuttingDistanceAll3Plusputts",2008
50,50,"JP Hayes",67,NA,36.583,1,"AveragePuttingDistanceAll3Plusputts",2008
52,52,"Harrison Frazar",73,NA,145.833,4,"AveragePuttingDistanceAll3Plusputts",2008
53,53,"Brandt Jobe",52,NA,36.25,1,"AveragePuttingDistanceAll3Plusputts",2008
54,54,"Brian Davis",108,NA,72.25,2,"AveragePuttingDistanceAll3Plusputts",2008
55,55,"Eric Axley",113,NA,36.083,1,"AveragePuttingDistanceAll3Plusputts",2008
56,56,"Robert Garrigus",90,NA,141.667,4,"AveragePuttingDistanceAll3Plusputts",2008
57,57,"Jin Park",85,NA,34.75,1,"AveragePuttingDistanceAll3Plusputts",2008
58,58,"Alex Cejka",75,NA,34.417,1,"AveragePuttingDistanceAll3Plusputts",2008
58,58,"Geoff Ogilvy",65,NA,34.417,1,"AveragePuttingDistanceAll3Plusputts",2008
60,60,"Jeff Quinney",87,NA,34.083,1,"AveragePuttingDistanceAll3Plusputts",2008
61,61,"Jerry Kelly",89,NA,66.167,2,"AveragePuttingDistanceAll3Plusputts",2008
62,62,"Anthony Kim",81,NA,32.5,1,"AveragePuttingDistanceAll3Plusputts",2008
63,63,"Ryan Moore",72,NA,31.417,1,"AveragePuttingDistanceAll3Plusputts",2008
64,64,"Paul Casey",55,NA,31.167,1,"AveragePuttingDistanceAll3Plusputts",2008
65,65,"Tim Petrovic",97,NA,31.083,1,"AveragePuttingDistanceAll3Plusputts",2008
66,66,"Steve Elkington",84,NA,60.667,2,"AveragePuttingDistanceAll3Plusputts",2008
67,67,"David Duval",51,NA,29.833,1,"AveragePuttingDistanceAll3Plusputts",2008
68,68,"Scott Verplank",82,NA,29.333,1,"AveragePuttingDistanceAll3Plusputts",2008
69,69,"Angel Cabrera",55,NA,29.083,1,"AveragePuttingDistanceAll3Plusputts",2008
70,70,"Chris DiMarco",87,NA,28.917,1,"AveragePuttingDistanceAll3Plusputts",2008
70,70,"Ken Duke",116,NA,57.75,2,"AveragePuttingDistanceAll3Plusputts",2008
72,72,"Chez Reavie",102,NA,85,3,"AveragePuttingDistanceAll3Plusputts",2008
73,73,"Phil Mickelson",80,NA,27.833,1,"AveragePuttingDistanceAll3Plusputts",2008
74,74,"Michael Allen",91,NA,27.583,1,"AveragePuttingDistanceAll3Plusputts",2008
75,75,"Shane Bertsch",96,NA,72.083,3,"AveragePuttingDistanceAll3Plusputts",2008
76,76,"Woody Austin",109,NA,23.25,1,"AveragePuttingDistanceAll3Plusputts",2008
77,77,"John Riegger",73,NA,21.667,1,"AveragePuttingDistanceAll3Plusputts",2008
78,78,"Todd Demsey",80,NA,42.833,2,"AveragePuttingDistanceAll3Plusputts",2008
79,79,"David Lutterus",59,NA,19.417,1,"AveragePuttingDistanceAll3Plusputts",2008
80,80,"Billy Andrade",71,NA,15,1,"AveragePuttingDistanceAll3Plusputts",2008
81,81,"John Rollins",94,NA,26.917,2,"AveragePuttingDistanceAll3Plusputts",2008
82,82,"Mark Hensby",71,NA,13.083,1,"AveragePuttingDistanceAll3Plusputts",2008
83,83,"Todd Hamilton",92,NA,10.083,1,"AveragePuttingDistanceAll3Plusputts",2008
84,84,"Daniel Chopra",84,NA,9.417,1,"AveragePuttingDistanceAll3Plusputts",2008
85,85,"DJ Trahan",94,NA,8.167,1,"AveragePuttingDistanceAll3Plusputts",2008
86,86,"Tim Herron",97,NA,5.917,1,"AveragePuttingDistanceAll3Plusputts",2008
87,87,"Mark Calcavecchia",67,NA,3.917,1,"AveragePuttingDistanceAll3Plusputts",2008
