"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2008","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2008","TenthTeeEarlyScoringAverage_PLAYERNAME_2008","TenthTeeEarlyScoringAverage_ROUNDS_2008","TenthTeeEarlyScoringAverage_AVG_2008","TenthTeeEarlyScoringAverage_TOTALSTROKES_2008","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2008","stat_name","year"
33,33,"Briny Baird",113,70.11,1262,18,"TenthTeeEarlyScoringAverage",2008
34,34,"Jay Williamson",96,70.14,1543,22,"TenthTeeEarlyScoringAverage",2008
35,35,"Scott Verplank",82,70.17,1263,18,"TenthTeeEarlyScoringAverage",2008
36,36,"Shane Bertsch",96,70.23,1545,22,"TenthTeeEarlyScoringAverage",2008
36,36,"Dudley Hart",74,70.23,913,13,"TenthTeeEarlyScoringAverage",2008
38,38,"Vijay Singh",82,70.24,1194,17,"TenthTeeEarlyScoringAverage",2008
39,39,"Bill Haas",99,70.26,1897,27,"TenthTeeEarlyScoringAverage",2008
40,40,"Steve Allan",58,70.27,1054,15,"TenthTeeEarlyScoringAverage",2008
41,41,"John Mallinger",95,70.3,1406,20,"TenthTeeEarlyScoringAverage",2008
41,41,"Mark Wilson",107,70.3,1617,23,"TenthTeeEarlyScoringAverage",2008
43,43,"Jonathan Byrd",88,70.31,914,13,"TenthTeeEarlyScoringAverage",2008
43,43,"Vaughn Taylor",103,70.31,1125,16,"TenthTeeEarlyScoringAverage",2008
43,43,"Camilo Villegas",79,70.31,914,13,"TenthTeeEarlyScoringAverage",2008
46,46,"Michael Allen",91,70.33,1477,21,"TenthTeeEarlyScoringAverage",2008
47,47,"Steve Flesch",95,70.38,1126,16,"TenthTeeEarlyScoringAverage",2008
48,48,"Justin Leonard",101,70.41,1197,17,"TenthTeeEarlyScoringAverage",2008
49,49,"Jimmy Walker",73,70.42,845,12,"TenthTeeEarlyScoringAverage",2008
50,50,"Jim McGovern",75,70.43,986,14,"TenthTeeEarlyScoringAverage",2008
51,51,"John Huston",56,70.44,634,9,"TenthTeeEarlyScoringAverage",2008
52,52,"Nick Watney",96,70.46,916,13,"TenthTeeEarlyScoringAverage",2008
53,53,"Ted Purdy",68,70.47,1057,15,"TenthTeeEarlyScoringAverage",2008
53,53,"DJ Trahan",94,70.47,1198,17,"TenthTeeEarlyScoringAverage",2008
55,55,"Heath Slocum",104,70.48,1621,23,"TenthTeeEarlyScoringAverage",2008
56,56,"Steve Elkington",84,70.5,987,14,"TenthTeeEarlyScoringAverage",2008
56,56,"Steve Stricker",75,70.5,987,14,"TenthTeeEarlyScoringAverage",2008
56,56,"Marc Turnesa",87,70.5,987,14,"TenthTeeEarlyScoringAverage",2008
59,59,"Stephen Ames",83,70.53,1058,15,"TenthTeeEarlyScoringAverage",2008
59,59,"Glen Day",64,70.53,1199,17,"TenthTeeEarlyScoringAverage",2008
61,61,"Hunter Mahan",87,70.55,776,11,"TenthTeeEarlyScoringAverage",2008
61,61,"Tom Pernice Jr",104,70.55,1552,22,"TenthTeeEarlyScoringAverage",2008
63,63,"Pat Perez",93,70.57,988,14,"TenthTeeEarlyScoringAverage",2008
64,64,"Bob Estes",90,70.59,1200,17,"TenthTeeEarlyScoringAverage",2008
64,64,"Billy Mayfair",103,70.59,1200,17,"TenthTeeEarlyScoringAverage",2008
66,66,"Cameron Beckman",87,70.6,1059,15,"TenthTeeEarlyScoringAverage",2008
66,66,"Ben Crane",86,70.6,1059,15,"TenthTeeEarlyScoringAverage",2008
68,68,"Charles Howell III",101,70.62,918,13,"TenthTeeEarlyScoringAverage",2008
69,69,"Bart Bryant",81,70.64,989,14,"TenthTeeEarlyScoringAverage",2008
69,69,"Kevin Streelman",114,70.64,989,14,"TenthTeeEarlyScoringAverage",2008
71,71,"Mathew Goggin",91,70.65,1201,17,"TenthTeeEarlyScoringAverage",2008
72,72,"Carlos Franco",73,70.67,848,12,"TenthTeeEarlyScoringAverage",2008
73,73,"Tim Clark",90,70.69,1131,16,"TenthTeeEarlyScoringAverage",2008
74,74,"Michael Letzig",88,70.7,707,10,"TenthTeeEarlyScoringAverage",2008
75,75,"Matt Kuchar",88,70.71,1485,21,"TenthTeeEarlyScoringAverage",2008
75,75,"Ian Poulter",51,70.71,495,7,"TenthTeeEarlyScoringAverage",2008
75,75,"Bo Van Pelt",101,70.71,990,14,"TenthTeeEarlyScoringAverage",2008
78,78,"Jeff Overton",103,70.72,1273,18,"TenthTeeEarlyScoringAverage",2008
79,79,"Brandt Snedeker",85,70.73,1061,15,"TenthTeeEarlyScoringAverage",2008
80,80,"Gavin Coles",54,70.75,849,12,"TenthTeeEarlyScoringAverage",2008
80,80,"John Rollins",94,70.75,1415,20,"TenthTeeEarlyScoringAverage",2008
80,80,"Scott Sterling",89,70.75,1132,16,"TenthTeeEarlyScoringAverage",2008
83,83,"Tommy Armour III",77,70.76,1203,17,"TenthTeeEarlyScoringAverage",2008
84,84,"KJ Choi",74,70.77,920,13,"TenthTeeEarlyScoringAverage",2008
85,85,"Joe Durant",92,70.8,1416,20,"TenthTeeEarlyScoringAverage",2008
86,86,"Omar Uresti",74,70.82,1204,17,"TenthTeeEarlyScoringAverage",2008
87,87,"Charley Hoffman",94,70.83,1275,18,"TenthTeeEarlyScoringAverage",2008
88,88,"Corey Pavin",69,70.85,921,13,"TenthTeeEarlyScoringAverage",2008
89,89,"Charlie Wi",97,70.86,992,14,"TenthTeeEarlyScoringAverage",2008
90,90,"Kevin Stadler",90,70.87,1630,23,"TenthTeeEarlyScoringAverage",2008
91,91,"Padraig Harrington",52,70.89,638,9,"TenthTeeEarlyScoringAverage",2008
92,92,"Fred Couples",60,70.9,709,10,"TenthTeeEarlyScoringAverage",2008
93,93,"Nick OHern",82,70.91,780,11,"TenthTeeEarlyScoringAverage",2008
93,93,"Brett Quigley",80,70.91,780,11,"TenthTeeEarlyScoringAverage",2008
95,95,"Brett Rumford",72,70.93,1064,15,"TenthTeeEarlyScoringAverage",2008
96,96,"Kevin Na",97,70.94,1135,16,"TenthTeeEarlyScoringAverage",2008
97,97,"JJ Henry",108,70.96,1632,23,"TenthTeeEarlyScoringAverage",2008
98,98,"Woody Austin",109,71,1207,17,"TenthTeeEarlyScoringAverage",2008
98,98,"Harrison Frazar",73,71,781,11,"TenthTeeEarlyScoringAverage",2008
98,98,"Robert Gamez",79,71,1065,15,"TenthTeeEarlyScoringAverage",2008
98,98,"Trevor Immelman",70,71,923,13,"TenthTeeEarlyScoringAverage",2008
98,98,"Richard Johnson",60,71,852,12,"TenthTeeEarlyScoringAverage",2008
98,98,"John Merrick",98,71,923,13,"TenthTeeEarlyScoringAverage",2008
104,104,"Dean Wilson",109,71.05,1421,20,"TenthTeeEarlyScoringAverage",2008
105,105,"Brad Elder",67,71.06,1137,16,"TenthTeeEarlyScoringAverage",2008
105,105,"Lucas Glover",91,71.06,1137,16,"TenthTeeEarlyScoringAverage",2008
107,107,"Ryuji Imada",80,71.13,1067,15,"TenthTeeEarlyScoringAverage",2008
107,107,"Ryan Moore",72,71.13,1138,16,"TenthTeeEarlyScoringAverage",2008
109,109,"Steve Marino",119,71.14,1494,21,"TenthTeeEarlyScoringAverage",2008
110,110,"Peter Lonard",92,71.16,1352,19,"TenthTeeEarlyScoringAverage",2008
111,111,"Frank Lickliter II",107,71.17,1637,23,"TenthTeeEarlyScoringAverage",2008
112,112,"Lee Janzen",89,71.18,1566,22,"TenthTeeEarlyScoringAverage",2008
113,113,"Patrick Sheehan",124,71.22,1638,23,"TenthTeeEarlyScoringAverage",2008
114,114,"Eric Axley",113,71.23,1852,26,"TenthTeeEarlyScoringAverage",2008
114,114,"Geoff Ogilvy",65,71.23,926,13,"TenthTeeEarlyScoringAverage",2008
116,116,"Davis Love III",78,71.25,855,12,"TenthTeeEarlyScoringAverage",2008
117,117,"Justin Bolli",87,71.26,1354,19,"TenthTeeEarlyScoringAverage",2008
118,118,"Nathan Green",95,71.28,1283,18,"TenthTeeEarlyScoringAverage",2008
119,119,"Scott McCarron",63,71.3,1426,20,"TenthTeeEarlyScoringAverage",2008
120,120,"Jeff Quinney",87,71.31,927,13,"TenthTeeEarlyScoringAverage",2008
121,121,"Angel Cabrera",55,71.33,428,6,"TenthTeeEarlyScoringAverage",2008
121,121,"Todd Demsey",80,71.33,1284,18,"TenthTeeEarlyScoringAverage",2008
123,123,"Jerry Kelly",89,71.38,928,13,"TenthTeeEarlyScoringAverage",2008
124,124,"Troy Matteson",94,71.39,1642,23,"TenthTeeEarlyScoringAverage",2008
125,125,"Zach Johnson",85,71.4,1071,15,"TenthTeeEarlyScoringAverage",2008
125,125,"Mike Weir",88,71.4,1428,20,"TenthTeeEarlyScoringAverage",2008
127,127,"Tommy Gainey",60,71.41,1214,17,"TenthTeeEarlyScoringAverage",2008
127,127,"Tag Ridings",88,71.41,1571,22,"TenthTeeEarlyScoringAverage",2008
129,129,"Chris Riley",51,71.44,643,9,"TenthTeeEarlyScoringAverage",2008
130,130,"Daniel Chopra",84,71.47,1072,15,"TenthTeeEarlyScoringAverage",2008
130,130,"Jeff Maggert",86,71.47,1215,17,"TenthTeeEarlyScoringAverage",2008
130,130,"Rocco Mediate",87,71.47,1215,17,"TenthTeeEarlyScoringAverage",2008
133,133,"JB Holmes",86,71.5,1573,22,"TenthTeeEarlyScoringAverage",2008
133,133,"Doug LaBelle II",65,71.5,1001,14,"TenthTeeEarlyScoringAverage",2008
135,135,"Rich Beem",90,71.54,930,13,"TenthTeeEarlyScoringAverage",2008
135,135,"Alex Cejka",75,71.54,1717,24,"TenthTeeEarlyScoringAverage",2008
137,137,"Nick Flanagan",89,71.56,1789,25,"TenthTeeEarlyScoringAverage",2008
137,137,"Robert Garrigus",90,71.56,1288,18,"TenthTeeEarlyScoringAverage",2008
137,137,"Rory Sabbatini",77,71.56,1288,18,"TenthTeeEarlyScoringAverage",2008
140,140,"Ken Duke",116,71.58,1360,19,"TenthTeeEarlyScoringAverage",2008
140,140,"Freddie Jacobson",78,71.58,859,12,"TenthTeeEarlyScoringAverage",2008
140,140,"Steve Lowery",74,71.58,859,12,"TenthTeeEarlyScoringAverage",2008
140,140,"John Riegger",73,71.58,859,12,"TenthTeeEarlyScoringAverage",2008
144,144,"Tim Wilkinson",95,71.6,1432,20,"TenthTeeEarlyScoringAverage",2008
145,145,"Craig Kanada",65,71.62,931,13,"TenthTeeEarlyScoringAverage",2008
145,145,"George McNeill",97,71.62,931,13,"TenthTeeEarlyScoringAverage",2008
147,147,"Martin Laird",98,71.63,1146,16,"TenthTeeEarlyScoringAverage",2008
147,147,"Tim Petrovic",97,71.63,1361,19,"TenthTeeEarlyScoringAverage",2008
149,149,"Shigeki Maruyama",50,71.64,788,11,"TenthTeeEarlyScoringAverage",2008
150,150,"Parker McLachlin",88,71.65,1648,23,"TenthTeeEarlyScoringAverage",2008
151,151,"Jeff Gove",50,71.7,717,10,"TenthTeeEarlyScoringAverage",2008
152,152,"Rod Pampling",83,71.74,1363,19,"TenthTeeEarlyScoringAverage",2008
153,153,"Tim Herron",97,71.79,1364,19,"TenthTeeEarlyScoringAverage",2008
154,154,"YE Yang",89,71.81,1508,21,"TenthTeeEarlyScoringAverage",2008
155,155,"Matt Jones",95,71.83,1724,24,"TenthTeeEarlyScoringAverage",2008
155,155,"David Lutterus",59,71.83,862,12,"TenthTeeEarlyScoringAverage",2008
157,157,"Sean OHair",81,71.85,934,13,"TenthTeeEarlyScoringAverage",2008
158,158,"Paul Goydos",78,71.86,1006,14,"TenthTeeEarlyScoringAverage",2008
158,158,"Chris Stroud",81,71.86,1006,14,"TenthTeeEarlyScoringAverage",2008
160,160,"Ernie Els",51,71.88,575,8,"TenthTeeEarlyScoringAverage",2008
160,160,"Charles Warren",79,71.88,1150,16,"TenthTeeEarlyScoringAverage",2008
162,162,"Jason Gore",94,71.89,2013,28,"TenthTeeEarlyScoringAverage",2008
162,162,"Tom Scherrer",56,71.89,1294,18,"TenthTeeEarlyScoringAverage",2008
164,164,"Nicholas Thompson",113,71.9,1510,21,"TenthTeeEarlyScoringAverage",2008
165,165,"Paul Claxton",63,71.92,863,12,"TenthTeeEarlyScoringAverage",2008
165,165,"Kenneth Ferrie",72,71.92,935,13,"TenthTeeEarlyScoringAverage",2008
167,167,"Cliff Kresge",84,71.93,1079,15,"TenthTeeEarlyScoringAverage",2008
167,167,"Johnson Wagner",83,71.93,1007,14,"TenthTeeEarlyScoringAverage",2008
169,169,"James Driscoll",85,71.94,1223,17,"TenthTeeEarlyScoringAverage",2008
170,170,"Ryan Armour",87,72,1872,26,"TenthTeeEarlyScoringAverage",2008
170,170,"Mark Calcavecchia",67,72,504,7,"TenthTeeEarlyScoringAverage",2008
170,170,"Kent Jones",68,72,1224,17,"TenthTeeEarlyScoringAverage",2008
173,173,"Will Ma Kenzie",62,72.12,1226,17,"TenthTeeEarlyScoringAverage",2008
174,174,"Mark Hensby",71,72.14,1010,14,"TenthTeeEarlyScoringAverage",2008
175,175,"Jason Allred",63,72.17,866,12,"TenthTeeEarlyScoringAverage",2008
176,176,"Mathias Gronberg",87,72.19,1155,16,"TenthTeeEarlyScoringAverage",2008
177,177,"Stephen Leaney",53,72.21,1011,14,"TenthTeeEarlyScoringAverage",2008
179,179,"Jin Park",85,72.25,1445,20,"TenthTeeEarlyScoringAverage",2008
180,180,"Cody Freeman",66,72.29,1229,17,"TenthTeeEarlyScoringAverage",2008
181,181,"Brandt Jobe",52,72.33,651,9,"TenthTeeEarlyScoringAverage",2008
181,181,"Chez Reavie",102,72.33,1302,18,"TenthTeeEarlyScoringAverage",2008
183,183,"Bob Sowards",61,72.42,869,12,"TenthTeeEarlyScoringAverage",2008
184,184,"JP Hayes",67,72.46,942,13,"TenthTeeEarlyScoringAverage",2008
185,185,"Paul Casey",55,72.55,798,11,"TenthTeeEarlyScoringAverage",2008
185,185,"Jon Mills",95,72.55,1451,20,"TenthTeeEarlyScoringAverage",2008
187,187,"Olin Browne",77,72.59,1234,17,"TenthTeeEarlyScoringAverage",2008
188,188,"Travis Perkins",53,72.75,873,12,"TenthTeeEarlyScoringAverage",2008
189,189,"Tom Lehman",51,72.77,946,13,"TenthTeeEarlyScoringAverage",2008
190,190,"Greg Kraft",63,72.88,583,8,"TenthTeeEarlyScoringAverage",2008
190,190,"Kyle Thompson",70,72.88,1239,17,"TenthTeeEarlyScoringAverage",2008
192,192,"Chad Collins",72,73,803,11,"TenthTeeEarlyScoringAverage",2008
193,193,"Billy Andrade",71,73.09,1681,23,"TenthTeeEarlyScoringAverage",2008
194,194,"Dustin Johnson",92,73.23,952,13,"TenthTeeEarlyScoringAverage",2008
195,195,"Chris DiMarco",87,73.25,1172,16,"TenthTeeEarlyScoringAverage",2008
196,196,"David Duval",51,74,962,13,"TenthTeeEarlyScoringAverage",2008
197,197,"Andres Romero",69,74.5,447,6,"TenthTeeEarlyScoringAverage",2008
