"PuttsperRoundRound1_RANKTHISWEEK_2009","PuttsperRoundRound1_RANKLASTWEEK_2009","PuttsperRoundRound1_PLAYERNAME_2009","PuttsperRoundRound1__2009","PuttsperRoundRound1_AVG_2009","PuttsperRoundRound1_TOTALPUTTS_2009","PuttsperRoundRound1_TOTALROUNDS_2009","stat_name","year"
133,133,"Sean OHair",NA,29.55,650,22,"PuttsperRoundRound1",2009
134,134,"Vijay Singh",NA,29.6,592,20,"PuttsperRoundRound1",2009
135,135,"Bryce Molder",NA,29.63,563,19,"PuttsperRoundRound1",2009
136,136,"Aron Price",NA,29.64,741,25,"PuttsperRoundRound1",2009
137,137,"Ryan Palmer",NA,29.65,771,26,"PuttsperRoundRound1",2009
138,138,"Stuart Appleby",NA,29.67,712,24,"PuttsperRoundRound1",2009
138,138,"Rocco Mediate",NA,29.67,623,21,"PuttsperRoundRound1",2009
140,140,"Jeff Maggert",NA,29.68,831,28,"PuttsperRoundRound1",2009
141,141,"Alex Cejka",NA,29.7,683,23,"PuttsperRoundRound1",2009
142,142,"Brendon de Jonge",NA,29.71,832,28,"PuttsperRoundRound1",2009
142,142,"Scott Sterling",NA,29.71,416,14,"PuttsperRoundRound1",2009
144,144,"John Senden",NA,29.72,862,29,"PuttsperRoundRound1",2009
144,144,"Kevin Stadler",NA,29.72,535,18,"PuttsperRoundRound1",2009
144,144,"Charles Warren",NA,29.72,535,18,"PuttsperRoundRound1",2009
147,147,"Fred Couples",NA,29.75,476,16,"PuttsperRoundRound1",2009
147,147,"Kirk Triplett",NA,29.75,595,20,"PuttsperRoundRound1",2009
149,149,"Charley Hoffman",NA,29.78,804,27,"PuttsperRoundRound1",2009
149,149,"Darron Stiles",NA,29.78,536,18,"PuttsperRoundRound1",2009
151,151,"Rick Price",NA,29.79,566,19,"PuttsperRoundRound1",2009
152,152,"DJ Trahan",NA,29.8,894,30,"PuttsperRoundRound1",2009
153,153,"Ricky Barnes",NA,29.81,626,21,"PuttsperRoundRound1",2009
153,153,"Brett Quigley",NA,29.81,775,26,"PuttsperRoundRound1",2009
155,155,"Rich Beem",NA,29.83,716,24,"PuttsperRoundRound1",2009
155,155,"Carl Pettersson",NA,29.83,865,29,"PuttsperRoundRound1",2009
157,157,"Jason Gore",NA,29.86,657,22,"PuttsperRoundRound1",2009
158,158,"Casey Wittenberg",NA,29.87,687,23,"PuttsperRoundRound1",2009
159,159,"KJ Choi",NA,29.95,629,21,"PuttsperRoundRound1",2009
159,159,"Greg Kraft",NA,29.95,599,20,"PuttsperRoundRound1",2009
161,161,"Jason Bohn",NA,29.96,749,25,"PuttsperRoundRound1",2009
161,161,"Chad Campbell",NA,29.96,749,25,"PuttsperRoundRound1",2009
163,163,"Derek Fathauer",NA,30.04,691,23,"PuttsperRoundRound1",2009
163,163,"Bill Haas",NA,30.04,841,28,"PuttsperRoundRound1",2009
163,163,"Davis Love III",NA,30.04,781,26,"PuttsperRoundRound1",2009
166,166,"Tommy Armour III",NA,30.11,542,18,"PuttsperRoundRound1",2009
