"LateScoringAverage_RANKTHISWEEK_2013","LateScoringAverage_RANKLASTWEEK_2013","LateScoringAverage_PLAYERNAME_2013","LateScoringAverage_ROUNDS_2013","LateScoringAverage_AVG_2013","LateScoringAverage_TOTALSTROKES_2013","LateScoringAverage_TOTALLATEROUNDS_2013","stat_name","year"
36,36,"Roberto Castro",97,70.6,3671,52,"LateScoringAverage",2013
37,37,"Boo Weekley",100,70.62,3178,45,"LateScoringAverage",2013
38,38,"Dustin Johnson",71,70.65,2614,37,"LateScoringAverage",2013
38,38,"Patrick Reed",83,70.65,3038,43,"LateScoringAverage",2013
40,40,"Jim Furyk",80,70.66,3109,44,"LateScoringAverage",2013
40,40,"Jimmy Walker",84,70.66,3109,44,"LateScoringAverage",2013
42,42,"Bob Estes",66,70.68,1979,28,"LateScoringAverage",2013
42,42,"Kevin Stadler",83,70.68,2403,34,"LateScoringAverage",2013
44,44,"Fabian Gomez",65,70.69,2262,32,"LateScoringAverage",2013
45,45,"William McGirt",75,70.71,2192,31,"LateScoringAverage",2013
45,45,"Ryan Palmer",79,70.71,2687,38,"LateScoringAverage",2013
47,47,"Stephen Ames",49,70.72,1768,25,"LateScoringAverage",2013
48,48,"Nicholas Thompson",99,70.74,3254,46,"LateScoringAverage",2013
49,49,"Morgan Hoffmann",64,70.76,2406,34,"LateScoringAverage",2013
50,50,"Shawn Stefani",63,70.77,2194,31,"LateScoringAverage",2013
51,51,"Josh Teater",86,70.78,2619,37,"LateScoringAverage",2013
52,52,"Brian Davis",91,70.79,3044,43,"LateScoringAverage",2013
52,52,"Jeff Maggert",63,70.79,2053,29,"LateScoringAverage",2013
54,54,"Jason Bohn",70,70.82,2337,33,"LateScoringAverage",2013
55,55,"Stewart Cink",71,70.84,2196,31,"LateScoringAverage",2013
55,55,"Hunter Mahan",91,70.84,3471,49,"LateScoringAverage",2013
57,57,"Scott Langley",79,70.86,2551,36,"LateScoringAverage",2013
58,58,"Jason Dufner",78,70.87,2693,38,"LateScoringAverage",2013
59,59,"Chad Campbell",78,70.88,2410,34,"LateScoringAverage",2013
59,59,"Chez Reavie",72,70.88,2268,32,"LateScoringAverage",2013
61,61,"Brad Fritsch",81,70.89,2481,35,"LateScoringAverage",2013
62,62,"Tim Clark",64,70.9,2198,31,"LateScoringAverage",2013
62,62,"Webb Simpson",92,70.9,3403,48,"LateScoringAverage",2013
64,64,"Greg Owen",73,70.91,2340,33,"LateScoringAverage",2013
64,64,"Ted Potter Jr",65,70.91,2340,33,"LateScoringAverage",2013
66,66,"Scott Stallings",79,70.92,2553,36,"LateScoringAverage",2013
67,67,"Cameron Percy",68,70.93,1986,28,"LateScoringAverage",2013
68,68,"Jason Day",86,70.95,2980,42,"LateScoringAverage",2013
68,68,"Bubba Watson",76,70.95,3051,43,"LateScoringAverage",2013
70,70,"Ernie Els",63,70.96,1845,26,"LateScoringAverage",2013
71,71,"Brian Gay",79,70.97,2058,29,"LateScoringAverage",2013
72,72,"Billy Horschel",96,70.98,3691,52,"LateScoringAverage",2013
72,72,"Charl Schwartzel",69,70.98,2910,41,"LateScoringAverage",2013
74,74,"James Hahn",78,71,2840,40,"LateScoringAverage",2013
74,74,"Russell Henley",80,71,2627,37,"LateScoringAverage",2013
74,74,"Rory McIlroy",56,71,2343,33,"LateScoringAverage",2013
77,77,"Freddie Jacobson",63,71.03,2060,29,"LateScoringAverage",2013
77,77,"Pat Perez",69,71.03,2557,36,"LateScoringAverage",2013
79,79,"DJ Trahan",48,71.04,1705,24,"LateScoringAverage",2013
80,80,"John Huh",88,71.05,3055,43,"LateScoringAverage",2013
80,80,"David Toms",49,71.05,1563,22,"LateScoringAverage",2013
80,80,"Gary Woodland",94,71.05,2913,41,"LateScoringAverage",2013
83,83,"Cameron Tringale",80,71.06,2416,34,"LateScoringAverage",2013
84,84,"Doug LaBelle II",72,71.07,2132,30,"LateScoringAverage",2013
84,84,"Daniel Summerhays",83,71.07,3127,44,"LateScoringAverage",2013
86,86,"James Driscoll",76,71.08,2701,38,"LateScoringAverage",2013
87,87,"Matt Every",89,71.09,3341,47,"LateScoringAverage",2013
87,87,"Peter Hanson",45,71.09,1564,22,"LateScoringAverage",2013
87,87,"Charley Hoffman",84,71.09,3341,47,"LateScoringAverage",2013
87,87,"Lee Westwood",70,71.09,2488,35,"LateScoringAverage",2013
91,91,"George McNeill",68,71.1,2204,31,"LateScoringAverage",2013
92,92,"Luke Donald",60,71.13,2134,30,"LateScoringAverage",2013
93,93,"Jerry Kelly",75,71.14,2632,37,"LateScoringAverage",2013
94,94,"Tag Ridings",69,71.18,2420,34,"LateScoringAverage",2013
94,94,"Brendan Steele",86,71.18,2420,34,"LateScoringAverage",2013
96,96,"Dicky Pride",71,71.19,2278,32,"LateScoringAverage",2013
97,97,"Marc Leishman",77,71.2,3133,44,"LateScoringAverage",2013
98,98,"DA Points",87,71.21,2991,42,"LateScoringAverage",2013
99,99,"Vaughn Taylor",50,71.22,1638,23,"LateScoringAverage",2013
100,100,"John Merrick",79,71.23,2778,39,"LateScoringAverage",2013
101,101,"Jonas Blixt",76,71.24,2422,34,"LateScoringAverage",2013
101,101,"Robert Garrigus",69,71.24,2066,29,"LateScoringAverage",2013
101,101,"Jason Kokrak",78,71.24,3277,46,"LateScoringAverage",2013
101,101,"Camilo Villegas",79,71.24,2351,33,"LateScoringAverage",2013
105,105,"Justin Bolli",59,71.3,1925,27,"LateScoringAverage",2013
105,105,"Ryan Moore",72,71.3,2638,37,"LateScoringAverage",2013
107,107,"Aaron Watkins",46,71.32,1355,19,"LateScoringAverage",2013
108,108,"Jim Herman",59,71.33,2140,30,"LateScoringAverage",2013
109,109,"JJ Henry",83,71.36,2783,39,"LateScoringAverage",2013
109,109,"Steve LeBrun",66,71.36,1998,28,"LateScoringAverage",2013
111,111,"Scott Brown",65,71.38,2284,32,"LateScoringAverage",2013
111,111,"Lucas Glover",65,71.38,2427,34,"LateScoringAverage",2013
111,111,"David Lynn",70,71.38,2427,34,"LateScoringAverage",2013
111,111,"Andres Romero",63,71.38,2070,29,"LateScoringAverage",2013
115,115,"Justin Leonard",86,71.39,2570,36,"LateScoringAverage",2013
116,116,"Brian Harman",89,71.43,2857,40,"LateScoringAverage",2013
117,117,"Sangmoon Bae",83,71.44,2572,36,"LateScoringAverage",2013
118,118,"Ricky Barnes",74,71.46,2001,28,"LateScoringAverage",2013
119,119,"Kevin Chappell",80,71.47,2573,36,"LateScoringAverage",2013
120,120,"Trevor Immelman",73,71.49,2502,35,"LateScoringAverage",2013
121,121,"Erik Compton",74,71.5,2717,38,"LateScoringAverage",2013
121,121,"Rickie Fowler",75,71.5,2574,36,"LateScoringAverage",2013
123,123,"David Lingmerth",68,71.52,2217,31,"LateScoringAverage",2013
123,123,"Ian Poulter",59,71.52,2217,31,"LateScoringAverage",2013
123,123,"Alistair Presnell",59,71.52,2074,29,"LateScoringAverage",2013
126,126,"Troy Matteson",68,71.54,2504,35,"LateScoringAverage",2013
127,127,"Carl Pettersson",82,71.55,2075,29,"LateScoringAverage",2013
128,128,"Seung Yul Noh",71,71.58,2219,31,"LateScoringAverage",2013
128,128,"Scott Piercy",78,71.58,2720,38,"LateScoringAverage",2013
130,130,"Luke Guthrie",82,71.59,3293,46,"LateScoringAverage",2013
131,131,"Robert Streb",75,71.6,2506,35,"LateScoringAverage",2013
132,132,"Henrik Norlander",70,71.63,2149,30,"LateScoringAverage",2013
133,133,"Martin Kaymer",61,71.65,1863,26,"LateScoringAverage",2013
134,134,"Casey Wittenberg",72,71.68,2724,38,"LateScoringAverage",2013
135,135,"Andrew Svoboda",46,71.72,1291,18,"LateScoringAverage",2013
136,136,"Charlie Wi",75,71.74,2224,31,"LateScoringAverage",2013
137,137,"Darron Stiles",51,71.75,1722,24,"LateScoringAverage",2013
138,138,"Justin Hicks",79,71.77,2512,35,"LateScoringAverage",2013
138,138,"Graeme McDowell",53,71.77,1866,26,"LateScoringAverage",2013
140,140,"Michael Thompson",66,71.78,2297,32,"LateScoringAverage",2013
141,141,"Ben Kohles",75,71.79,2441,34,"LateScoringAverage",2013
142,142,"Michael Bradley",56,71.8,1795,25,"LateScoringAverage",2013
142,142,"Nick Watney",88,71.8,3159,44,"LateScoringAverage",2013
144,144,"Bo Van Pelt",72,71.81,1939,27,"LateScoringAverage",2013
145,145,"Ken Duke",87,71.85,2802,39,"LateScoringAverage",2013
146,146,"Kyle Stanley",71,71.86,2659,37,"LateScoringAverage",2013
147,147,"David Mathis",71,71.87,2228,31,"LateScoringAverage",2013
147,147,"John Senden",79,71.87,2731,38,"LateScoringAverage",2013
149,149,"Scott Gardiner",61,71.9,2229,31,"LateScoringAverage",2013
150,150,"Aaron Baddeley",68,71.91,2373,33,"LateScoringAverage",2013
150,150,"Brandt Jobe",62,71.91,1582,22,"LateScoringAverage",2013
150,150,"Jin Park",52,71.91,1654,23,"LateScoringAverage",2013
153,153,"YE Yang",56,71.92,1870,26,"LateScoringAverage",2013
154,154,"Charlie Beljan",62,71.93,2158,30,"LateScoringAverage",2013
154,154,"Colt Knost",69,71.93,1942,27,"LateScoringAverage",2013
156,156,"Angel Cabrera",73,71.95,2662,37,"LateScoringAverage",2013
157,157,"Bobby Gates",49,71.96,1727,24,"LateScoringAverage",2013
157,157,"Vijay Singh",61,71.96,1943,27,"LateScoringAverage",2013
159,159,"Martin Laird",68,71.97,2303,32,"LateScoringAverage",2013
160,160,"Lee Williams",62,72.04,1729,24,"LateScoringAverage",2013
161,161,"Tim Herron",45,72.05,1513,21,"LateScoringAverage",2013
162,162,"Bud Cauley",67,72.07,2162,30,"LateScoringAverage",2013
163,163,"Johnson Wagner",64,72.09,2307,32,"LateScoringAverage",2013
164,164,"Derek Ernst",58,72.14,2020,28,"LateScoringAverage",2013
164,164,"Padraig Harrington",52,72.14,1587,22,"LateScoringAverage",2013
166,166,"DH Lee",65,72.16,2309,32,"LateScoringAverage",2013
167,167,"Robert Karlsson",56,72.17,1660,23,"LateScoringAverage",2013
168,168,"Will Claxton",67,72.19,1949,27,"LateScoringAverage",2013
168,168,"Rod Pampling",46,72.19,1155,16,"LateScoringAverage",2013
170,170,"Tom Gillis",69,72.21,2022,28,"LateScoringAverage",2013
171,171,"Nicolas Colsaerts",50,72.25,1734,24,"LateScoringAverage",2013
172,172,"Sean OHair",56,72.36,2026,28,"LateScoringAverage",2013
173,173,"Tommy Gainey",84,72.37,2967,41,"LateScoringAverage",2013
174,174,"Robert Allenby",58,72.38,1737,24,"LateScoringAverage",2013
175,175,"Ben Curtis",59,72.41,1955,27,"LateScoringAverage",2013
176,176,"Mike Weir",60,72.48,1957,27,"LateScoringAverage",2013
177,177,"Eric Meierdierks",48,72.52,1813,25,"LateScoringAverage",2013
178,178,"Ryo Ishikawa",72,72.55,2394,33,"LateScoringAverage",2013
179,179,"Luke List",65,72.84,1821,25,"LateScoringAverage",2013
180,180,"Geoff Ogilvy",57,73.09,1681,23,"LateScoringAverage",2013
