"TotalDriving_RANKTHISWEEK_2012","TotalDriving_RANKLASTWEEK_2012","TotalDriving_PLAYERNAME_2012","TotalDriving_EVENTS_2012","TotalDriving_TOTAL_2012","TotalDriving_DISTANCERANK_2012","TotalDriving_ACCURACYRANK_2012","stat_name","year"
119,119,"Troy Kelly",23,206,23,183,"TotalDriving",2012
121,121,"Luke Donald",17,207,170,37,"TotalDriving",2012
121,121,"Edward Loar",23,207,44,163,"TotalDriving",2012
123,123,"Ricky Barnes",28,208,68,140,"TotalDriving",2012
123,123,"Troy Matteson",32,208,26,182,"TotalDriving",2012
125,125,"Scott Dunlap",20,211,166,45,"TotalDriving",2012
126,126,"Kevin Chappell",29,212,58,154,"TotalDriving",2012
127,127,"Bill Lunde",25,215,84,131,"TotalDriving",2012
128,128,"KJ Choi",21,216,162,54,"TotalDriving",2012
128,128,"Kyle Thompson",22,216,151,65,"TotalDriving",2012
130,130,"Jason Bohn",28,217,174,43,"TotalDriving",2012
130,130,"Robert Karlsson",17,217,50,167,"TotalDriving",2012
130,130,"Kevin Kisner",24,217,116,101,"TotalDriving",2012
133,133,"Tim Herron",27,218,99,119,"TotalDriving",2012
134,134,"Brandt Snedeker",22,219,110,109,"TotalDriving",2012
134,134,"Jimmy Walker",28,219,38,181,"TotalDriving",2012
136,136,"Matt Jones",19,221,55,166,"TotalDriving",2012
136,136,"Charlie Wi",25,221,134,87,"TotalDriving",2012
138,138,"Charles Howell III",29,222,51,171,"TotalDriving",2012
138,138,"Danny Lee",26,222,72,150,"TotalDriving",2012
138,138,"Rory Sabbatini",29,222,119,103,"TotalDriving",2012
138,138,"Johnson Wagner",27,222,152,70,"TotalDriving",2012
142,142,"Dicky Pride",19,224,130,94,"TotalDriving",2012
143,143,"Martin Flores",30,226,49,177,"TotalDriving",2012
144,144,"Phil Mickelson",22,227,53,174,"TotalDriving",2012
145,145,"Cameron Beckman",26,228,142,86,"TotalDriving",2012
146,146,"Mark Anderson",25,229,43,186,"TotalDriving",2012
146,146,"Mathew Goggin",23,229,82,147,"TotalDriving",2012
148,148,"Gavin Coles",23,231,190,41,"TotalDriving",2012
149,149,"Daniel Chopra",21,235,44,191,"TotalDriving",2012
149,149,"Vaughn Taylor",26,235,129,106,"TotalDriving",2012
151,151,"Sangmoon Bae",25,237,95,142,"TotalDriving",2012
151,151,"Andres Romero",22,237,68,169,"TotalDriving",2012
153,153,"Stephen Ames",20,238,155,83,"TotalDriving",2012
153,153,"David Mathis",29,238,176,62,"TotalDriving",2012
155,155,"Matt Every",25,240,136,104,"TotalDriving",2012
156,156,"Jonathan Byrd",21,241,96,145,"TotalDriving",2012
156,156,"Miguel Angel Carballo",25,241,96,145,"TotalDriving",2012
158,158,"Aaron Baddeley",22,243,68,175,"TotalDriving",2012
158,158,"Greg Chalmers",25,243,163,80,"TotalDriving",2012
158,158,"Rocco Mediate",23,243,169,74,"TotalDriving",2012
161,161,"Arjun Atwal",27,244,144,100,"TotalDriving",2012
162,162,"William McGirt",30,245,138,107,"TotalDriving",2012
163,163,"Bob Estes",23,247,142,105,"TotalDriving",2012
164,164,"YE Yang",20,248,146,102,"TotalDriving",2012
165,165,"Robert Allenby",27,251,124,127,"TotalDriving",2012
165,165,"Nick OHern",26,251,191,60,"TotalDriving",2012
167,167,"Brian Gay",28,254,177,77,"TotalDriving",2012
167,167,"JJ Killeen",33,254,94,160,"TotalDriving",2012
169,169,"Jonas Blixt",21,260,127,133,"TotalDriving",2012
170,170,"Freddie Jacobson",17,262,119,143,"TotalDriving",2012
171,171,"Stephen Gangluff",23,265,75,190,"TotalDriving",2012
172,172,"James Driscoll",27,267,78,189,"TotalDriving",2012
172,172,"Marc Leishman",23,267,99,168,"TotalDriving",2012
174,174,"Bryce Molder",25,269,178,91,"TotalDriving",2012
175,175,"Ryo Ishikawa",18,271,92,179,"TotalDriving",2012
176,176,"Sung Kang",30,282,133,149,"TotalDriving",2012
177,177,"Stewart Cink",22,283,105,178,"TotalDriving",2012
177,177,"Justin Leonard",26,283,172,111,"TotalDriving",2012
179,179,"Tom Pernice Jr",23,284,187,97,"TotalDriving",2012
179,179,"Michael Thompson",25,284,158,126,"TotalDriving",2012
181,181,"Nathan Green",22,286,154,132,"TotalDriving",2012
182,182,"Derek Lamely",25,289,102,187,"TotalDriving",2012
182,182,"Patrick Sheehan",21,289,173,116,"TotalDriving",2012
184,184,"Tommy Biershenk",27,290,138,152,"TotalDriving",2012
185,185,"Marco Dawson",22,292,130,162,"TotalDriving",2012
186,186,"Billy Hurley III",27,293,185,108,"TotalDriving",2012
186,186,"Brendon Todd",29,293,157,136,"TotalDriving",2012
188,188,"Matt Bettencourt",31,299,114,185,"TotalDriving",2012
189,189,"Spencer Levin",26,306,155,151,"TotalDriving",2012
190,190,"Michael Bradley",23,336,148,188,"TotalDriving",2012
191,191,"Ryuji Imada",28,340,181,159,"TotalDriving",2012
