"Approachesfrominside100yards_RANKTHISWEEK_2007","Approachesfrominside100yards_RANKLASTWEEK_2007","Approachesfrominside100yards_PLAYERNAME_2007","Approachesfrominside100yards_ROUNDS_2007","Approachesfrominside100yards_AVG_2007","Approachesfrominside100yards_TOTALDISTANCEFEET_2007","Approachesfrominside100yards_OFATTEMPTS_2007","Approachesfrominside100yards_RELATIVETOPAR_2007","stat_name","year"
90,90,"Arron Oberholser",69,NA,1343.25,79,-0.1,"Approachesfrominside100yards",2007
90,90,"Brett Quigley",79,NA,1344.25,79,-0.08,"Approachesfrominside100yards",2007
94,94,"Ryuji Imada",104,NA,2002.667,117,-0.15,"Approachesfrominside100yards",2007
94,94,"Tom Johnson",74,NA,1181.25,69,-0.01,"Approachesfrominside100yards",2007
94,94,"Hunter Mahan",91,NA,1363.75,80,-0.08,"Approachesfrominside100yards",2007
97,97,"Ben Curtis",80,NA,1289,75,-0.12,"Approachesfrominside100yards",2007
97,97,"Robert Gamez",88,NA,1892.583,110,-0.15,"Approachesfrominside100yards",2007
99,99,"Richard Johnson",93,NA,1815,105,-0.13,"Approachesfrominside100yards",2007
99,99,"Stephen Leaney",82,NA,1498.083,87,-0.07,"Approachesfrominside100yards",2007
99,99,"Brett Wetterich",88,NA,1451.25,84,-0.1,"Approachesfrominside100yards",2007
102,102,"Will Ma Kenzie",100,NA,1850.667,107,-0.21,"Approachesfrominside100yards",2007
102,102,"John Senden",97,NA,1781.167,103,-0.06,"Approachesfrominside100yards",2007
104,104,"Jonathan Byrd",73,NA,1237.417,71,-0.03,"Approachesfrominside100yards",2007
104,104,"Peter Lonard",85,NA,1651,95,0.07,"Approachesfrominside100yards",2007
104,104,"Paul Stankowski",52,NA,904.75,52,-0.04,"Approachesfrominside100yards",2007
104,104,"Johnson Wagner",97,NA,1568.333,90,-0.1,"Approachesfrominside100yards",2007
104,104,"Steve Wheatcroft",73,NA,1533.333,88,-0.16,"Approachesfrominside100yards",2007
109,109,"JJ Henry",86,NA,1538.25,88,-0.05,"Approachesfrominside100yards",2007
109,109,"Frank Lickliter II",95,NA,2270.917,130,-0.08,"Approachesfrominside100yards",2007
111,111,"Michael Allen",74,NA,1725.75,98,-0.04,"Approachesfrominside100yards",2007
112,112,"Ryan Armour",107,NA,2565.333,145,-0.19,"Approachesfrominside100yards",2007
112,112,"Rich Barcelo",80,NA,1677.5,95,-0.15,"Approachesfrominside100yards",2007
112,112,"Paul Gow",70,NA,1486.083,84,0.05,"Approachesfrominside100yards",2007
112,112,"Doug LaBelle II",104,NA,1735,98,-0.08,"Approachesfrominside100yards",2007
112,112,"Dicky Pride",71,NA,1305.25,74,-0.11,"Approachesfrominside100yards",2007
112,112,"Michael Putnam",96,NA,1200,68,0.03,"Approachesfrominside100yards",2007
118,118,"Ken Duke",112,NA,2346.167,132,-0.08,"Approachesfrominside100yards",2007
118,118,"Harrison Frazar",88,NA,1381.25,78,0.01,"Approachesfrominside100yards",2007
118,118,"Daisuke Maruyama",86,NA,1702,96,-0.14,"Approachesfrominside100yards",2007
118,118,"Ted Purdy",102,NA,1989.5,112,-0.17,"Approachesfrominside100yards",2007
118,118,"Chris Tidland",59,NA,1151.25,65,-0.09,"Approachesfrominside100yards",2007
123,123,"Rich Beem",89,NA,1374.5,77,0.03,"Approachesfrominside100yards",2007
123,123,"Kevin Stadler",95,NA,2266.333,127,-0.02,"Approachesfrominside100yards",2007
125,125,"Mathias Gronberg",95,NA,1699.417,95,-0.11,"Approachesfrominside100yards",2007
125,125,"Shaun Micheel",91,NA,1974.25,110,-0.04,"Approachesfrominside100yards",2007
125,125,"DJ Trahan",99,NA,1986.5,111,-0.07,"Approachesfrominside100yards",2007
128,128,"Tom Byrum",50,NA,1116,62,-0.11,"Approachesfrominside100yards",2007
