"Par5GoingfortheGreen_RANKTHISWEEK_2014","Par5GoingfortheGreen_RANKLASTWEEK_2014","Par5GoingfortheGreen_PLAYERNAME_2014","Par5GoingfortheGreen_ROUNDS_2014","Par5GoingfortheGreen_Pct_2014","Par5GoingfortheGreen_ATTEMPTS_2014","Par5GoingfortheGreen_NONATTEMPTS_2014","stat_name","year"
34,34,"Phil Mickelson",71,57.76,93,68,"Par5GoingfortheGreen",2014
35,35,"Angel Cabrera",69,57.71,101,74,"Par5GoingfortheGreen",2014
36,36,"Hudson Swafford",75,57.32,94,70,"Par5GoingfortheGreen",2014
37,37,"Shawn Stefani",60,57.14,96,72,"Par5GoingfortheGreen",2014
38,38,"Kevin Stadler",90,56.63,111,85,"Par5GoingfortheGreen",2014
39,39,"Andres Romero",81,56.4,119,92,"Par5GoingfortheGreen",2014
40,40,"Charley Hoffman",93,55.79,135,107,"Par5GoingfortheGreen",2014
41,41,"Hideki Matsuyama",82,55.73,107,85,"Par5GoingfortheGreen",2014
42,42,"JB Holmes",86,55.6,139,111,"Par5GoingfortheGreen",2014
43,43,"Rory Sabbatini",82,54.9,112,92,"Par5GoingfortheGreen",2014
44,44,"Aaron Baddeley",74,54.7,99,82,"Par5GoingfortheGreen",2014
45,45,"Boo Weekley",73,54.66,88,73,"Par5GoingfortheGreen",2014
46,46,"Jason Dufner",57,54.62,71,59,"Par5GoingfortheGreen",2014
47,47,"Louis Oosthuizen",50,54.55,48,40,"Par5GoingfortheGreen",2014
48,48,"Graham DeLaet",80,54.21,103,87,"Par5GoingfortheGreen",2014
49,49,"Bud Cauley",56,54.2,71,60,"Par5GoingfortheGreen",2014
50,50,"Jim Herman",62,54.17,78,66,"Par5GoingfortheGreen",2014
51,51,"Ernie Els",85,54.04,107,91,"Par5GoingfortheGreen",2014
52,52,"Carl Pettersson",91,53.91,131,112,"Par5GoingfortheGreen",2014
53,53,"Charles Howell III",106,53.85,154,132,"Par5GoingfortheGreen",2014
54,54,"Andrew Loupe",65,53.79,78,67,"Par5GoingfortheGreen",2014
55,55,"Tommy Gainey",73,53.76,93,80,"Par5GoingfortheGreen",2014
56,56,"Billy Horschel",92,53.64,118,102,"Par5GoingfortheGreen",2014
57,57,"Nick Watney",80,53.61,89,77,"Par5GoingfortheGreen",2014
58,58,"Charlie Beljan",76,53.5,107,93,"Par5GoingfortheGreen",2014
59,59,"Danny Lee",84,53.27,106,93,"Par5GoingfortheGreen",2014
60,60,"Morgan Hoffmann",103,53.21,141,124,"Par5GoingfortheGreen",2014
61,61,"Jeff Overton",80,53.13,102,90,"Par5GoingfortheGreen",2014
62,62,"Wes Roach",67,53.1,77,68,"Par5GoingfortheGreen",2014
63,63,"Paul Casey",56,53.08,69,61,"Par5GoingfortheGreen",2014
64,64,"Ryo Ishikawa",75,53.06,104,92,"Par5GoingfortheGreen",2014
64,64,"Scott Stallings",77,53.06,104,92,"Par5GoingfortheGreen",2014
66,66,"Justin Rose",70,52.98,89,79,"Par5GoingfortheGreen",2014
67,67,"James Hahn",82,52.88,110,98,"Par5GoingfortheGreen",2014
68,68,"Sergio Garcia",61,52.68,59,53,"Par5GoingfortheGreen",2014
69,69,"John Senden",99,52.56,123,111,"Par5GoingfortheGreen",2014
70,70,"Troy Matteson",62,52.52,73,66,"Par5GoingfortheGreen",2014
71,71,"Josh Teater",90,52.23,117,107,"Par5GoingfortheGreen",2014
72,72,"Robert Streb",75,52.15,97,89,"Par5GoingfortheGreen",2014
73,73,"Kevin Na",94,52.08,125,115,"Par5GoingfortheGreen",2014
74,74,"Chris Kirk",105,51.95,133,123,"Par5GoingfortheGreen",2014
75,75,"Kevin Tway",64,51.82,71,66,"Par5GoingfortheGreen",2014
76,76,"Ken Duke",80,51.58,98,92,"Par5GoingfortheGreen",2014
77,77,"Patrick Reed",92,50.93,110,106,"Par5GoingfortheGreen",2014
78,78,"Russell Henley",92,50.89,114,110,"Par5GoingfortheGreen",2014
79,79,"Martin Flores",85,50.7,108,105,"Par5GoingfortheGreen",2014
80,80,"Brendon de Jonge",109,50.55,138,135,"Par5GoingfortheGreen",2014
81,81,"Gonzalo Fdez Castano",83,50.5,101,99,"Par5GoingfortheGreen",2014
82,82,"Trevor Immelman",84,50.25,99,98,"Par5GoingfortheGreen",2014
83,83,"Brendan Steele",89,50.22,113,112,"Par5GoingfortheGreen",2014
84,84,"Hunter Mahan",88,50,111,111,"Par5GoingfortheGreen",2014
85,85,"Scott Brown",100,49.8,127,128,"Par5GoingfortheGreen",2014
86,86,"Matt Every",85,49.73,93,94,"Par5GoingfortheGreen",2014
87,87,"Daniel Summerhays",98,49.64,137,139,"Par5GoingfortheGreen",2014
88,88,"Seung Yul Noh",92,49.56,112,114,"Par5GoingfortheGreen",2014
89,89,"George McNeill",79,49.51,102,104,"Par5GoingfortheGreen",2014
90,90,"Kevin Streelman",79,48.94,92,96,"Par5GoingfortheGreen",2014
91,91,"William McGirt",96,48.74,116,122,"Par5GoingfortheGreen",2014
92,92,"Erik Compton",88,48.73,115,121,"Par5GoingfortheGreen",2014
93,93,"John Merrick",87,48.72,114,120,"Par5GoingfortheGreen",2014
94,94,"Will Ma Kenzie",82,48.7,112,118,"Par5GoingfortheGreen",2014
95,95,"Brice Garnett",92,48.66,109,115,"Par5GoingfortheGreen",2014
95,95,"Geoff Ogilvy",84,48.66,109,115,"Par5GoingfortheGreen",2014
97,97,"Bill Haas",107,48.64,125,132,"Par5GoingfortheGreen",2014
98,98,"Chris Stroud",88,48.34,102,109,"Par5GoingfortheGreen",2014
99,99,"Kevin Chappell",100,48.18,132,142,"Par5GoingfortheGreen",2014
99,99,"Vijay Singh",83,48.18,106,114,"Par5GoingfortheGreen",2014
101,101,"Webb Simpson",87,48.17,105,113,"Par5GoingfortheGreen",2014
102,102,"Nicholas Thompson",85,48.13,103,111,"Par5GoingfortheGreen",2014
103,103,"Kevin Kisner",85,48.1,101,109,"Par5GoingfortheGreen",2014
104,104,"Ricky Barnes",92,47.98,107,116,"Par5GoingfortheGreen",2014
105,105,"DA Points",75,47.62,80,88,"Par5GoingfortheGreen",2014
106,106,"Jordan Spieth",102,47.56,117,129,"Par5GoingfortheGreen",2014
107,107,"Brandt Snedeker",89,47.52,96,106,"Par5GoingfortheGreen",2014
108,108,"Andrew Svoboda",77,47.4,91,101,"Par5GoingfortheGreen",2014
108,108,"Michael Thompson",74,47.4,91,101,"Par5GoingfortheGreen",2014
110,110,"Jonathan Byrd",76,46.91,91,103,"Par5GoingfortheGreen",2014
111,111,"Davis Love III",74,46.88,90,102,"Par5GoingfortheGreen",2014
112,112,"Luke Guthrie",85,46.72,107,122,"Par5GoingfortheGreen",2014
113,113,"David Lingmerth",80,46.57,95,109,"Par5GoingfortheGreen",2014
114,114,"Stewart Cink",91,46.26,105,122,"Par5GoingfortheGreen",2014
115,115,"Ben Martin",80,46.19,91,106,"Par5GoingfortheGreen",2014
116,116,"Ryan Moore",86,45.92,90,106,"Par5GoingfortheGreen",2014
117,117,"Bronson La Cassie",51,45.87,50,59,"Par5GoingfortheGreen",2014
118,118,"Ted Potter Jr",68,45.71,80,95,"Par5GoingfortheGreen",2014
119,119,"James Driscoll",71,45.4,79,95,"Par5GoingfortheGreen",2014
120,120,"YE Yang",79,45.36,83,100,"Par5GoingfortheGreen",2014
121,121,"Cameron Tringale",111,45.21,137,166,"Par5GoingfortheGreen",2014
122,122,"Johnson Wagner",69,45.18,75,91,"Par5GoingfortheGreen",2014
123,123,"John Rollins",84,45.08,87,106,"Par5GoingfortheGreen",2014
124,124,"Woody Austin",63,44.83,78,96,"Par5GoingfortheGreen",2014
125,125,"Jim Renner",61,44.52,69,86,"Par5GoingfortheGreen",2014
126,126,"Charlie Wi",72,44.44,84,105,"Par5GoingfortheGreen",2014
127,127,"Chad Campbell",57,44.35,55,69,"Par5GoingfortheGreen",2014
128,128,"Chesson Hadley",84,44.34,94,118,"Par5GoingfortheGreen",2014
129,129,"Zach Johnson",97,44.31,109,137,"Par5GoingfortheGreen",2014
130,130,"Mark Wilson",69,44.17,72,91,"Par5GoingfortheGreen",2014
131,131,"Matt Kuchar",91,44.14,98,124,"Par5GoingfortheGreen",2014
132,132,"Roberto Castro",76,44.02,81,103,"Par5GoingfortheGreen",2014
133,133,"Camilo Villegas",95,44,110,140,"Par5GoingfortheGreen",2014
134,134,"Robert Allenby",83,43.84,89,114,"Par5GoingfortheGreen",2014
135,135,"Bo Van Pelt",83,43.54,91,118,"Par5GoingfortheGreen",2014
136,136,"Richard Lee",80,43.52,84,109,"Par5GoingfortheGreen",2014
137,137,"Brian Harman",111,43.45,126,164,"Par5GoingfortheGreen",2014
138,138,"JJ Henry",91,43.42,99,129,"Par5GoingfortheGreen",2014
139,139,"Ian Poulter",57,43.18,57,75,"Par5GoingfortheGreen",2014
140,140,"Briny Baird",50,43.17,60,79,"Par5GoingfortheGreen",2014
141,141,"John Huh",87,42.79,89,119,"Par5GoingfortheGreen",2014
142,142,"Retief Goosen",94,42.49,99,134,"Par5GoingfortheGreen",2014
143,143,"Tyrone Van Aswegen",79,42.47,79,107,"Par5GoingfortheGreen",2014
144,144,"Pat Perez",84,42.39,103,140,"Par5GoingfortheGreen",2014
145,145,"Brian Stuard",91,40.27,89,132,"Par5GoingfortheGreen",2014
146,146,"Brian Davis",93,39.76,99,150,"Par5GoingfortheGreen",2014
147,147,"Jonas Blixt",64,38.85,54,85,"Par5GoingfortheGreen",2014
148,148,"Spencer Levin",59,38.19,55,89,"Par5GoingfortheGreen",2014
149,149,"Freddie Jacobson",91,38.15,95,154,"Par5GoingfortheGreen",2014
150,150,"Luke Donald",57,38.03,54,88,"Par5GoingfortheGreen",2014
151,151,"Greg Chalmers",85,38.01,84,137,"Par5GoingfortheGreen",2014
152,152,"Graeme McDowell",66,37.88,50,82,"Par5GoingfortheGreen",2014
153,153,"Justin Hicks",103,37.77,105,173,"Par5GoingfortheGreen",2014
154,154,"Russell Knox",92,36.8,92,158,"Par5GoingfortheGreen",2014
155,155,"Scott Langley",95,36.13,86,152,"Par5GoingfortheGreen",2014
156,156,"Heath Slocum",71,35.76,59,106,"Par5GoingfortheGreen",2014
157,157,"DH Lee",54,35.51,49,89,"Par5GoingfortheGreen",2014
158,158,"Tim Wilkinson",86,35,70,130,"Par5GoingfortheGreen",2014
159,159,"Jerry Kelly",80,34.04,64,124,"Par5GoingfortheGreen",2014
160,160,"Jeff Maggert",54,33.85,44,86,"Par5GoingfortheGreen",2014
161,161,"Jason Bohn",81,33.78,75,147,"Par5GoingfortheGreen",2014
162,162,"David Hearn",97,33.73,84,165,"Par5GoingfortheGreen",2014
163,163,"Mike Weir",69,33.33,53,106,"Par5GoingfortheGreen",2014
164,164,"Billy Hurley III",86,33.17,68,137,"Par5GoingfortheGreen",2014
165,165,"Ben Curtis",77,33.16,64,129,"Par5GoingfortheGreen",2014
166,166,"Chad Collins",78,32.97,61,124,"Par5GoingfortheGreen",2014
167,167,"KJ Choi",80,32.37,67,140,"Par5GoingfortheGreen",2014
168,168,"Ben Crane",81,32.31,74,155,"Par5GoingfortheGreen",2014
169,169,"Troy Merritt",62,32.21,48,101,"Par5GoingfortheGreen",2014
170,170,"Brendon Todd",108,32.09,86,182,"Par5GoingfortheGreen",2014
171,171,"Jim Furyk",84,31.37,64,140,"Par5GoingfortheGreen",2014
172,172,"David Toms",64,31.17,48,106,"Par5GoingfortheGreen",2014
173,173,"Stuart Appleby",92,30.4,76,174,"Par5GoingfortheGreen",2014
174,174,"Brian Gay",81,29.41,55,132,"Par5GoingfortheGreen",2014
175,175,"Tim Clark",75,28.48,45,113,"Par5GoingfortheGreen",2014
176,176,"Bryce Molder",77,28.28,56,142,"Par5GoingfortheGreen",2014
177,177,"Justin Leonard",75,19.58,37,152,"Par5GoingfortheGreen",2014
