"BirdieAverage_RANKTHISWEEK_2008","BirdieAverage_RANKLASTWEEK_2008","BirdieAverage_PLAYERNAME_2008","BirdieAverage_ROUNDS_2008","BirdieAverage_AVG_2008","BirdieAverage_OFBIRDIES_2008","BirdieAverage_TOTALROUNDS_2008","stat_name","year"
74,74,"Gavin Coles",54,3.44,186,54,"BirdieAverage",2008
74,74,"Jason Day",81,3.44,279,81,"BirdieAverage",2008
74,74,"Mathew Goggin",91,3.44,313,91,"BirdieAverage",2008
74,74,"John Mallinger",95,3.44,327,95,"BirdieAverage",2008
74,74,"Tom Pernice Jr",104,3.44,358,104,"BirdieAverage",2008
74,74,"Carl Pettersson",110,3.44,378,110,"BirdieAverage",2008
74,74,"Dean Wilson",109,3.44,375,109,"BirdieAverage",2008
83,83,"Stuart Appleby",87,3.43,288,84,"BirdieAverage",2008
83,83,"Ryuji Imada",80,3.43,274,80,"BirdieAverage",2008
85,85,"Tim Herron",97,3.42,332,97,"BirdieAverage",2008
86,86,"Jeff Maggert",86,3.41,293,86,"BirdieAverage",2008
87,87,"Paul Casey",55,3.4,177,52,"BirdieAverage",2008
87,87,"KJ Choi",74,3.4,238,70,"BirdieAverage",2008
87,87,"Daniel Chopra",84,3.4,282,83,"BirdieAverage",2008
87,87,"Steve Flesch",95,3.4,323,95,"BirdieAverage",2008
87,87,"Lucas Glover",91,3.4,309,91,"BirdieAverage",2008
87,87,"Kent Jones",68,3.4,231,68,"BirdieAverage",2008
87,87,"David Toms",70,3.4,231,68,"BirdieAverage",2008
87,87,"Mike Weir",88,3.4,296,87,"BirdieAverage",2008
95,95,"Marco Dawson",64,3.39,217,64,"BirdieAverage",2008
95,95,"Jeff Quinney",87,3.39,295,87,"BirdieAverage",2008
97,97,"James Driscoll",85,3.38,287,85,"BirdieAverage",2008
98,98,"Brad Adamonis",87,3.37,293,87,"BirdieAverage",2008
98,98,"Eric Axley",113,3.37,381,113,"BirdieAverage",2008
98,98,"Joe Durant",92,3.37,310,92,"BirdieAverage",2008
98,98,"Zach Johnson",85,3.37,283,84,"BirdieAverage",2008
98,98,"Charlie Wi",97,3.37,327,97,"BirdieAverage",2008
103,103,"Harrison Frazar",73,3.36,245,73,"BirdieAverage",2008
103,103,"John Merrick",98,3.36,329,98,"BirdieAverage",2008
103,103,"Johnson Wagner",83,3.36,279,83,"BirdieAverage",2008
106,106,"Davis Love III",78,3.35,261,78,"BirdieAverage",2008
106,106,"Brett Rumford",72,3.35,241,72,"BirdieAverage",2008
108,108,"Rich Beem",90,3.34,301,90,"BirdieAverage",2008
109,109,"Mathias Gronberg",87,3.33,290,87,"BirdieAverage",2008
109,109,"Greg Kraft",63,3.33,210,63,"BirdieAverage",2008
109,109,"Peter Lonard",92,3.33,306,92,"BirdieAverage",2008
109,109,"Andres Romero",69,3.33,223,67,"BirdieAverage",2008
113,113,"Jim Furyk",95,3.32,312,94,"BirdieAverage",2008
113,113,"Charles Howell III",101,3.32,329,99,"BirdieAverage",2008
113,113,"Freddie Jacobson",78,3.32,259,78,"BirdieAverage",2008
113,113,"Corey Pavin",69,3.32,229,69,"BirdieAverage",2008
113,113,"Tom Scherrer",56,3.32,186,56,"BirdieAverage",2008
118,118,"Nick OHern",82,3.31,265,80,"BirdieAverage",2008
118,118,"Rod Pampling",83,3.31,265,80,"BirdieAverage",2008
118,118,"Patrick Sheehan",124,3.31,410,124,"BirdieAverage",2008
121,121,"Angel Cabrera",55,3.29,168,51,"BirdieAverage",2008
121,121,"Robert Gamez",79,3.29,260,79,"BirdieAverage",2008
123,123,"Ernie Els",51,3.28,164,50,"BirdieAverage",2008
123,123,"Bob Estes",90,3.28,295,90,"BirdieAverage",2008
123,123,"John Senden",93,3.28,302,92,"BirdieAverage",2008
126,126,"Jason Allred",63,3.27,206,63,"BirdieAverage",2008
126,126,"Briny Baird",113,3.27,370,113,"BirdieAverage",2008
126,126,"Glen Day",64,3.27,209,64,"BirdieAverage",2008
126,126,"Nick Flanagan",89,3.27,291,89,"BirdieAverage",2008
130,130,"Matt Jones",95,3.26,310,95,"BirdieAverage",2008
130,130,"Parker McLachlin",88,3.26,287,88,"BirdieAverage",2008
130,130,"Tim Wilkinson",95,3.26,310,95,"BirdieAverage",2008
133,133,"Alejandro Canizares",52,3.25,169,52,"BirdieAverage",2008
133,133,"Kenneth Ferrie",72,3.25,234,72,"BirdieAverage",2008
133,133,"John Riegger",73,3.25,237,73,"BirdieAverage",2008
136,136,"Todd Demsey",80,3.24,259,80,"BirdieAverage",2008
136,136,"Steve Stricker",75,3.24,233,72,"BirdieAverage",2008
136,136,"Charles Warren",79,3.24,256,79,"BirdieAverage",2008
136,136,"YE Yang",89,3.24,288,89,"BirdieAverage",2008
140,140,"Mark Calcavecchia",67,3.21,212,66,"BirdieAverage",2008
140,140,"Chad Collins",72,3.21,231,72,"BirdieAverage",2008
140,140,"Cliff Kresge",84,3.21,270,84,"BirdieAverage",2008
140,140,"John Rollins",94,3.21,302,94,"BirdieAverage",2008
140,140,"Brandt Snedeker",85,3.21,270,84,"BirdieAverage",2008
145,145,"Chris DiMarco",87,3.2,278,87,"BirdieAverage",2008
145,145,"Omar Uresti",74,3.2,237,74,"BirdieAverage",2008
147,147,"Brett Quigley",80,3.19,255,80,"BirdieAverage",2008
148,148,"Craig Kanada",65,3.18,207,65,"BirdieAverage",2008
148,148,"Scott Sterling",89,3.18,283,89,"BirdieAverage",2008
148,148,"Jimmy Walker",73,3.18,232,73,"BirdieAverage",2008
151,151,"Chez Reavie",102,3.17,323,102,"BirdieAverage",2008
152,152,"Jim McGovern",75,3.16,237,75,"BirdieAverage",2008
152,152,"Chris Riley",51,3.16,161,51,"BirdieAverage",2008
152,152,"Chris Stroud",81,3.16,256,81,"BirdieAverage",2008
155,155,"Alex Cejka",75,3.15,236,75,"BirdieAverage",2008
156,156,"Todd Hamilton",92,3.14,289,92,"BirdieAverage",2008
157,157,"Billy Mayfair",103,3.13,322,103,"BirdieAverage",2008
158,158,"Brad Elder",67,3.12,209,67,"BirdieAverage",2008
158,158,"Brandt Jobe",52,3.12,162,52,"BirdieAverage",2008
160,160,"Steve Lowery",74,3.11,230,74,"BirdieAverage",2008
161,161,"Ben Curtis",80,3.1,248,80,"BirdieAverage",2008
161,161,"Matt Kuchar",88,3.1,273,88,"BirdieAverage",2008
161,161,"Heath Slocum",104,3.1,322,104,"BirdieAverage",2008
164,164,"Jerry Kelly",89,3.09,272,88,"BirdieAverage",2008
165,165,"Paul Claxton",63,3.05,192,63,"BirdieAverage",2008
165,165,"Retief Goosen",59,3.05,177,58,"BirdieAverage",2008
165,165,"Paul Goydos",78,3.05,238,78,"BirdieAverage",2008
165,165,"Richard Johnson",77,3.05,235,77,"BirdieAverage",2008
169,169,"Justin Bolli",87,3.03,264,87,"BirdieAverage",2008
169,169,"Will Ma Kenzie",62,3.03,188,62,"BirdieAverage",2008
169,169,"Rocco Mediate",87,3.03,264,87,"BirdieAverage",2008
169,169,"Jon Mills",95,3.03,288,95,"BirdieAverage",2008
169,169,"Jay Williamson",96,3.03,291,96,"BirdieAverage",2008
174,174,"Doug LaBelle II",65,3.02,196,65,"BirdieAverage",2008
174,174,"David Lutterus",59,3.02,178,59,"BirdieAverage",2008
176,176,"Trevor Immelman",70,3.01,205,68,"BirdieAverage",2008
177,177,"JJ Henry",108,3,324,108,"BirdieAverage",2008
177,177,"Geoff Ogilvy",65,3,192,64,"BirdieAverage",2008
179,179,"Cody Freeman",66,2.97,196,66,"BirdieAverage",2008
179,179,"Ted Purdy",68,2.97,202,68,"BirdieAverage",2008
179,179,"Kyle Thompson",70,2.97,208,70,"BirdieAverage",2008
182,182,"Sean OHair",81,2.95,239,81,"BirdieAverage",2008
182,182,"Jin Park",85,2.95,251,85,"BirdieAverage",2008
184,184,"Ron Whittaker",54,2.94,159,54,"BirdieAverage",2008
185,185,"Bart Bryant",81,2.93,237,81,"BirdieAverage",2008
186,186,"Billy Andrade",71,2.92,207,71,"BirdieAverage",2008
186,186,"Ian Poulter",51,2.92,143,49,"BirdieAverage",2008
188,188,"JP Hayes",67,2.91,195,67,"BirdieAverage",2008
189,189,"Jeff Gove",50,2.9,145,50,"BirdieAverage",2008
189,189,"Bob Sowards",61,2.9,177,61,"BirdieAverage",2008
191,191,"Tom Lehman",51,2.88,147,51,"BirdieAverage",2008
192,192,"Travis Perkins",53,2.87,152,53,"BirdieAverage",2008
194,194,"Shigeki Maruyama",50,2.82,141,50,"BirdieAverage",2008
195,195,"David Duval",51,2.78,142,51,"BirdieAverage",2008
196,196,"Olin Browne",77,2.7,208,77,"BirdieAverage",2008
197,197,"Stephen Leaney",53,2.68,142,53,"BirdieAverage",2008
