"ProximitytoHolefromOtherLocations_RANKTHISWEEK_2011","ProximitytoHolefromOtherLocations_RANKLASTWEEK_2011","ProximitytoHolefromOtherLocations_PLAYERNAME_2011","ProximitytoHolefromOtherLocations_ROUNDS_2011","ProximitytoHolefromOtherLocations_AVGDTP_2011","ProximitytoHolefromOtherLocations_TOTALDISTANCEFEET_2011","ProximitytoHolefromOtherLocations_OFSHOTS_2011","ProximitytoHolefromOtherLocations_SCRAMBLINGRANK_2011","stat_name","year"
115,115,"Martin Laird",77,NA,9.354,111,60,"ProximitytoHolefromOtherLocations",2011
115,115,"Troy Merritt",63,NA,9.799,117,121,"ProximitytoHolefromOtherLocations",2011
115,115,"Kyle Stanley",98,NA,12.098,144,156,"ProximitytoHolefromOtherLocations",2011
115,115,"Vaughn Taylor",89,NA,14.455,173,72,"ProximitytoHolefromOtherLocations",2011
115,115,"Josh Teater",104,NA,15.864,188,152,"ProximitytoHolefromOtherLocations",2011
115,115,"DJ Trahan",91,NA,12.842,153,82,"ProximitytoHolefromOtherLocations",2011
122,122,"Rich Beem",53,NA,10.831,128,168,"ProximitytoHolefromOtherLocations",2011
122,122,"Michael Bradley",74,NA,10.3,121,179,"ProximitytoHolefromOtherLocations",2011
122,122,"Bill Haas",93,NA,9.564,113,79,"ProximitytoHolefromOtherLocations",2011
122,122,"Richard Johnson",64,NA,10.147,120,155,"ProximitytoHolefromOtherLocations",2011
122,122,"Ryan Moore",79,NA,9.883,116,45,"ProximitytoHolefromOtherLocations",2011
122,122,"Andres Romero",77,NA,10.438,123,120,"ProximitytoHolefromOtherLocations",2011
128,128,"Cameron Beckman",71,NA,11.963,139,113,"ProximitytoHolefromOtherLocations",2011
128,128,"Stewart Cink",72,NA,6.071,71,107,"ProximitytoHolefromOtherLocations",2011
128,128,"Retief Goosen",50,NA,3.797,44,81,"ProximitytoHolefromOtherLocations",2011
128,128,"Tim Herron",85,NA,14.125,164,60,"ProximitytoHolefromOtherLocations",2011
128,128,"Bill Lunde",92,NA,14.642,171,114,"ProximitytoHolefromOtherLocations",2011
128,128,"Alexandre Rocha",65,NA,9.731,113,136,"ProximitytoHolefromOtherLocations",2011
134,134,"Briny Baird",60,NA,8.376,96,46,"ProximitytoHolefromOtherLocations",2011
134,134,"Fabian Gomez",84,NA,11.577,133,177,"ProximitytoHolefromOtherLocations",2011
134,134,"Joe Ogilvie",75,NA,13.146,151,109,"ProximitytoHolefromOtherLocations",2011
134,134,"Ryan Palmer",82,NA,8.962,103,47,"ProximitytoHolefromOtherLocations",2011
134,134,"Rod Pampling",72,NA,10.23,117,10,"ProximitytoHolefromOtherLocations",2011
139,139,"Ricky Barnes",78,NA,10.122,115,117,"ProximitytoHolefromOtherLocations",2011
139,139,"Ben Curtis",66,NA,11.92,136,21,"ProximitytoHolefromOtherLocations",2011
139,139,"Robert Garrigus",83,NA,11.031,125,164,"ProximitytoHolefromOtherLocations",2011
139,139,"William McGirt",103,NA,13.915,159,51,"ProximitytoHolefromOtherLocations",2011
139,139,"Jeff Overton",92,NA,12.662,144,147,"ProximitytoHolefromOtherLocations",2011
144,144,"Troy Matteson",91,NA,12.607,142,132,"ProximitytoHolefromOtherLocations",2011
144,144,"Justin Rose",79,NA,9.315,105,95,"ProximitytoHolefromOtherLocations",2011
144,144,"Kevin Streelman",90,NA,12.155,136,37,"ProximitytoHolefromOtherLocations",2011
144,144,"Nick Watney",80,NA,9.404,106,12,"ProximitytoHolefromOtherLocations",2011
144,144,"Boo Weekley",66,NA,9.296,104,169,"ProximitytoHolefromOtherLocations",2011
144,144,"Gary Woodland",93,NA,9.935,112,86,"ProximitytoHolefromOtherLocations",2011
150,150,"Joe Durant",71,NA,11.635,129,59,"ProximitytoHolefromOtherLocations",2011
150,150,"Bobby Gates",82,NA,13.057,145,180,"ProximitytoHolefromOtherLocations",2011
150,150,"Lee Janzen",62,NA,10.526,117,144,"ProximitytoHolefromOtherLocations",2011
150,150,"Derek Lamely",65,NA,10.017,111,183,"ProximitytoHolefromOtherLocations",2011
150,150,"Kevin Stadler",88,NA,11.449,127,174,"ProximitytoHolefromOtherLocations",2011
150,150,"Brendan Steele",89,NA,9.583,106,149,"ProximitytoHolefromOtherLocations",2011
150,150,"Michael Thompson",79,NA,9.821,109,32,"ProximitytoHolefromOtherLocations",2011
150,150,"David Toms",78,NA,10.139,113,25,"ProximitytoHolefromOtherLocations",2011
158,158,"Steve Elkington",50,NA,9.252,102,43,"ProximitytoHolefromOtherLocations",2011
158,158,"Colt Knost",80,NA,12.498,138,135,"ProximitytoHolefromOtherLocations",2011
158,158,"Ben Martin",74,NA,12.861,141,167,"ProximitytoHolefromOtherLocations",2011
158,158,"Sean OHair",71,NA,10.21,112,146,"ProximitytoHolefromOtherLocations",2011
158,158,"Alex Prugh",82,NA,11.046,122,186,"ProximitytoHolefromOtherLocations",2011
158,158,"Will Strickler",51,NA,9.391,103,154,"ProximitytoHolefromOtherLocations",2011
158,158,"Garrett Willis",71,NA,11.436,125,88,"ProximitytoHolefromOtherLocations",2011
165,165,"Ernie Els",71,NA,6.781,74,182,"ProximitytoHolefromOtherLocations",2011
165,165,"David Hearn",88,NA,14.258,155,53,"ProximitytoHolefromOtherLocations",2011
165,165,"Scott Stallings",84,NA,10.374,113,165,"ProximitytoHolefromOtherLocations",2011
165,165,"Paul Stankowski",78,NA,11.838,129,56,"ProximitytoHolefromOtherLocations",2011
165,165,"Johnson Wagner",81,NA,11.812,129,96,"ProximitytoHolefromOtherLocations",2011
170,170,"Adam Scott",60,NA,6.542,70,62,"ProximitytoHolefromOtherLocations",2011
