"TotalBirdies_RANKTHISWEEK_2014","TotalBirdies_RANKLASTWEEK_2014","TotalBirdies_PLAYERNAME_2014","TotalBirdies_ROUNDS_2014","TotalBirdies_TOTAL_2014","stat_name","year"
136,136,"Sergio Garcia",61,224,"TotalBirdies",2014
136,136,"Graeme McDowell",66,224,"TotalBirdies",2014
138,138,"Heath Slocum",71,223,"TotalBirdies",2014
139,139,"DA Points",75,221,"TotalBirdies",2014
139,139,"David Toms",64,221,"TotalBirdies",2014
139,139,"Charlie Wi",72,221,"TotalBirdies",2014
142,142,"Roberto Castro",76,220,"TotalBirdies",2014
143,143,"Boo Weekley",73,218,"TotalBirdies",2014
144,144,"Martin Laird",66,216,"TotalBirdies",2014
145,145,"Brooks Koepka",56,215,"TotalBirdies",2014
146,146,"Henrik Stenson",56,214,"TotalBirdies",2014
147,147,"Lucas Glover",68,213,"TotalBirdies",2014
148,148,"Jamie Lovemark",64,212,"TotalBirdies",2014
149,149,"Jonas Blixt",64,211,"TotalBirdies",2014
149,149,"Troy Merritt",62,211,"TotalBirdies",2014
151,151,"Paul Casey",56,208,"TotalBirdies",2014
152,152,"Ted Potter Jr",68,207,"TotalBirdies",2014
152,152,"Lee Westwood",57,207,"TotalBirdies",2014
154,154,"Ian Poulter",57,203,"TotalBirdies",2014
155,155,"Shawn Stefani",60,197,"TotalBirdies",2014
156,156,"Jason Dufner",57,196,"TotalBirdies",2014
157,157,"Bud Cauley",56,192,"TotalBirdies",2014
157,157,"Luke Donald",57,192,"TotalBirdies",2014
157,157,"Spencer Levin",59,192,"TotalBirdies",2014
157,157,"Mike Weir",69,192,"TotalBirdies",2014
161,161,"Woody Austin",63,191,"TotalBirdies",2014
161,161,"Troy Matteson",62,191,"TotalBirdies",2014
163,163,"Jim Renner",61,190,"TotalBirdies",2014
164,164,"John Peterson",62,187,"TotalBirdies",2014
164,164,"Johnson Wagner",69,187,"TotalBirdies",2014
166,166,"Jim Herman",62,184,"TotalBirdies",2014
167,167,"Kevin Tway",64,182,"TotalBirdies",2014
168,168,"Mark Wilson",69,179,"TotalBirdies",2014
169,169,"Jason Day",54,172,"TotalBirdies",2014
170,170,"Brad Fritsch",50,169,"TotalBirdies",2014
171,171,"Chad Campbell",57,168,"TotalBirdies",2014
172,172,"Jeff Maggert",54,161,"TotalBirdies",2014
173,173,"Will Wilcox",51,160,"TotalBirdies",2014
174,174,"Briny Baird",50,158,"TotalBirdies",2014
175,175,"Louis Oosthuizen",50,157,"TotalBirdies",2014
176,176,"Bronson La Cassie",51,144,"TotalBirdies",2014
177,177,"DH Lee",54,134,"TotalBirdies",2014
