"NonmemberEarnings_RANKTHISWEEK_2010","NonmemberEarnings_RANKLASTWEEK_2010","NonmemberEarnings_PLAYERNAME_2010","NonmemberEarnings_EVENTS_2010","NonmemberEarnings_MONEY_2010","NonmemberEarnings_TOTAL_2010","stat_name","year"
52,52,"Fredrik Andersson Hed",2,31843,31843,"NonmemberEarnings",2010
53,53,"Todd Fischer",1,31200,31200,"NonmemberEarnings",2010
54,54,"Colin Montgomerie",3,30978,30978,"NonmemberEarnings",2010
55,55,"Rhys Davies",4,28762,66512,"NonmemberEarnings",2010
56,56,"Tag Ridings",1,28594,28594,"NonmemberEarnings",2010
57,57,"Jhonattan Vegas",1,26483,26483,"NonmemberEarnings",2010
58,58,"Michael Putnam",1,23850,23850,"NonmemberEarnings",2010
59,59,"Jason Allred",1,23385,23385,"NonmemberEarnings",2010
59,59,"Rafa Cabrera Bello",1,23385,23385,"NonmemberEarnings",2010
59,59,"Jim Herman",1,23385,23385,"NonmemberEarnings",2010
62,62,"Rob Grube",1,19890,19890,"NonmemberEarnings",2010
62,62,"Adam Hadwin",1,19890,19890,"NonmemberEarnings",2010
62,62,"Brock Mackenzie",1,19890,19890,"NonmemberEarnings",2010
65,65,"Danny Chia",1,19046,19046,"NonmemberEarnings",2010
65,65,"Zane Scotland",1,19046,19046,"NonmemberEarnings",2010
67,67,"Michael ONeal",2,18424,18424,"NonmemberEarnings",2010
68,68,"Hiroyuki Fujita",4,18368,18368,"NonmemberEarnings",2010
69,69,"Peter Senior",1,18048,18048,"NonmemberEarnings",2010
70,70,"Drew Weaver",2,17366,17366,"NonmemberEarnings",2010
71,71,"Hirofumi Miyase",1,17126,17126,"NonmemberEarnings",2010
71,71,"Steven Tiley",1,17126,17126,"NonmemberEarnings",2010
73,73,"Andrew Coltart",1,16742,16742,"NonmemberEarnings",2010
74,74,"Gareth Maybin",2,16672,16672,"NonmemberEarnings",2010
75,75,"Thomas Aiken",1,16358,16358,"NonmemberEarnings",2010
76,76,"Erick Justesen",2,15651,15651,"NonmemberEarnings",2010
77,77,"Gregory Bourdy",2,15225,54475,"NonmemberEarnings",2010
78,78,"Danny Wax",1,14450,14450,"NonmemberEarnings",2010
79,79,"Rob Labritz",1,14150,14150,"NonmemberEarnings",2010
80,80,"Jason Schultz",1,13845,13845,"NonmemberEarnings",2010
81,81,"Jeff Burns",1,13237,13237,"NonmemberEarnings",2010
82,82,"Matthew Richardson",1,13023,13023,"NonmemberEarnings",2010
83,83,"Thomas Levet",2,12960,12960,"NonmemberEarnings",2010
83,83,"Santiago Luna",1,12960,12960,"NonmemberEarnings",2010
85,85,"Jon Mills",1,12818,12818,"NonmemberEarnings",2010
86,86,"Jerry Richardson Jr",1,12725,12725,"NonmemberEarnings",2010
87,87,"Phil Schmitt",2,12544,12544,"NonmemberEarnings",2010
88,88,"Ty Tryon",1,12293,12293,"NonmemberEarnings",2010
89,89,"Brad Adamonis",4,12060,12060,"NonmemberEarnings",2010
90,90,"Alexandre Rocha",1,12040,12040,"NonmemberEarnings",2010
91,91,"Pablo Martin Benavides",2,11707,11707,"NonmemberEarnings",2010
91,91,"Jason Preeo",1,11707,11707,"NonmemberEarnings",2010
93,93,"Chris Rogers",2,11704,11704,"NonmemberEarnings",2010
94,94,"Casey Wittenberg",1,11200,11200,"NonmemberEarnings",2010
95,95,"Ryuichi Oda",2,11165,11165,"NonmemberEarnings",2010
96,96,"Alex Hamilton",2,10836,10836,"NonmemberEarnings",2010
97,97,"Seungsu Han",1,10812,10812,"NonmemberEarnings",2010
98,98,"Aaron Goldberg",3,10615,10615,"NonmemberEarnings",2010
99,99,"Andrew Svoboda",1,10556,10556,"NonmemberEarnings",2010
100,100,"Mark Anderson",1,10203,10203,"NonmemberEarnings",2010
101,101,"Kevin Hayashi",1,9900,9900,"NonmemberEarnings",2010
102,102,"Blake Trimble",1,9752,9752,"NonmemberEarnings",2010
103,103,"Daniel Barbetti",1,9481,9481,"NonmemberEarnings",2010
103,103,"Peter Gustafsson",1,9481,9481,"NonmemberEarnings",2010
103,103,"Manuel Villegas",2,9481,9481,"NonmemberEarnings",2010
106,106,"Billy Hurley III",1,8560,8560,"NonmemberEarnings",2010
107,107,"Warren Schutte",1,8471,8471,"NonmemberEarnings",2010
108,108,"Matt Hill",5,7305,7305,"NonmemberEarnings",2010
