"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2007","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2007","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2007","FedExCupSeasonPointsforNonMembers_EVENTS_2007","FedExCupSeasonPointsforNonMembers_POINTS_2007","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2007","stat_name","year"
41,41,"Kelly Mitchum",4,76,NA,"FedExCupSeasonPointsforNonMembers",2007
42,42,"Kaname Yokoo",2,75,NA,"FedExCupSeasonPointsforNonMembers",2007
43,43,"Won Joon Lee",1,70,NA,"FedExCupSeasonPointsforNonMembers",2007
44,44,"Gregory Bourdy",1,64,NA,"FedExCupSeasonPointsforNonMembers",2007
45,45,"John Bickerton",2,63,63,"FedExCupSeasonPointsforNonMembers",2007
45,45,"Louis Oosthuizen",1,63,63,"FedExCupSeasonPointsforNonMembers",2007
47,47,"Yusaku Miyazato",1,63,NA,"FedExCupSeasonPointsforNonMembers",2007
48,48,"Richard Sterne",3,62,62,"FedExCupSeasonPointsforNonMembers",2007
49,49,"Toru Taniguchi",4,60,NA,"FedExCupSeasonPointsforNonMembers",2007
50,50,"Jon Bevan",1,59,NA,"FedExCupSeasonPointsforNonMembers",2007
51,51,"Ricky Barnes",2,57,NA,"FedExCupSeasonPointsforNonMembers",2007
52,52,"Tom Gillis",2,57,NA,"FedExCupSeasonPointsforNonMembers",2007
52,52,"Lee Williams",2,57,NA,"FedExCupSeasonPointsforNonMembers",2007
54,54,"Alastair Forsyth",1,56,NA,"FedExCupSeasonPointsforNonMembers",2007
55,55,"WC Liang",2,56,56,"FedExCupSeasonPointsforNonMembers",2007
55,55,"Hennie Otto",1,56,56,"FedExCupSeasonPointsforNonMembers",2007
57,57,"Brady Schnell",1,56,NA,"FedExCupSeasonPointsforNonMembers",2007
58,58,"Fredrik Andersson Hed",1,55,NA,"FedExCupSeasonPointsforNonMembers",2007
58,58,"Mike Small",2,55,NA,"FedExCupSeasonPointsforNonMembers",2007
60,60,"Anthony Wall",4,55,55,"FedExCupSeasonPointsforNonMembers",2007
61,61,"Ryan Benzel",1,54,NA,"FedExCupSeasonPointsforNonMembers",2007
62,62,"David Hearn",1,54,NA,"FedExCupSeasonPointsforNonMembers",2007
63,63,"Prom Meesawat",1,53,53,"FedExCupSeasonPointsforNonMembers",2007
64,64,"Bronson La Cassie",1,53,NA,"FedExCupSeasonPointsforNonMembers",2007
65,65,"Hideto Tanihara",4,53,53,"FedExCupSeasonPointsforNonMembers",2007
66,66,"Joe Daley",2,52,NA,"FedExCupSeasonPointsforNonMembers",2007
66,66,"Azuma Yano",1,52,NA,"FedExCupSeasonPointsforNonMembers",2007
68,68,"Gregory Havret",3,52,52,"FedExCupSeasonPointsforNonMembers",2007
69,69,"Matt Every",2,52,NA,"FedExCupSeasonPointsforNonMembers",2007
70,70,"Mike Grob",1,51,NA,"FedExCupSeasonPointsforNonMembers",2007
71,71,"Alan Morin",1,50,NA,"FedExCupSeasonPointsforNonMembers",2007
72,72,"Jose Manuel Lara",2,49,49,"FedExCupSeasonPointsforNonMembers",2007
73,73,"Todd Demsey",1,49,NA,"FedExCupSeasonPointsforNonMembers",2007
74,74,"Chris Baryla",1,49,NA,"FedExCupSeasonPointsforNonMembers",2007
75,75,"Martin Rominger",1,46,NA,"FedExCupSeasonPointsforNonMembers",2007
76,76,"Ryan Blaum",1,44,NA,"FedExCupSeasonPointsforNonMembers",2007
77,77,"Esteban Toledo",2,44,NA,"FedExCupSeasonPointsforNonMembers",2007
78,78,"Tony Finau",1,25,NA,"FedExCupSeasonPointsforNonMembers",2007
