"Front9Round1ScoringAverage_RANKTHISWEEK_2005","Front9Round1ScoringAverage_RANKLASTWEEK_2005","Front9Round1ScoringAverage_PLAYERNAME_2005","Front9Round1ScoringAverage__2005","Front9Round1ScoringAverage_AVG_2005","Front9Round1ScoringAverage_TOTALSTROKES_2005","Front9Round1ScoringAverage_TOTALROUNDS_2005","stat_name","year"
110,110,"Tom Gillis",NA,35.59,961,27,"Front9Round1ScoringAverage",2005
110,110,"Stephen Leaney",NA,35.59,961,27,"Front9Round1ScoringAverage",2005
110,110,"Ted Purdy",NA,35.59,1210,34,"Front9Round1ScoringAverage",2005
110,110,"Duffy Waldorf",NA,35.59,961,27,"Front9Round1ScoringAverage",2005
114,114,"Brent Geiberger",NA,35.6,712,20,"Front9Round1ScoringAverage",2005
114,114,"Michael Long",NA,35.6,890,25,"Front9Round1ScoringAverage",2005
116,116,"Shigeki Maruyama",NA,35.61,997,28,"Front9Round1ScoringAverage",2005
117,117,"Todd Hamilton",NA,35.62,1033,29,"Front9Round1ScoringAverage",2005
118,118,"David Hearn",NA,35.63,855,24,"Front9Round1ScoringAverage",2005
118,118,"Scott Hend",NA,35.63,962,27,"Front9Round1ScoringAverage",2005
120,120,"Brad Faxon",NA,35.64,784,22,"Front9Round1ScoringAverage",2005
120,120,"Hunter Mahan",NA,35.64,1176,33,"Front9Round1ScoringAverage",2005
122,122,"DJ Trahan",NA,35.65,927,26,"Front9Round1ScoringAverage",2005
123,123,"Brenden Pappas",NA,35.67,535,15,"Front9Round1ScoringAverage",2005
123,123,"Joey Snyder III",NA,35.67,1070,30,"Front9Round1ScoringAverage",2005
125,125,"Justin Rose",NA,35.7,964,27,"Front9Round1ScoringAverage",2005
126,126,"Steve Flesch",NA,35.71,1000,28,"Front9Round1ScoringAverage",2005
126,126,"Vaughn Taylor",NA,35.71,1107,31,"Front9Round1ScoringAverage",2005
128,128,"John Rollins",NA,35.72,1036,29,"Front9Round1ScoringAverage",2005
129,129,"Paul Azinger",NA,35.73,786,22,"Front9Round1ScoringAverage",2005
129,129,"Davis Love III",NA,35.73,786,22,"Front9Round1ScoringAverage",2005
129,129,"Nick Watney",NA,35.73,1072,30,"Front9Round1ScoringAverage",2005
132,132,"Skip Kendall",NA,35.74,1108,31,"Front9Round1ScoringAverage",2005
132,132,"Greg Owen",NA,35.74,822,23,"Front9Round1ScoringAverage",2005
134,134,"Larry Mize",NA,35.76,608,17,"Front9Round1ScoringAverage",2005
135,135,"Hunter Haas",NA,35.78,966,27,"Front9Round1ScoringAverage",2005
136,136,"John Daly",NA,35.79,859,24,"Front9Round1ScoringAverage",2005
136,136,"Padraig Harrington",NA,35.79,501,14,"Front9Round1ScoringAverage",2005
138,138,"Joe Durant",NA,35.8,895,25,"Front9Round1ScoringAverage",2005
139,139,"Andrew Magee",NA,35.81,967,27,"Front9Round1ScoringAverage",2005
140,140,"Kirk Triplett",NA,35.82,609,17,"Front9Round1ScoringAverage",2005
141,141,"Kevin Na",NA,35.83,1075,30,"Front9Round1ScoringAverage",2005
142,142,"Rory Sabbatini",NA,35.84,896,25,"Front9Round1ScoringAverage",2005
142,142,"Bob Tway",NA,35.84,896,25,"Front9Round1ScoringAverage",2005
144,144,"Jason Allred",NA,35.86,1004,28,"Front9Round1ScoringAverage",2005
144,144,"Mark OMeara",NA,35.86,753,21,"Front9Round1ScoringAverage",2005
146,146,"Steve Allan",NA,35.87,1112,31,"Front9Round1ScoringAverage",2005
146,146,"Kent Jones",NA,35.87,1112,31,"Front9Round1ScoringAverage",2005
148,148,"John Elliott",NA,35.88,861,24,"Front9Round1ScoringAverage",2005
148,148,"Bob Heintz",NA,35.88,861,24,"Front9Round1ScoringAverage",2005
150,150,"Ian Poulter",NA,35.89,682,19,"Front9Round1ScoringAverage",2005
151,151,"Steve Stricker",NA,35.9,754,21,"Front9Round1ScoringAverage",2005
152,152,"Dennis Paulson",NA,35.91,826,23,"Front9Round1ScoringAverage",2005
152,152,"Chris Riley",NA,35.91,826,23,"Front9Round1ScoringAverage",2005
154,154,"Jim Carter",NA,35.92,862,24,"Front9Round1ScoringAverage",2005
154,154,"Glen Day",NA,35.92,934,26,"Front9Round1ScoringAverage",2005
154,154,"Scott Verplank",NA,35.92,862,24,"Front9Round1ScoringAverage",2005
154,154,"Mark Wilson",NA,35.92,862,24,"Front9Round1ScoringAverage",2005
158,158,"Robert Damron",NA,35.93,1006,28,"Front9Round1ScoringAverage",2005
158,158,"Shaun Micheel",NA,35.93,1006,28,"Front9Round1ScoringAverage",2005
160,160,"Frank Lickliter II",NA,35.94,1114,31,"Front9Round1ScoringAverage",2005
160,160,"Loren Roberts",NA,35.94,611,17,"Front9Round1ScoringAverage",2005
162,162,"Mark Hensby",NA,35.95,683,19,"Front9Round1ScoringAverage",2005
163,163,"Matt Gogel",NA,35.96,971,27,"Front9Round1ScoringAverage",2005
163,163,"Lee Janzen",NA,35.96,899,25,"Front9Round1ScoringAverage",2005
165,165,"Neal Lancaster",NA,35.97,1115,31,"Front9Round1ScoringAverage",2005
165,165,"Tag Ridings",NA,35.97,1079,30,"Front9Round1ScoringAverage",2005
167,167,"Doug Barron",NA,36,864,24,"Front9Round1ScoringAverage",2005
167,167,"Justin Bolli",NA,36,828,23,"Front9Round1ScoringAverage",2005
167,167,"John Cook",NA,36,900,25,"Front9Round1ScoringAverage",2005
167,167,"Corey Pavin",NA,36,792,22,"Front9Round1ScoringAverage",2005
167,167,"Mike Weir",NA,36,756,21,"Front9Round1ScoringAverage",2005
172,172,"Scott McCarron",NA,36.04,829,23,"Front9Round1ScoringAverage",2005
172,172,"Roland Thatcher",NA,36.04,865,24,"Front9Round1ScoringAverage",2005
174,174,"Hideto Tanihara",NA,36.05,685,19,"Front9Round1ScoringAverage",2005
175,175,"Jay Williamson",NA,36.06,577,16,"Front9Round1ScoringAverage",2005
176,176,"DJ Brigman",NA,36.08,902,25,"Front9Round1ScoringAverage",2005
176,176,"James Driscoll",NA,36.08,902,25,"Front9Round1ScoringAverage",2005
178,178,"Stephen Ames",NA,36.09,794,22,"Front9Round1ScoringAverage",2005
178,178,"Chris Smith",NA,36.09,1155,32,"Front9Round1ScoringAverage",2005
180,180,"Franklin Langham",NA,36.1,1083,30,"Front9Round1ScoringAverage",2005
181,181,"Steve Jones",NA,36.11,686,19,"Front9Round1ScoringAverage",2005
182,182,"Jonathan Kaye",NA,36.14,795,22,"Front9Round1ScoringAverage",2005
183,183,"Fred Couples",NA,36.15,723,20,"Front9Round1ScoringAverage",2005
