"ofPotentialPtswonFedExCupPlayoffs_RANKTHISWEEK_2010","ofPotentialPtswonFedExCupPlayoffs_RANKLASTWEEK_2010","ofPotentialPtswonFedExCupPlayoffs_PLAYERNAME_2010","ofPotentialPtswonFedExCupPlayoffs_EVENTS_2010","ofPotentialPtswonFedExCupPlayoffs_Pct_2010","ofPotentialPtswonFedExCupPlayoffs_PLAYOFFPOINTSWON_2010","ofPotentialPtswonFedExCupPlayoffs_POTENTIALPTS_2010","ofPotentialPtswonFedExCupPlayoffs_OFWINS_2010","ofPotentialPtswonFedExCupPlayoffs_OFTOP10S_2010","stat_name","year"
90,90,"Chad Collins",26,0.55,28,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
90,90,"Lucas Glover",23,0.55,28,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
90,90,"Spencer Levin",31,0.55,28,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
93,93,"John Merrick",31,0.4,10,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
93,93,"Kenny Perry",20,0.4,10,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
95,95,"Scott Verplank",22,0.37,28,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
96,96,"Charles Howell III",28,0.35,18,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
97,97,"Paul Goydos",25,0.2,5,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
98,98,"JJ Henry",27,0.1,5,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
98,98,"Shaun Micheel",21,0.1,5,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
