"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2014","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2014","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2014","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2014","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2014","stat_name","year"
33,33,"Bernd Wiesberger",4,54,"NonWGCFedExCupSeasonPointsforNonMembers",2014
34,34,"Andres Gonzales",2,53,"NonWGCFedExCupSeasonPointsforNonMembers",2014
35,35,"Jay McLuen",2,52,"NonWGCFedExCupSeasonPointsforNonMembers",2014
35,35,"Alvaro Quiros",2,52,"NonWGCFedExCupSeasonPointsforNonMembers",2014
37,37,"Cody Gribble",1,50,"NonWGCFedExCupSeasonPointsforNonMembers",2014
38,38,"Siddikur Rahman",1,44,"NonWGCFedExCupSeasonPointsforNonMembers",2014
39,39,"Byeong Hun An",1,43,"NonWGCFedExCupSeasonPointsforNonMembers",2014
40,40,"Daniel Berger",1,40,"NonWGCFedExCupSeasonPointsforNonMembers",2014
40,40,"Alexander Levy",2,40,"NonWGCFedExCupSeasonPointsforNonMembers",2014
42,42,"Steven Ihm",1,40,"NonWGCFedExCupSeasonPointsforNonMembers",2014
43,43,"Jon Curran",1,38,"NonWGCFedExCupSeasonPointsforNonMembers",2014
44,44,"Gaganjeet Bhullar",2,38,"NonWGCFedExCupSeasonPointsforNonMembers",2014
44,44,"Kristoffer Broberg",1,38,"NonWGCFedExCupSeasonPointsforNonMembers",2014
46,46,"Richard Sterne",7,37,"NonWGCFedExCupSeasonPointsforNonMembers",2014
47,47,"Anirban Lahiri",3,34,"NonWGCFedExCupSeasonPointsforNonMembers",2014
48,48,"Scott Hend",3,30,"NonWGCFedExCupSeasonPointsforNonMembers",2014
49,49,"Oliver Goss",7,29,"NonWGCFedExCupSeasonPointsforNonMembers",2014
50,50,"Lucas Bjerregaard",1,29,"NonWGCFedExCupSeasonPointsforNonMembers",2014
50,50,"Zac Blair",1,29,"NonWGCFedExCupSeasonPointsforNonMembers",2014
50,50,"Garth Mulroy",1,29,"NonWGCFedExCupSeasonPointsforNonMembers",2014
53,53,"Rafa Cabrera Bello",5,29,"NonWGCFedExCupSeasonPointsforNonMembers",2014
54,54,"Prayad Marksaeng",1,26,"NonWGCFedExCupSeasonPointsforNonMembers",2014
54,54,"Kevin Penner",1,26,"NonWGCFedExCupSeasonPointsforNonMembers",2014
56,56,"Sam Saunders",1,24,"NonWGCFedExCupSeasonPointsforNonMembers",2014
57,57,"Gregory Bourdy",2,23,"NonWGCFedExCupSeasonPointsforNonMembers",2014
58,58,"Rafael Campos",1,22,"NonWGCFedExCupSeasonPointsforNonMembers",2014
58,58,"Emiliano Grillo",1,22,"NonWGCFedExCupSeasonPointsforNonMembers",2014
58,58,"David Skinns",1,22,"NonWGCFedExCupSeasonPointsforNonMembers",2014
61,61,"Berry Henson",1,22,"NonWGCFedExCupSeasonPointsforNonMembers",2014
62,62,"Josh Broadaway",1,20,"NonWGCFedExCupSeasonPointsforNonMembers",2014
63,63,"Oscar Fraustro",1,20,"NonWGCFedExCupSeasonPointsforNonMembers",2014
63,63,"Fabrizio Zanotti",2,20,"NonWGCFedExCupSeasonPointsforNonMembers",2014
65,65,"Ryan Sullivan",1,15,"NonWGCFedExCupSeasonPointsforNonMembers",2014
66,66,"Joel Dahmen",1,14,"NonWGCFedExCupSeasonPointsforNonMembers",2014
66,66,"Adam Hadwin",1,14,"NonWGCFedExCupSeasonPointsforNonMembers",2014
66,66,"Nicholas Lindheim",1,14,"NonWGCFedExCupSeasonPointsforNonMembers",2014
66,66,"Fran Quinn",1,14,"NonWGCFedExCupSeasonPointsforNonMembers",2014
70,70,"Kevin Lucas",1,13,"NonWGCFedExCupSeasonPointsforNonMembers",2014
71,71,"Derek Fathauer",1,12,"NonWGCFedExCupSeasonPointsforNonMembers",2014
72,72,"Jamie McLeary",1,11,"NonWGCFedExCupSeasonPointsforNonMembers",2014
72,72,"Chris Rodgers",1,11,"NonWGCFedExCupSeasonPointsforNonMembers",2014
74,74,"Hyung Sung Kim",6,10,"NonWGCFedExCupSeasonPointsforNonMembers",2014
75,75,"Chris Williams",4,9,"NonWGCFedExCupSeasonPointsforNonMembers",2014
76,76,"Nicholas Fung",1,8,"NonWGCFedExCupSeasonPointsforNonMembers",2014
77,77,"Clayton Rask",1,7,"NonWGCFedExCupSeasonPointsforNonMembers",2014
78,78,"Bobby Wyatt",5,7,"NonWGCFedExCupSeasonPointsforNonMembers",2014
79,79,"Jeff Curl",2,6,"NonWGCFedExCupSeasonPointsforNonMembers",2014
80,80,"Chris Thompson",2,6,"NonWGCFedExCupSeasonPointsforNonMembers",2014
81,81,"Carlos Ortiz",1,5,"NonWGCFedExCupSeasonPointsforNonMembers",2014
82,82,"Toru Taniguchi",1,4,"NonWGCFedExCupSeasonPointsforNonMembers",2014
83,83,"Kyle Reifers",2,4,"NonWGCFedExCupSeasonPointsforNonMembers",2014
84,84,"Mark Hubbard",1,2,"NonWGCFedExCupSeasonPointsforNonMembers",2014
85,85,"Wade Ormsby",1,2,"NonWGCFedExCupSeasonPointsforNonMembers",2014
86,86,"Colin Montgomerie",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2014
87,87,"Derek Tolan",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2014
88,88,"Harold Varner III",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2014
89,89,"Thomas Aiken",3,1,"NonWGCFedExCupSeasonPointsforNonMembers",2014
89,89,"Rhein Gibson",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2014
91,91,"Bubba Dickerson",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2014
91,91,"Toshinori Muto",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2014
93,93,"Rashid Ismail",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2014
94,94,"Seukhyun Baek",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2014
95,95,"Eric Dugas",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2014
96,96,"Michael Block",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2014
