"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2013","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2013","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2013","AveragePuttingDistanceAll3Plusputts_ROUNDS_2013","AveragePuttingDistanceAll3Plusputts_AVG_2013","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2013","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2013","stat_name","year"
42,42,"Alistair Presnell",59,NA,37.083,1,"AveragePuttingDistanceAll3Plusputts",2013
43,43,"Angel Cabrera",73,NA,73.75,2,"AveragePuttingDistanceAll3Plusputts",2013
44,44,"Scott Stallings",79,NA,36.417,1,"AveragePuttingDistanceAll3Plusputts",2013
44,44,"Lee Westwood",70,NA,72.75,2,"AveragePuttingDistanceAll3Plusputts",2013
46,46,"Bill Haas",85,NA,36,1,"AveragePuttingDistanceAll3Plusputts",2013
47,47,"Erik Compton",74,NA,69.417,2,"AveragePuttingDistanceAll3Plusputts",2013
48,48,"Ryan Moore",72,NA,34.333,1,"AveragePuttingDistanceAll3Plusputts",2013
49,49,"Charlie Wi",75,NA,68,2,"AveragePuttingDistanceAll3Plusputts",2013
50,50,"Vaughn Taylor",50,NA,33.833,1,"AveragePuttingDistanceAll3Plusputts",2013
51,51,"Bob Estes",66,NA,32.75,1,"AveragePuttingDistanceAll3Plusputts",2013
52,52,"Brendon de Jonge",110,NA,31.917,1,"AveragePuttingDistanceAll3Plusputts",2013
53,53,"Nicholas Thompson",99,NA,124.667,4,"AveragePuttingDistanceAll3Plusputts",2013
54,54,"Michael Bradley",56,NA,30.917,1,"AveragePuttingDistanceAll3Plusputts",2013
55,55,"Sangmoon Bae",83,NA,30.833,1,"AveragePuttingDistanceAll3Plusputts",2013
56,56,"David Toms",49,NA,30.417,1,"AveragePuttingDistanceAll3Plusputts",2013
57,57,"Kyle Stanley",71,NA,90.5,3,"AveragePuttingDistanceAll3Plusputts",2013
58,58,"Greg Owen",73,NA,29.667,1,"AveragePuttingDistanceAll3Plusputts",2013
59,59,"Luke List",65,NA,28.667,1,"AveragePuttingDistanceAll3Plusputts",2013
60,60,"Harris English",95,NA,28,1,"AveragePuttingDistanceAll3Plusputts",2013
61,61,"Jonas Blixt",76,NA,55.083,2,"AveragePuttingDistanceAll3Plusputts",2013
62,62,"John Senden",79,NA,27.25,1,"AveragePuttingDistanceAll3Plusputts",2013
63,63,"Jordan Spieth",82,NA,26.417,1,"AveragePuttingDistanceAll3Plusputts",2013
64,64,"Peter Hanson",45,NA,26.25,1,"AveragePuttingDistanceAll3Plusputts",2013
65,65,"Billy Horschel",96,NA,25.75,1,"AveragePuttingDistanceAll3Plusputts",2013
66,66,"Brandt Jobe",62,NA,23.417,1,"AveragePuttingDistanceAll3Plusputts",2013
67,67,"Nicolas Colsaerts",50,NA,23.25,1,"AveragePuttingDistanceAll3Plusputts",2013
68,68,"Scott Gardiner",61,NA,42.833,2,"AveragePuttingDistanceAll3Plusputts",2013
69,69,"Scott Piercy",78,NA,18.583,1,"AveragePuttingDistanceAll3Plusputts",2013
70,70,"Charley Hoffman",84,NA,17.083,1,"AveragePuttingDistanceAll3Plusputts",2013
71,71,"Cameron Percy",68,NA,15.833,1,"AveragePuttingDistanceAll3Plusputts",2013
72,72,"David Hearn",88,NA,15.083,1,"AveragePuttingDistanceAll3Plusputts",2013
73,73,"Kevin Stadler",83,NA,39.333,3,"AveragePuttingDistanceAll3Plusputts",2013
74,74,"Ian Poulter",59,NA,10.917,1,"AveragePuttingDistanceAll3Plusputts",2013
75,75,"Robert Garrigus",69,NA,10.083,1,"AveragePuttingDistanceAll3Plusputts",2013
76,76,"Casey Wittenberg",72,NA,8.583,1,"AveragePuttingDistanceAll3Plusputts",2013
77,77,"David Mathis",71,NA,7.417,1,"AveragePuttingDistanceAll3Plusputts",2013
78,78,"Andres Romero",63,NA,6.75,1,"AveragePuttingDistanceAll3Plusputts",2013
79,79,"Lucas Glover",65,NA,5.833,1,"AveragePuttingDistanceAll3Plusputts",2013
80,80,"Phil Mickelson",78,NA,5,1,"AveragePuttingDistanceAll3Plusputts",2013
81,81,"Rod Pampling",46,NA,4.583,1,"AveragePuttingDistanceAll3Plusputts",2013
