"RyderCupWorldPoints_RANKTHISWEEK_2012","RyderCupWorldPoints_RANKLASTWEEK_2012","RyderCupWorldPoints_PLAYERNAME_2012","RyderCupWorldPoints__2012","RyderCupWorldPoints_POINTS_2012","stat_name","year"
45,NA,"Julien Quesne",NA,51.21,"RyderCupWorldPoints",2012
46,NA,"Chris Wood",NA,51.16,"RyderCupWorldPoints",2012
47,NA,"Victor Dubuisson",NA,49.87,"RyderCupWorldPoints",2012
48,NA,"Marc Warren",NA,49.64,"RyderCupWorldPoints",2012
49,NA,"Romain Wattel",NA,49.27,"RyderCupWorldPoints",2012
50,NA,"Peter Lawrie",NA,49.01,"RyderCupWorldPoints",2012
51,NA,"Alejandro Canizares",NA,46.72,"RyderCupWorldPoints",2012
52,NA,"Tom Lewis",NA,46.54,"RyderCupWorldPoints",2012
53,NA,"Anthony Wall",NA,45.98,"RyderCupWorldPoints",2012
55,NA,"Simon Wakefield",NA,44.98,"RyderCupWorldPoints",2012
56,NA,"Raphael Jacquelin",NA,44.95,"RyderCupWorldPoints",2012
57,NA,"James Morrison",NA,44.84,"RyderCupWorldPoints",2012
58,NA,"David Drysdale",NA,44.55,"RyderCupWorldPoints",2012
59,NA,"Sam Little",NA,41.91,"RyderCupWorldPoints",2012
60,NA,"Matthew Baldwin",NA,41.43,"RyderCupWorldPoints",2012
61,NA,"Tommy Fleetwood",NA,39.83,"RyderCupWorldPoints",2012
62,NA,"Fredrik Andersson Hed",NA,39.39,"RyderCupWorldPoints",2012
63,NA,"Magnus Carlsson",NA,36.73,"RyderCupWorldPoints",2012
64,NA,"George Murray",NA,35.61,"RyderCupWorldPoints",2012
65,NA,"Mark Foster",NA,34.95,"RyderCupWorldPoints",2012
66,NA,"Edoardo Molinari",NA,34.42,"RyderCupWorldPoints",2012
67,NA,"Eduardo De La Riva",NA,33.47,"RyderCupWorldPoints",2012
68,NA,"Jose Manuel Lara",NA,32.6,"RyderCupWorldPoints",2012
69,NA,"Paul McGinley",NA,31.72,"RyderCupWorldPoints",2012
70,NA,"Lorenzo Gagli",NA,31.52,"RyderCupWorldPoints",2012
71,NA,"Steve Webster",NA,30.97,"RyderCupWorldPoints",2012
72,NA,"Kenneth Ferrie",NA,29.24,"RyderCupWorldPoints",2012
73,NA,"Jean Baptiste Gonnet",NA,28.83,"RyderCupWorldPoints",2012
74,NA,"Andrea Pavan",NA,28.7,"RyderCupWorldPoints",2012
75,NA,"Christian Nilsson",NA,28.08,"RyderCupWorldPoints",2012
76,NA,"Gregory Bourdy",NA,28.06,"RyderCupWorldPoints",2012
77,NA,"Scott Jamieson",NA,27.22,"RyderCupWorldPoints",2012
78,NA,"Richard Finch",NA,27.13,"RyderCupWorldPoints",2012
79,NA,"Pelle Edberg",NA,26.72,"RyderCupWorldPoints",2012
80,NA,"Andreas Harto",NA,26.39,"RyderCupWorldPoints",2012
81,NA,"Jorge Campillo",NA,26.35,"RyderCupWorldPoints",2012
82,NA,"Ricardo Santos",NA,26.09,"RyderCupWorldPoints",2012
83,NA,"Rhys Davies",NA,25.58,"RyderCupWorldPoints",2012
84,NA,"Thomas Levet",NA,25.11,"RyderCupWorldPoints",2012
85,NA,"Gary Orr",NA,24.97,"RyderCupWorldPoints",2012
86,NA,"Espen Kofstad",NA,24.9,"RyderCupWorldPoints",2012
87,NA,"David Howell",NA,24.66,"RyderCupWorldPoints",2012
88,NA,"Alessandro Tadini",NA,24.52,"RyderCupWorldPoints",2012
89,NA,"Johan Edfors",NA,24.41,"RyderCupWorldPoints",2012
91,NA,"Gary Lockerbie",NA,24.15,"RyderCupWorldPoints",2012
92,NA,"Peter Whiteford",NA,24.07,"RyderCupWorldPoints",2012
93,NA,"Phillip Price",NA,23.98,"RyderCupWorldPoints",2012
95,NA,"Oliver Wilson",NA,23.93,"RyderCupWorldPoints",2012
97,NA,"Sam Walker",NA,23.81,"RyderCupWorldPoints",2012
98,NA,"Robert Jan Derksen",NA,23.66,"RyderCupWorldPoints",2012
99,NA,"Damian McGrane",NA,23.62,"RyderCupWorldPoints",2012
101,NA,"Rikard Karlberg",NA,23.07,"RyderCupWorldPoints",2012
102,NA,"Chris Doak",NA,22.99,"RyderCupWorldPoints",2012
103,NA,"Ignacio Garrido",NA,22.96,"RyderCupWorldPoints",2012
104,NA,"David Horsey",NA,22.62,"RyderCupWorldPoints",2012
105,NA,"Craig Lee",NA,21.73,"RyderCupWorldPoints",2012
106,NA,"Andrew Marshall",NA,20.81,"RyderCupWorldPoints",2012
107,NA,"Graeme Storm",NA,20.66,"RyderCupWorldPoints",2012
108,NA,"Philip Archer",NA,19.65,"RyderCupWorldPoints",2012
109,NA,"Joel Sjoholm",NA,19.4,"RyderCupWorldPoints",2012
110,NA,"Seve Benson",NA,19.02,"RyderCupWorldPoints",2012
111,NA,"Simon Thornton",NA,18.86,"RyderCupWorldPoints",2012
112,NA,"Richard McEvoy",NA,18.71,"RyderCupWorldPoints",2012
114,NA,"Raymond Russell",NA,18.48,"RyderCupWorldPoints",2012
115,NA,"Darren Clarke",NA,18.38,"RyderCupWorldPoints",2012
116,NA,"Gareth Maybin",NA,18.21,"RyderCupWorldPoints",2012
117,NA,"Mikael Lundberg",NA,18.2,"RyderCupWorldPoints",2012
119,NA,"Alex Cejka",NA,18.09,"RyderCupWorldPoints",2012
120,NA,"Jose Maria Olazabal",NA,17.23,"RyderCupWorldPoints",2012
121,NA,"Mikko Ilonen",NA,17.19,"RyderCupWorldPoints",2012
122,NA,"Robert Coles",NA,17.02,"RyderCupWorldPoints",2012
124,NA,"Rich Bland",NA,16.48,"RyderCupWorldPoints",2012
125,NA,"Niclas Fasth",NA,16.44,"RyderCupWorldPoints",2012
126,NA,"Soren Hansen",NA,16.25,"RyderCupWorldPoints",2012
128,NA,"Alexandre Kaleka",NA,16.2,"RyderCupWorldPoints",2012
129,NA,"Andrew Johnston",NA,15.93,"RyderCupWorldPoints",2012
130,NA,"Carlos Del Moral",NA,15.71,"RyderCupWorldPoints",2012
132,NA,"Mikko Korhonen",NA,15.48,"RyderCupWorldPoints",2012
133,NA,"Alastair Forsyth",NA,15.21,"RyderCupWorldPoints",2012
135,NA,"Michael Lorenzo Vera",NA,15.1,"RyderCupWorldPoints",2012
136,NA,"Gary Boyd",NA,15.01,"RyderCupWorldPoints",2012
137,NA,"Jamie Elson",NA,14.4,"RyderCupWorldPoints",2012
138,NA,"Thomas Norret",NA,14.31,"RyderCupWorldPoints",2012
139,NA,"Maarten Lafeber",NA,14.07,"RyderCupWorldPoints",2012
140,NA,"Wil Besseling",NA,13.16,"RyderCupWorldPoints",2012
141,NA,"Julien Guerrier",NA,13.06,"RyderCupWorldPoints",2012
142,NA,"Simon Khan",NA,12.94,"RyderCupWorldPoints",2012
143,NA,"Markus Brier",NA,12.34,"RyderCupWorldPoints",2012
144,NA,"Alvaro Velasco",NA,12.23,"RyderCupWorldPoints",2012
145,NA,"Maximilian Kieffer",NA,12,"RyderCupWorldPoints",2012
147,NA,"Victor Riu",NA,11.89,"RyderCupWorldPoints",2012
148,NA,"Nick Dougherty",NA,11.86,"RyderCupWorldPoints",2012
149,NA,"Callum MaCaulay",NA,11.8,"RyderCupWorldPoints",2012
150,NA,"Oscar Floren",NA,11.63,"RyderCupWorldPoints",2012
151,NA,"Jose Filipe Lima",NA,11.43,"RyderCupWorldPoints",2012
152,NA,"Tim Sluiter",NA,11.23,"RyderCupWorldPoints",2012
153,NA,"Colin Montgomerie",NA,10.96,"RyderCupWorldPoints",2012
155,NA,"Pierre Relecom",NA,10.96,"RyderCupWorldPoints",2012
156,NA,"Federico Colombo",NA,10.53,"RyderCupWorldPoints",2012
158,NA,"Matt Haines",NA,10.13,"RyderCupWorldPoints",2012
159,NA,"Steven OHara",NA,9.93,"RyderCupWorldPoints",2012
160,NA,"Knut Borsheim",NA,9.82,"RyderCupWorldPoints",2012
161,NA,"Bradley Dredge",NA,9.29,"RyderCupWorldPoints",2012
162,NA,"Richard Johnson",NA,8.52,"RyderCupWorldPoints",2012
164,NA,"Klas Eriksson",NA,8.46,"RyderCupWorldPoints",2012
166,NA,"Jeppe Huldahl",NA,8.42,"RyderCupWorldPoints",2012
167,NA,"Lasse Jensen",NA,8.4,"RyderCupWorldPoints",2012
168,NA,"Stephen Dodd",NA,8.33,"RyderCupWorldPoints",2012
169,NA,"Paul Waring",NA,8.15,"RyderCupWorldPoints",2012
170,NA,"Martin Wiegele",NA,8.06,"RyderCupWorldPoints",2012
172,NA,"David Higgins",NA,7.68,"RyderCupWorldPoints",2012
173,NA,"Matthew Southgate",NA,7.47,"RyderCupWorldPoints",2012
174,NA,"Oliver Fisher",NA,7.39,"RyderCupWorldPoints",2012
176,NA,"Lloyd Saltman",NA,7.17,"RyderCupWorldPoints",2012
178,NA,"Martin Rominger",NA,6.95,"RyderCupWorldPoints",2012
180,NA,"John Parry",NA,6.85,"RyderCupWorldPoints",2012
182,NA,"Roope Kakko",NA,6.76,"RyderCupWorldPoints",2012
184,NA,"Steven Tiley",NA,6.66,"RyderCupWorldPoints",2012
185,NA,"Peter Hedblom",NA,6.46,"RyderCupWorldPoints",2012
186,NA,"Chris Gane",NA,6.31,"RyderCupWorldPoints",2012
187,NA,"Robert Dinwiddie",NA,6.26,"RyderCupWorldPoints",2012
188,NA,"Michael Jonzon",NA,6.26,"RyderCupWorldPoints",2012
190,NA,"Pedro Oriol",NA,6.25,"RyderCupWorldPoints",2012
191,NA,"Christophe Brazillier",NA,6.16,"RyderCupWorldPoints",2012
193,NA,"Peter Baker",NA,6.03,"RyderCupWorldPoints",2012
194,NA,"Reinier Saxton",NA,6.02,"RyderCupWorldPoints",2012
195,NA,"Alan McLean",NA,6,"RyderCupWorldPoints",2012
196,NA,"Florian Pragant",NA,5.78,"RyderCupWorldPoints",2012
198,NA,"Mathias Gronberg",NA,5.74,"RyderCupWorldPoints",2012
199,NA,"Floris De Vries",NA,5.71,"RyderCupWorldPoints",2012
200,NA,"David Dixon",NA,5.67,"RyderCupWorldPoints",2012
