"Last5EventsPutting_RANKTHISWEEK_2016","Last5EventsPutting_RANKLASTWEEK_2016","Last5EventsPutting_PLAYERNAME_2016","Last5EventsPutting_EVENTS_2016","Last5EventsPutting_RATING_2016","stat_name","year"
67,52,"Patrick Reed",3,8.1,"Last5EventsPutting",2016
67,23,"Johnson Wagner",3,8.1,"Last5EventsPutting",2016
80,121,"Daniel Berger",3,8,"Last5EventsPutting",2016
80,80,"Scott Brown",3,8,"Last5EventsPutting",2016
80,52,"Jamie Donaldson",2,8,"Last5EventsPutting",2016
80,52,"Harris English",2,8,"Last5EventsPutting",2016
80,96,"Tony Finau",3,8,"Last5EventsPutting",2016
80,80,"Marcus Fraser",1,8,"Last5EventsPutting",2016
80,80,"Tom Gillis",1,8,"Last5EventsPutting",2016
80,80,"Thongchai Jaidee",1,8,"Last5EventsPutting",2016
80,96,"Anirban Lahiri",2,8,"Last5EventsPutting",2016
80,209,"Danny Lee",2,8,"Last5EventsPutting",2016
80,80,"Billy Mayfair",1,8,"Last5EventsPutting",2016
80,80,"Trey Mullinax",2,8,"Last5EventsPutting",2016
80,34,"Martin Piller",2,8,"Last5EventsPutting",2016
80,80,"DA Points",1,8,"Last5EventsPutting",2016
80,159,"Ian Poulter",3,8,"Last5EventsPutting",2016
80,121,"John Senden",4,8,"Last5EventsPutting",2016
80,121,"Jhonattan Vegas",3,8,"Last5EventsPutting",2016
80,80,"Camilo Villegas",3,8,"Last5EventsPutting",2016
80,80,"Jordan Zunic",1,8,"Last5EventsPutting",2016
99,96,"Aaron Baddeley",3,7.9,"Last5EventsPutting",2016
99,69,"Blayne Barber",1,7.9,"Last5EventsPutting",2016
99,159,"Roberto Castro",4,7.9,"Last5EventsPutting",2016
99,96,"Matthew Fitzpatrick",2,7.9,"Last5EventsPutting",2016
99,96,"Rickie Fowler",3,7.9,"Last5EventsPutting",2016
99,96,"Billy Horschel",3,7.9,"Last5EventsPutting",2016
99,96,"Zach Johnson",3,7.9,"Last5EventsPutting",2016
99,96,"Patton Kizzire",3,7.9,"Last5EventsPutting",2016
99,96,"Russell Knox",3,7.9,"Last5EventsPutting",2016
99,96,"DH Lee",1,7.9,"Last5EventsPutting",2016
99,96,"Jamie Lovemark",4,7.9,"Last5EventsPutting",2016
99,80,"George McNeill",2,7.9,"Last5EventsPutting",2016
99,96,"Seung Yul Noh",2,7.9,"Last5EventsPutting",2016
99,96,"Ted Purdy",1,7.9,"Last5EventsPutting",2016
99,96,"Andres Romero",1,7.9,"Last5EventsPutting",2016
99,69,"Adam Scott",3,7.9,"Last5EventsPutting",2016
99,96,"Kevin Streelman",1,7.9,"Last5EventsPutting",2016
99,96,"Marc Turnesa",2,7.9,"Last5EventsPutting",2016
99,96,"Bubba Watson",2,7.9,"Last5EventsPutting",2016
99,96,"Steve Wheatcroft",4,7.9,"Last5EventsPutting",2016
99,41,"Will Wilcox",2,7.9,"Last5EventsPutting",2016
120,121,"Zac Blair",4,7.8,"Last5EventsPutting",2016
120,121,"Jon Curran",3,7.8,"Last5EventsPutting",2016
120,121,"Ken Duke",2,7.8,"Last5EventsPutting",2016
120,121,"Brice Garnett",1,7.8,"Last5EventsPutting",2016
120,121,"Russell Henley",3,7.8,"Last5EventsPutting",2016
120,121,"Mark Hensby",1,7.8,"Last5EventsPutting",2016
120,121,"Smylie Kaufman",2,7.8,"Last5EventsPutting",2016
120,121,"Hyung Sung Kim",1,7.8,"Last5EventsPutting",2016
120,69,"Michael Kim",4,7.8,"Last5EventsPutting",2016
120,159,"Spencer Levin",3,7.8,"Last5EventsPutting",2016
120,121,"Frank Lickliter II",1,7.8,"Last5EventsPutting",2016
120,209,"Hunter Mahan",1,7.8,"Last5EventsPutting",2016
120,121,"Kevin Na",3,7.8,"Last5EventsPutting",2016
120,121,"Cameron Percy",1,7.8,"Last5EventsPutting",2016
120,121,"Scott Piercy",2,7.8,"Last5EventsPutting",2016
120,141,"Kyle Reifers",3,7.8,"Last5EventsPutting",2016
120,121,"Charl Schwartzel",3,7.8,"Last5EventsPutting",2016
120,121,"Cameron Smith",2,7.8,"Last5EventsPutting",2016
120,121,"Andy Sullivan",3,7.8,"Last5EventsPutting",2016
139,187,"Tyler Aldridge",2,7.7,"Last5EventsPutting",2016
139,159,"Jason Bohn",2,7.7,"Last5EventsPutting",2016
139,96,"Luke Donald",3,7.7,"Last5EventsPutting",2016
139,141,"Jason Dufner",3,7.7,"Last5EventsPutting",2016
139,141,"Steve Flesch",2,7.7,"Last5EventsPutting",2016
139,141,"Rhein Gibson",3,7.7,"Last5EventsPutting",2016
139,141,"Andres Gonzales",2,7.7,"Last5EventsPutting",2016
139,175,"Padraig Harrington",3,7.7,"Last5EventsPutting",2016
139,141,"Matt Kuchar",2,7.7,"Last5EventsPutting",2016
139,96,"Martin Laird",3,7.7,"Last5EventsPutting",2016
139,80,"Ryan Moore",2,7.7,"Last5EventsPutting",2016
139,141,"Chez Reavie",3,7.7,"Last5EventsPutting",2016
139,141,"Justin Rose",2,7.7,"Last5EventsPutting",2016
139,141,"Vijay Singh",3,7.7,"Last5EventsPutting",2016
139,242,"Vaughn Taylor",2,7.7,"Last5EventsPutting",2016
139,141,"Nick Taylor",3,7.7,"Last5EventsPutting",2016
139,175,"Cameron Tringale",5,7.7,"Last5EventsPutting",2016
139,141,"Bernd Wiesberger",2,7.7,"Last5EventsPutting",2016
139,141,"Chris Wood",2,7.7,"Last5EventsPutting",2016
139,141,"Greg Yates",1,7.7,"Last5EventsPutting",2016
159,159,"Matt Atkins",1,7.6,"Last5EventsPutting",2016
159,159,"Martin Flores",1,7.6,"Last5EventsPutting",2016
159,159,"David Hearn",3,7.6,"Last5EventsPutting",2016
159,159,"Jim Herman",3,7.6,"Last5EventsPutting",2016
159,159,"Nick Mason",1,7.6,"Last5EventsPutting",2016
159,187,"Francesco Molinari",4,7.6,"Last5EventsPutting",2016
159,69,"Henrik Norlander",2,7.6,"Last5EventsPutting",2016
159,159,"Ryan Palmer",5,7.6,"Last5EventsPutting",2016
159,141,"Webb Simpson",2,7.6,"Last5EventsPutting",2016
159,80,"Chris Stroud",3,7.6,"Last5EventsPutting",2016
159,175,"David Toms",4,7.6,"Last5EventsPutting",2016
159,187,"Dawie van der Walt",1,7.6,"Last5EventsPutting",2016
159,96,"Harold Varner III",4,7.6,"Last5EventsPutting",2016
172,175,"Joe Affrunti",1,7.5,"Last5EventsPutting",2016
172,175,"Michael Bradley",2,7.5,"Last5EventsPutting",2016
172,96,"Angel Cabrera",3,7.5,"Last5EventsPutting",2016
172,175,"KJ Choi",2,7.5,"Last5EventsPutting",2016
