"Approach150175yardsRTPScore_RANKTHISWEEK_2014","Approach150175yardsRTPScore_RANKLASTWEEK_2014","Approach150175yardsRTPScore_PLAYERNAME_2014","Approach150175yardsRTPScore_ROUNDS_2014","Approach150175yardsRTPScore_AVGRTP_2014","stat_name","year"
160,160,"Steven Bowditch",93,0.045,"Approach150175yardsRTPScore",2014
162,162,"Tim Clark",75,0.046,"Approach150175yardsRTPScore",2014
162,162,"Sean OHair",77,0.046,"Approach150175yardsRTPScore",2014
164,164,"Jason Bohn",81,0.05,"Approach150175yardsRTPScore",2014
164,164,"John Rollins",84,0.05,"Approach150175yardsRTPScore",2014
166,166,"Brian Davis",93,0.059,"Approach150175yardsRTPScore",2014
166,166,"DH Lee",54,0.059,"Approach150175yardsRTPScore",2014
168,168,"Boo Weekley",73,0.06,"Approach150175yardsRTPScore",2014
169,169,"Brendan Steele",89,0.061,"Approach150175yardsRTPScore",2014
170,170,"Jim Herman",62,0.071,"Approach150175yardsRTPScore",2014
171,171,"Angel Cabrera",69,0.076,"Approach150175yardsRTPScore",2014
172,172,"Derek Ernst",80,0.08,"Approach150175yardsRTPScore",2014
172,172,"Louis Oosthuizen",50,0.08,"Approach150175yardsRTPScore",2014
174,174,"Troy Matteson",62,0.085,"Approach150175yardsRTPScore",2014
174,174,"Kyle Stanley",87,0.085,"Approach150175yardsRTPScore",2014
176,176,"Andrew Loupe",65,0.158,"Approach150175yardsRTPScore",2014
177,177,"Lucas Glover",68,0.194,"Approach150175yardsRTPScore",2014
