"FirstTeeEarlyScoringAverage_RANKTHISWEEK_2010","FirstTeeEarlyScoringAverage_RANKLASTWEEK_2010","FirstTeeEarlyScoringAverage_PLAYERNAME_2010","FirstTeeEarlyScoringAverage_ROUNDS_2010","FirstTeeEarlyScoringAverage_AVG_2010","FirstTeeEarlyScoringAverage_TOTALSTROKES_2010","FirstTeeEarlyScoringAverage_TOTEARLYRDS1STTEE_2010","stat_name","year"
130,130,"Robert Allenby",76,70.96,1774,25,"FirstTeeEarlyScoringAverage",2010
131,131,"Richard Johnson",90,70.97,2058,29,"FirstTeeEarlyScoringAverage",2010
131,131,"Scott Piercy",88,70.97,2342,33,"FirstTeeEarlyScoringAverage",2010
133,133,"Craig Bowden",56,71,710,10,"FirstTeeEarlyScoringAverage",2010
133,133,"Brian Davis",101,71,1704,24,"FirstTeeEarlyScoringAverage",2010
133,133,"Rocco Mediate",71,71,1704,24,"FirstTeeEarlyScoringAverage",2010
133,133,"Geoff Ogilvy",62,71,1278,18,"FirstTeeEarlyScoringAverage",2010
133,133,"Adam Scott",70,71,1065,15,"FirstTeeEarlyScoringAverage",2010
138,138,"Jerod Turner",54,71.04,1634,23,"FirstTeeEarlyScoringAverage",2010
139,139,"Steve Lowery",67,71.05,1421,20,"FirstTeeEarlyScoringAverage",2010
139,139,"Shaun Micheel",70,71.05,1421,20,"FirstTeeEarlyScoringAverage",2010
141,141,"Daniel Chopra",74,71.1,1493,21,"FirstTeeEarlyScoringAverage",2010
142,142,"Billy Mayfair",78,71.13,1707,24,"FirstTeeEarlyScoringAverage",2010
143,143,"Derek Lamely",81,71.14,1565,22,"FirstTeeEarlyScoringAverage",2010
143,143,"Bill Lunde",79,71.14,1565,22,"FirstTeeEarlyScoringAverage",2010
145,145,"Jeff Overton",89,71.15,1921,27,"FirstTeeEarlyScoringAverage",2010
146,146,"Omar Uresti",74,71.16,1779,25,"FirstTeeEarlyScoringAverage",2010
147,147,"Mark Wilson",87,71.18,1993,28,"FirstTeeEarlyScoringAverage",2010
148,148,"Zach Johnson",93,71.2,2492,35,"FirstTeeEarlyScoringAverage",2010
149,149,"Brenden Pappas",66,71.22,1638,23,"FirstTeeEarlyScoringAverage",2010
150,150,"Kris Blanks",91,71.24,1781,25,"FirstTeeEarlyScoringAverage",2010
151,151,"Lucas Glover",75,71.25,1710,24,"FirstTeeEarlyScoringAverage",2010
152,152,"Jason Bohn",84,71.28,2067,29,"FirstTeeEarlyScoringAverage",2010
152,152,"Steve Wheatcroft",74,71.28,1782,25,"FirstTeeEarlyScoringAverage",2010
154,154,"Jim Furyk",76,71.29,998,14,"FirstTeeEarlyScoringAverage",2010
154,154,"David Lutterus",69,71.29,1711,24,"FirstTeeEarlyScoringAverage",2010
156,156,"Ryan Moore",80,71.39,1642,23,"FirstTeeEarlyScoringAverage",2010
157,157,"John Daly",63,71.41,1571,22,"FirstTeeEarlyScoringAverage",2010
157,157,"Camilo Villegas",78,71.41,1571,22,"FirstTeeEarlyScoringAverage",2010
159,159,"Michael Connell",89,71.42,2214,31,"FirstTeeEarlyScoringAverage",2010
160,160,"Aaron Baddeley",94,71.43,2143,30,"FirstTeeEarlyScoringAverage",2010
161,161,"Alex Cejka",81,71.46,1715,24,"FirstTeeEarlyScoringAverage",2010
162,162,"DA Points",90,71.47,2144,30,"FirstTeeEarlyScoringAverage",2010
163,163,"Andres Romero",73,71.48,1644,23,"FirstTeeEarlyScoringAverage",2010
164,164,"Mathias Gronberg",61,71.5,1430,20,"FirstTeeEarlyScoringAverage",2010
165,165,"Martin Laird",91,71.52,2074,29,"FirstTeeEarlyScoringAverage",2010
166,166,"Brent Delahoussaye",57,71.53,1359,19,"FirstTeeEarlyScoringAverage",2010
166,166,"Sergio Garcia",58,71.53,1359,19,"FirstTeeEarlyScoringAverage",2010
168,168,"Davis Love III",79,71.56,1288,18,"FirstTeeEarlyScoringAverage",2010
169,169,"Rod Pampling",77,71.57,2004,28,"FirstTeeEarlyScoringAverage",2010
170,170,"Steve Flesch",78,71.61,2363,33,"FirstTeeEarlyScoringAverage",2010
171,171,"Matt Bettencourt",91,71.64,2006,28,"FirstTeeEarlyScoringAverage",2010
171,171,"Cameron Tringale",55,71.64,1003,14,"FirstTeeEarlyScoringAverage",2010
173,173,"Ben Curtis",78,71.69,2079,29,"FirstTeeEarlyScoringAverage",2010
173,173,"Martin Flores",75,71.69,1147,16,"FirstTeeEarlyScoringAverage",2010
175,175,"Mark Calcavecchia",50,71.75,1148,16,"FirstTeeEarlyScoringAverage",2010
176,176,"Stuart Appleby",101,71.77,2799,39,"FirstTeeEarlyScoringAverage",2010
177,177,"Brad Faxon",58,71.79,1005,14,"FirstTeeEarlyScoringAverage",2010
