"FedExCupPointsperEventLeaders_RANKTHISWEEK_2010","FedExCupPointsperEventLeaders_RANKLASTWEEK_2010","FedExCupPointsperEventLeaders_PLAYERNAME_2010","FedExCupPointsperEventLeaders_EVENTS_2010","FedExCupPointsperEventLeaders_POINTSPEREVENT_2010","FedExCupPointsperEventLeaders_TOTALPOINTS_2010","stat_name","year"
100,100,"Paul Stankowski",13,22.753,295.783,"FedExCupPointsperEventLeaders",2010
101,101,"Martin Laird",21,22.71,476.92,"FedExCupPointsperEventLeaders",2010
102,102,"Nick OHern",11,22.494,247.43,"FedExCupPointsperEventLeaders",2010
103,103,"Chad Collins",23,22.267,512.13,"FedExCupPointsperEventLeaders",2010
104,104,"Tim Petrovic",24,22.17,532.083,"FedExCupPointsperEventLeaders",2010
105,105,"Alex Prugh",24,21.93,526.33,"FedExCupPointsperEventLeaders",2010
106,106,"Ben Curtis",19,21.887,415.86,"FedExCupPointsperEventLeaders",2010
107,107,"Bob Estes",20,21.596,431.91,"FedExCupPointsperEventLeaders",2010
108,108,"Jerry Kelly",23,21.425,492.767,"FedExCupPointsperEventLeaders",2010
109,109,"Joe Durant",15,21.391,320.868,"FedExCupPointsperEventLeaders",2010
110,110,"Cameron Beckman",20,21.355,427.09,"FedExCupPointsperEventLeaders",2010
111,111,"Alex Cejka",23,21.26,488.983,"FedExCupPointsperEventLeaders",2010
112,112,"David Duval",19,21.254,403.82,"FedExCupPointsperEventLeaders",2010
113,113,"Aron Price",17,21.087,358.476,"FedExCupPointsperEventLeaders",2010
114,114,"Jeff Maggert",22,21.06,463.323,"FedExCupPointsperEventLeaders",2010
115,115,"Briny Baird",22,20.8,457.6,"FedExCupPointsperEventLeaders",2010
116,116,"Brett Wetterich",12,20.688,248.25,"FedExCupPointsperEventLeaders",2010
117,117,"John Senden",23,20.311,467.157,"FedExCupPointsperEventLeaders",2010
118,118,"Derek Lamely",24,20.301,487.22,"FedExCupPointsperEventLeaders",2010
119,119,"Troy Matteson",21,20.254,425.343,"FedExCupPointsperEventLeaders",2010
120,120,"Ryuji Imada",22,20.22,444.833,"FedExCupPointsperEventLeaders",2010
