"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2010","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2010","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2010","FedExCupSeasonPointsforNonMembers_EVENTS_2010","FedExCupSeasonPointsforNonMembers_POINTS_2010","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2010","stat_name","year"
92,92,"Ryuichi Oda",2,3,NA,"FedExCupSeasonPointsforNonMembers",2010
94,94,"Erick Justesen",1,2,NA,"FedExCupSeasonPointsforNonMembers",2010
95,95,"Hirofumi Miyase",1,2,NA,"FedExCupSeasonPointsforNonMembers",2010
95,95,"Steven Tiley",1,2,NA,"FedExCupSeasonPointsforNonMembers",2010
97,97,"Casey Wittenberg",1,1,NA,"FedExCupSeasonPointsforNonMembers",2010
98,98,"Andrew Coltart",1,1,NA,"FedExCupSeasonPointsforNonMembers",2010
98,98,"Phil Schmitt",1,1,NA,"FedExCupSeasonPointsforNonMembers",2010
100,100,"Aaron Goldberg",2,1,NA,"FedExCupSeasonPointsforNonMembers",2010
101,101,"Thomas Aiken",1,1,NA,"FedExCupSeasonPointsforNonMembers",2010
102,102,"Michael ONeal",1,1,NA,"FedExCupSeasonPointsforNonMembers",2010
102,102,"Matthew Richardson",1,1,NA,"FedExCupSeasonPointsforNonMembers",2010
102,102,"Blake Trimble",1,1,NA,"FedExCupSeasonPointsforNonMembers",2010
105,105,"Michael Jonzon",1,1,1,"FedExCupSeasonPointsforNonMembers",2010
106,106,"Andrew Svoboda",1,1,NA,"FedExCupSeasonPointsforNonMembers",2010
107,107,"Kevin Hayashi",1,1,NA,"FedExCupSeasonPointsforNonMembers",2010
108,108,"Ty Tryon",1,1,NA,"FedExCupSeasonPointsforNonMembers",2010
109,109,"Mark Anderson",1,1,NA,"FedExCupSeasonPointsforNonMembers",2010
110,110,"Pablo Martin Benavides",2,1,NA,"FedExCupSeasonPointsforNonMembers",2010
110,110,"Jason Preeo",1,1,NA,"FedExCupSeasonPointsforNonMembers",2010
