"LateScoringAverage_RANKTHISWEEK_2010","LateScoringAverage_RANKLASTWEEK_2010","LateScoringAverage_PLAYERNAME_2010","LateScoringAverage_ROUNDS_2010","LateScoringAverage_AVG_2010","LateScoringAverage_TOTALSTROKES_2010","LateScoringAverage_TOTALLATEROUNDS_2010","stat_name","year"
25,25,"Michael Sim",64,70.19,2597,37,"LateScoringAverage",2010
26,26,"Ben Crane",85,70.23,2458,35,"LateScoringAverage",2010
27,27,"Chad Collins",87,70.26,3021,43,"LateScoringAverage",2010
27,27,"Carl Pettersson",99,70.26,3513,50,"LateScoringAverage",2010
29,29,"Aron Price",70,70.27,2881,41,"LateScoringAverage",2010
30,30,"Tom Gillis",97,70.28,3303,47,"LateScoringAverage",2010
30,30,"Shaun Micheel",70,70.28,2741,39,"LateScoringAverage",2010
32,32,"John Rollins",81,70.32,2883,41,"LateScoringAverage",2010
33,33,"Rickie Fowler",98,70.33,3657,52,"LateScoringAverage",2010
34,34,"Ernie Els",72,70.35,2603,37,"LateScoringAverage",2010
34,34,"David Toms",86,70.35,3025,43,"LateScoringAverage",2010
36,36,"Charley Hoffman",85,70.36,3096,44,"LateScoringAverage",2010
37,37,"Michael Connell",89,70.38,2956,42,"LateScoringAverage",2010
37,37,"Kenny Perry",69,70.38,2604,37,"LateScoringAverage",2010
37,37,"Chris Riley",73,70.38,2604,37,"LateScoringAverage",2010
37,37,"Bubba Watson",77,70.38,2604,37,"LateScoringAverage",2010
41,41,"Robert Allenby",76,70.39,2886,41,"LateScoringAverage",2010
41,41,"Vaughn Taylor",87,70.39,2886,41,"LateScoringAverage",2010
43,43,"Aaron Baddeley",94,70.4,3168,45,"LateScoringAverage",2010
44,44,"Scott Verplank",74,70.41,2253,32,"LateScoringAverage",2010
45,45,"Luke Donald",71,70.42,3028,43,"LateScoringAverage",2010
46,46,"JP Hayes",79,70.43,2606,37,"LateScoringAverage",2010
47,47,"Briny Baird",87,70.44,2888,41,"LateScoringAverage",2010
48,48,"Ricky Barnes",103,70.45,3734,53,"LateScoringAverage",2010
48,48,"JB Holmes",100,70.45,3311,47,"LateScoringAverage",2010
48,48,"Geoff Ogilvy",62,70.45,2325,33,"LateScoringAverage",2010
51,51,"Chad Campbell",95,70.46,2889,41,"LateScoringAverage",2010
52,52,"Freddie Jacobson",83,70.47,2396,34,"LateScoringAverage",2010
52,52,"DJ Trahan",92,70.47,3453,49,"LateScoringAverage",2010
54,54,"Johnson Wagner",85,70.48,2960,42,"LateScoringAverage",2010
55,55,"Richard Johnson",90,70.5,3102,44,"LateScoringAverage",2010
55,55,"Brett Quigley",96,70.5,2820,40,"LateScoringAverage",2010
57,57,"Matt Jones",89,70.51,3173,45,"LateScoringAverage",2010
57,57,"Pat Perez",90,70.51,2891,41,"LateScoringAverage",2010
59,59,"John Senden",103,70.52,3949,56,"LateScoringAverage",2010
60,60,"KJ Choi",82,70.53,3033,43,"LateScoringAverage",2010
60,60,"Jim Furyk",76,70.53,3033,43,"LateScoringAverage",2010
60,60,"Ryuji Imada",90,70.53,3033,43,"LateScoringAverage",2010
63,63,"Kris Blanks",91,70.55,3598,51,"LateScoringAverage",2010
63,63,"Chris DiMarco",88,70.55,2822,40,"LateScoringAverage",2010
63,63,"Andres Romero",73,70.55,2328,33,"LateScoringAverage",2010
66,66,"Mark Wilson",87,70.56,2893,41,"LateScoringAverage",2010
67,67,"Tim Herron",79,70.6,2824,40,"LateScoringAverage",2010
67,67,"Ryan Moore",80,70.6,3036,43,"LateScoringAverage",2010
67,67,"Webb Simpson",98,70.6,3389,48,"LateScoringAverage",2010
70,70,"Heath Slocum",97,70.61,3248,46,"LateScoringAverage",2010
71,71,"Blake Adams",84,70.63,2825,40,"LateScoringAverage",2010
71,71,"Tim Clark",88,70.63,3037,43,"LateScoringAverage",2010
71,71,"JJ Henry",92,70.63,2896,41,"LateScoringAverage",2010
71,71,"Bryce Molder",84,70.63,3249,46,"LateScoringAverage",2010
71,71,"Kevin Streelman",90,70.63,2825,40,"LateScoringAverage",2010
76,76,"Jason Day",82,70.64,3108,44,"LateScoringAverage",2010
76,76,"Zach Johnson",93,70.64,3179,45,"LateScoringAverage",2010
78,78,"Stuart Appleby",101,70.67,3180,45,"LateScoringAverage",2010
78,78,"Robert Garrigus",71,70.67,2332,33,"LateScoringAverage",2010
78,78,"Martin Laird",91,70.67,3180,45,"LateScoringAverage",2010
81,81,"Graham DeLaet",88,70.68,3110,44,"LateScoringAverage",2010
81,81,"Billy Mayfair",78,70.68,2898,41,"LateScoringAverage",2010
83,83,"Hunter Mahan",85,70.69,3181,45,"LateScoringAverage",2010
84,84,"Tim Petrovic",105,70.7,3535,50,"LateScoringAverage",2010
85,85,"John Merrick",109,70.72,3324,47,"LateScoringAverage",2010
86,86,"Scott McCarron",90,70.73,3112,44,"LateScoringAverage",2010
86,86,"Ryan Palmer",84,70.73,2829,40,"LateScoringAverage",2010
88,88,"Troy Matteson",84,70.74,2688,38,"LateScoringAverage",2010
88,88,"George McNeill",79,70.74,2759,39,"LateScoringAverage",2010
88,88,"Jeev Milkha Singh",59,70.74,1627,23,"LateScoringAverage",2010
91,91,"Brett Wetterich",54,70.76,2052,29,"LateScoringAverage",2010
92,92,"Greg Chalmers",93,70.77,3114,44,"LateScoringAverage",2010
93,93,"Nathan Green",86,70.79,3044,43,"LateScoringAverage",2010
94,94,"Phil Mickelson",76,70.8,3186,45,"LateScoringAverage",2010
95,95,"Davis Love III",79,70.81,2974,42,"LateScoringAverage",2010
95,95,"Jeff Quinney",91,70.81,2974,42,"LateScoringAverage",2010
97,97,"Ben Curtis",78,70.82,2337,33,"LateScoringAverage",2010
97,97,"Alex Prugh",88,70.82,3187,45,"LateScoringAverage",2010
99,99,"Troy Merritt",86,70.83,2833,40,"LateScoringAverage",2010
99,99,"James Nitties",92,70.83,3329,47,"LateScoringAverage",2010
99,99,"Tom Pernice Jr",74,70.83,2550,36,"LateScoringAverage",2010
99,99,"Garrett Willis",82,70.83,2550,36,"LateScoringAverage",2010
103,103,"Josh Teater",101,70.86,3543,50,"LateScoringAverage",2010
104,104,"Stewart Cink",84,70.88,2835,40,"LateScoringAverage",2010
105,105,"Justin Leonard",89,70.89,3119,44,"LateScoringAverage",2010
106,106,"Bob Estes",79,70.9,2836,40,"LateScoringAverage",2010
106,106,"Rocco Mediate",71,70.9,2198,31,"LateScoringAverage",2010
108,108,"Matt Every",60,70.91,2340,33,"LateScoringAverage",2010
108,108,"Boo Weekley",88,70.91,3049,43,"LateScoringAverage",2010
110,110,"James Driscoll",78,70.92,2695,38,"LateScoringAverage",2010
110,110,"Dustin Johnson",83,70.92,3404,48,"LateScoringAverage",2010
110,110,"Camilo Villegas",78,70.92,2695,38,"LateScoringAverage",2010
113,113,"Kevin Sutherland",86,70.93,3121,44,"LateScoringAverage",2010
113,113,"Cameron Tringale",55,70.93,2128,30,"LateScoringAverage",2010
115,115,"Marc Leishman",87,70.95,2696,38,"LateScoringAverage",2010
115,115,"Adam Scott",70,70.95,2838,40,"LateScoringAverage",2010
117,117,"David Duval",71,70.97,2342,33,"LateScoringAverage",2010
118,118,"Sean OHair",84,70.98,3407,48,"LateScoringAverage",2010
118,118,"Kevin Stadler",86,70.98,3052,43,"LateScoringAverage",2010
120,120,"Cameron Beckman",68,71,2627,37,"LateScoringAverage",2010
120,120,"Brian Gay",101,71,3195,45,"LateScoringAverage",2010
120,120,"Jarrod Lyle",54,71,1704,24,"LateScoringAverage",2010
120,120,"Will Ma Kenzie",72,71,2485,35,"LateScoringAverage",2010
124,124,"Woody Austin",93,71.02,3125,44,"LateScoringAverage",2010
125,125,"Lee Janzen",77,71.03,2628,37,"LateScoringAverage",2010
125,125,"Omar Uresti",74,71.03,2415,34,"LateScoringAverage",2010
125,125,"Jimmy Walker",82,71.03,2699,38,"LateScoringAverage",2010
125,125,"Jay Williamson",76,71.03,2344,33,"LateScoringAverage",2010
129,129,"Chris Stroud",90,71.04,3197,45,"LateScoringAverage",2010
130,130,"Andrew McLardy",52,71.08,1848,26,"LateScoringAverage",2010
131,131,"John Mallinger",78,71.09,3270,46,"LateScoringAverage",2010
132,132,"Martin Flores",75,71.13,2774,39,"LateScoringAverage",2010
132,132,"Charles Warren",64,71.13,2276,32,"LateScoringAverage",2010
134,134,"Michael Bradley",77,71.14,2063,29,"LateScoringAverage",2010
134,134,"Sergio Garcia",58,71.14,1494,21,"LateScoringAverage",2010
136,136,"Matt Bettencourt",91,71.16,3131,44,"LateScoringAverage",2010
137,137,"Stephen Ames",75,71.17,2491,35,"LateScoringAverage",2010
138,138,"Angel Cabrera",64,71.18,2705,38,"LateScoringAverage",2010
138,138,"Jerry Kelly",99,71.18,3630,51,"LateScoringAverage",2010
138,138,"Brenden Pappas",66,71.18,2349,33,"LateScoringAverage",2010
141,141,"John Daly",63,71.22,1923,27,"LateScoringAverage",2010
142,142,"Padraig Harrington",57,71.25,2280,32,"LateScoringAverage",2010
142,142,"Jeff Maggert",76,71.25,2565,36,"LateScoringAverage",2010
142,142,"Rod Pampling",77,71.25,2280,32,"LateScoringAverage",2010
145,145,"Michael Letzig",84,71.29,2709,38,"LateScoringAverage",2010
146,146,"Greg Owen",69,71.3,2638,37,"LateScoringAverage",2010
147,147,"Rory McIlroy",54,71.31,1854,26,"LateScoringAverage",2010
148,148,"Chris Tidland",77,71.32,2425,34,"LateScoringAverage",2010
149,149,"Lucas Glover",75,71.33,2782,39,"LateScoringAverage",2010
150,150,"Mathias Gronberg",61,71.44,1929,27,"LateScoringAverage",2010
151,151,"Roger Tambellini",77,71.46,2787,39,"LateScoringAverage",2010
152,152,"Vijay Singh",75,71.47,2573,36,"LateScoringAverage",2010
153,153,"Bill Lunde",79,71.5,2574,36,"LateScoringAverage",2010
154,154,"Joe Ogilvie",99,71.54,3434,48,"LateScoringAverage",2010
155,155,"Brian Davis",101,71.55,3506,49,"LateScoringAverage",2010
156,156,"Alex Cejka",81,71.56,2791,39,"LateScoringAverage",2010
157,157,"Skip Kendall",58,71.64,2006,28,"LateScoringAverage",2010
158,158,"Nicholas Thompson",88,71.67,3010,42,"LateScoringAverage",2010
159,159,"Jeff Gove",57,71.68,1792,25,"LateScoringAverage",2010
159,159,"Cliff Kresge",50,71.68,1792,25,"LateScoringAverage",2010
159,159,"Steve Marino",81,71.68,3154,44,"LateScoringAverage",2010
162,162,"Garth Mulroy",53,71.7,1936,27,"LateScoringAverage",2010
162,162,"Brian Stuard",81,71.7,3083,43,"LateScoringAverage",2010
162,162,"YE Yang",72,71.7,2151,30,"LateScoringAverage",2010
165,165,"Trevor Immelman",55,71.76,2081,29,"LateScoringAverage",2010
166,166,"Steve Flesch",78,71.81,2226,31,"LateScoringAverage",2010
167,167,"David Lutterus",69,71.86,2084,29,"LateScoringAverage",2010
168,168,"Mathew Goggin",85,71.87,2803,39,"LateScoringAverage",2010
169,169,"Cameron Percy",73,71.89,2732,38,"LateScoringAverage",2010
170,170,"Rory Sabbatini",79,71.91,2445,34,"LateScoringAverage",2010
171,171,"Derek Lamely",81,71.92,2589,36,"LateScoringAverage",2010
172,172,"Steve Lowery",67,71.93,2014,28,"LateScoringAverage",2010
173,173,"Jason Dufner",87,71.95,2662,37,"LateScoringAverage",2010
173,173,"Ian Poulter",55,71.95,1583,22,"LateScoringAverage",2010
175,175,"Henrik Bjornstad",72,71.97,2303,32,"LateScoringAverage",2010
176,176,"Steve Wheatcroft",74,72,2448,34,"LateScoringAverage",2010
177,177,"Justin Bolli",55,72.03,2089,29,"LateScoringAverage",2010
178,178,"Rich Barcelo",70,72.06,2378,33,"LateScoringAverage",2010
179,179,"Daniel Chopra",74,72.17,2526,35,"LateScoringAverage",2010
180,180,"Roland Thatcher",72,72.19,2599,36,"LateScoringAverage",2010
181,181,"Greg Kraft",52,72.29,2024,28,"LateScoringAverage",2010
181,181,"Ted Purdy",86,72.29,2747,38,"LateScoringAverage",2010
183,183,"Craig Bowden",56,72.31,2097,29,"LateScoringAverage",2010
184,184,"Mike Weir",59,72.32,2025,28,"LateScoringAverage",2010
185,185,"Brent Delahoussaye",57,72.35,1881,26,"LateScoringAverage",2010
185,185,"Chris Wilson",65,72.35,2460,34,"LateScoringAverage",2010
187,187,"Vance Veazey",58,72.36,1809,25,"LateScoringAverage",2010
188,188,"Paul Goydos",78,72.41,2824,39,"LateScoringAverage",2010
189,189,"Kevin Johnson",62,72.53,2176,30,"LateScoringAverage",2010
190,190,"Mark Calcavecchia",50,73.04,1826,25,"LateScoringAverage",2010
191,191,"Jerod Turner",54,73.1,1462,20,"LateScoringAverage",2010
192,192,"Brad Faxon",58,73.11,1974,27,"LateScoringAverage",2010
