"StrokesGainedTeetoGreen_RANKTHISWEEK_2015","StrokesGainedTeetoGreen_RANKLASTWEEK_2015","StrokesGainedTeetoGreen_PLAYERNAME_2015","StrokesGainedTeetoGreen_ROUNDS_2015","StrokesGainedTeetoGreen_AVERAGE_2015","StrokesGainedTeetoGreen_TOTALSGOTT_2015","StrokesGainedTeetoGreen_SGAPR_2015","StrokesGainedTeetoGreen_TOTALSGARG_2015","StrokesGainedTeetoGreen_MEASUREDROUNDS_2015","stat_name","year"
168,168,"Tim Wilkinson",73,-0.569,-0.32,-0.52,0.28,58,"StrokesGainedTeetoGreen",2015
169,169,"Troy Merritt",91,-0.579,-0.32,-0.19,-0.05,82,"StrokesGainedTeetoGreen",2015
170,170,"Brian Davis",86,-0.593,-0.11,-0.5,0.02,71,"StrokesGainedTeetoGreen",2015
171,171,"Max Homa",78,-0.619,0.06,-0.46,-0.21,62,"StrokesGainedTeetoGreen",2015
172,172,"Andres Gonzales",90,-0.714,-0.38,-0.34,0.02,76,"StrokesGainedTeetoGreen",2015
173,173,"Bill Lunde",50,-0.724,0.11,-0.59,-0.24,36,"StrokesGainedTeetoGreen",2015
174,174,"Ben Crane",62,-0.759,-0.3,-0.48,0.03,52,"StrokesGainedTeetoGreen",2015
175,175,"Jonathan Randolph",72,-0.85,-0.4,-0.23,-0.2,56,"StrokesGainedTeetoGreen",2015
176,176,"Aaron Baddeley",76,-0.945,-0.59,-0.71,0.37,66,"StrokesGainedTeetoGreen",2015
177,177,"Heath Slocum",57,-0.97,-0.22,-0.75,0.01,39,"StrokesGainedTeetoGreen",2015
178,178,"Oscar Fraustro",58,-1.034,0.25,-0.63,-0.65,40,"StrokesGainedTeetoGreen",2015
179,179,"Andrew Svoboda",80,-1.041,-0.17,-0.41,-0.46,70,"StrokesGainedTeetoGreen",2015
180,180,"Matt Every",73,-1.043,-0.92,-0.07,-0.04,56,"StrokesGainedTeetoGreen",2015
181,181,"Eric Axley",57,-1.101,-0.54,-0.37,-0.18,43,"StrokesGainedTeetoGreen",2015
182,182,"Roger Sloan",56,-1.103,-0.16,-0.74,-0.19,40,"StrokesGainedTeetoGreen",2015
183,183,"Greg Chalmers",58,-1.133,-0.32,-0.78,-0.02,36,"StrokesGainedTeetoGreen",2015
184,184,"Andrew Putnam",68,-1.43,-1.41,-0.13,0.11,54,"StrokesGainedTeetoGreen",2015
