"LongestDrives_RANKTHISWEEK_2007","LongestDrives_RANKLASTWEEK_2007","LongestDrives_PLAYERNAME_2007","LongestDrives_ROUNDS_2007","LongestDrives_DISTANCE_2007","LongestDrives_TOURNAMENT_2007","LongestDrives_ROUND_2007","LongestDrives_HOLE_2007","LongestDrives_COURSE_2007","stat_name","year"
42,42,"Charley Hoffman",97,394,NA,5,7,723,"LongestDrives",2007
42,42,"Ken Duke",112,394,NA,3,4,538,"LongestDrives",2007
45,45,"Greg Owen",81,393,NA,3,4,538,"LongestDrives",2007
45,45,"Raphael Jacquelin",10,393,NA,2,8,36,"LongestDrives",2007
45,45,"Chris Stroud",66,393,NA,4,4,538,"LongestDrives",2007
50,50,"Dean Wilson",92,392,NA,2,15,510,"LongestDrives",2007
50,50,"Nick Watney",87,392,NA,5,7,723,"LongestDrives",2007
50,50,"Kyle Reifers",71,392,NA,3,2,730,"LongestDrives",2007
58,58,"Davis Love III",66,391,NA,4,12,656,"LongestDrives",2007
58,58,"Stuart Appleby",74,391,NA,1,12,656,"LongestDrives",2007
58,58,"Retief Goosen",50,391,NA,1,16,36,"LongestDrives",2007
58,58,"Aaron Baddeley",83,391,NA,1,12,656,"LongestDrives",2007
67,67,"Mathias Gronberg",95,390,NA,4,11,625,"LongestDrives",2007
67,67,"Jason Gore",86,390,NA,3,9,660,"LongestDrives",2007
67,67,"Louis Oosthuizen",4,390,NA,4,7,8,"LongestDrives",2007
75,75,"Craig Barlow",52,389,NA,5,7,723,"LongestDrives",2007
75,75,"Lee Westwood",29,389,NA,4,16,36,"LongestDrives",2007
75,75,"Daniel Chopra",106,389,NA,5,7,723,"LongestDrives",2007
75,75,"Charles Warren",101,389,NA,5,7,723,"LongestDrives",2007
75,75,"Ben Crane",29,389,NA,3,4,538,"LongestDrives",2007
88,88,"JJ Henry",86,387,NA,1,12,656,"LongestDrives",2007
88,88,"Rory Sabbatini",81,387,NA,1,17,656,"LongestDrives",2007
95,95,"Tiger Woods",63,386,NA,4,16,36,"LongestDrives",2007
95,95,"Phil Tataurangi",21,386,NA,1,7,638,"LongestDrives",2007
98,98,"Lee Janzen",66,385,NA,1,17,638,"LongestDrives",2007
98,98,"Stephen Ames",81,385,NA,1,17,656,"LongestDrives",2007
98,98,"Hank Kuehne",6,385,NA,2,7,638,"LongestDrives",2007
98,98,"Thongchai Jaidee",10,385,NA,4,8,36,"LongestDrives",2007
98,98,"Jason Dufner",100,385,NA,4,10,660,"LongestDrives",2007
109,109,"Parker McLachlin",83,384,NA,1,7,638,"LongestDrives",2007
109,109,"Steven Bowditch",10,384,NA,1,17,638,"LongestDrives",2007
114,114,"Ron Philo Jr",12,383,NA,2,10,660,"LongestDrives",2007
119,119,"Robert Karlsson",43,382,NA,1,16,36,"LongestDrives",2007
119,119,"Arron Oberholser",69,382,NA,1,18,656,"LongestDrives",2007
119,119,"Padraig Harrington",64,382,NA,2,16,36,"LongestDrives",2007
119,119,"Henrik Stenson",52,382,NA,4,8,36,"LongestDrives",2007
119,119,"Jeff Quinney",95,382,NA,5,7,723,"LongestDrives",2007
119,119,"Andres Romero",10,382,NA,4,8,36,"LongestDrives",2007
119,119,"Kevin Stadler",95,382,NA,5,7,723,"LongestDrives",2007
119,119,"Dustin Johnson",2,382,NA,2,1,625,"LongestDrives",2007
132,132,"Rod Pampling",92,381,NA,4,18,656,"LongestDrives",2007
132,132,"Angel Cabrera",43,381,NA,1,8,36,"LongestDrives",2007
132,132,"Matt Hendrix",63,381,NA,3,11,625,"LongestDrives",2007
145,145,"Ryan Palmer",91,380,NA,2,18,638,"LongestDrives",2007
145,145,"Tag Ridings",52,380,NA,3,18,730,"LongestDrives",2007
145,145,"Brendon de Jonge",76,380,NA,1,7,638,"LongestDrives",2007
145,145,"Paul Casey",38,380,NA,1,8,36,"LongestDrives",2007
145,145,"Brian Miller",2,380,NA,2,16,6,"LongestDrives",2007
155,155,"Joey Sindelar",75,379,NA,1,7,638,"LongestDrives",2007
155,155,"Kirk Triplett",77,379,NA,1,12,656,"LongestDrives",2007
155,155,"Neal Lancaster",41,379,NA,3,10,660,"LongestDrives",2007
155,155,"Jeff Brehaut",59,379,NA,4,1,625,"LongestDrives",2007
155,155,"Rich Beem",89,379,NA,4,1,625,"LongestDrives",2007
155,155,"Scott Gutschewski",67,379,NA,4,13,35,"LongestDrives",2007
167,167,"Mark Calcavecchia",93,378,NA,5,7,723,"LongestDrives",2007
167,167,"Chad Campbell",96,378,NA,4,17,656,"LongestDrives",2007
167,167,"Stewart Cink",91,378,NA,4,18,638,"LongestDrives",2007
167,167,"Mathew Goggin",97,378,NA,1,18,638,"LongestDrives",2007
167,167,"DJ Trahan",99,378,NA,4,17,660,"LongestDrives",2007
167,167,"Hunter Mahan",91,378,NA,1,16,36,"LongestDrives",2007
167,167,"Lucas Glover",98,378,NA,3,10,660,"LongestDrives",2007
167,167,"Ryan Moore",92,378,NA,3,10,665,"LongestDrives",2007
195,195,"Kenny Perry",83,377,NA,3,1,6,"LongestDrives",2007
195,195,"Chris Smith",23,377,NA,2,9,660,"LongestDrives",2007
195,195,"Bob May",49,377,NA,4,17,660,"LongestDrives",2007
195,195,"Joe Durant",88,377,NA,4,12,656,"LongestDrives",2007
