"LateScoringAverage_RANKTHISWEEK_2014","LateScoringAverage_RANKLASTWEEK_2014","LateScoringAverage_PLAYERNAME_2014","LateScoringAverage_ROUNDS_2014","LateScoringAverage_AVG_2014","LateScoringAverage_TOTALSTROKES_2014","LateScoringAverage_TOTALLATEROUNDS_2014","stat_name","year"
50,50,"Keegan Bradley",89,70.52,3667,52,"LateScoringAverage",2014
51,51,"George McNeill",79,70.53,2680,38,"LateScoringAverage",2014
52,52,"Chris Kirk",105,70.56,4022,57,"LateScoringAverage",2014
52,52,"Justin Rose",70,70.56,2893,41,"LateScoringAverage",2014
52,52,"Heath Slocum",71,70.56,2258,32,"LateScoringAverage",2014
52,52,"Daniel Summerhays",98,70.56,3175,45,"LateScoringAverage",2014
56,56,"Bryce Molder",77,70.58,2188,31,"LateScoringAverage",2014
57,57,"Boo Weekley",73,70.61,1977,28,"LateScoringAverage",2014
58,58,"Robert Garrigus",80,70.62,2613,37,"LateScoringAverage",2014
58,58,"Kevin Stadler",90,70.62,2754,39,"LateScoringAverage",2014
60,60,"Jason Dufner",57,70.63,1907,27,"LateScoringAverage",2014
60,60,"Ben Martin",80,70.63,3037,43,"LateScoringAverage",2014
62,62,"Martin Kaymer",65,70.64,2331,33,"LateScoringAverage",2014
62,62,"Kevin Kisner",85,70.64,3179,45,"LateScoringAverage",2014
64,64,"Seung Yul Noh",92,70.67,2968,42,"LateScoringAverage",2014
65,65,"Angel Cabrera",69,70.71,2192,31,"LateScoringAverage",2014
65,65,"David Hearn",97,70.71,2970,42,"LateScoringAverage",2014
67,67,"Paul Casey",56,70.72,1768,25,"LateScoringAverage",2014
67,67,"Davis Love III",74,70.72,2051,29,"LateScoringAverage",2014
69,69,"Camilo Villegas",95,70.73,2900,41,"LateScoringAverage",2014
70,70,"Billy Hurley III",86,70.74,2971,42,"LateScoringAverage",2014
71,71,"Jamie Lovemark",64,70.75,1981,28,"LateScoringAverage",2014
72,72,"Stuart Appleby",92,70.77,2760,39,"LateScoringAverage",2014
73,73,"Russell Knox",92,70.81,2974,42,"LateScoringAverage",2014
74,74,"Wes Roach",67,70.82,1983,28,"LateScoringAverage",2014
75,75,"Will Ma Kenzie",82,70.83,2975,42,"LateScoringAverage",2014
76,76,"Luke Guthrie",85,70.85,2834,40,"LateScoringAverage",2014
76,76,"Gary Woodland",93,70.85,3259,46,"LateScoringAverage",2014
78,78,"Troy Merritt",62,70.86,1984,28,"LateScoringAverage",2014
79,79,"Ben Crane",81,70.87,2764,39,"LateScoringAverage",2014
80,80,"Scott Langley",95,70.89,3332,47,"LateScoringAverage",2014
81,81,"Jeff Overton",80,70.94,2199,31,"LateScoringAverage",2014
82,82,"Briny Baird",50,70.95,1348,19,"LateScoringAverage",2014
82,82,"Brice Garnett",92,70.95,2838,40,"LateScoringAverage",2014
82,82,"Bo Van Pelt",83,70.95,3051,43,"LateScoringAverage",2014
85,85,"Brooks Koepka",56,70.96,1632,23,"LateScoringAverage",2014
86,86,"James Hahn",82,70.97,2768,39,"LateScoringAverage",2014
86,86,"Phil Mickelson",71,70.97,2484,35,"LateScoringAverage",2014
86,86,"Henrik Stenson",56,70.97,2413,34,"LateScoringAverage",2014
89,89,"Nick Watney",80,70.98,2910,41,"LateScoringAverage",2014
90,90,"Brendon de Jonge",109,71,3479,49,"LateScoringAverage",2014
90,90,"Matt Every",85,71,3124,44,"LateScoringAverage",2014
90,90,"Spencer Levin",59,71,1704,24,"LateScoringAverage",2014
93,93,"Robert Allenby",83,71.03,2699,38,"LateScoringAverage",2014
93,93,"Jonathan Byrd",76,71.03,2557,36,"LateScoringAverage",2014
93,93,"Charlie Wi",72,71.03,2486,35,"LateScoringAverage",2014
96,96,"Morgan Hoffmann",103,71.06,3624,51,"LateScoringAverage",2014
96,96,"Brandt Snedeker",89,71.06,3340,47,"LateScoringAverage",2014
98,98,"Kevin Chappell",100,71.09,3270,46,"LateScoringAverage",2014
98,98,"Tim Wilkinson",86,71.09,3199,45,"LateScoringAverage",2014
100,100,"Danny Lee",84,71.12,2916,41,"LateScoringAverage",2014
101,101,"Tyrone Van Aswegen",79,71.14,2490,35,"LateScoringAverage",2014
102,102,"Jeff Maggert",54,71.15,1850,26,"LateScoringAverage",2014
103,103,"Andres Romero",81,71.16,2277,32,"LateScoringAverage",2014
104,104,"Lee Westwood",57,71.17,1708,24,"LateScoringAverage",2014
105,105,"Bud Cauley",56,71.19,2278,32,"LateScoringAverage",2014
106,106,"Brad Fritsch",50,71.2,1780,25,"LateScoringAverage",2014
107,107,"Ryo Ishikawa",75,71.21,2777,39,"LateScoringAverage",2014
107,107,"Cameron Tringale",111,71.21,3418,48,"LateScoringAverage",2014
109,109,"Brian Davis",93,71.22,3205,45,"LateScoringAverage",2014
109,109,"Ernie Els",85,71.22,2635,37,"LateScoringAverage",2014
109,109,"Hunter Mahan",88,71.22,3205,45,"LateScoringAverage",2014
112,112,"Chesson Hadley",84,71.26,3349,47,"LateScoringAverage",2014
113,113,"JJ Henry",91,71.27,2637,37,"LateScoringAverage",2014
113,113,"Michael Putnam",106,71.27,3421,48,"LateScoringAverage",2014
115,115,"Ken Duke",80,71.3,2353,33,"LateScoringAverage",2014
115,115,"Justin Leonard",75,71.3,2353,33,"LateScoringAverage",2014
117,117,"Sangmoon Bae",76,71.31,2567,36,"LateScoringAverage",2014
117,117,"JB Holmes",86,71.31,3494,49,"LateScoringAverage",2014
119,119,"Sean OHair",77,71.32,2211,31,"LateScoringAverage",2014
119,119,"Josh Teater",90,71.32,2924,41,"LateScoringAverage",2014
119,119,"Johnson Wagner",69,71.32,2211,31,"LateScoringAverage",2014
122,122,"Ted Potter Jr",68,71.34,2283,32,"LateScoringAverage",2014
123,123,"Geoff Ogilvy",84,71.35,2640,37,"LateScoringAverage",2014
124,124,"Richard Lee",80,71.37,2712,38,"LateScoringAverage",2014
125,125,"Matt Jones",83,71.38,2855,40,"LateScoringAverage",2014
125,125,"Ian Poulter",57,71.38,1856,26,"LateScoringAverage",2014
127,127,"Tommy Gainey",73,71.39,2570,36,"LateScoringAverage",2014
127,127,"Brendan Steele",89,71.39,2570,36,"LateScoringAverage",2014
129,129,"John Huh",87,71.4,2499,35,"LateScoringAverage",2014
129,129,"Kyle Stanley",87,71.4,2499,35,"LateScoringAverage",2014
131,131,"Retief Goosen",94,71.41,3142,44,"LateScoringAverage",2014
131,131,"Martin Laird",66,71.41,1928,27,"LateScoringAverage",2014
133,133,"Martin Flores",85,71.43,2857,40,"LateScoringAverage",2014
134,134,"Pat Perez",84,71.44,3215,45,"LateScoringAverage",2014
135,135,"Patrick Reed",92,71.45,3144,44,"LateScoringAverage",2014
135,135,"Vijay Singh",83,71.45,2715,38,"LateScoringAverage",2014
137,137,"Bronson La Cassie",51,71.5,1573,22,"LateScoringAverage",2014
137,137,"David Lingmerth",80,71.5,2431,34,"LateScoringAverage",2014
139,139,"Luke Donald",57,71.52,1645,23,"LateScoringAverage",2014
139,139,"Brian Gay",81,71.52,2217,31,"LateScoringAverage",2014
141,141,"James Driscoll",71,71.53,2432,34,"LateScoringAverage",2014
141,141,"John Merrick",87,71.53,2289,32,"LateScoringAverage",2014
143,143,"Louis Oosthuizen",50,71.54,1717,24,"LateScoringAverage",2014
144,144,"Charlie Beljan",76,71.55,2719,38,"LateScoringAverage",2014
144,144,"Mike Weir",69,71.55,2361,33,"LateScoringAverage",2014
146,146,"Erik Compton",88,71.56,3220,45,"LateScoringAverage",2014
147,147,"Greg Chalmers",85,71.57,3006,42,"LateScoringAverage",2014
148,148,"Steven Bowditch",93,71.58,3221,45,"LateScoringAverage",2014
148,148,"John Peterson",62,71.58,2219,31,"LateScoringAverage",2014
150,150,"Stewart Cink",91,71.6,3079,43,"LateScoringAverage",2014
150,150,"Jim Renner",61,71.6,2148,30,"LateScoringAverage",2014
152,152,"Roberto Castro",76,71.63,2507,35,"LateScoringAverage",2014
153,153,"Andrew Loupe",65,71.65,2221,31,"LateScoringAverage",2014
153,153,"Rory Sabbatini",82,71.65,2651,37,"LateScoringAverage",2014
155,155,"Aaron Baddeley",74,71.68,2724,38,"LateScoringAverage",2014
156,156,"Troy Matteson",62,71.7,1936,27,"LateScoringAverage",2014
157,157,"Chad Collins",78,71.72,2582,36,"LateScoringAverage",2014
157,157,"Mark Wilson",69,71.72,2080,29,"LateScoringAverage",2014
159,159,"Russell Henley",92,71.8,2872,40,"LateScoringAverage",2014
160,160,"YE Yang",79,71.82,2442,34,"LateScoringAverage",2014
161,161,"Kevin Tway",64,71.83,2083,29,"LateScoringAverage",2014
162,162,"Gonzalo Fdez Castano",83,71.84,2658,37,"LateScoringAverage",2014
162,162,"Nicholas Thompson",85,71.84,2730,38,"LateScoringAverage",2014
164,164,"Trevor Immelman",84,71.86,2084,29,"LateScoringAverage",2014
165,165,"KJ Choi",80,71.91,2517,35,"LateScoringAverage",2014
166,166,"Jonas Blixt",64,71.93,1942,27,"LateScoringAverage",2014
167,167,"DH Lee",54,71.95,1511,21,"LateScoringAverage",2014
168,168,"Woody Austin",63,71.96,1871,26,"LateScoringAverage",2014
169,169,"Scott Stallings",77,72.09,2451,34,"LateScoringAverage",2014
169,169,"Kevin Streelman",79,72.09,3100,43,"LateScoringAverage",2014
171,171,"Hudson Swafford",75,72.23,2528,35,"LateScoringAverage",2014
172,172,"DA Points",75,72.31,2314,32,"LateScoringAverage",2014
173,173,"John Rollins",84,72.51,2538,35,"LateScoringAverage",2014
174,174,"Ben Curtis",77,72.53,2466,34,"LateScoringAverage",2014
175,175,"Lucas Glover",68,72.56,2322,32,"LateScoringAverage",2014
175,175,"Michael Thompson",74,72.56,2322,32,"LateScoringAverage",2014
177,177,"Derek Ernst",80,72.69,2544,35,"LateScoringAverage",2014
