"OnePuttPercentage_RANKTHISWEEK_2014","OnePuttPercentage_RANKLASTWEEK_2014","OnePuttPercentage_PLAYERNAME_2014","OnePuttPercentage_ROUNDS_2014","OnePuttPercentage_Pct_2014","OnePuttPercentage_OF1PUTTS_2014","OnePuttPercentage_OFHOLES_2014","stat_name","year"
25,25,"Gonzalo Fdez Castano",83,41.53,613,1476,"OnePuttPercentage",2014
26,26,"Ernie Els",85,41.42,589,1422,"OnePuttPercentage",2014
27,27,"Andres Romero",81,41.41,574,1386,"OnePuttPercentage",2014
28,28,"Chad Collins",78,41.37,551,1332,"OnePuttPercentage",2014
29,29,"Matt Every",85,41.31,632,1530,"OnePuttPercentage",2014
30,30,"Lee Westwood",57,41.27,416,1008,"OnePuttPercentage",2014
31,31,"Brandt Snedeker",89,41.25,646,1566,"OnePuttPercentage",2014
32,32,"Brian Davis",93,41.22,690,1674,"OnePuttPercentage",2014
33,33,"Jerry Kelly",80,41.18,593,1440,"OnePuttPercentage",2014
34,34,"Tim Clark",75,41.11,555,1350,"OnePuttPercentage",2014
34,34,"Ryan Palmer",85,41.11,629,1530,"OnePuttPercentage",2014
36,36,"Ricky Barnes",92,40.97,649,1584,"OnePuttPercentage",2014
37,37,"Brian Stuard",91,40.87,640,1566,"OnePuttPercentage",2014
38,38,"Sangmoon Bae",76,40.86,559,1368,"OnePuttPercentage",2014
38,38,"Graeme McDowell",66,40.86,456,1116,"OnePuttPercentage",2014
40,40,"Andrew Loupe",65,40.8,448,1098,"OnePuttPercentage",2014
41,41,"Erik Compton",88,40.66,644,1584,"OnePuttPercentage",2014
42,42,"KJ Choi",80,40.63,585,1440,"OnePuttPercentage",2014
42,42,"Charlie Wi",72,40.63,512,1260,"OnePuttPercentage",2014
44,44,"Sergio Garcia",61,40.61,424,1044,"OnePuttPercentage",2014
45,45,"Scott Langley",95,40.56,679,1674,"OnePuttPercentage",2014
45,45,"Patrick Reed",92,40.56,657,1620,"OnePuttPercentage",2014
47,47,"Jason Day",54,40.51,350,864,"OnePuttPercentage",2014
47,47,"Jimmy Walker",98,40.51,700,1728,"OnePuttPercentage",2014
49,49,"Scott Brown",100,40.5,729,1800,"OnePuttPercentage",2014
50,50,"Hideki Matsuyama",82,40.49,583,1440,"OnePuttPercentage",2014
51,51,"Dustin Johnson",58,40.45,415,1026,"OnePuttPercentage",2014
52,52,"Steven Bowditch",93,40.44,677,1674,"OnePuttPercentage",2014
52,52,"Charley Hoffman",93,40.44,677,1674,"OnePuttPercentage",2014
52,52,"Adam Scott",68,40.44,495,1224,"OnePuttPercentage",2014
55,55,"Bryce Molder",77,40.41,531,1314,"OnePuttPercentage",2014
55,55,"Pat Perez",84,40.41,611,1512,"OnePuttPercentage",2014
57,57,"William McGirt",96,40.28,696,1728,"OnePuttPercentage",2014
58,58,"Michael Thompson",74,40.24,536,1332,"OnePuttPercentage",2014
59,59,"Webb Simpson",87,40.21,608,1512,"OnePuttPercentage",2014
60,60,"Brooks Koepka",56,40.18,405,1008,"OnePuttPercentage",2014
61,61,"Jonas Blixt",64,40.14,448,1116,"OnePuttPercentage",2014
62,62,"Ryo Ishikawa",75,40.07,541,1350,"OnePuttPercentage",2014
63,63,"James Driscoll",71,40.06,512,1278,"OnePuttPercentage",2014
63,63,"Robert Streb",75,40.06,512,1278,"OnePuttPercentage",2014
65,65,"Ben Crane",81,39.99,583,1458,"OnePuttPercentage",2014
66,66,"Matt Kuchar",91,39.96,633,1584,"OnePuttPercentage",2014
66,66,"Kevin Streelman",79,39.96,561,1404,"OnePuttPercentage",2014
68,68,"Brad Fritsch",50,39.93,345,864,"OnePuttPercentage",2014
69,69,"Jeff Overton",80,39.91,546,1368,"OnePuttPercentage",2014
70,70,"Brian Harman",111,39.89,797,1998,"OnePuttPercentage",2014
71,71,"Bronson La Cassie",51,39.72,336,846,"OnePuttPercentage",2014
72,72,"Camilo Villegas",95,39.65,678,1710,"OnePuttPercentage",2014
73,73,"Zach Johnson",97,39.58,684,1728,"OnePuttPercentage",2014
74,74,"Chesson Hadley",84,39.55,598,1512,"OnePuttPercentage",2014
75,75,"Brendan Steele",89,39.54,605,1530,"OnePuttPercentage",2014
76,76,"Matt Jones",83,39.49,590,1494,"OnePuttPercentage",2014
77,77,"Justin Rose",70,39.46,483,1224,"OnePuttPercentage",2014
77,77,"YE Yang",79,39.46,554,1404,"OnePuttPercentage",2014
79,79,"George McNeill",79,39.45,561,1422,"OnePuttPercentage",2014
80,80,"Seung Yul Noh",92,39.43,653,1656,"OnePuttPercentage",2014
81,81,"Jason Kokrak",65,39.4,461,1170,"OnePuttPercentage",2014
82,82,"Keegan Bradley",89,39.39,624,1584,"OnePuttPercentage",2014
82,82,"Sean OHair",77,39.39,546,1386,"OnePuttPercentage",2014
82,82,"Tyrone Van Aswegen",79,39.39,553,1404,"OnePuttPercentage",2014
85,85,"Tommy Gainey",73,39.37,489,1242,"OnePuttPercentage",2014
85,85,"Russell Henley",92,39.37,652,1656,"OnePuttPercentage",2014
87,87,"Woody Austin",63,39.36,418,1062,"OnePuttPercentage",2014
88,88,"Retief Goosen",94,39.26,636,1620,"OnePuttPercentage",2014
89,89,"Martin Kaymer",65,39.24,452,1152,"OnePuttPercentage",2014
90,90,"Paul Casey",56,39.19,395,1008,"OnePuttPercentage",2014
91,91,"David Lingmerth",80,39.18,536,1368,"OnePuttPercentage",2014
92,92,"Robert Garrigus",80,39.17,564,1440,"OnePuttPercentage",2014
93,93,"Brice Garnett",92,39.14,620,1584,"OnePuttPercentage",2014
94,94,"DH Lee",54,39.11,352,900,"OnePuttPercentage",2014
95,95,"Jim Furyk",84,39.1,563,1440,"OnePuttPercentage",2014
95,95,"Danny Lee",84,39.1,563,1440,"OnePuttPercentage",2014
95,95,"Geoff Ogilvy",84,39.1,563,1440,"OnePuttPercentage",2014
98,98,"Ben Curtis",77,39.04,513,1314,"OnePuttPercentage",2014
99,99,"Rory Sabbatini",82,39.03,548,1404,"OnePuttPercentage",2014
100,100,"Ben Martin",80,38.96,561,1440,"OnePuttPercentage",2014
101,101,"Marc Leishman",81,38.89,560,1440,"OnePuttPercentage",2014
101,101,"Troy Merritt",62,38.89,434,1116,"OnePuttPercentage",2014
103,103,"Will Ma Kenzie",82,38.82,573,1476,"OnePuttPercentage",2014
104,104,"Bubba Watson",76,38.81,510,1314,"OnePuttPercentage",2014
105,105,"David Hearn",97,38.77,677,1746,"OnePuttPercentage",2014
106,106,"Kevin Kisner",85,38.76,593,1530,"OnePuttPercentage",2014
107,107,"Kevin Chappell",100,38.72,669,1728,"OnePuttPercentage",2014
108,108,"Shawn Stefani",60,38.7,418,1080,"OnePuttPercentage",2014
109,109,"Ryan Moore",86,38.62,584,1512,"OnePuttPercentage",2014
110,110,"Brendon de Jonge",109,38.48,755,1962,"OnePuttPercentage",2014
111,111,"Gary Woodland",93,38.35,635,1656,"OnePuttPercentage",2014
112,112,"Jason Bohn",81,38.34,559,1458,"OnePuttPercentage",2014
113,113,"Jonathan Byrd",76,38.27,496,1296,"OnePuttPercentage",2014
114,114,"David Toms",64,38.26,427,1116,"OnePuttPercentage",2014
115,115,"Bill Haas",107,38.15,721,1890,"OnePuttPercentage",2014
116,116,"Roberto Castro",76,38.06,507,1332,"OnePuttPercentage",2014
117,117,"Billy Hurley III",86,38.05,589,1548,"OnePuttPercentage",2014
118,118,"Hunter Mahan",88,38.04,582,1530,"OnePuttPercentage",2014
118,118,"Daniel Summerhays",98,38.04,671,1764,"OnePuttPercentage",2014
120,120,"John Huh",87,38.02,568,1494,"OnePuttPercentage",2014
121,121,"Russell Knox",92,37.98,629,1656,"OnePuttPercentage",2014
122,122,"Ted Potter Jr",68,37.91,464,1224,"OnePuttPercentage",2014
123,123,"Charles Howell III",106,37.89,723,1908,"OnePuttPercentage",2014
123,123,"Cameron Tringale",111,37.89,757,1998,"OnePuttPercentage",2014
125,125,"Spencer Levin",59,37.85,402,1062,"OnePuttPercentage",2014
126,126,"Martin Flores",85,37.84,579,1530,"OnePuttPercentage",2014
127,127,"John Senden",99,37.82,674,1782,"OnePuttPercentage",2014
128,128,"Harris English",95,37.8,626,1656,"OnePuttPercentage",2014
129,129,"Jamie Lovemark",64,37.78,408,1080,"OnePuttPercentage",2014
130,130,"Angel Cabrera",69,37.68,468,1242,"OnePuttPercentage",2014
131,131,"Briny Baird",50,37.56,338,900,"OnePuttPercentage",2014
131,131,"Nick Watney",80,37.56,507,1350,"OnePuttPercentage",2014
133,133,"Davis Love III",74,37.5,486,1296,"OnePuttPercentage",2014
134,134,"Vijay Singh",83,37.48,560,1494,"OnePuttPercentage",2014
135,135,"Stewart Cink",91,37.42,613,1638,"OnePuttPercentage",2014
136,136,"Heath Slocum",71,37.36,464,1242,"OnePuttPercentage",2014
137,137,"Carl Pettersson",91,37.24,610,1638,"OnePuttPercentage",2014
138,138,"Troy Matteson",62,37.16,388,1044,"OnePuttPercentage",2014
139,139,"Louis Oosthuizen",50,37.08,307,828,"OnePuttPercentage",2014
140,140,"Ken Duke",80,37.04,520,1404,"OnePuttPercentage",2014
141,141,"Johnson Wagner",69,37.01,433,1170,"OnePuttPercentage",2014
142,142,"Scott Stallings",77,36.99,506,1368,"OnePuttPercentage",2014
143,143,"Michael Putnam",106,36.98,679,1836,"OnePuttPercentage",2014
144,144,"Jeff Maggert",54,36.93,359,972,"OnePuttPercentage",2014
145,145,"Robert Allenby",83,36.83,537,1458,"OnePuttPercentage",2014
145,145,"DA Points",75,36.83,484,1314,"OnePuttPercentage",2014
147,147,"Charlie Beljan",76,36.81,477,1296,"OnePuttPercentage",2014
148,148,"Bud Cauley",56,36.71,370,1008,"OnePuttPercentage",2014
149,149,"Bo Van Pelt",83,36.61,547,1494,"OnePuttPercentage",2014
150,150,"Graham DeLaet",80,36.57,520,1422,"OnePuttPercentage",2014
151,151,"Josh Teater",90,36.43,577,1584,"OnePuttPercentage",2014
152,152,"James Hahn",82,36.39,524,1440,"OnePuttPercentage",2014
153,153,"Mark Wilson",69,36.24,424,1170,"OnePuttPercentage",2014
154,154,"Jason Dufner",57,36.21,352,972,"OnePuttPercentage",2014
155,155,"Derek Ernst",80,35.89,491,1368,"OnePuttPercentage",2014
156,156,"Trevor Immelman",84,35.76,515,1440,"OnePuttPercentage",2014
157,157,"Andrew Svoboda",77,35.71,495,1386,"OnePuttPercentage",2014
158,158,"Henrik Stenson",56,35.7,347,972,"OnePuttPercentage",2014
159,159,"Jim Renner",61,35.69,379,1062,"OnePuttPercentage",2014
160,160,"Jhonattan Vegas",77,35.56,480,1350,"OnePuttPercentage",2014
161,161,"John Peterson",62,35.46,383,1080,"OnePuttPercentage",2014
162,162,"Jim Herman",62,35.44,370,1044,"OnePuttPercentage",2014
163,163,"Will Wilcox",51,35.37,312,882,"OnePuttPercentage",2014
164,164,"Billy Horschel",92,35.25,571,1620,"OnePuttPercentage",2014
165,165,"Kevin Stadler",90,35.08,562,1602,"OnePuttPercentage",2014
166,166,"Nicholas Thompson",85,34.84,508,1458,"OnePuttPercentage",2014
167,167,"Martin Laird",66,34.77,388,1116,"OnePuttPercentage",2014
168,168,"Kevin Tway",64,34.72,375,1080,"OnePuttPercentage",2014
169,169,"Justin Hicks",103,34.68,618,1782,"OnePuttPercentage",2014
170,170,"John Merrick",87,34.34,513,1494,"OnePuttPercentage",2014
171,171,"Kyle Stanley",87,34.27,512,1494,"OnePuttPercentage",2014
172,172,"John Rollins",84,34.1,491,1440,"OnePuttPercentage",2014
173,173,"Hudson Swafford",75,33.72,431,1278,"OnePuttPercentage",2014
174,174,"Chad Campbell",57,33.54,320,954,"OnePuttPercentage",2014
175,175,"Lucas Glover",68,33.5,398,1188,"OnePuttPercentage",2014
176,176,"JJ Henry",91,33.01,517,1566,"OnePuttPercentage",2014
177,177,"Boo Weekley",73,32.1,416,1296,"OnePuttPercentage",2014
