"ScramblingfromtheSand_RANKTHISWEEK_2012","ScramblingfromtheSand_RANKLASTWEEK_2012","ScramblingfromtheSand_PLAYERNAME_2012","ScramblingfromtheSand_ROUNDS_2012","ScramblingfromtheSand_Pct_2012","ScramblingfromtheSand_SUCCESSES_2012","ScramblingfromtheSand_ATTEMPTS_2012","stat_name","year"
105,105,"Scott Dunlap",57,49.18,30,61,"ScramblingfromtheSand",2012
106,106,"Jason Bohn",81,49.14,57,116,"ScramblingfromtheSand",2012
107,107,"Steve Stricker",73,49.09,27,55,"ScramblingfromtheSand",2012
108,108,"Henrik Stenson",51,48.98,24,49,"ScramblingfromtheSand",2012
109,109,"Hunter Mahan",88,48.96,47,96,"ScramblingfromtheSand",2012
109,109,"Pat Perez",81,48.96,47,96,"ScramblingfromtheSand",2012
111,111,"Kyle Thompson",51,48.94,23,47,"ScramblingfromtheSand",2012
112,112,"Brendon Todd",78,48.89,44,90,"ScramblingfromtheSand",2012
112,112,"Lee Westwood",60,48.89,22,45,"ScramblingfromtheSand",2012
114,114,"Derek Lamely",64,48.68,37,76,"ScramblingfromtheSand",2012
115,115,"Jeff Overton",101,48.6,52,107,"ScramblingfromtheSand",2012
116,116,"Michael Bradley",63,48.33,29,60,"ScramblingfromtheSand",2012
117,117,"Brendon de Jonge",115,48.31,57,118,"ScramblingfromtheSand",2012
118,118,"Colt Knost",79,48.15,52,108,"ScramblingfromtheSand",2012
119,119,"Bryce Molder",83,48.08,50,104,"ScramblingfromtheSand",2012
120,120,"Kevin Chappell",91,47.97,59,123,"ScramblingfromtheSand",2012
121,121,"Sung Kang",75,47.92,46,96,"ScramblingfromtheSand",2012
122,122,"Heath Slocum",93,47.47,47,99,"ScramblingfromtheSand",2012
123,123,"Marc Leishman",84,47.31,44,93,"ScramblingfromtheSand",2012
124,124,"JB Holmes",90,47.22,51,108,"ScramblingfromtheSand",2012
125,125,"Kevin Streelman",89,47.17,50,106,"ScramblingfromtheSand",2012
126,126,"David Mathis",83,47.06,56,119,"ScramblingfromtheSand",2012
126,126,"Adam Scott",59,47.06,24,51,"ScramblingfromtheSand",2012
128,128,"Charlie Wi",86,46.79,51,109,"ScramblingfromtheSand",2012
129,129,"Brandt Jobe",57,46.77,29,62,"ScramblingfromtheSand",2012
130,130,"Ted Potter Jr",77,46.67,42,90,"ScramblingfromtheSand",2012
131,131,"JJ Henry",93,46.58,34,73,"ScramblingfromtheSand",2012
132,132,"Russell Knox",72,46.43,26,56,"ScramblingfromtheSand",2012
132,132,"Chez Reavie",83,46.43,39,84,"ScramblingfromtheSand",2012
134,134,"Daniel Summerhays",81,46.32,44,95,"ScramblingfromtheSand",2012
135,135,"Sangmoon Bae",81,46.3,50,108,"ScramblingfromtheSand",2012
136,136,"Patrick Sheehan",58,46.27,31,67,"ScramblingfromtheSand",2012
137,137,"Charles Howell III",98,46,46,100,"ScramblingfromtheSand",2012
137,137,"Justin Leonard",79,46,46,100,"ScramblingfromtheSand",2012
139,139,"Brendan Steele",77,45.98,40,87,"ScramblingfromtheSand",2012
140,140,"William McGirt",96,45.83,55,120,"ScramblingfromtheSand",2012
140,140,"Sean OHair",84,45.83,44,96,"ScramblingfromtheSand",2012
140,140,"DJ Trahan",73,45.83,33,72,"ScramblingfromtheSand",2012
143,143,"John Daly",50,45.71,16,35,"ScramblingfromtheSand",2012
143,143,"Camilo Villegas",79,45.71,32,70,"ScramblingfromtheSand",2012
145,145,"Andres Romero",68,45.57,36,79,"ScramblingfromtheSand",2012
146,146,"Scott Piercy",95,45.45,40,88,"ScramblingfromtheSand",2012
146,146,"DA Points",88,45.45,45,99,"ScramblingfromtheSand",2012
148,148,"Erik Compton",81,45.05,41,91,"ScramblingfromtheSand",2012
149,149,"Chad Campbell",84,44.9,44,98,"ScramblingfromtheSand",2012
150,150,"Robert Garrigus",89,44.83,39,87,"ScramblingfromtheSand",2012
150,150,"Hunter Haas",69,44.83,39,87,"ScramblingfromtheSand",2012
152,152,"Josh Teater",97,44.76,47,105,"ScramblingfromtheSand",2012
153,153,"Arjun Atwal",79,44.68,42,94,"ScramblingfromtheSand",2012
154,154,"John Mallinger",74,44.44,40,90,"ScramblingfromtheSand",2012
154,154,"Garth Mulroy",59,44.44,24,54,"ScramblingfromtheSand",2012
156,156,"Bob Estes",78,44.33,43,97,"ScramblingfromtheSand",2012
157,157,"Nick Watney",97,44.32,39,88,"ScramblingfromtheSand",2012
158,158,"Kyle Stanley",86,44.3,35,79,"ScramblingfromtheSand",2012
159,159,"Billy Horschel",63,44.19,19,43,"ScramblingfromtheSand",2012
160,160,"Graham DeLaet",79,43.75,35,80,"ScramblingfromtheSand",2012
161,161,"Robert Allenby",76,43.53,37,85,"ScramblingfromtheSand",2012
161,161,"Matt Bettencourt",80,43.53,37,85,"ScramblingfromtheSand",2012
163,163,"Stewart Cink",71,43.24,32,74,"ScramblingfromtheSand",2012
164,164,"John Rollins",81,43,43,100,"ScramblingfromtheSand",2012
165,165,"Kris Blanks",65,42.86,39,91,"ScramblingfromtheSand",2012
166,166,"Bobby Gates",87,42.71,41,96,"ScramblingfromtheSand",2012
167,167,"Scott Brown",65,42.62,26,61,"ScramblingfromtheSand",2012
168,168,"Gary Christian",91,42.42,42,99,"ScramblingfromtheSand",2012
169,169,"Charley Hoffman",88,42,42,100,"ScramblingfromtheSand",2012
170,170,"Charlie Beljan",61,41.86,18,43,"ScramblingfromtheSand",2012
171,171,"Ricky Barnes",92,41.84,41,98,"ScramblingfromtheSand",2012
172,172,"Freddie Jacobson",61,41.82,23,55,"ScramblingfromtheSand",2012
173,173,"Gary Woodland",70,41.67,25,60,"ScramblingfromtheSand",2012
174,174,"Troy Kelly",68,41.25,33,80,"ScramblingfromtheSand",2012
175,175,"Jeff Maggert",83,40.38,42,104,"ScramblingfromtheSand",2012
176,176,"John Merrick",83,40,30,75,"ScramblingfromtheSand",2012
177,177,"Chris Couch",61,39.71,27,68,"ScramblingfromtheSand",2012
178,178,"Martin Laird",77,39.68,25,63,"ScramblingfromtheSand",2012
179,179,"Will Claxton",99,39.36,37,94,"ScramblingfromtheSand",2012
180,180,"Johnson Wagner",88,39.13,36,92,"ScramblingfromtheSand",2012
181,181,"Boo Weekley",74,39.06,25,64,"ScramblingfromtheSand",2012
182,182,"Miguel Angel Carballo",73,38.89,28,72,"ScramblingfromtheSand",2012
183,183,"Louis Oosthuizen",65,38.71,24,62,"ScramblingfromtheSand",2012
184,184,"Graeme McDowell",55,37.5,12,32,"ScramblingfromtheSand",2012
185,185,"Jhonattan Vegas",77,37.21,32,86,"ScramblingfromtheSand",2012
186,186,"Scott Stallings",78,36.84,28,76,"ScramblingfromtheSand",2012
187,187,"Tommy Biershenk",74,36.59,30,82,"ScramblingfromtheSand",2012
188,188,"Roland Thatcher",55,33.96,18,53,"ScramblingfromtheSand",2012
189,189,"Ben Curtis",62,33.33,18,54,"ScramblingfromtheSand",2012
190,190,"Bubba Watson",68,32.43,12,37,"ScramblingfromtheSand",2012
191,191,"Alexandre Rocha",62,32,16,50,"ScramblingfromtheSand",2012
