"PGAChampionshipPoints_RANKTHISWEEK_2006","PGAChampionshipPoints_RANKLASTWEEK_2006","PGAChampionshipPoints_PLAYERNAME_2006","PGAChampionshipPoints_EVENTS_2006","PGAChampionshipPoints_POINTS_2006","stat_name","year"
133,133,"Brian Davis",11,120492,"PGAChampionshipPoints",2006
134,134,"Arjun Atwal",11,117727,"PGAChampionshipPoints",2006
135,135,"Billy Andrade",6,116855,"PGAChampionshipPoints",2006
136,136,"Mark Wilson",9,116286,"PGAChampionshipPoints",2006
137,137,"Danny Ellis",10,115416,"PGAChampionshipPoints",2006
138,138,"Henrik Stenson",3,115000,"PGAChampionshipPoints",2006
139,139,"Glen Day",2,109500,"PGAChampionshipPoints",2006
140,140,"Kenny Perry",5,109446,"PGAChampionshipPoints",2006
141,141,"Cameron Beckman",4,105467,"PGAChampionshipPoints",2006
142,142,"John Cook",6,105375,"PGAChampionshipPoints",2006
143,143,"Corey Pavin",5,102646,"PGAChampionshipPoints",2006
144,144,"Lee Westwood",3,102100,"PGAChampionshipPoints",2006
145,145,"Jeff Sluman",8,99906,"PGAChampionshipPoints",2006
146,146,"Jonathan Kaye",11,99361,"PGAChampionshipPoints",2006
147,147,"Brad Faxon",8,95400,"PGAChampionshipPoints",2006
148,148,"Mathew Goggin",6,94552,"PGAChampionshipPoints",2006
149,149,"Billy Mayfair",8,94250,"PGAChampionshipPoints",2006
150,150,"Tag Ridings",11,94121,"PGAChampionshipPoints",2006
151,151,"Bob Tway",8,92871,"PGAChampionshipPoints",2006
152,152,"Stephen Ames",4,91320,"PGAChampionshipPoints",2006
153,153,"Bill Glasson",8,89679,"PGAChampionshipPoints",2006
154,154,"Matt Hansen",10,88428,"PGAChampionshipPoints",2006
155,155,"Jason Day",4,86308,"PGAChampionshipPoints",2006
156,156,"Peter Lonard",7,81915,"PGAChampionshipPoints",2006
157,157,"Robert Karlsson",4,81800,"PGAChampionshipPoints",2006
158,158,"Mark OMeara",5,79853,"PGAChampionshipPoints",2006
