"ProximitytoHoleARG_RANKTHISWEEK_2011","ProximitytoHoleARG_RANKLASTWEEK_2011","ProximitytoHoleARG_PLAYERNAME_2011","ProximitytoHoleARG_ROUNDS_2011","ProximitytoHoleARG_AVGDTP_2011","ProximitytoHoleARG_TOTALDISTANCEFEET_2011","ProximitytoHoleARG_OFSHOTS_2011","ProximitytoHoleARG_SCRAMBLINGRANK_2011","stat_name","year"
54,NA,"Retief Goosen",50,NA,1867.167,265,81,"ProximitytoHoleARG",2011
54,NA,"Nathan Green",81,NA,3852,543,26,"ProximitytoHoleARG",2011
54,NA,"Spencer Levin",113,NA,4243.75,596,41,"ProximitytoHoleARG",2011
54,NA,"Rocco Mediate",53,NA,2538.833,357,178,"ProximitytoHoleARG",2011
54,NA,"Michael Thompson",79,NA,3299.583,468,32,"ProximitytoHoleARG",2011
54,NA,"Bo Van Pelt",92,NA,3461.667,489,68,"ProximitytoHoleARG",2011
63,NA,"Kris Blanks",92,NA,3710.833,517,94,"ProximitytoHoleARG",2011
63,NA,"KJ Choi",77,NA,2765.583,384,27,"ProximitytoHoleARG",2011
63,NA,"Michael Connell",76,NA,3455.75,483,30,"ProximitytoHoleARG",2011
63,NA,"Ben Curtis",66,NA,2905.5,405,21,"ProximitytoHoleARG",2011
63,NA,"Harrison Frazar",58,NA,2297.5,321,157,"ProximitytoHoleARG",2011
63,NA,"Paul Goydos",81,NA,3412.083,476,130,"ProximitytoHoleARG",2011
63,NA,"JP Hayes",56,NA,2580,358,80,"ProximitytoHoleARG",2011
63,NA,"Charles Howell III",108,NA,4252.083,594,5,"ProximitytoHoleARG",2011
63,NA,"Robert Karlsson",61,NA,2466.25,345,40,"ProximitytoHoleARG",2011
63,NA,"Bio Kim",71,NA,3394.583,475,142,"ProximitytoHoleARG",2011
63,NA,"Davis Love III",70,NA,2397.917,334,161,"ProximitytoHoleARG",2011
63,NA,"Matt McQuillan",59,NA,2335,324,101,"ProximitytoHoleARG",2011
63,NA,"Jim Renner",65,NA,2687.333,373,85,"ProximitytoHoleARG",2011
63,NA,"Justin Rose",79,NA,2909.917,408,95,"ProximitytoHoleARG",2011
63,NA,"Kyle Stanley",98,NA,4005.833,560,156,"ProximitytoHoleARG",2011
63,NA,"Vaughn Taylor",89,NA,3908.917,548,72,"ProximitytoHoleARG",2011
63,NA,"Dean Wilson",62,NA,2876.917,402,19,"ProximitytoHoleARG",2011
80,NA,"Chris Couch",73,NA,3679.083,507,27,"ProximitytoHoleARG",2011
80,NA,"Brian Davis",105,NA,4440.333,616,62,"ProximitytoHoleARG",2011
80,NA,"Rickie Fowler",84,NA,3505.583,481,139,"ProximitytoHoleARG",2011
80,NA,"Lee Janzen",62,NA,2554.083,351,144,"ProximitytoHoleARG",2011
80,NA,"Matt Jones",71,NA,3594.583,495,110,"ProximitytoHoleARG",2011
80,NA,"Marc Leishman",87,NA,4087.25,566,71,"ProximitytoHoleARG",2011
80,NA,"Bill Lunde",92,NA,3565.25,491,114,"ProximitytoHoleARG",2011
80,NA,"Hunter Mahan",92,NA,3596.417,495,92,"ProximitytoHoleARG",2011
80,NA,"David Mathis",83,NA,3463.417,478,30,"ProximitytoHoleARG",2011
80,NA,"George McNeill",69,NA,2978.583,413,124,"ProximitytoHoleARG",2011
80,NA,"Troy Merritt",63,NA,2920.833,402,121,"ProximitytoHoleARG",2011
80,NA,"Ryan Moore",79,NA,3207.417,440,45,"ProximitytoHoleARG",2011
80,NA,"Joe Ogilvie",75,NA,3358.417,461,109,"ProximitytoHoleARG",2011
80,NA,"Rod Pampling",72,NA,3066.25,425,10,"ProximitytoHoleARG",2011
80,NA,"Chris Stroud",88,NA,3722.667,513,103,"ProximitytoHoleARG",2011
80,NA,"DJ Trahan",91,NA,4028.417,556,82,"ProximitytoHoleARG",2011
96,NA,"Shane Bertsch",62,NA,2512.083,344,57,"ProximitytoHoleARG",2011
96,NA,"Jason Bohn",74,NA,3174,432,83,"ProximitytoHoleARG",2011
96,NA,"Kevin Chappell",78,NA,3359.083,460,72,"ProximitytoHoleARG",2011
96,NA,"David Duval",67,NA,2905,397,172,"ProximitytoHoleARG",2011
96,NA,"Tom Gillis",55,NA,2471.5,337,129,"ProximitytoHoleARG",2011
96,NA,"Lucas Glover",74,NA,2968.083,406,162,"ProximitytoHoleARG",2011
96,NA,"Anthony Kim",72,NA,3070.417,421,75,"ProximitytoHoleARG",2011
96,NA,"Kevin Kisner",70,NA,3210.25,436,142,"ProximitytoHoleARG",2011
96,NA,"Jarrod Lyle",83,NA,3947.5,536,104,"ProximitytoHoleARG",2011
96,NA,"Andres Romero",77,NA,3841.417,521,120,"ProximitytoHoleARG",2011
106,NA,"Joseph Bramlett",73,NA,3208.083,433,119,"ProximitytoHoleARG",2011
106,NA,"James Driscoll",71,NA,3404.333,459,112,"ProximitytoHoleARG",2011
106,NA,"Joe Durant",71,NA,2850.417,384,59,"ProximitytoHoleARG",2011
106,NA,"Scott Gutschewski",67,NA,3004.75,404,115,"ProximitytoHoleARG",2011
106,NA,"Sean OHair",71,NA,3076,417,146,"ProximitytoHoleARG",2011
106,NA,"Charl Schwartzel",58,NA,2123.917,286,50,"ProximitytoHoleARG",2011
106,NA,"Brandt Snedeker",85,NA,3577.25,481,22,"ProximitytoHoleARG",2011
106,NA,"Kevin Streelman",90,NA,3560.167,479,37,"ProximitytoHoleARG",2011
