"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2016","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2016","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2016","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2016","ofPotentialPtswonFedExCupRegularSeason_Pct_2016","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2016","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2016","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2016","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2016","stat_name","year"
175,170,"Whee Kim",18,2.15,184,8600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
176,179,"Angel Cabrera",13,2.14,129,6000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
177,170,"Sam Saunders",15,2.12,155,7300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
178,177,"Shane Bertsch",9,2.11,91,4300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
178,172,"Shawn Stefani",16,2.11,160,7600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
180,174,"Henrik Norlander",13,2.07,126,6100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
181,177,"Steven Bowditch",14,1.95,129,6600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
182,181,"Scott Pinckney",18,1.94,171,8800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
183,189,"Steve Wheatcroft",16,1.9,148,7800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
184,183,"Ryo Ishikawa",6,1.82,55,3000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
185,185,"Rory Sabbatini",14,1.78,121,6800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
186,186,"Frank Lickliter II",4,1.75,28,1600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
187,182,"JJ Henry",14,1.71,120,7000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
188,195,"Derek Ernst",12,1.68,94,5600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
189,184,"George McNeill",13,1.66,104,6300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
190,187,"Matt Every",14,1.6,112,7000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
191,190,"Carlos Ortiz",17,1.58,132,8300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
192,187,"Kelly Kraft",12,1.56,88,5600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
193,192,"Tim Herron",7,1.51,47,3100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
194,193,"Cameron Beckman",7,1.44,45,3100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
195,194,"Fred Funk",4,1.42,26,1800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
196,196,"Wes Roach",12,1.29,72,5600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
197,197,"Ken Duke",9,1.26,54,4300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
198,198,"Brian Gay",8,1.23,49,4000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
199,200,"Rod Pampling",8,1.17,42,3600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
200,201,"Lucas Lee",9,1.12,46,4100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
201,199,"DH Lee",13,1.09,66,6100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
202,202,"John Merrick",7,1.02,32,3100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
203,203,"Billy Hurley III",8,0.97,35,3600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
