"LowestRound_RANKTHISWEEK_2013","LowestRound_RANKLASTWEEK_2013","LowestRound_PLAYERNAME_2013","LowestRound_ROUNDS_2013","LowestRound_VALUE_2013","LowestRound_TOURNCOURSE_2013","LowestRound_ROUND_2013","stat_name","year"
121,121,"Nicolas Colsaerts",50,65,NA,1,"LowestRound",2013
121,121,"Glen Day",19,65,NA,4,"LowestRound",2013
121,121,"Brendon de Jonge",110,65,NA,4,"LowestRound",2013
121,121,"Ken Duke",87,65,NA,3,"LowestRound",2013
121,121,"Ernie Els",63,65,NA,4,"LowestRound",2013
121,121,"Zack Fischer",10,65,NA,2,"LowestRound",2013
121,121,"Brad Fritsch",81,65,NA,2,"LowestRound",2013
121,121,"Robert Garrigus",69,65,NA,1,"LowestRound",2013
121,121,"Jeff Gove",44,65,NA,2,"LowestRound",2013
121,121,"Branden Grace",35,65,NA,1,"LowestRound",2013
121,121,"Brian Harman",89,65,NA,2,"LowestRound",2013
121,121,"JJ Henry",83,65,NA,3,"LowestRound",2013
121,121,"Jim Herman",59,65,NA,4,"LowestRound",2013
121,121,"Ryuji Imada",18,65,NA,1,"LowestRound",2013
121,121,"Freddie Jacobson",63,65,NA,2,"LowestRound",2013
121,121,"Miguel Angel Jimenez",12,65,NA,3,"LowestRound",2013
121,121,"Brandt Jobe",62,65,NA,2,"LowestRound",2013
121,121,"Kevin Kisner",4,65,NA,1,"LowestRound",2013
121,121,"Colt Knost",69,65,NA,2,"LowestRound",2013
121,121,"Hank Kuehne",16,65,NA,1,"LowestRound",2013
121,121,"Neal Lancaster",18,65,NA,1,"LowestRound",2013
121,121,"Richard Lee",81,65,NA,2,"LowestRound",2013
121,121,"Justin Leonard",86,65,NA,1,"LowestRound",2013
121,121,"David Lynn",70,65,NA,2,"LowestRound",2013
121,121,"John Mallinger",39,65,NA,1,"LowestRound",2013
121,121,"David Mathis",71,65,NA,2,"LowestRound",2013
121,121,"Hideki Matsuyama",26,65,NA,2,"LowestRound",2013
121,121,"Graeme McDowell",53,65,NA,2,"LowestRound",2013
121,121,"Ryan Moore",72,65,NA,3,"LowestRound",2013
121,121,"Geoff Ogilvy",57,65,NA,4,"LowestRound",2013
121,121,"Louis Oosthuizen",30,65,NA,3,"LowestRound",2013
121,121,"Greg Owen",73,65,NA,1,"LowestRound",2013
121,121,"Rod Pampling",46,65,NA,1,"LowestRound",2013
121,121,"Cameron Percy",68,65,NA,2,"LowestRound",2013
121,121,"Carl Pettersson",82,65,NA,2,"LowestRound",2013
121,121,"Alistair Presnell",59,65,NA,3,"LowestRound",2013
121,121,"Kyle Reifers",12,65,NA,1,"LowestRound",2013
121,121,"Tag Ridings",69,65,NA,1,"LowestRound",2013
121,121,"Patrick Rodgers",4,65,NA,3,"LowestRound",2013
121,121,"Andres Romero",63,65,NA,2,"LowestRound",2013
121,121,"Rory Sabbatini",86,65,NA,4,"LowestRound",2013
121,121,"Kyle Stanley",71,65,NA,3,"LowestRound",2013
121,121,"Shawn Stefani",63,65,NA,2,"LowestRound",2013
121,121,"Darron Stiles",51,65,NA,2,"LowestRound",2013
121,121,"Kevin Streelman",86,65,NA,3,"LowestRound",2013
121,121,"Kevin Sutherland",38,65,NA,3,"LowestRound",2013
121,121,"Andrew Svoboda",46,65,NA,1,"LowestRound",2013
121,121,"Hideto Tanihara",4,65,NA,2,"LowestRound",2013
121,121,"Josh Teater",86,65,NA,1,"LowestRound",2013
121,121,"Michael Thompson",66,65,NA,2,"LowestRound",2013
121,121,"DJ Trahan",48,65,NA,2,"LowestRound",2013
121,121,"Cameron Tringale",80,65,NA,1,"LowestRound",2013
121,121,"Peter Uihlein",10,65,NA,2,"LowestRound",2013
121,121,"Aaron Watkins",46,65,NA,4,"LowestRound",2013
121,121,"Mike Weir",60,65,NA,2,"LowestRound",2013
121,121,"Lee Williams",62,65,NA,4,"LowestRound",2013
188,188,"Stuart Appleby",88,66,NA,4,"LowestRound",2013
188,188,"Arjun Atwal",20,66,NA,4,"LowestRound",2013
188,188,"Blayne Barber",10,66,NA,3,"LowestRound",2013
188,188,"Craig Barlow",2,66,NA,2,"LowestRound",2013
188,188,"Jonas Blixt",76,66,NA,1,"LowestRound",2013
188,188,"Jonathan Byrd",39,66,NA,3,"LowestRound",2013
188,188,"Stewart Cink",71,66,NA,1,"LowestRound",2013
188,188,"Will Claxton",67,66,NA,1,"LowestRound",2013
188,188,"Russ Cochran",4,66,NA,3,"LowestRound",2013
188,188,"Jon Curran",8,66,NA,1,"LowestRound",2013
188,188,"Ben Curtis",59,66,NA,2,"LowestRound",2013
188,188,"John Daly",31,66,NA,2,"LowestRound",2013
188,188,"Jason Day",86,66,NA,4,"LowestRound",2013
188,188,"Luke Donald",60,66,NA,4,"LowestRound",2013
188,188,"Jamie Donaldson",28,66,NA,2,"LowestRound",2013
188,188,"James Driscoll",76,66,NA,1,"LowestRound",2013
188,188,"Derek Ernst",58,66,NA,1,"LowestRound",2013
188,188,"Bobby Gates",49,66,NA,4,"LowestRound",2013
188,188,"Nathan Green",29,66,NA,1,"LowestRound",2013
188,188,"Adam Hadwin",7,66,NA,1,"LowestRound",2013
188,188,"Peter Hanson",45,66,NA,1,"LowestRound",2013
188,188,"Mike Hendry",4,66,NA,2,"LowestRound",2013
188,188,"Tim Herron",45,66,NA,2,"LowestRound",2013
188,188,"Ryo Ishikawa",72,66,NA,3,"LowestRound",2013
188,188,"John Kimbell",4,66,NA,3,"LowestRound",2013
188,188,"Ben Kohles",75,66,NA,1,"LowestRound",2013
188,188,"Danny Lee",4,66,NA,3,"LowestRound",2013
188,188,"Luke List",65,66,NA,1,"LowestRound",2013
188,188,"Ken Looper",8,66,NA,2,"LowestRound",2013
188,188,"Davis Love III",43,66,NA,4,"LowestRound",2013
188,188,"Bill Lunde",25,66,NA,2,"LowestRound",2013
188,188,"Matteo Manassero",27,66,NA,4,"LowestRound",2013
188,188,"William McGirt",75,66,NA,1,"LowestRound",2013
188,188,"Eric Meierdierks",48,66,NA,3,"LowestRound",2013
188,188,"Francesco Molinari",27,66,NA,2,"LowestRound",2013
188,188,"Seung Yul Noh",71,66,NA,1,"LowestRound",2013
188,188,"Sean OHair",56,66,NA,1,"LowestRound",2013
188,188,"Nick OHern",34,66,NA,2,"LowestRound",2013
188,188,"Thorbjorn Olesen",31,66,NA,3,"LowestRound",2013
188,188,"Ian Poulter",59,66,NA,3,"LowestRound",2013
188,188,"Jonathan Randolph",4,66,NA,1,"LowestRound",2013
188,188,"Sam Saunders",4,66,NA,3,"LowestRound",2013
188,188,"John Senden",79,66,NA,1,"LowestRound",2013
188,188,"Vijay Singh",61,66,NA,3,"LowestRound",2013
188,188,"Heath Slocum",30,66,NA,3,"LowestRound",2013
188,188,"Paul Stankowski",4,66,NA,1,"LowestRound",2013
188,188,"Vaughn Taylor",50,66,NA,1,"LowestRound",2013
188,188,"Justin Thomas",6,66,NA,3,"LowestRound",2013
188,188,"Peter Tomasulo",36,66,NA,3,"LowestRound",2013
188,188,"Scott Verplank",37,66,NA,2,"LowestRound",2013
188,188,"Lee Westwood",70,66,NA,1,"LowestRound",2013
188,188,"Mark Wilson",56,66,NA,3,"LowestRound",2013
188,188,"Chris Wood",15,66,NA,1,"LowestRound",2013
188,188,"Jeremiah Wooding",4,66,NA,2,"LowestRound",2013
242,242,"Joe Affrunti",15,67,NA,2,"LowestRound",2013
242,242,"Robert Allenby",58,67,NA,4,"LowestRound",2013
242,242,"Charlie Beljan",62,67,NA,2,"LowestRound",2013
242,242,"Ryan Blaum",8,67,NA,4,"LowestRound",2013
242,242,"David Branshaw",4,67,NA,1,"LowestRound",2013
242,242,"Bart Bryant",7,67,NA,4,"LowestRound",2013
242,242,"Rafa Cabrera Bello",17,67,NA,1,"LowestRound",2013
242,242,"Rafael Campos",4,67,NA,1,"LowestRound",2013
242,242,"Paul Casey",22,67,NA,1,"LowestRound",2013
242,242,"George Coetzee",37,67,NA,2,"LowestRound",2013
242,242,"Donald Constable",33,67,NA,1,"LowestRound",2013
242,242,"Marco Dawson",4,67,NA,2,"LowestRound",2013
242,242,"Chris DiMarco",33,67,NA,2,"LowestRound",2013
242,242,"Marcus Fraser",18,67,NA,1,"LowestRound",2013
242,242,"Stephen Gallacher",17,67,NA,3,"LowestRound",2013
242,242,"Retief Goosen",27,67,NA,2,"LowestRound",2013
242,242,"Paul Haley II",44,67,NA,4,"LowestRound",2013
242,242,"Steve Jones",3,67,NA,2,"LowestRound",2013
242,242,"Skip Kendall",8,67,NA,1,"LowestRound",2013
242,242,"Michael Kim",8,67,NA,3,"LowestRound",2013
