"GoingfortheGreenBirdieorBetter_RANKTHISWEEK_2009","GoingfortheGreenBirdieorBetter_RANKLASTWEEK_2009","GoingfortheGreenBirdieorBetter_PLAYERNAME_2009","GoingfortheGreenBirdieorBetter_ROUNDS_2009","GoingfortheGreenBirdieorBetter_Pct_2009","GoingfortheGreenBirdieorBetter_OFBIRDIEORBETTER_2009","GoingfortheGreenBirdieorBetter_ATTEMPTS_2009","GoingfortheGreenBirdieorBetter_RTPSUCCESSES_2009","GoingfortheGreenBirdieorBetter_RTPNOTGOINGFORTHEGRN_2009","stat_name","year"
136,136,"Pat Perez",74,53.91,69,128,-81,-13,"GoingfortheGreenBirdieorBetter",2009
137,137,"Steve Elkington",70,53.7,58,108,-63,-18,"GoingfortheGreenBirdieorBetter",2009
138,138,"Nicholas Thompson",96,53.69,109,203,-117,-9,"GoingfortheGreenBirdieorBetter",2009
139,139,"Chad Campbell",90,53.33,72,135,-78,-21,"GoingfortheGreenBirdieorBetter",2009
140,140,"Jeff Klauk",97,53.13,68,128,-70,-18,"GoingfortheGreenBirdieorBetter",2009
141,141,"Woody Austin",84,53.08,69,130,-72,-33,"GoingfortheGreenBirdieorBetter",2009
142,142,"Parker McLachlin",71,53.04,61,115,-64,-8,"GoingfortheGreenBirdieorBetter",2009
143,143,"James Nitties",86,53.02,79,149,-84,2,"GoingfortheGreenBirdieorBetter",2009
144,144,"Johnson Wagner",81,52.94,81,153,-90,-8,"GoingfortheGreenBirdieorBetter",2009
145,145,"Gary Woodland",53,52.69,49,93,-49,9,"GoingfortheGreenBirdieorBetter",2009
146,146,"John Merrick",91,52.63,70,133,-76,-2,"GoingfortheGreenBirdieorBetter",2009
147,147,"Sergio Garcia",59,52.58,51,97,-58,0,"GoingfortheGreenBirdieorBetter",2009
148,148,"Stuart Appleby",79,52.54,62,118,-64,-12,"GoingfortheGreenBirdieorBetter",2009
149,149,"Ken Duke",87,52.25,58,111,-64,-22,"GoingfortheGreenBirdieorBetter",2009
150,150,"Rick Price",54,52.17,36,69,-38,-2,"GoingfortheGreenBirdieorBetter",2009
151,151,"John Rollins",92,52.15,97,186,-106,-4,"GoingfortheGreenBirdieorBetter",2009
152,152,"Kirk Triplett",60,52.08,50,96,-55,-15,"GoingfortheGreenBirdieorBetter",2009
153,153,"Joe Durant",62,52,39,75,-39,-11,"GoingfortheGreenBirdieorBetter",2009
153,153,"Tim Herron",87,52,78,150,-83,-12,"GoingfortheGreenBirdieorBetter",2009
155,155,"David Duval",56,51.69,46,89,-50,-2,"GoingfortheGreenBirdieorBetter",2009
155,155,"Ryuji Imada",85,51.69,61,118,-62,-23,"GoingfortheGreenBirdieorBetter",2009
157,157,"Steve Flesch",77,51.61,48,93,-53,-8,"GoingfortheGreenBirdieorBetter",2009
158,158,"David Mathis",82,51.02,50,98,-52,-15,"GoingfortheGreenBirdieorBetter",2009
159,159,"Troy Matteson",95,50.82,93,183,-101,-10,"GoingfortheGreenBirdieorBetter",2009
160,160,"Bubba Watson",73,50.63,80,158,-90,-10,"GoingfortheGreenBirdieorBetter",2009
161,161,"Casey Wittenberg",71,50.54,47,93,-51,-8,"GoingfortheGreenBirdieorBetter",2009
162,162,"Andres Romero",58,49.65,70,141,-74,-4,"GoingfortheGreenBirdieorBetter",2009
163,163,"Paul Goydos",79,49.47,47,95,-51,-25,"GoingfortheGreenBirdieorBetter",2009
164,164,"Steve Lowery",83,49.42,85,172,-89,0,"GoingfortheGreenBirdieorBetter",2009
165,165,"Brian Bateman",55,49.32,36,73,-37,-7,"GoingfortheGreenBirdieorBetter",2009
166,166,"Jeff Maggert",79,49.25,66,134,-69,-9,"GoingfortheGreenBirdieorBetter",2009
167,167,"Peter Lonard",86,48.94,46,94,-47,-27,"GoingfortheGreenBirdieorBetter",2009
168,168,"Tom Lehman",55,48.57,17,35,-17,-9,"GoingfortheGreenBirdieorBetter",2009
169,169,"Stewart Cink",79,48.54,50,103,-57,-16,"GoingfortheGreenBirdieorBetter",2009
170,170,"Ricky Barnes",67,48.45,47,97,-51,4,"GoingfortheGreenBirdieorBetter",2009
171,171,"DA Points",99,48.37,74,153,-79,-27,"GoingfortheGreenBirdieorBetter",2009
172,172,"Glen Day",79,48.05,37,77,-40,-25,"GoingfortheGreenBirdieorBetter",2009
173,173,"Jason Gore",74,47.66,61,128,-65,-16,"GoingfortheGreenBirdieorBetter",2009
174,174,"Spencer Levin",75,47.62,50,105,-52,-14,"GoingfortheGreenBirdieorBetter",2009
174,174,"Corey Pavin",73,47.62,20,42,-22,-25,"GoingfortheGreenBirdieorBetter",2009
176,176,"Robert Garrigus",83,47.4,91,192,-101,9,"GoingfortheGreenBirdieorBetter",2009
177,177,"Bill Lunde",83,46.67,70,150,-77,2,"GoingfortheGreenBirdieorBetter",2009
178,178,"Marc Turnesa",77,46.59,41,88,-43,-4,"GoingfortheGreenBirdieorBetter",2009
179,179,"Eric Axley",71,46.43,39,84,-42,18,"GoingfortheGreenBirdieorBetter",2009
180,180,"Jarrod Lyle",65,46.34,38,82,-42,-10,"GoingfortheGreenBirdieorBetter",2009
181,181,"Brendon Todd",53,45.24,19,42,-21,-4,"GoingfortheGreenBirdieorBetter",2009
182,182,"Greg Kraft",51,44.68,21,47,-21,-12,"GoingfortheGreenBirdieorBetter",2009
183,183,"Richard Johnson",85,43.75,35,80,-35,-21,"GoingfortheGreenBirdieorBetter",2009
184,184,"Mark Brooks",55,42.86,18,42,-20,-11,"GoingfortheGreenBirdieorBetter",2009
