"3PuttAvoidance1015_RANKTHISWEEK_2009","3PuttAvoidance1015_RANKLASTWEEK_2009","3PuttAvoidance1015_PLAYERNAME_2009","3PuttAvoidance1015_ROUNDS_2009","3PuttAvoidance1015_Pct_2009","3PuttAvoidance1015_TOTAL3PUTTS_2009","3PuttAvoidance1015_ATTEMPTS_2009","3PuttAvoidance1015_2PUTTORBETTERPct_2009","stat_name","year"
167,167,"Tim Clark",81,2.08,4,192,97.9,"3PuttAvoidance1015",2009
167,167,"Matt Weibring",65,2.08,3,144,97.9,"3PuttAvoidance1015",2009
169,169,"Heath Slocum",95,2.1,5,238,97.9,"3PuttAvoidance1015",2009
170,170,"Scott Sterling",51,2.13,2,94,97.8,"3PuttAvoidance1015",2009
171,171,"Kris Blanks",60,2.59,3,116,97.4,"3PuttAvoidance1015",2009
172,172,"Bill Lunde",83,2.62,6,229,97.3,"3PuttAvoidance1015",2009
173,173,"Steve Lowery",83,2.71,6,221,97.2,"3PuttAvoidance1015",2009
174,174,"Jay Williamson",69,2.76,5,181,97.2,"3PuttAvoidance1015",2009
175,175,"Woody Austin",84,2.79,6,215,97.2,"3PuttAvoidance1015",2009
176,176,"Boo Weekley",79,2.94,5,170,97,"3PuttAvoidance1015",2009
177,177,"Gary Woodland",53,2.97,3,101,97,"3PuttAvoidance1015",2009
178,178,"Kirk Triplett",60,3.14,5,159,96.8,"3PuttAvoidance1015",2009
179,179,"Brett Quigley",92,3.16,6,190,96.8,"3PuttAvoidance1015",2009
180,180,"Will Ma Kenzie",69,3.23,5,155,96.7,"3PuttAvoidance1015",2009
181,181,"Brendon Todd",53,3.6,5,139,96.4,"3PuttAvoidance1015",2009
182,182,"Leif Olson",51,3.7,4,108,96.3,"3PuttAvoidance1015",2009
183,183,"Matt Bettencourt",98,4.8,12,250,95.2,"3PuttAvoidance1015",2009
184,184,"Billy Mayfair",83,5.08,9,177,94.9,"3PuttAvoidance1015",2009
