"FirstTeeLatePar5ScoringAverage_RANKTHISWEEK_2005","FirstTeeLatePar5ScoringAverage_RANKLASTWEEK_2005","FirstTeeLatePar5ScoringAverage_PLAYERNAME_2005","FirstTeeLatePar5ScoringAverage_ROUNDS_2005","FirstTeeLatePar5ScoringAverage_AVG_2005","FirstTeeLatePar5ScoringAverage_TOTALSTROKES_2005","FirstTeeLatePar5ScoringAverage_TOTALHOLES_2005","stat_name","year"
81,81,"Bernhard Langer",67,4.66,331,71,"FirstTeeLatePar5ScoringAverage",2005
81,81,"Stephen Leaney",89,4.66,522,112,"FirstTeeLatePar5ScoringAverage",2005
81,81,"Andrew Magee",82,4.66,317,68,"FirstTeeLatePar5ScoringAverage",2005
81,81,"Rod Pampling",89,4.66,443,95,"FirstTeeLatePar5ScoringAverage",2005
81,81,"Adam Scott",72,4.66,438,94,"FirstTeeLatePar5ScoringAverage",2005
81,81,"Jay Williamson",53,4.66,233,50,"FirstTeeLatePar5ScoringAverage",2005
81,81,"Mark Wilson",74,4.66,331,71,"FirstTeeLatePar5ScoringAverage",2005
90,90,"Steve Elkington",67,4.67,313,67,"FirstTeeLatePar5ScoringAverage",2005
90,90,"Scott Gutschewski",86,4.67,378,81,"FirstTeeLatePar5ScoringAverage",2005
90,90,"Kent Jones",99,4.67,313,67,"FirstTeeLatePar5ScoringAverage",2005
90,90,"Jeff Maggert",79,4.67,271,58,"FirstTeeLatePar5ScoringAverage",2005
90,90,"Shigeki Maruyama",99,4.67,579,124,"FirstTeeLatePar5ScoringAverage",2005
90,90,"Justin Rose",99,4.67,556,119,"FirstTeeLatePar5ScoringAverage",2005
90,90,"Heath Slocum",103,4.67,472,101,"FirstTeeLatePar5ScoringAverage",2005
90,90,"Dean Wilson",86,4.67,542,116,"FirstTeeLatePar5ScoringAverage",2005
98,98,"Robert Allenby",95,4.68,431,92,"FirstTeeLatePar5ScoringAverage",2005
98,98,"Todd Fischer",99,4.68,520,111,"FirstTeeLatePar5ScoringAverage",2005
98,98,"JP Hayes",63,4.68,290,62,"FirstTeeLatePar5ScoringAverage",2005
98,98,"Ryuji Imada",78,4.68,360,77,"FirstTeeLatePar5ScoringAverage",2005
98,98,"Jonathan Kaye",77,4.68,346,74,"FirstTeeLatePar5ScoringAverage",2005
98,98,"Shaun Micheel",81,4.68,454,97,"FirstTeeLatePar5ScoringAverage",2005
98,98,"Arron Oberholser",65,4.68,295,63,"FirstTeeLatePar5ScoringAverage",2005
98,98,"Jose Maria Olazabal",55,4.68,309,66,"FirstTeeLatePar5ScoringAverage",2005
98,98,"Bob Tway",87,4.68,412,88,"FirstTeeLatePar5ScoringAverage",2005
107,107,"Michael Allen",90,4.69,389,83,"FirstTeeLatePar5ScoringAverage",2005
107,107,"Briny Baird",98,4.69,507,108,"FirstTeeLatePar5ScoringAverage",2005
107,107,"Doug Barron",70,4.69,366,78,"FirstTeeLatePar5ScoringAverage",2005
