"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2010","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2010","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2010","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2010","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2010","stat_name","year"
91,91,"Aaron Goldberg",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2010
92,92,"Thomas Aiken",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2010
93,93,"Michael ONeal",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2010
93,93,"Matthew Richardson",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2010
93,93,"Blake Trimble",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2010
96,96,"Andrew Svoboda",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2010
97,97,"Kevin Hayashi",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2010
98,98,"Ty Tryon",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2010
99,99,"Mark Anderson",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2010
100,100,"Pablo Martin Benavides",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2010
100,100,"Jason Preeo",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2010
