"FedExCupBonusMoney_RANKTHISWEEK_2011","FedExCupBonusMoney_RANKLASTWEEK_2011","FedExCupBonusMoney_PLAYERNAME_2011","FedExCupBonusMoney_EVENTS_2011","FedExCupBonusMoney_MONEY_2011","stat_name","year"
91,91,"Ryuji Imada",25,75000,"FedExCupBonusMoney",2011
92,92,"John Rollins",24,75000,"FedExCupBonusMoney",2011
93,93,"Scott Verplank",15,75000,"FedExCupBonusMoney",2011
94,94,"Chris Couch",19,75000,"FedExCupBonusMoney",2011
95,95,"Davis Love III",20,75000,"FedExCupBonusMoney",2011
96,96,"Ben Crane",20,75000,"FedExCupBonusMoney",2011
97,97,"Ricky Barnes",21,75000,"FedExCupBonusMoney",2011
98,98,"Stewart Cink",21,75000,"FedExCupBonusMoney",2011
99,99,"Troy Matteson",26,75000,"FedExCupBonusMoney",2011
100,100,"John Merrick",18,75000,"FedExCupBonusMoney",2011
101,101,"Bryce Molder",24,70000,"FedExCupBonusMoney",2011
102,102,"Josh Teater",28,70000,"FedExCupBonusMoney",2011
103,103,"Hunter Haas",26,70000,"FedExCupBonusMoney",2011
104,104,"Chris DiMarco",27,70000,"FedExCupBonusMoney",2011
105,105,"Paul Goydos",21,70000,"FedExCupBonusMoney",2011
106,106,"DJ Trahan",26,70000,"FedExCupBonusMoney",2011
107,107,"Nick OHern",25,70000,"FedExCupBonusMoney",2011
108,108,"Matt Bettencourt",26,70000,"FedExCupBonusMoney",2011
109,109,"Arjun Atwal",25,70000,"FedExCupBonusMoney",2011
110,110,"Tim Herron",24,70000,"FedExCupBonusMoney",2011
111,111,"Michael Bradley",21,70000,"FedExCupBonusMoney",2011
112,112,"Retief Goosen",15,70000,"FedExCupBonusMoney",2011
113,113,"Kevin Stadler",24,70000,"FedExCupBonusMoney",2011
114,114,"Tom Gillis",17,70000,"FedExCupBonusMoney",2011
115,115,"Michael Thompson",21,70000,"FedExCupBonusMoney",2011
116,116,"Vaughn Taylor",23,70000,"FedExCupBonusMoney",2011
117,117,"Heath Slocum",25,70000,"FedExCupBonusMoney",2011
118,118,"Stuart Appleby",24,70000,"FedExCupBonusMoney",2011
119,119,"Rod Pampling",17,70000,"FedExCupBonusMoney",2011
120,120,"Joe Ogilvie",21,70000,"FedExCupBonusMoney",2011
121,121,"David Hearn",22,70000,"FedExCupBonusMoney",2011
122,122,"Billy Mayfair",25,70000,"FedExCupBonusMoney",2011
123,123,"James Driscoll",20,70000,"FedExCupBonusMoney",2011
124,124,"Steve Flesch",23,70000,"FedExCupBonusMoney",2011
125,125,"Steven Bowditch",24,70000,"FedExCupBonusMoney",2011
126,126,"Justin Leonard",23,32000,"FedExCupBonusMoney",2011
127,127,"Matt Jones",21,32000,"FedExCupBonusMoney",2011
128,128,"Tim Petrovic",25,32000,"FedExCupBonusMoney",2011
129,129,"David Mathis",21,32000,"FedExCupBonusMoney",2011
130,130,"Cameron Beckman",22,32000,"FedExCupBonusMoney",2011
131,131,"Dean Wilson",22,32000,"FedExCupBonusMoney",2011
132,132,"Tiger Woods",8,32000,"FedExCupBonusMoney",2011
133,133,"Ben Curtis",19,32000,"FedExCupBonusMoney",2011
134,134,"Alex Cejka",20,32000,"FedExCupBonusMoney",2011
135,135,"Roland Thatcher",18,32000,"FedExCupBonusMoney",2011
136,136,"Michael Putnam",21,32000,"FedExCupBonusMoney",2011
137,137,"Tim Clark",4,32000,"FedExCupBonusMoney",2011
138,138,"Stephen Ames",18,32000,"FedExCupBonusMoney",2011
139,139,"Kent Jones",21,32000,"FedExCupBonusMoney",2011
140,140,"Chris Riley",21,32000,"FedExCupBonusMoney",2011
141,141,"Zack Miller",26,32000,"FedExCupBonusMoney",2011
142,142,"Tag Ridings",24,32000,"FedExCupBonusMoney",2011
143,143,"Jason Bohn",19,32000,"FedExCupBonusMoney",2011
144,144,"Paul Casey",13,32000,"FedExCupBonusMoney",2011
145,145,"Matt McQuillan",17,32000,"FedExCupBonusMoney",2011
146,146,"Aron Price",15,32000,"FedExCupBonusMoney",2011
147,147,"Garrett Willis",20,32000,"FedExCupBonusMoney",2011
148,148,"Louis Oosthuizen",13,32000,"FedExCupBonusMoney",2011
149,149,"Joe Durant",21,32000,"FedExCupBonusMoney",2011
150,150,"Bob Estes",9,32000,"FedExCupBonusMoney",2011
