"BirdieorBetterPercentageRough_RANKTHISWEEK_2016","BirdieorBetterPercentageRough_RANKLASTWEEK_2016","BirdieorBetterPercentageRough_PLAYERNAME_2016","BirdieorBetterPercentageRough_ROUNDS_2016","BirdieorBetterPercentageRough_Pct_2016","BirdieorBetterPercentageRough_TOTALBIRDIES_2016","BirdieorBetterPercentageRough_TOTALHOLES_2016","stat_name","year"
123,119,"Daniel Summerhays",55,14.37,25,174,"BirdieorBetterPercentageRough",2016
124,95,"Jim Herman",55,14.29,17,119,"BirdieorBetterPercentageRough",2016
125,89,"Kelly Kraft",35,14.12,12,85,"BirdieorBetterPercentageRough",2016
126,107,"Danny Lee",53,14.02,15,107,"BirdieorBetterPercentageRough",2016
127,105,"Sean OHair",45,13.99,20,143,"BirdieorBetterPercentageRough",2016
127,151,"Camilo Villegas",50,13.99,27,193,"BirdieorBetterPercentageRough",2016
129,127,"Tyler Aldridge",53,13.98,26,186,"BirdieorBetterPercentageRough",2016
130,130,"Fabian Gomez",49,13.91,21,151,"BirdieorBetterPercentageRough",2016
131,135,"JB Holmes",39,13.79,16,116,"BirdieorBetterPercentageRough",2016
131,104,"Anirban Lahiri",44,13.79,16,116,"BirdieorBetterPercentageRough",2016
133,126,"Greg Owen",56,13.69,23,168,"BirdieorBetterPercentageRough",2016
134,158,"Ryan Moore",40,13.48,12,89,"BirdieorBetterPercentageRough",2016
135,137,"Andy Sullivan",25,13.46,7,52,"BirdieorBetterPercentageRough",2016
136,138,"Shane Bertsch",30,13.43,9,67,"BirdieorBetterPercentageRough",2016
137,130,"Michael Kim",62,13.4,26,194,"BirdieorBetterPercentageRough",2016
138,129,"Byeong Hun An",23,13.33,6,45,"BirdieorBetterPercentageRough",2016
139,139,"Rhein Gibson",36,13.28,17,128,"BirdieorBetterPercentageRough",2016
140,132,"Ian Poulter",37,13.16,10,76,"BirdieorBetterPercentageRough",2016
141,128,"Andres Gonzales",46,13.07,20,153,"BirdieorBetterPercentageRough",2016
142,165,"Roberto Castro",55,13.01,19,146,"BirdieorBetterPercentageRough",2016
143,171,"Brendon Todd",43,12.82,15,117,"BirdieorBetterPercentageRough",2016
144,161,"Robert Streb",51,12.8,16,125,"BirdieorBetterPercentageRough",2016
145,146,"Kyle Stanley",57,12.66,20,158,"BirdieorBetterPercentageRough",2016
146,148,"George McNeill",33,12.61,14,111,"BirdieorBetterPercentageRough",2016
147,148,"Geoff Ogilvy",37,12.5,14,112,"BirdieorBetterPercentageRough",2016
148,148,"Steve Marino",40,12.39,14,113,"BirdieorBetterPercentageRough",2016
149,141,"Mark Hubbard",73,12.38,25,202,"BirdieorBetterPercentageRough",2016
150,153,"Luke Guthrie",31,12.36,11,89,"BirdieorBetterPercentageRough",2016
151,160,"Justin Hicks",26,12.33,9,73,"BirdieorBetterPercentageRough",2016
152,178,"Robert Garrigus",34,12.26,13,106,"BirdieorBetterPercentageRough",2016
153,136,"Hiroshi Iwata",51,12.24,18,147,"BirdieorBetterPercentageRough",2016
153,198,"Tim Wilkinson",40,12.24,12,98,"BirdieorBetterPercentageRough",2016
155,157,"Russell Knox",48,12.22,11,90,"BirdieorBetterPercentageRough",2016
156,142,"Will Ma Kenzie",54,12.14,17,140,"BirdieorBetterPercentageRough",2016
157,189,"Chesson Hadley",51,12.12,16,132,"BirdieorBetterPercentageRough",2016
158,155,"Whee Kim",54,12.1,19,157,"BirdieorBetterPercentageRough",2016
159,145,"Ricky Barnes",57,12.09,26,215,"BirdieorBetterPercentageRough",2016
160,143,"William McGirt",54,12.03,19,158,"BirdieorBetterPercentageRough",2016
161,133,"Harris English",51,12,18,150,"BirdieorBetterPercentageRough",2016
162,168,"Si Woo Kim",63,11.93,21,176,"BirdieorBetterPercentageRough",2016
163,146,"Brett Stegmaier",57,11.9,20,168,"BirdieorBetterPercentageRough",2016
164,167,"Nick Taylor",57,11.86,21,177,"BirdieorBetterPercentageRough",2016
165,162,"Stewart Cink",45,11.85,16,135,"BirdieorBetterPercentageRough",2016
165,193,"Ernie Els",34,11.85,16,135,"BirdieorBetterPercentageRough",2016
167,175,"Boo Weekley",53,11.81,15,127,"BirdieorBetterPercentageRough",2016
168,170,"Tyrone Van Aswegen",67,11.74,25,213,"BirdieorBetterPercentageRough",2016
169,166,"Graeme McDowell",33,11.67,7,60,"BirdieorBetterPercentageRough",2016
170,154,"Spencer Levin",62,11.66,19,163,"BirdieorBetterPercentageRough",2016
171,152,"Adam Hadwin",53,11.56,20,173,"BirdieorBetterPercentageRough",2016
172,173,"Alex Cejka",47,11.5,13,113,"BirdieorBetterPercentageRough",2016
173,168,"Carl Pettersson",31,11.45,15,131,"BirdieorBetterPercentageRough",2016
174,163,"Jeff Overton",51,11.35,21,185,"BirdieorBetterPercentageRough",2016
175,187,"Scott Langley",41,11.3,13,115,"BirdieorBetterPercentageRough",2016
176,172,"Zac Blair",56,11.21,13,116,"BirdieorBetterPercentageRough",2016
176,156,"Kevin Streelman",46,11.21,12,107,"BirdieorBetterPercentageRough",2016
178,159,"Shawn Stefani",45,11.18,17,152,"BirdieorBetterPercentageRough",2016
179,179,"Brendon de Jonge",55,11.11,18,162,"BirdieorBetterPercentageRough",2016
180,177,"Troy Merritt",41,10.81,12,111,"BirdieorBetterPercentageRough",2016
181,179,"Jon Curran",55,10.74,13,121,"BirdieorBetterPercentageRough",2016
182,181,"Russell Henley",42,10.66,13,122,"BirdieorBetterPercentageRough",2016
183,190,"Daniel Berger",52,10.56,15,142,"BirdieorBetterPercentageRough",2016
184,184,"Charlie Beljan",26,10.39,8,77,"BirdieorBetterPercentageRough",2016
185,163,"Jamie Donaldson",28,10.2,10,98,"BirdieorBetterPercentageRough",2016
186,185,"Kevin Kisner",49,10.19,11,108,"BirdieorBetterPercentageRough",2016
187,176,"Chad Campbell",54,10.16,13,128,"BirdieorBetterPercentageRough",2016
188,186,"Bryce Molder",50,10.14,14,138,"BirdieorBetterPercentageRough",2016
189,182,"David Hearn",55,10.07,14,139,"BirdieorBetterPercentageRough",2016
190,182,"JJ Henry",44,10,14,140,"BirdieorBetterPercentageRough",2016
190,174,"DH Lee",35,10,11,110,"BirdieorBetterPercentageRough",2016
192,188,"Abraham Ancer",26,9.84,6,61,"BirdieorBetterPercentageRough",2016
193,193,"Bernd Wiesberger",23,9.52,4,42,"BirdieorBetterPercentageRough",2016
194,191,"Emiliano Grillo",47,9.09,9,99,"BirdieorBetterPercentageRough",2016
195,192,"Shane Lowry",35,8.62,5,58,"BirdieorBetterPercentageRough",2016
196,199,"Luke Donald",49,8.55,13,152,"BirdieorBetterPercentageRough",2016
197,201,"Derek Ernst",36,8.54,7,82,"BirdieorBetterPercentageRough",2016
198,195,"Bill Haas",42,8.51,8,94,"BirdieorBetterPercentageRough",2016
199,196,"Blayne Barber",44,7.96,9,113,"BirdieorBetterPercentageRough",2016
200,200,"Billy Hurley III",22,7.69,4,52,"BirdieorBetterPercentageRough",2016
200,197,"Dawie van der Walt",48,7.69,11,143,"BirdieorBetterPercentageRough",2016
202,202,"David Lingmerth",54,7.41,8,108,"BirdieorBetterPercentageRough",2016
203,204,"Robert Allenby",35,6.45,6,93,"BirdieorBetterPercentageRough",2016
204,205,"Retief Goosen",37,6.4,8,125,"BirdieorBetterPercentageRough",2016
205,206,"Jerry Kelly",44,4.94,4,81,"BirdieorBetterPercentageRough",2016
206,207,"Darron Stiles",28,4.65,2,43,"BirdieorBetterPercentageRough",2016
207,208,"Lucas Lee",22,4.55,2,44,"BirdieorBetterPercentageRough",2016
