"OnePuttPercentage_RANKTHISWEEK_2010","OnePuttPercentage_RANKLASTWEEK_2010","OnePuttPercentage_PLAYERNAME_2010","OnePuttPercentage_ROUNDS_2010","OnePuttPercentage_Pct_2010","OnePuttPercentage_OF1PUTTS_2010","OnePuttPercentage_OFHOLES_2010","stat_name","year"
25,25,"Freddie Jacobson",83,40.09,599,1494,"OnePuttPercentage",2010
26,26,"Steve Stricker",73,40.05,519,1296,"OnePuttPercentage",2010
27,27,"Jeff Quinney",91,39.99,655,1638,"OnePuttPercentage",2010
28,28,"Tim Clark",88,39.93,611,1530,"OnePuttPercentage",2010
29,29,"Phil Mickelson",76,39.91,546,1368,"OnePuttPercentage",2010
30,30,"Geoff Ogilvy",62,39.81,430,1080,"OnePuttPercentage",2010
31,31,"Jim Furyk",76,39.64,528,1332,"OnePuttPercentage",2010
32,32,"Daniel Chopra",74,39.56,527,1332,"OnePuttPercentage",2010
33,33,"Paul Goydos",78,39.53,555,1404,"OnePuttPercentage",2010
34,34,"Charley Hoffman",85,39.48,604,1530,"OnePuttPercentage",2010
35,35,"Ben Crane",85,39.43,582,1476,"OnePuttPercentage",2010
36,36,"Ryan Moore",80,39.38,560,1422,"OnePuttPercentage",2010
37,37,"Justin Leonard",89,39.27,622,1584,"OnePuttPercentage",2010
38,38,"Scott McCarron",90,39.26,636,1620,"OnePuttPercentage",2010
39,39,"Troy Merritt",86,39.21,607,1548,"OnePuttPercentage",2010
39,39,"Bo Van Pelt",104,39.21,734,1872,"OnePuttPercentage",2010
41,41,"Andres Romero",73,39.19,515,1314,"OnePuttPercentage",2010
42,42,"Paul Casey",64,39.18,409,1044,"OnePuttPercentage",2010
43,43,"Chris Couch",66,39.14,465,1188,"OnePuttPercentage",2010
44,44,"Retief Goosen",75,39.12,500,1278,"OnePuttPercentage",2010
45,45,"Rory McIlroy",54,39.1,366,936,"OnePuttPercentage",2010
46,46,"Matt Bettencourt",91,39.07,640,1638,"OnePuttPercentage",2010
47,47,"Ian Poulter",55,39,344,882,"OnePuttPercentage",2010
48,48,"Stuart Appleby",101,38.94,708,1818,"OnePuttPercentage",2010
49,49,"Rory Sabbatini",79,38.82,545,1404,"OnePuttPercentage",2010
50,50,"YE Yang",72,38.65,487,1260,"OnePuttPercentage",2010
51,51,"Michael Letzig",84,38.56,583,1512,"OnePuttPercentage",2010
52,52,"Carl Pettersson",99,38.5,686,1782,"OnePuttPercentage",2010
52,52,"Camilo Villegas",78,38.5,499,1296,"OnePuttPercentage",2010
54,54,"Ernie Els",72,38.49,485,1260,"OnePuttPercentage",2010
55,55,"Jason Day",82,38.48,568,1476,"OnePuttPercentage",2010
56,56,"George McNeill",79,38.33,545,1422,"OnePuttPercentage",2010
57,57,"Chad Collins",87,38.31,600,1566,"OnePuttPercentage",2010
57,57,"Marc Leishman",87,38.31,600,1566,"OnePuttPercentage",2010
59,59,"Bryce Molder",84,38.29,579,1512,"OnePuttPercentage",2010
60,60,"Dustin Johnson",83,38.28,565,1476,"OnePuttPercentage",2010
61,61,"Rickie Fowler",98,38.27,675,1764,"OnePuttPercentage",2010
62,62,"Jeff Overton",89,38.2,612,1602,"OnePuttPercentage",2010
63,63,"Scott Piercy",88,38.19,605,1584,"OnePuttPercentage",2010
64,64,"Matt Every",60,38.15,412,1080,"OnePuttPercentage",2010
65,65,"Nick Watney",91,38.13,604,1584,"OnePuttPercentage",2010
66,66,"Ricky Barnes",103,38.08,706,1854,"OnePuttPercentage",2010
67,67,"Stephen Ames",75,38.06,507,1332,"OnePuttPercentage",2010
67,67,"Stewart Cink",84,38.06,548,1440,"OnePuttPercentage",2010
69,69,"Tim Petrovic",105,38.04,719,1890,"OnePuttPercentage",2010
70,70,"James Driscoll",78,37.75,530,1404,"OnePuttPercentage",2010
71,71,"Kevin Streelman",90,37.72,611,1620,"OnePuttPercentage",2010
72,72,"Jason Bohn",84,37.7,570,1512,"OnePuttPercentage",2010
73,73,"John Mallinger",78,37.61,528,1404,"OnePuttPercentage",2010
74,74,"Lee Janzen",77,37.59,521,1386,"OnePuttPercentage",2010
75,75,"KJ Choi",82,37.47,553,1476,"OnePuttPercentage",2010
76,76,"Angel Cabrera",64,37.39,424,1134,"OnePuttPercentage",2010
77,77,"Steve Marino",81,37.38,545,1458,"OnePuttPercentage",2010
78,78,"Vaughn Taylor",87,37.36,585,1566,"OnePuttPercentage",2010
79,79,"Bob Estes",79,37.34,531,1422,"OnePuttPercentage",2010
80,80,"Martin Laird",91,37.24,610,1638,"OnePuttPercentage",2010
81,81,"Bubba Watson",77,37.23,516,1386,"OnePuttPercentage",2010
82,82,"Brad Faxon",58,37.16,388,1044,"OnePuttPercentage",2010
82,82,"Bill Haas",87,37.16,582,1566,"OnePuttPercentage",2010
84,84,"Jimmy Walker",82,37.13,548,1476,"OnePuttPercentage",2010
85,85,"Hunter Mahan",85,37.1,561,1512,"OnePuttPercentage",2010
86,86,"JP Hayes",79,37.06,527,1422,"OnePuttPercentage",2010
87,87,"Jason Dufner",87,37.04,580,1566,"OnePuttPercentage",2010
88,88,"James Nitties",92,37.02,613,1656,"OnePuttPercentage",2010
89,89,"Robert Allenby",76,37.01,493,1332,"OnePuttPercentage",2010
90,90,"Blake Adams",84,36.97,559,1512,"OnePuttPercentage",2010
91,91,"Chris DiMarco",88,36.93,585,1584,"OnePuttPercentage",2010
92,92,"Ben Curtis",78,36.89,518,1404,"OnePuttPercentage",2010
93,93,"Lucas Glover",75,36.79,490,1332,"OnePuttPercentage",2010
94,94,"Jonathan Byrd",85,36.73,562,1530,"OnePuttPercentage",2010
94,94,"Charles Howell III",103,36.73,681,1854,"OnePuttPercentage",2010
96,96,"Sean OHair",84,36.65,541,1476,"OnePuttPercentage",2010
97,97,"Steve Flesch",78,36.61,514,1404,"OnePuttPercentage",2010
98,98,"John Rollins",81,36.56,533,1458,"OnePuttPercentage",2010
98,98,"Vijay Singh",75,36.56,487,1332,"OnePuttPercentage",2010
100,100,"Alex Prugh",88,36.55,579,1584,"OnePuttPercentage",2010
101,101,"Rod Pampling",77,36.44,505,1386,"OnePuttPercentage",2010
102,102,"Roland Thatcher",72,36.42,472,1296,"OnePuttPercentage",2010
103,103,"Joe Ogilvie",99,36.36,648,1782,"OnePuttPercentage",2010
104,104,"Woody Austin",93,36.32,608,1674,"OnePuttPercentage",2010
105,105,"Will Ma Kenzie",72,36.27,470,1296,"OnePuttPercentage",2010
105,105,"Johnson Wagner",85,36.27,555,1530,"OnePuttPercentage",2010
107,107,"Michael Connell",89,36.2,580,1602,"OnePuttPercentage",2010
108,108,"David Duval",71,36.15,462,1278,"OnePuttPercentage",2010
109,109,"Shaun Micheel",70,36.11,455,1260,"OnePuttPercentage",2010
109,109,"Jeev Milkha Singh",59,36.11,364,1008,"OnePuttPercentage",2010
111,111,"Josh Teater",101,35.97,654,1818,"OnePuttPercentage",2010
112,112,"Dean Wilson",54,35.91,349,972,"OnePuttPercentage",2010
113,113,"Tim Herron",79,35.86,510,1422,"OnePuttPercentage",2010
114,114,"Derek Lamely",81,35.8,522,1458,"OnePuttPercentage",2010
115,115,"Adam Scott",70,35.78,438,1224,"OnePuttPercentage",2010
116,116,"Chris Riley",73,35.77,470,1314,"OnePuttPercentage",2010
117,117,"Trevor Immelman",55,35.76,354,990,"OnePuttPercentage",2010
118,118,"Chad Campbell",95,35.64,603,1692,"OnePuttPercentage",2010
119,119,"Martin Flores",75,35.63,481,1350,"OnePuttPercentage",2010
120,120,"Heath Slocum",97,35.62,622,1746,"OnePuttPercentage",2010
121,121,"Brian Stuard",81,35.6,519,1458,"OnePuttPercentage",2010
122,122,"Chris Tidland",77,35.57,493,1386,"OnePuttPercentage",2010
123,123,"Spencer Levin",110,35.56,704,1980,"OnePuttPercentage",2010
124,124,"Brett Wetterich",54,35.49,345,972,"OnePuttPercentage",2010
125,125,"Ted Purdy",86,35.47,549,1548,"OnePuttPercentage",2010
126,126,"DA Points",90,35.37,573,1620,"OnePuttPercentage",2010
127,127,"Rich Barcelo",70,35.32,445,1260,"OnePuttPercentage",2010
128,128,"Sergio Garcia",58,35.26,330,936,"OnePuttPercentage",2010
129,129,"Brett Quigley",96,35.24,609,1728,"OnePuttPercentage",2010
130,130,"Kenny Perry",69,35.21,431,1224,"OnePuttPercentage",2010
131,131,"Bill Lunde",79,35.16,500,1422,"OnePuttPercentage",2010
132,132,"DJ Trahan",92,35.14,582,1656,"OnePuttPercentage",2010
133,133,"Garrett Willis",82,34.96,516,1476,"OnePuttPercentage",2010
134,134,"Steve Elkington",74,34.91,465,1332,"OnePuttPercentage",2010
135,135,"Michael Bradley",77,34.78,482,1386,"OnePuttPercentage",2010
135,135,"Greg Owen",69,34.78,432,1242,"OnePuttPercentage",2010
137,137,"Briny Baird",87,34.74,544,1566,"OnePuttPercentage",2010
138,138,"Alex Cejka",81,34.71,506,1458,"OnePuttPercentage",2010
139,139,"Steve Wheatcroft",74,34.68,462,1332,"OnePuttPercentage",2010
140,140,"Kevin Sutherland",86,34.63,536,1548,"OnePuttPercentage",2010
141,141,"Kevin Stadler",86,34.5,534,1548,"OnePuttPercentage",2010
142,142,"Cameron Beckman",68,34.4,421,1224,"OnePuttPercentage",2010
143,143,"Mark Wilson",87,34.29,537,1566,"OnePuttPercentage",2010
144,144,"Jerry Kelly",99,34.23,610,1782,"OnePuttPercentage",2010
145,145,"Brendon de Jonge",114,34.16,701,2052,"OnePuttPercentage",2010
146,146,"Brenden Pappas",66,34.09,405,1188,"OnePuttPercentage",2010
147,147,"Vance Veazey",58,34,355,1044,"OnePuttPercentage",2010
148,148,"Mathias Gronberg",61,33.97,373,1098,"OnePuttPercentage",2010
149,149,"Graham DeLaet",88,33.96,538,1584,"OnePuttPercentage",2010
150,150,"Jerod Turner",54,33.95,330,972,"OnePuttPercentage",2010
151,151,"Aron Price",70,33.89,427,1260,"OnePuttPercentage",2010
152,152,"Skip Kendall",58,33.72,352,1044,"OnePuttPercentage",2010
153,153,"Robert Garrigus",71,33.65,430,1278,"OnePuttPercentage",2010
154,154,"Davis Love III",79,33.61,478,1422,"OnePuttPercentage",2010
155,155,"Chris Wilson",65,33.5,392,1170,"OnePuttPercentage",2010
156,156,"Jeff Maggert",76,33.48,458,1368,"OnePuttPercentage",2010
157,157,"Craig Bowden",56,33.43,337,1008,"OnePuttPercentage",2010
158,158,"John Senden",103,33.39,619,1854,"OnePuttPercentage",2010
159,159,"Nicholas Thompson",88,33.33,528,1584,"OnePuttPercentage",2010
160,160,"Kevin Johnson",62,33.24,371,1116,"OnePuttPercentage",2010
161,161,"Mathew Goggin",85,33.14,507,1530,"OnePuttPercentage",2010
162,162,"John Merrick",109,33.13,650,1962,"OnePuttPercentage",2010
163,163,"Richard Johnson",90,33.09,536,1620,"OnePuttPercentage",2010
164,164,"Steve Lowery",67,33.08,399,1206,"OnePuttPercentage",2010
165,165,"Paul Stankowski",62,33.06,369,1116,"OnePuttPercentage",2010
166,166,"Rocco Mediate",71,33.02,422,1278,"OnePuttPercentage",2010
166,166,"Chris Stroud",90,33.02,535,1620,"OnePuttPercentage",2010
168,168,"Andrew McLardy",52,32.91,308,936,"OnePuttPercentage",2010
169,169,"Charles Warren",64,32.9,379,1152,"OnePuttPercentage",2010
170,170,"Jarrod Lyle",54,32.82,319,972,"OnePuttPercentage",2010
171,171,"JJ Henry",92,32.67,541,1656,"OnePuttPercentage",2010
172,172,"Troy Matteson",84,32.61,493,1512,"OnePuttPercentage",2010
173,173,"Cliff Kresge",50,32.56,293,900,"OnePuttPercentage",2010
174,174,"Garth Mulroy",53,32.49,310,954,"OnePuttPercentage",2010
175,175,"Joe Durant",67,32.42,391,1206,"OnePuttPercentage",2010
175,175,"Cameron Percy",73,32.42,426,1314,"OnePuttPercentage",2010
177,177,"David Lutterus",69,32.37,402,1242,"OnePuttPercentage",2010
178,178,"Tom Pernice Jr",74,32.36,431,1332,"OnePuttPercentage",2010
179,179,"Jay Williamson",76,32.31,442,1368,"OnePuttPercentage",2010
180,180,"Omar Uresti",74,32.28,430,1332,"OnePuttPercentage",2010
181,181,"Greg Kraft",52,32.26,302,936,"OnePuttPercentage",2010
182,182,"Boo Weekley",88,32.2,510,1584,"OnePuttPercentage",2010
183,183,"John Daly",63,31.83,361,1134,"OnePuttPercentage",2010
184,184,"Justin Bolli",55,31.82,315,990,"OnePuttPercentage",2010
185,185,"Brent Delahoussaye",57,31.58,324,1026,"OnePuttPercentage",2010
186,186,"Henrik Bjornstad",72,30.86,400,1296,"OnePuttPercentage",2010
187,187,"Mark Calcavecchia",50,30.11,271,900,"OnePuttPercentage",2010
188,188,"Billy Mayfair",78,29.91,420,1404,"OnePuttPercentage",2010
189,189,"Cameron Tringale",55,29.9,296,990,"OnePuttPercentage",2010
190,190,"Kris Blanks",91,29.85,489,1638,"OnePuttPercentage",2010
191,191,"Roger Tambellini",77,28.93,401,1386,"OnePuttPercentage",2010
192,192,"Jeff Gove",57,28.36,291,1026,"OnePuttPercentage",2010
