"StrokesGainedTotal_RANKTHISWEEK_2009","StrokesGainedTotal_RANKLASTWEEK_2009","StrokesGainedTotal_PLAYERNAME_2009","StrokesGainedTotal_ROUNDS_2009","StrokesGainedTotal_AVERAGE_2009","StrokesGainedTotal_TOTALSGT_2009","StrokesGainedTotal_TOTALSGT2G_2009","StrokesGainedTotal_TOTALSGP_2009","StrokesGainedTotal_MEASUREDROUNDS_2009","stat_name","year"
27,27,"Jerry Kelly",90,0.777,59.829,34.75,25.079,77,"StrokesGainedTotal",2009
28,28,"Mike Weir",85,0.768,51.45,19.656,31.794,67,"StrokesGainedTotal",2009
29,29,"Sergio Garcia",59,0.763,33.566,36.592,-3.026,44,"StrokesGainedTotal",2009
30,30,"Stephen Ames",77,0.731,41.694,17.535,24.159,57,"StrokesGainedTotal",2009
30,30,"Lucas Glover",93,0.731,57.74,46.002,11.738,79,"StrokesGainedTotal",2009
30,30,"Brandt Snedeker",81,0.731,47.529,-1.899,49.428,65,"StrokesGainedTotal",2009
33,33,"Ben Crane",93,0.715,57.211,22.945,34.266,80,"StrokesGainedTotal",2009
34,34,"Phil Mickelson",66,0.699,33.563,40.506,-6.943,48,"StrokesGainedTotal",2009
35,35,"Rory Sabbatini",81,0.659,44.149,65.489,-21.34,67,"StrokesGainedTotal",2009
36,36,"Rod Pampling",72,0.65,41.568,33.442,8.126,64,"StrokesGainedTotal",2009
37,37,"Bo Van Pelt",100,0.646,52.959,29.885,23.074,82,"StrokesGainedTotal",2009
38,38,"George McNeill",82,0.63,47.891,17.023,30.868,76,"StrokesGainedTotal",2009
39,39,"Brian Gay",96,0.601,49.261,-10.546,59.807,82,"StrokesGainedTotal",2009
40,40,"Jonathan Byrd",89,0.6,47.408,81.843,-34.435,79,"StrokesGainedTotal",2009
41,41,"Chad Campbell",90,0.592,42.002,39.573,2.429,71,"StrokesGainedTotal",2009
41,41,"Tim Petrovic",97,0.592,50.9,25.037,25.863,86,"StrokesGainedTotal",2009
43,43,"Kevin Sutherland",96,0.587,42.838,23.114,19.724,73,"StrokesGainedTotal",2009
44,44,"Jason Dufner",90,0.582,45.408,47.572,-2.164,78,"StrokesGainedTotal",2009
45,45,"Angel Cabrera",55,0.544,20.674,14.137,6.537,38,"StrokesGainedTotal",2009
46,46,"Mark Wilson",99,0.543,47.821,13.688,34.133,88,"StrokesGainedTotal",2009
47,47,"Charley Hoffman",97,0.535,46.586,38.463,8.123,87,"StrokesGainedTotal",2009
48,48,"Charles Howell III",99,0.512,42.458,45.304,-2.846,83,"StrokesGainedTotal",2009
49,49,"Bob Estes",78,0.506,34.942,13.479,21.463,69,"StrokesGainedTotal",2009
50,50,"Boo Weekley",79,0.505,32.849,67.049,-34.2,65,"StrokesGainedTotal",2009
51,51,"Paul Goydos",79,0.483,31.405,22.756,8.649,65,"StrokesGainedTotal",2009
52,52,"Anthony Kim",76,0.479,28.76,14.017,14.743,60,"StrokesGainedTotal",2009
53,53,"Woody Austin",84,0.478,36.299,34.292,2.007,76,"StrokesGainedTotal",2009
54,54,"Justin Rose",71,0.475,27.05,20.85,6.2,57,"StrokesGainedTotal",2009
55,55,"Bubba Watson",73,0.471,26.865,23.08,3.785,57,"StrokesGainedTotal",2009
56,56,"Davis Love III",89,0.47,36.206,57.407,-21.201,77,"StrokesGainedTotal",2009
57,57,"Michael Allen",73,0.435,25.231,27.923,-2.692,58,"StrokesGainedTotal",2009
58,58,"Bryce Molder",69,0.429,23.169,-17.04,40.209,54,"StrokesGainedTotal",2009
59,59,"Chris Riley",77,0.415,27.823,5.024,22.799,67,"StrokesGainedTotal",2009
60,60,"Bill Haas",91,0.38,31.161,28.389,2.772,82,"StrokesGainedTotal",2009
61,61,"Greg Chalmers",85,0.374,26.57,-23.211,49.781,71,"StrokesGainedTotal",2009
62,62,"Ryan Moore",89,0.361,27.079,1.047,26.032,75,"StrokesGainedTotal",2009
63,63,"YE Yang",83,0.347,24.259,28.252,-3.993,70,"StrokesGainedTotal",2009
64,64,"Pat Perez",74,0.342,21.197,-11.704,32.901,62,"StrokesGainedTotal",2009
65,65,"Michael Letzig",96,0.33,28.405,18.686,9.719,86,"StrokesGainedTotal",2009
66,66,"Fred Couples",54,0.329,13.801,28.183,-14.382,42,"StrokesGainedTotal",2009
67,67,"JJ Henry",97,0.325,27.328,18.011,9.317,84,"StrokesGainedTotal",2009
68,68,"Matt Jones",56,0.319,14.371,-11.708,26.079,45,"StrokesGainedTotal",2009
69,69,"Freddie Jacobson",83,0.311,22.684,-15.676,38.36,73,"StrokesGainedTotal",2009
70,70,"Marc Leishman",91,0.31,26.009,13.717,12.292,84,"StrokesGainedTotal",2009
71,71,"John Mallinger",90,0.307,21.772,15.935,5.837,71,"StrokesGainedTotal",2009
72,72,"Nick OHern",90,0.301,25.59,25.255,0.335,85,"StrokesGainedTotal",2009
73,73,"Stewart Cink",79,0.287,16.916,-2.893,19.809,59,"StrokesGainedTotal",2009
74,74,"Jason Bohn",88,0.282,23.138,54.332,-31.194,82,"StrokesGainedTotal",2009
75,75,"Briny Baird",89,0.281,20.233,44.265,-24.032,72,"StrokesGainedTotal",2009
76,76,"Harrison Frazar",93,0.269,22.621,-3.872,26.493,84,"StrokesGainedTotal",2009
77,77,"Charlie Wi",92,0.265,20.9,-17.904,38.804,79,"StrokesGainedTotal",2009
78,78,"Brian Davis",103,0.261,23.76,23.583,0.177,91,"StrokesGainedTotal",2009
79,79,"Jeff Klauk",97,0.246,21.611,-18.303,39.914,88,"StrokesGainedTotal",2009
80,80,"Tom Lehman",55,0.238,8.342,26.918,-18.576,35,"StrokesGainedTotal",2009
81,81,"DA Points",99,0.226,19.455,19.6,-0.145,86,"StrokesGainedTotal",2009
82,82,"Troy Matteson",95,0.214,18.856,15.914,2.942,88,"StrokesGainedTotal",2009
83,83,"DJ Trahan",96,0.206,16.494,50.127,-33.633,80,"StrokesGainedTotal",2009
84,84,"Scott McCarron",91,0.203,16.454,-21.456,37.91,81,"StrokesGainedTotal",2009
85,85,"Lee Janzen",74,0.202,12.304,-3.388,15.692,61,"StrokesGainedTotal",2009
86,86,"Kevin Streelman",97,0.199,17.33,6.781,10.549,87,"StrokesGainedTotal",2009
87,87,"KJ Choi",65,0.185,9.264,11.626,-2.362,50,"StrokesGainedTotal",2009
88,88,"Tag Ridings",50,0.181,7.434,16.847,-9.413,41,"StrokesGainedTotal",2009
89,89,"Greg Owen",97,0.175,14.39,49.977,-35.587,82,"StrokesGainedTotal",2009
90,90,"Ben Curtis",63,0.173,8.136,-27.954,36.09,47,"StrokesGainedTotal",2009
91,91,"Alex Cejka",82,0.17,12.089,34.679,-22.59,71,"StrokesGainedTotal",2009
92,92,"Rocco Mediate",79,0.162,10.691,45.314,-34.623,66,"StrokesGainedTotal",2009
93,93,"Scott Sterling",51,0.151,6.026,3.194,2.832,40,"StrokesGainedTotal",2009
94,94,"Scott Piercy",85,0.15,11.386,6.062,5.324,76,"StrokesGainedTotal",2009
95,95,"Charles Warren",63,0.136,7.209,22.745,-15.536,53,"StrokesGainedTotal",2009
96,96,"Bill Lunde",83,0.133,9.961,8.706,1.255,75,"StrokesGainedTotal",2009
97,97,"Spencer Levin",75,0.132,8.826,-17.713,26.539,67,"StrokesGainedTotal",2009
98,98,"Vijay Singh",71,0.119,6.073,39.58,-33.507,51,"StrokesGainedTotal",2009
99,99,"Steve Elkington",70,0.098,6.104,10.556,-4.452,62,"StrokesGainedTotal",2009
99,99,"Webb Simpson",94,0.098,8.506,-39.922,48.428,87,"StrokesGainedTotal",2009
101,101,"Joe Ogilvie",85,0.096,7.377,-34.737,42.114,77,"StrokesGainedTotal",2009
101,101,"Kevin Stadler",65,0.096,5.185,18.288,-13.103,54,"StrokesGainedTotal",2009
103,103,"Chris DiMarco",97,0.086,7.476,17.879,-10.403,87,"StrokesGainedTotal",2009
104,104,"Patrick Sheehan",51,0.061,2.395,1.712,0.683,39,"StrokesGainedTotal",2009
105,105,"Jeff Overton",92,0.056,4.266,-5.106,9.372,76,"StrokesGainedTotal",2009
106,106,"Heath Slocum",95,0.052,4.435,40.305,-35.87,85,"StrokesGainedTotal",2009
107,107,"James Nitties",86,0.031,2.375,-16.452,18.827,76,"StrokesGainedTotal",2009
108,108,"Brett Quigley",92,0.023,1.737,16.223,-14.486,75,"StrokesGainedTotal",2009
109,109,"Matt Weibring",65,0.002,0.12,6.249,-6.129,55,"StrokesGainedTotal",2009
110,110,"Ted Purdy",101,0,-0.035,-6.732,6.697,89,"StrokesGainedTotal",2009
111,111,"Cameron Beckman",87,-0.001,-0.056,0.694,-0.75,75,"StrokesGainedTotal",2009
112,112,"Tommy Armour III",58,-0.008,-0.431,9.501,-9.932,52,"StrokesGainedTotal",2009
113,113,"Vaughn Taylor",88,-0.026,-2.04,-28.723,26.683,79,"StrokesGainedTotal",2009
114,114,"Chris Stroud",88,-0.033,-2.487,4.252,-6.739,76,"StrokesGainedTotal",2009
115,115,"Bob Heintz",59,-0.036,-1.85,-32.501,30.651,51,"StrokesGainedTotal",2009
116,116,"John Rollins",92,-0.042,-3.327,-3.085,-0.242,79,"StrokesGainedTotal",2009
117,117,"Dean Wilson",81,-0.061,-4.276,-28.82,24.544,70,"StrokesGainedTotal",2009
118,118,"Robert Garrigus",83,-0.066,-4.766,21.369,-26.135,72,"StrokesGainedTotal",2009
119,119,"Tim Herron",87,-0.089,-7.209,-1.164,-6.045,81,"StrokesGainedTotal",2009
120,120,"Daniel Chopra",89,-0.092,-7.636,-32.596,24.96,83,"StrokesGainedTotal",2009
121,121,"Ryuji Imada",85,-0.097,-6.715,-37.055,30.34,69,"StrokesGainedTotal",2009
122,122,"Martin Laird",72,-0.103,-6.388,-10.082,3.694,62,"StrokesGainedTotal",2009
123,123,"Steve Flesch",77,-0.106,-6.697,11.688,-18.385,63,"StrokesGainedTotal",2009
124,124,"Cliff Kresge",78,-0.118,-7.929,-10.276,2.347,67,"StrokesGainedTotal",2009
125,125,"Mathew Goggin",76,-0.141,-8.43,8.345,-16.775,60,"StrokesGainedTotal",2009
126,126,"Nathan Green",104,-0.144,-13.283,-47.709,34.426,92,"StrokesGainedTotal",2009
127,127,"Tom Pernice Jr",82,-0.147,-11.037,-9.814,-1.223,75,"StrokesGainedTotal",2009
128,128,"Corey Pavin",73,-0.177,-9.548,-32.594,23.046,54,"StrokesGainedTotal",2009
129,129,"Nicholas Thompson",96,-0.18,-15.643,25.234,-40.877,87,"StrokesGainedTotal",2009
130,130,"Aaron Baddeley",66,-0.189,-10.958,-45.979,35.021,58,"StrokesGainedTotal",2009
131,131,"Johnson Wagner",81,-0.225,-16.639,-19.419,2.78,74,"StrokesGainedTotal",2009
132,132,"Jimmy Walker",74,-0.235,-15.045,-8.453,-6.592,64,"StrokesGainedTotal",2009
133,133,"Andres Romero",58,-0.291,-12.498,-10.517,-1.981,43,"StrokesGainedTotal",2009
134,134,"Jeff Quinney",78,-0.297,-21.088,-36.457,15.369,71,"StrokesGainedTotal",2009
135,135,"Jeff Maggert",79,-0.309,-22.555,-0.941,-21.614,73,"StrokesGainedTotal",2009
136,136,"Brendon de Jonge",90,-0.316,-24.981,-7.903,-17.078,79,"StrokesGainedTotal",2009
137,137,"Rich Beem",77,-0.325,-18.873,-16.786,-2.087,58,"StrokesGainedTotal",2009
138,138,"John Merrick",91,-0.326,-22.185,-20.839,-1.346,68,"StrokesGainedTotal",2009
139,139,"Kris Blanks",60,-0.335,-15.767,-0.641,-15.126,47,"StrokesGainedTotal",2009
140,140,"Chez Reavie",81,-0.348,-24.355,-10.279,-14.076,70,"StrokesGainedTotal",2009
141,141,"David Mathis",82,-0.37,-25.513,-49.781,24.268,69,"StrokesGainedTotal",2009
142,142,"Ryan Palmer",78,-0.419,-29.332,-42.388,13.056,70,"StrokesGainedTotal",2009
143,143,"Richard Johnson",85,-0.457,-33.795,-59.343,25.548,74,"StrokesGainedTotal",2009
144,144,"Ken Duke",87,-0.46,-32.67,0.839,-33.509,71,"StrokesGainedTotal",2009
145,145,"Joe Durant",62,-0.475,-22.306,14.161,-36.467,47,"StrokesGainedTotal",2009
146,146,"Mark Calcavecchia",72,-0.517,-32.027,-16.006,-16.021,62,"StrokesGainedTotal",2009
147,147,"Stuart Appleby",79,-0.52,-33.77,9.111,-42.881,65,"StrokesGainedTotal",2009
148,148,"JB Holmes",74,-0.522,-31.852,12.887,-44.739,61,"StrokesGainedTotal",2009
149,149,"Steve Lowery",83,-0.525,-40.43,-47.039,6.609,77,"StrokesGainedTotal",2009
150,150,"Brad Adamonis",70,-0.531,-32.385,-36.004,3.619,61,"StrokesGainedTotal",2009
151,151,"Casey Wittenberg",71,-0.545,-29.419,-5.827,-23.592,54,"StrokesGainedTotal",2009
152,152,"Darron Stiles",52,-0.563,-23.651,3.704,-27.355,42,"StrokesGainedTotal",2009
153,153,"Bart Bryant",58,-0.588,-30.588,-24.218,-6.37,52,"StrokesGainedTotal",2009
154,154,"Matt Bettencourt",98,-0.598,-52.062,-56.446,4.384,87,"StrokesGainedTotal",2009
155,155,"Aron Price",89,-0.603,-46.425,-55.189,8.764,77,"StrokesGainedTotal",2009
156,156,"Todd Hamilton",83,-0.606,-38.789,-46.85,8.061,64,"StrokesGainedTotal",2009
157,157,"Kirk Triplett",60,-0.612,-33.681,12.233,-45.914,55,"StrokesGainedTotal",2009
158,158,"Jarrod Lyle",65,-0.621,-31.045,-10.392,-20.653,50,"StrokesGainedTotal",2009
159,159,"Carl Pettersson",86,-0.629,-46.512,-70.21,23.698,74,"StrokesGainedTotal",2009
160,160,"Adam Scott",53,-0.66,-27.736,9.5,-37.236,42,"StrokesGainedTotal",2009
161,161,"Will Ma Kenzie",69,-0.668,-40.75,19.001,-59.751,61,"StrokesGainedTotal",2009
162,162,"Jason Gore",74,-0.729,-45.191,-7.049,-38.142,62,"StrokesGainedTotal",2009
163,163,"Mark Brooks",55,-0.759,-30.348,-30.267,-0.081,40,"StrokesGainedTotal",2009
164,164,"Kent Jones",73,-0.782,-47.689,-38.087,-9.602,61,"StrokesGainedTotal",2009
165,165,"Jay Williamson",69,-0.785,-44.76,6.311,-51.071,57,"StrokesGainedTotal",2009
166,166,"Glen Day",79,-0.79,-50.58,-27.8,-22.78,64,"StrokesGainedTotal",2009
167,167,"Colt Knost",71,-0.854,-47.816,-52.069,4.253,56,"StrokesGainedTotal",2009
168,168,"Billy Mayfair",83,-0.901,-62.138,1.254,-63.392,69,"StrokesGainedTotal",2009
169,169,"Brian Vranesh",51,-0.925,-39.779,-35.466,-4.313,43,"StrokesGainedTotal",2009
170,170,"Peter Lonard",86,-0.938,-72.223,-35.749,-36.474,77,"StrokesGainedTotal",2009
171,171,"Ricky Barnes",67,-0.999,-50.974,11.118,-62.092,51,"StrokesGainedTotal",2009
172,172,"Peter Tomasulo",61,-1.162,-53.47,-24.979,-28.491,46,"StrokesGainedTotal",2009
173,173,"Marc Turnesa",77,-1.201,-85.259,-88.028,2.769,71,"StrokesGainedTotal",2009
174,174,"Parker McLachlin",71,-1.235,-82.736,-124.226,41.49,67,"StrokesGainedTotal",2009
175,175,"Brian Bateman",55,-1.379,-66.197,-69.909,3.712,48,"StrokesGainedTotal",2009
176,176,"Derek Fathauer",63,-1.455,-74.204,-56.737,-17.467,51,"StrokesGainedTotal",2009
177,177,"Gary Woodland",53,-1.458,-53.928,-34.917,-19.011,37,"StrokesGainedTotal",2009
178,178,"Brendon Todd",53,-1.587,-74.592,-71.985,-2.607,47,"StrokesGainedTotal",2009
179,179,"Rick Price",54,-1.635,-67.022,-33.983,-33.039,41,"StrokesGainedTotal",2009
180,180,"Greg Kraft",51,-1.655,-67.846,-48.431,-19.415,41,"StrokesGainedTotal",2009
181,181,"Leif Olson",51,-1.717,-73.82,-63.47,-10.35,43,"StrokesGainedTotal",2009
182,182,"David Duval",56,-1.79,-78.749,-73.392,-5.357,44,"StrokesGainedTotal",2009
183,183,"Brad Faxon",59,-2.057,-106.978,-147.471,40.493,52,"StrokesGainedTotal",2009
184,184,"Eric Axley",71,-2.243,-132.338,-152.011,19.673,59,"StrokesGainedTotal",2009
