"LongestDrives_RANKTHISWEEK_2008","LongestDrives_RANKLASTWEEK_2008","LongestDrives_PLAYERNAME_2008","LongestDrives_ROUNDS_2008","LongestDrives_DISTANCE_2008","LongestDrives_TOURNAMENT_2008","LongestDrives_ROUND_2008","LongestDrives_HOLE_2008","LongestDrives_COURSE_2008","stat_name","year"
104,104,"Nathan Green",95,381,NA,1,9,660,"LongestDrives",2008
104,104,"Zach Johnson",85,381,NA,4,12,656,"LongestDrives",2008
104,104,"Paul Waring",4,381,NA,3,2,541,"LongestDrives",2008
113,113,"Steve Flesch",95,380,NA,4,18,656,"LongestDrives",2008
113,113,"Paul Casey",55,380,NA,3,2,541,"LongestDrives",2008
113,113,"Travis Perkins",53,380,NA,2,11,625,"LongestDrives",2008
119,119,"Bob Estes",90,379,NA,1,10,660,"LongestDrives",2008
119,119,"Robert Gamez",79,379,NA,4,11,625,"LongestDrives",2008
119,119,"Vijay Singh",82,379,NA,1,3,500,"LongestDrives",2008
119,119,"Cameron Beckman",87,379,NA,2,11,625,"LongestDrives",2008
119,119,"Carlos Franco",73,379,NA,2,9,660,"LongestDrives",2008
119,119,"Brett Wetterich",36,379,NA,4,2,741,"LongestDrives",2008
129,129,"Tommy Armour III",77,378,NA,1,1,625,"LongestDrives",2008
129,129,"Tom Scherrer",56,378,NA,3,17,660,"LongestDrives",2008
129,129,"Brad Elder",67,378,NA,2,14,625,"LongestDrives",2008
129,129,"Rich Beem",90,378,NA,2,11,625,"LongestDrives",2008
135,135,"Lee Janzen",89,377,NA,2,9,660,"LongestDrives",2008
135,135,"Jim Furyk",95,377,NA,4,18,656,"LongestDrives",2008
135,135,"Robert Allenby",108,377,NA,3,2,743,"LongestDrives",2008
135,135,"Anthony Kim",81,377,NA,2,5,688,"LongestDrives",2008
149,149,"John Riegger",73,376,NA,4,1,625,"LongestDrives",2008
149,149,"Henrik Stenson",36,376,NA,3,18,656,"LongestDrives",2008
149,149,"Andrew Buckle",46,376,NA,3,9,660,"LongestDrives",2008
149,149,"Chez Reavie",102,376,NA,4,11,625,"LongestDrives",2008
164,164,"John Huston",56,375,NA,1,7,638,"LongestDrives",2008
164,164,"Omar Uresti",74,375,NA,2,10,660,"LongestDrives",2008
164,164,"Jason Gore",94,375,NA,3,9,660,"LongestDrives",2008
164,164,"Carl Pettersson",110,375,NA,2,1,6,"LongestDrives",2008
164,164,"John Merrick",98,375,NA,3,9,660,"LongestDrives",2008
178,178,"Mike Weir",88,374,NA,4,12,656,"LongestDrives",2008
178,178,"Kyle Thompson",70,374,NA,4,1,625,"LongestDrives",2008
178,178,"Ryan Palmer",69,374,NA,1,9,660,"LongestDrives",2008
178,178,"Andres Romero",69,374,NA,3,2,743,"LongestDrives",2008
178,178,"Lucas Glover",91,374,NA,3,2,541,"LongestDrives",2008
197,197,"Olin Browne",77,373,NA,2,1,625,"LongestDrives",2008
197,197,"Scott Sterling",89,373,NA,4,1,625,"LongestDrives",2008
