"PercentageofYardagecoveredbyTeeShotsPar5s_RANKTHISWEEK_2005","PercentageofYardagecoveredbyTeeShotsPar5s_RANKLASTWEEK_2005","PercentageofYardagecoveredbyTeeShotsPar5s_PLAYERNAME_2005","PercentageofYardagecoveredbyTeeShotsPar5s_ROUNDS_2005","PercentageofYardagecoveredbyTeeShotsPar5s_AVGPct_2005","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALSHOTDISTANCE_2005","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALDISTANCE_2005","stat_name","year"
66,66,"Retief Goosen",71,52.32,41474.4,79265,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
67,67,"Jason Bohn",91,52.31,77423.2,148004,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
68,68,"Woody Austin",100,52.28,85588.3,163722,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
68,68,"John Huston",90,52.28,76804.7,146914,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
70,70,"Neal Lancaster",95,52.27,84333.8,161337,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
71,71,"Chad Campbell",95,52.26,68345,130783,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
71,71,"Bo Van Pelt",112,52.26,92965.2,177903,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
73,73,"Michael Allen",90,52.24,74505.4,142621,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
74,74,"Aaron Baddeley",84,52.23,73962.3,141596,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
75,75,"Bob Heintz",67,52.21,61125.3,117078,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
76,76,"Tom Pernice Jr",111,52.2,88824.1,170159,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
77,77,"Padraig Harrington",50,52.16,37911.8,72690,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
77,77,"Tim Herron",100,52.16,74304.8,142442,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
77,77,"DA Points",94,52.16,81140.2,155561,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
80,80,"Briny Baird",98,52.11,84558.9,162276,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
81,81,"Carl Pettersson",109,52.06,94029.2,180600,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
82,82,"Brian Bateman",98,52.05,82927.2,159322,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
83,83,"Roland Thatcher",75,52.02,68397.9,131473,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
84,84,"Justin Bolli",65,52,57899.3,111344,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
85,85,"Patrick Sheehan",114,51.96,96375,185463,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
86,86,"Billy Mayfair",114,51.95,96599.4,185960,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
87,87,"Jose Maria Olazabal",55,51.92,39201.4,75497,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
