"MoneyLeadersFallSeries_RANKTHISWEEK_2009","MoneyLeadersFallSeries_RANKLASTWEEK_2009","MoneyLeadersFallSeries_PLAYERNAME_2009","MoneyLeadersFallSeries_EVENTS_2009","MoneyLeadersFallSeries_MONEY_2009","MoneyLeadersFallSeries_YTDVICTORIES_2009","stat_name","year"
98,98,"Todd Hamilton",29,34780,2000,"MoneyLeadersFallSeries",2009
99,99,"Stuart Appleby",25,33362,11000,"MoneyLeadersFallSeries",2009
100,100,"Matt Jones",17,33060,6000,"MoneyLeadersFallSeries",2009
101,101,"Jeff Quinney",26,31522,9000,"MoneyLeadersFallSeries",2009
101,101,"Jay Williamson",22,31522,8000,"MoneyLeadersFallSeries",2009
103,103,"Aron Price",27,31183,10000,"MoneyLeadersFallSeries",2009
104,104,"Cameron Beckman",26,31060,5000,"MoneyLeadersFallSeries",2009
105,105,"Ricky Barnes",23,30926,8000,"MoneyLeadersFallSeries",2009
106,106,"Ryan Palmer",26,30740,10000,"MoneyLeadersFallSeries",2009
107,107,"Mark Calcavecchia",23,30080,9000,"MoneyLeadersFallSeries",2009
108,108,"Patrick Sheehan",15,29240,6000,"MoneyLeadersFallSeries",2009
109,109,"Adam Scott",19,28328,2000,"MoneyLeadersFallSeries",2009
110,110,"John Mallinger",27,27800,7000,"MoneyLeadersFallSeries",2009
111,111,"Brendon de Jonge",29,27651,11000,"MoneyLeadersFallSeries",2009
112,112,"Parker McLachlin",25,26500,9000,"MoneyLeadersFallSeries",2009
113,113,"Arron Oberholser",4,26416,1000,"MoneyLeadersFallSeries",2009
114,114,"Kyle Stanley",7,26230,6678000,"MoneyLeadersFallSeries",2009
114,114,"Kirk Triplett",20,26230,8000,"MoneyLeadersFallSeries",2009
116,116,"Richard Johnson",26,25424,5000,"MoneyLeadersFallSeries",2009
117,117,"Casey Wittenberg",25,23878,9000,"MoneyLeadersFallSeries",2009
118,118,"Brian Vranesh",20,23480,7000,"MoneyLeadersFallSeries",2009
119,119,"Ken Duke",29,22973,12000,"MoneyLeadersFallSeries",2009
120,120,"Jason Gore",24,22400,9000,"MoneyLeadersFallSeries",2009
121,121,"Matt Bettencourt",31,22360,12000,"MoneyLeadersFallSeries",2009
122,122,"Arjun Atwal",12,21000,4000,"MoneyLeadersFallSeries",2009
122,122,"KJ Choi",22,21000,10000,"MoneyLeadersFallSeries",2009
124,124,"Steve Lowery",27,19668,10000,"MoneyLeadersFallSeries",2009
125,125,"Scott McCarron",27,18500,5000,"MoneyLeadersFallSeries",2009
125,125,"John Merrick",28,18500,10000,"MoneyLeadersFallSeries",2009
125,125,"Peter Tomasulo",25,18500,10000,"MoneyLeadersFallSeries",2009
128,128,"Briny Baird",28,18198,5000,"MoneyLeadersFallSeries",2009
129,129,"Glen Day",26,17748,10000,"MoneyLeadersFallSeries",2009
130,130,"Tag Ridings",16,16800,6000,"MoneyLeadersFallSeries",2009
131,131,"Michael Sim",3,13620,3780000,"MoneyLeadersFallSeries",2009
132,132,"Aaron Watkins",18,13080,6000,"MoneyLeadersFallSeries",2009
133,133,"Jarrod Lyle",21,12480,8000,"MoneyLeadersFallSeries",2009
134,134,"Paul Goydos",25,12060,7000,"MoneyLeadersFallSeries",2009
134,134,"Charlie Wi",28,12060,7000,"MoneyLeadersFallSeries",2009
136,136,"Joe Durant",20,11820,8000,"MoneyLeadersFallSeries",2009
137,137,"Steve Flesch",27,11000,10000,"MoneyLeadersFallSeries",2009
138,138,"James Oh",21,10798,8000,"MoneyLeadersFallSeries",2009
