"Total1PuttsInside5_RANKTHISWEEK_2006","Total1PuttsInside5_RANKLASTWEEK_2006","Total1PuttsInside5_PLAYERNAME_2006","Total1PuttsInside5_ROUNDS_2006","Total1PuttsInside5_TOTAL_2006","Total1PuttsInside5_TOTALFORALLDISTANCES_2006","Total1PuttsInside5_PCTOFALL1PUTTS_2006","stat_name","year"
25,25,"Justin Rose",98,309,600,51.5,"Total1PuttsInside5",2006
26,26,"Camilo Villegas",95,306,574,53.3,"Total1PuttsInside5",2006
27,27,"Paul Azinger",87,305,587,52,"Total1PuttsInside5",2006
28,28,"Mark Calcavecchia",94,304,567,53.6,"Total1PuttsInside5",2006
29,29,"Marco Dawson",87,303,567,53.4,"Total1PuttsInside5",2006
30,30,"Kevin Sutherland",100,302,583,51.8,"Total1PuttsInside5",2006
31,31,"Jerry Smith",94,301,585,51.5,"Total1PuttsInside5",2006
32,32,"Frank Lickliter II",99,298,603,49.4,"Total1PuttsInside5",2006
33,33,"Lucas Glover",105,297,597,49.7,"Total1PuttsInside5",2006
33,33,"Jonathan Kaye",95,297,538,55.2,"Total1PuttsInside5",2006
33,33,"Jeff Sluman",101,297,592,50.2,"Total1PuttsInside5",2006
36,36,"Arjun Atwal",97,296,592,50,"Total1PuttsInside5",2006
36,36,"Shigeki Maruyama",94,296,604,49,"Total1PuttsInside5",2006
38,38,"Harrison Frazar",95,294,562,52.3,"Total1PuttsInside5",2006
38,38,"Jeff Overton",95,294,605,48.6,"Total1PuttsInside5",2006
40,40,"Joe Ogilvie",95,292,578,50.5,"Total1PuttsInside5",2006
40,40,"Ryan Palmer",101,292,572,51,"Total1PuttsInside5",2006
40,40,"Tim Petrovic",95,292,589,49.6,"Total1PuttsInside5",2006
40,40,"Duffy Waldorf",96,292,554,52.7,"Total1PuttsInside5",2006
44,44,"Olin Browne",108,290,619,46.8,"Total1PuttsInside5",2006
44,44,"Kent Jones",103,290,631,46,"Total1PuttsInside5",2006
46,46,"Fred Funk",106,287,592,48.5,"Total1PuttsInside5",2006
46,46,"Hunter Mahan",98,287,600,47.8,"Total1PuttsInside5",2006
46,46,"Wes Short Jr",96,287,585,49.1,"Total1PuttsInside5",2006
49,49,"Eric Axley",91,285,572,49.8,"Total1PuttsInside5",2006
49,49,"Brian Davis",92,285,552,51.6,"Total1PuttsInside5",2006
51,51,"Mark Brooks",90,284,496,57.3,"Total1PuttsInside5",2006
51,51,"Bubba Dickerson",98,284,569,49.9,"Total1PuttsInside5",2006
51,51,"Vaughn Taylor",88,284,579,49.1,"Total1PuttsInside5",2006
54,54,"Mathias Gronberg",92,283,534,53,"Total1PuttsInside5",2006
54,54,"Stephen Leaney",84,283,554,51.1,"Total1PuttsInside5",2006
56,56,"Alex Cejka",93,282,533,52.9,"Total1PuttsInside5",2006
56,56,"Jerry Kelly",100,282,574,49.1,"Total1PuttsInside5",2006
58,58,"Troy Matteson",101,281,583,48.2,"Total1PuttsInside5",2006
58,58,"DA Points",82,281,515,54.6,"Total1PuttsInside5",2006
60,60,"David Branshaw",98,280,573,48.9,"Total1PuttsInside5",2006
60,60,"Robert Gamez",94,280,568,49.3,"Total1PuttsInside5",2006
62,62,"Richard Johnson",94,279,597,46.7,"Total1PuttsInside5",2006
63,63,"Aaron Baddeley",78,278,533,52.2,"Total1PuttsInside5",2006
63,63,"Charles Howell III",96,278,523,53.2,"Total1PuttsInside5",2006
65,65,"Michael Allen",84,277,540,51.3,"Total1PuttsInside5",2006
65,65,"Jeff Brehaut",100,277,561,49.4,"Total1PuttsInside5",2006
65,65,"Sean OHair",100,277,525,52.8,"Total1PuttsInside5",2006
68,68,"Doug Barron",74,273,513,53.2,"Total1PuttsInside5",2006
68,68,"Jesper Parnevik",84,273,533,51.2,"Total1PuttsInside5",2006
70,70,"KJ Choi",93,272,522,52.1,"Total1PuttsInside5",2006
71,71,"Carl Pettersson",95,271,547,49.5,"Total1PuttsInside5",2006
72,72,"James Driscoll",80,270,540,50,"Total1PuttsInside5",2006
72,72,"Charles Warren",93,270,517,52.2,"Total1PuttsInside5",2006
74,74,"Carlos Franco",86,268,512,52.3,"Total1PuttsInside5",2006
74,74,"Heath Slocum",96,268,527,50.9,"Total1PuttsInside5",2006
76,76,"Brad Faxon",78,267,545,49,"Total1PuttsInside5",2006
76,76,"Trevor Immelman",86,267,505,52.9,"Total1PuttsInside5",2006
76,76,"Chris Riley",86,267,527,50.7,"Total1PuttsInside5",2006
76,76,"Nicholas Thompson",96,267,500,53.4,"Total1PuttsInside5",2006
76,76,"DJ Trahan",92,267,533,50.1,"Total1PuttsInside5",2006
76,76,"Scott Verplank",88,267,496,53.8,"Total1PuttsInside5",2006
82,82,"Daisuke Maruyama",83,266,478,55.6,"Total1PuttsInside5",2006
83,83,"Dudley Hart",83,265,501,52.9,"Total1PuttsInside5",2006
83,83,"Shaun Micheel",96,265,518,51.2,"Total1PuttsInside5",2006
85,85,"Jeff Gove",91,263,502,52.4,"Total1PuttsInside5",2006
86,86,"Billy Mayfair",94,262,509,51.5,"Total1PuttsInside5",2006
87,87,"Lee Janzen",79,258,489,52.8,"Total1PuttsInside5",2006
88,88,"John Rollins",93,257,508,50.6,"Total1PuttsInside5",2006
89,89,"Bubba Watson",83,256,482,53.1,"Total1PuttsInside5",2006
89,89,"Mark Wilson",79,256,510,50.2,"Total1PuttsInside5",2006
91,91,"Zach Johnson",98,255,528,48.3,"Total1PuttsInside5",2006
91,91,"Rod Pampling",89,255,510,50,"Total1PuttsInside5",2006
93,93,"Bob Estes",85,254,514,49.4,"Total1PuttsInside5",2006
93,93,"Ian Leggatt",80,254,482,52.7,"Total1PuttsInside5",2006
93,93,"Justin Leonard",83,254,453,56.1,"Total1PuttsInside5",2006
93,93,"Brett Wetterich",82,254,497,51.1,"Total1PuttsInside5",2006
97,97,"Stewart Cink",93,251,541,46.4,"Total1PuttsInside5",2006
97,97,"Robert Garrigus",85,251,495,50.7,"Total1PuttsInside5",2006
97,97,"Joey Sindelar",90,251,492,51,"Total1PuttsInside5",2006
100,100,"Will Ma Kenzie",91,250,472,53,"Total1PuttsInside5",2006
101,101,"JJ Henry",96,248,503,49.3,"Total1PuttsInside5",2006
101,101,"Steve Jones",83,248,474,52.3,"Total1PuttsInside5",2006
103,103,"Peter Lonard",77,247,437,56.5,"Total1PuttsInside5",2006
104,104,"Hidemichi Tanaka",74,245,444,55.2,"Total1PuttsInside5",2006
105,105,"Kris Cox",83,244,492,49.6,"Total1PuttsInside5",2006
106,106,"Ted Purdy",103,243,530,45.8,"Total1PuttsInside5",2006
107,107,"Jason Schultz",77,242,439,55.1,"Total1PuttsInside5",2006
108,108,"Stuart Appleby",83,240,465,51.6,"Total1PuttsInside5",2006
108,108,"Rory Sabbatini",84,240,456,52.6,"Total1PuttsInside5",2006
110,110,"Paul Goydos",72,238,443,53.7,"Total1PuttsInside5",2006
110,110,"Greg Kraft",79,238,470,50.6,"Total1PuttsInside5",2006
112,112,"John Senden",96,237,505,46.9,"Total1PuttsInside5",2006
113,113,"Bob Tway",81,236,460,51.3,"Total1PuttsInside5",2006
114,114,"Ron Whittaker",81,234,474,49.4,"Total1PuttsInside5",2006
115,115,"Ben Curtis",86,233,458,50.9,"Total1PuttsInside5",2006
115,115,"Jim Furyk",89,233,485,48,"Total1PuttsInside5",2006
117,117,"David McKenzie",82,232,480,48.3,"Total1PuttsInside5",2006
118,118,"Bart Bryant",87,230,455,50.5,"Total1PuttsInside5",2006
119,119,"Chad Campbell",91,229,453,50.6,"Total1PuttsInside5",2006
119,119,"Jason Gore",86,229,502,45.6,"Total1PuttsInside5",2006
119,119,"Todd Hamilton",72,229,408,56.1,"Total1PuttsInside5",2006
119,119,"Greg Owen",79,229,416,55,"Total1PuttsInside5",2006
123,123,"Mike Weir",88,228,456,50,"Total1PuttsInside5",2006
124,124,"Robert Allenby",79,226,426,53.1,"Total1PuttsInside5",2006
124,124,"John Engler Jr",69,226,429,52.7,"Total1PuttsInside5",2006
124,124,"John Huston",74,226,467,48.4,"Total1PuttsInside5",2006
127,127,"Briny Baird",81,222,457,48.6,"Total1PuttsInside5",2006
127,127,"JB Holmes",81,222,438,50.7,"Total1PuttsInside5",2006
129,129,"Danny Ellis",68,221,438,50.5,"Total1PuttsInside5",2006
129,129,"Ryan Moore",68,221,420,52.6,"Total1PuttsInside5",2006
131,131,"Matt Hansen",68,219,391,56,"Total1PuttsInside5",2006
131,131,"Paul Stankowski",70,219,423,51.8,"Total1PuttsInside5",2006
133,133,"Chris DiMarco",83,218,429,50.8,"Total1PuttsInside5",2006
134,134,"Ben Crane",85,214,461,46.4,"Total1PuttsInside5",2006
134,134,"Bernhard Langer",77,214,428,50,"Total1PuttsInside5",2006
134,134,"Mike Sposa",68,214,416,51.4,"Total1PuttsInside5",2006
137,137,"Rich Beem",85,211,446,47.3,"Total1PuttsInside5",2006
137,137,"Brandt Jobe",91,211,458,46.1,"Total1PuttsInside5",2006
137,137,"Steve Stricker",64,211,397,53.1,"Total1PuttsInside5",2006
140,140,"Arron Oberholser",82,210,429,49,"Total1PuttsInside5",2006
140,140,"David Toms",76,210,448,46.9,"Total1PuttsInside5",2006
142,142,"Corey Pavin",74,209,390,53.6,"Total1PuttsInside5",2006
143,143,"Jeff Maggert",81,208,441,47.2,"Total1PuttsInside5",2006
144,144,"Billy Andrade",78,207,415,49.9,"Total1PuttsInside5",2006
144,144,"Brian Bateman",69,207,402,51.5,"Total1PuttsInside5",2006
144,144,"Greg Chalmers",71,207,425,48.7,"Total1PuttsInside5",2006
144,144,"Tim Herron",82,207,415,49.9,"Total1PuttsInside5",2006
148,148,"Chris Couch",75,206,418,49.3,"Total1PuttsInside5",2006
149,149,"Alex Aragon",63,205,396,51.8,"Total1PuttsInside5",2006
149,149,"Tim Clark",80,205,421,48.7,"Total1PuttsInside5",2006
151,151,"Tjaart van der Walt",60,203,370,54.9,"Total1PuttsInside5",2006
152,152,"Jimmy Walker",60,201,395,50.9,"Total1PuttsInside5",2006
153,153,"Craig Barlow",77,199,395,50.4,"Total1PuttsInside5",2006
153,153,"Mathew Goggin",72,199,378,52.6,"Total1PuttsInside5",2006
153,153,"Geoff Ogilvy",76,199,384,51.8,"Total1PuttsInside5",2006
156,156,"Skip Kendall",72,198,416,47.6,"Total1PuttsInside5",2006
157,157,"Jon Mills",68,195,353,55.2,"Total1PuttsInside5",2006
158,158,"Ernie Els",69,193,348,55.5,"Total1PuttsInside5",2006
158,158,"Len Mattiace",59,193,388,49.7,"Total1PuttsInside5",2006
160,160,"Freddie Jacobson",56,189,385,49.1,"Total1PuttsInside5",2006
161,161,"John Cook",67,188,394,47.7,"Total1PuttsInside5",2006
161,161,"JL Lewis",57,188,356,52.8,"Total1PuttsInside5",2006
161,161,"Omar Uresti",61,188,339,55.5,"Total1PuttsInside5",2006
164,164,"JP Hayes",55,187,382,49,"Total1PuttsInside5",2006
164,164,"Kirk Triplett",58,187,356,52.5,"Total1PuttsInside5",2006
166,166,"Tommy Armour III",65,185,379,48.8,"Total1PuttsInside5",2006
166,166,"David Duval",71,185,381,48.6,"Total1PuttsInside5",2006
168,168,"Ryan Hietala",61,184,350,52.6,"Total1PuttsInside5",2006
168,168,"Phil Mickelson",74,184,346,53.2,"Total1PuttsInside5",2006
170,170,"Davis Love III",85,180,407,44.2,"Total1PuttsInside5",2006
170,170,"Vance Veazey",59,180,374,48.1,"Total1PuttsInside5",2006
172,172,"Jonathan Byrd",66,179,386,46.4,"Total1PuttsInside5",2006
172,172,"Kenny Perry",73,179,371,48.2,"Total1PuttsInside5",2006
172,172,"Adam Scott",70,179,348,51.4,"Total1PuttsInside5",2006
175,175,"Roger Tambellini",64,177,334,53,"Total1PuttsInside5",2006
176,176,"Bob May",65,171,357,47.9,"Total1PuttsInside5",2006
177,177,"Retief Goosen",68,168,330,50.9,"Total1PuttsInside5",2006
178,178,"Luke Donald",66,165,324,50.9,"Total1PuttsInside5",2006
178,178,"Chris Smith",67,165,361,45.7,"Total1PuttsInside5",2006
180,180,"Thomas Levet",53,164,307,53.4,"Total1PuttsInside5",2006
181,181,"John Daly",51,157,298,52.7,"Total1PuttsInside5",2006
182,182,"Scott Gutschewski",53,152,294,51.7,"Total1PuttsInside5",2006
182,182,"Ian Poulter",53,152,305,49.8,"Total1PuttsInside5",2006
184,184,"Padraig Harrington",54,151,282,53.5,"Total1PuttsInside5",2006
185,185,"Steve Elkington",52,150,295,50.8,"Total1PuttsInside5",2006
186,186,"Pat Perez",50,147,285,51.6,"Total1PuttsInside5",2006
187,187,"Tom Lehman",70,142,299,47.5,"Total1PuttsInside5",2006
187,187,"Larry Mize",53,142,281,50.5,"Total1PuttsInside5",2006
189,189,"Stephen Ames",63,141,318,44.3,"Total1PuttsInside5",2006
190,190,"Mark OMeara",52,138,274,50.4,"Total1PuttsInside5",2006
191,191,"Michael Connell",51,132,274,48.2,"Total1PuttsInside5",2006
192,192,"Jose Maria Olazabal",62,130,266,48.9,"Total1PuttsInside5",2006
193,193,"Tiger Woods",55,119,252,47.2,"Total1PuttsInside5",2006
194,194,"Sergio Garcia",59,118,260,45.4,"Total1PuttsInside5",2006
195,195,"David Howell",52,103,219,47,"Total1PuttsInside5",2006
196,196,"Fred Couples",52,101,217,46.5,"Total1PuttsInside5",2006
