"DrivingAccuracyPercentage_RANKTHISWEEK_2011","DrivingAccuracyPercentage_RANKLASTWEEK_2011","DrivingAccuracyPercentage_PLAYERNAME_2011","DrivingAccuracyPercentage_ROUNDS_2011","DrivingAccuracyPercentage_Pct_2011","DrivingAccuracyPercentage_FAIRWAYSHIT_2011","DrivingAccuracyPercentage_POSSIBLEFAIRWAYS_2011","stat_name","year"
61,61,"Brandt Snedeker",85,64.02,758,1184,"DrivingAccuracyPercentage",2011
62,62,"Adam Scott",60,63.98,531,830,"DrivingAccuracyPercentage",2011
63,63,"Rich Beem",53,63.87,472,739,"DrivingAccuracyPercentage",2011
64,64,"Hunter Haas",96,63.76,818,1283,"DrivingAccuracyPercentage",2011
65,65,"Kevin Streelman",90,63.72,801,1257,"DrivingAccuracyPercentage",2011
66,66,"Pat Perez",76,63.64,674,1059,"DrivingAccuracyPercentage",2011
67,67,"Bill Haas",93,63.59,819,1288,"DrivingAccuracyPercentage",2011
67,67,"Bo Van Pelt",92,63.59,800,1258,"DrivingAccuracyPercentage",2011
69,69,"Spencer Levin",113,63.53,965,1519,"DrivingAccuracyPercentage",2011
70,70,"Richard Johnson",64,63.46,514,810,"DrivingAccuracyPercentage",2011
71,71,"Ben Martin",74,63.43,621,979,"DrivingAccuracyPercentage",2011
72,72,"David Hearn",88,63.36,709,1119,"DrivingAccuracyPercentage",2011
73,73,"Chad Campbell",99,63.31,856,1352,"DrivingAccuracyPercentage",2011
74,74,"Justin Rose",79,63.27,682,1078,"DrivingAccuracyPercentage",2011
75,75,"Kevin Stadler",88,63.25,704,1113,"DrivingAccuracyPercentage",2011
76,76,"Kris Blanks",92,63.11,792,1255,"DrivingAccuracyPercentage",2011
77,77,"Ryan Moore",79,63.1,660,1046,"DrivingAccuracyPercentage",2011
78,78,"Fabian Gomez",84,63.08,668,1059,"DrivingAccuracyPercentage",2011
79,79,"Lee Janzen",62,63.04,493,782,"DrivingAccuracyPercentage",2011
80,80,"Marc Turnesa",54,62.93,455,723,"DrivingAccuracyPercentage",2011
81,81,"Robert Allenby",84,62.91,731,1162,"DrivingAccuracyPercentage",2011
82,82,"Geoff Ogilvy",69,62.89,578,919,"DrivingAccuracyPercentage",2011
83,83,"Hunter Mahan",92,62.85,785,1249,"DrivingAccuracyPercentage",2011
84,84,"Daniel Summerhays",75,62.83,639,1017,"DrivingAccuracyPercentage",2011
85,85,"Steve Stricker",70,62.47,606,970,"DrivingAccuracyPercentage",2011
86,86,"Greg Chalmers",88,62.42,749,1200,"DrivingAccuracyPercentage",2011
87,87,"Carl Pettersson",95,62.29,811,1302,"DrivingAccuracyPercentage",2011
88,88,"Alexandre Rocha",65,62.23,496,797,"DrivingAccuracyPercentage",2011
88,88,"YE Yang",63,62.23,514,826,"DrivingAccuracyPercentage",2011
90,90,"Troy Merritt",63,62.04,528,851,"DrivingAccuracyPercentage",2011
91,91,"KJ Choi",77,61.99,649,1047,"DrivingAccuracyPercentage",2011
92,92,"Webb Simpson",98,61.93,846,1366,"DrivingAccuracyPercentage",2011
93,93,"Sung Kang",63,61.82,510,825,"DrivingAccuracyPercentage",2011
94,94,"Trevor Immelman",84,61.74,723,1171,"DrivingAccuracyPercentage",2011
95,95,"Charl Schwartzel",58,61.73,484,784,"DrivingAccuracyPercentage",2011
96,96,"Keegan Bradley",91,61.5,746,1213,"DrivingAccuracyPercentage",2011
97,97,"Andres Gonzales",60,61.49,447,727,"DrivingAccuracyPercentage",2011
98,98,"Josh Teater",104,61.48,841,1368,"DrivingAccuracyPercentage",2011
99,99,"Retief Goosen",50,61.44,419,682,"DrivingAccuracyPercentage",2011
100,100,"Steve Flesch",88,61.43,720,1172,"DrivingAccuracyPercentage",2011
101,101,"Charlie Wi",83,61.35,711,1159,"DrivingAccuracyPercentage",2011
102,102,"Roland Thatcher",67,61.16,570,932,"DrivingAccuracyPercentage",2011
103,103,"Bill Lunde",92,61.11,751,1229,"DrivingAccuracyPercentage",2011
104,104,"Cameron Beckman",71,61.05,572,937,"DrivingAccuracyPercentage",2011
104,104,"Lucas Glover",74,61.05,630,1032,"DrivingAccuracyPercentage",2011
106,106,"Cameron Tringale",110,60.99,902,1479,"DrivingAccuracyPercentage",2011
107,107,"Steve Marino",76,60.98,647,1061,"DrivingAccuracyPercentage",2011
107,107,"Nate Smith",66,60.98,511,838,"DrivingAccuracyPercentage",2011
109,109,"Kevin Kisner",70,60.96,545,894,"DrivingAccuracyPercentage",2011
110,110,"Freddie Jacobson",92,60.82,714,1174,"DrivingAccuracyPercentage",2011
111,111,"William McGirt",103,60.78,840,1382,"DrivingAccuracyPercentage",2011
112,112,"Jeff Overton",92,60.46,769,1272,"DrivingAccuracyPercentage",2011
113,113,"Ryuji Imada",83,60.36,699,1158,"DrivingAccuracyPercentage",2011
114,114,"Charley Hoffman",93,60.34,776,1286,"DrivingAccuracyPercentage",2011
115,115,"Jonathan Byrd",83,60.33,692,1147,"DrivingAccuracyPercentage",2011
116,116,"Michael Thompson",79,60.14,614,1021,"DrivingAccuracyPercentage",2011
117,117,"Ernie Els",71,60.1,583,970,"DrivingAccuracyPercentage",2011
117,117,"Bobby Gates",82,60.1,619,1030,"DrivingAccuracyPercentage",2011
119,119,"Chris Stroud",88,60.03,703,1171,"DrivingAccuracyPercentage",2011
120,120,"George McNeill",69,59.95,509,849,"DrivingAccuracyPercentage",2011
121,121,"DJ Trahan",91,59.81,759,1269,"DrivingAccuracyPercentage",2011
122,122,"Vijay Singh",79,59.67,657,1101,"DrivingAccuracyPercentage",2011
123,123,"Joseph Bramlett",73,59.54,540,907,"DrivingAccuracyPercentage",2011
124,124,"Kyle Stanley",98,59.52,747,1255,"DrivingAccuracyPercentage",2011
125,125,"Davis Love III",70,59.45,582,979,"DrivingAccuracyPercentage",2011
126,126,"Nathan Green",81,59.44,639,1075,"DrivingAccuracyPercentage",2011
127,127,"Jim Renner",65,59.1,471,797,"DrivingAccuracyPercentage",2011
128,128,"Paul Stankowski",78,59.05,594,1006,"DrivingAccuracyPercentage",2011
129,129,"Kevin Chappell",78,59,593,1005,"DrivingAccuracyPercentage",2011
130,130,"Tommy Gainey",104,58.97,822,1394,"DrivingAccuracyPercentage",2011
131,131,"Jarrod Lyle",83,58.86,648,1101,"DrivingAccuracyPercentage",2011
132,132,"Troy Matteson",91,58.83,713,1212,"DrivingAccuracyPercentage",2011
133,133,"Ricky Barnes",78,58.55,637,1088,"DrivingAccuracyPercentage",2011
134,134,"Martin Laird",77,58.51,619,1058,"DrivingAccuracyPercentage",2011
135,135,"Stuart Appleby",65,58.2,529,909,"DrivingAccuracyPercentage",2011
136,136,"Nick Watney",80,58.15,624,1073,"DrivingAccuracyPercentage",2011
137,137,"Gary Woodland",93,58.07,752,1295,"DrivingAccuracyPercentage",2011
138,138,"Scott Gutschewski",67,58.06,479,825,"DrivingAccuracyPercentage",2011
139,139,"Sergio Garcia",61,58,493,850,"DrivingAccuracyPercentage",2011
140,140,"Camilo Villegas",69,57.98,552,952,"DrivingAccuracyPercentage",2011
141,141,"Andres Romero",77,57.8,604,1045,"DrivingAccuracyPercentage",2011
142,142,"Kevin Na",84,57.66,674,1169,"DrivingAccuracyPercentage",2011
143,143,"Charles Howell III",108,57.51,835,1452,"DrivingAccuracyPercentage",2011
144,144,"Will Strickler",51,57.38,377,657,"DrivingAccuracyPercentage",2011
145,145,"Alex Prugh",82,57.35,624,1088,"DrivingAccuracyPercentage",2011
146,146,"Tim Herron",85,57.29,648,1131,"DrivingAccuracyPercentage",2011
147,147,"Dustin Johnson",72,57.17,570,997,"DrivingAccuracyPercentage",2011
148,148,"Zack Miller",86,57.06,651,1141,"DrivingAccuracyPercentage",2011
149,149,"Michael Bradley",74,57.03,556,975,"DrivingAccuracyPercentage",2011
150,150,"Tag Ridings",87,56.99,644,1130,"DrivingAccuracyPercentage",2011
151,151,"Jim Herman",69,56.98,486,853,"DrivingAccuracyPercentage",2011
152,152,"Bubba Watson",85,56.92,629,1105,"DrivingAccuracyPercentage",2011
153,153,"Scott Stallings",84,56.91,618,1086,"DrivingAccuracyPercentage",2011
154,154,"Scott Piercy",78,56.81,588,1035,"DrivingAccuracyPercentage",2011
155,155,"Robert Karlsson",61,56.78,469,826,"DrivingAccuracyPercentage",2011
156,156,"Rory Sabbatini",85,56.74,640,1128,"DrivingAccuracyPercentage",2011
157,157,"Rickie Fowler",84,56.7,643,1134,"DrivingAccuracyPercentage",2011
158,158,"Joe Ogilvie",75,56.62,530,936,"DrivingAccuracyPercentage",2011
159,159,"Stewart Cink",72,56.58,520,919,"DrivingAccuracyPercentage",2011
160,160,"Matt Bettencourt",84,56.51,664,1175,"DrivingAccuracyPercentage",2011
161,161,"Chris Kirk",87,56.47,685,1213,"DrivingAccuracyPercentage",2011
162,162,"Arjun Atwal",91,56.31,718,1275,"DrivingAccuracyPercentage",2011
163,163,"James Driscoll",71,55.79,506,907,"DrivingAccuracyPercentage",2011
164,164,"Sean OHair",71,55.78,545,977,"DrivingAccuracyPercentage",2011
165,165,"Shaun Micheel",77,55.71,566,1016,"DrivingAccuracyPercentage",2011
166,166,"Aaron Baddeley",77,55.67,584,1049,"DrivingAccuracyPercentage",2011
167,167,"Matt Jones",71,55.52,548,987,"DrivingAccuracyPercentage",2011
168,168,"DJ Brigman",67,55.27,456,825,"DrivingAccuracyPercentage",2011
169,169,"Steven Bowditch",86,55.12,630,1143,"DrivingAccuracyPercentage",2011
170,170,"Angel Cabrera",50,54.97,354,644,"DrivingAccuracyPercentage",2011
171,171,"Michael Putnam",67,54.72,481,879,"DrivingAccuracyPercentage",2011
172,172,"Jason Day",76,54.7,559,1022,"DrivingAccuracyPercentage",2011
173,173,"Jhonattan Vegas",84,54.65,611,1118,"DrivingAccuracyPercentage",2011
174,174,"Marc Leishman",87,54.41,660,1213,"DrivingAccuracyPercentage",2011
175,175,"Martin Piller",63,54,445,824,"DrivingAccuracyPercentage",2011
176,176,"Ryan Palmer",82,53.76,601,1118,"DrivingAccuracyPercentage",2011
177,177,"Phil Mickelson",79,53.2,573,1077,"DrivingAccuracyPercentage",2011
178,178,"Jimmy Walker",79,53.13,586,1103,"DrivingAccuracyPercentage",2011
179,179,"Padraig Harrington",60,52.98,436,823,"DrivingAccuracyPercentage",2011
180,180,"Robert Garrigus",83,52.97,616,1163,"DrivingAccuracyPercentage",2011
181,181,"Bio Kim",71,52.87,479,906,"DrivingAccuracyPercentage",2011
182,182,"JB Holmes",57,52.09,386,741,"DrivingAccuracyPercentage",2011
183,183,"David Duval",67,51.88,484,933,"DrivingAccuracyPercentage",2011
184,184,"Harrison Frazar",58,51.49,416,808,"DrivingAccuracyPercentage",2011
185,185,"Derek Lamely",65,50.57,446,882,"DrivingAccuracyPercentage",2011
186,186,"Anthony Kim",72,46.99,469,998,"DrivingAccuracyPercentage",2011
