"DrivingDistanceAllDrives_RANKTHISWEEK_2013","DrivingDistanceAllDrives_RANKLASTWEEK_2013","DrivingDistanceAllDrives_PLAYERNAME_2013","DrivingDistanceAllDrives_ROUNDS_2013","DrivingDistanceAllDrives_ALLDRIVES_2013","DrivingDistanceAllDrives_TOTALDISTANCE_2013","DrivingDistanceAllDrives_OFDRIVES_2013","stat_name","year"
141,141,"Jeff Maggert",63,274.3,218339,796,"DrivingDistanceAllDrives",2013
141,141,"Charlie Wi",75,274.3,251783,918,"DrivingDistanceAllDrives",2013
146,146,"Justin Bolli",59,274.2,175733,641,"DrivingDistanceAllDrives",2013
146,146,"Mark Wilson",56,274.2,191944,700,"DrivingDistanceAllDrives",2013
148,148,"Brian Stuard",78,274.1,240099,876,"DrivingDistanceAllDrives",2013
149,149,"David Lynn",70,274,214512,783,"DrivingDistanceAllDrives",2013
149,149,"Michael Thompson",66,274,202794,740,"DrivingDistanceAllDrives",2013
149,149,"Johnson Wagner",64,274,199774,729,"DrivingDistanceAllDrives",2013
152,152,"Brian Davis",91,273.9,316862,1157,"DrivingDistanceAllDrives",2013
152,152,"Justin Hicks",79,273.9,251451,918,"DrivingDistanceAllDrives",2013
154,154,"Trevor Immelman",73,273.6,236108,863,"DrivingDistanceAllDrives",2013
155,155,"Stephen Ames",49,273.1,166584,610,"DrivingDistanceAllDrives",2013
156,156,"Ben Kohles",75,272.9,235279,862,"DrivingDistanceAllDrives",2013
157,157,"Bob Estes",66,272.8,235685,864,"DrivingDistanceAllDrives",2013
158,158,"Richard Lee",81,272.3,272839,1002,"DrivingDistanceAllDrives",2013
159,159,"Luke Donald",60,272.2,174193,640,"DrivingDistanceAllDrives",2013
160,160,"Tim Clark",64,272,163492,601,"DrivingDistanceAllDrives",2013
161,161,"Michael Bradley",56,271.9,162607,598,"DrivingDistanceAllDrives",2013
161,161,"Greg Chalmers",77,271.9,264847,974,"DrivingDistanceAllDrives",2013
161,161,"Scott Langley",79,271.9,242263,891,"DrivingDistanceAllDrives",2013
161,161,"Justin Leonard",86,271.9,283844,1044,"DrivingDistanceAllDrives",2013
165,165,"Doug LaBelle II",72,271.8,223671,823,"DrivingDistanceAllDrives",2013
166,166,"Jason Bohn",70,271.6,249916,920,"DrivingDistanceAllDrives",2013
166,166,"Ken Duke",87,271.6,284348,1047,"DrivingDistanceAllDrives",2013
168,168,"Lee Williams",62,271.2,192576,710,"DrivingDistanceAllDrives",2013
169,169,"David Toms",49,271.1,120356,444,"DrivingDistanceAllDrives",2013
170,170,"Jim Furyk",80,270.9,241639,892,"DrivingDistanceAllDrives",2013
170,170,"Chris Stroud",88,270.9,294487,1087,"DrivingDistanceAllDrives",2013
172,172,"Aaron Watkins",46,270.7,132364,489,"DrivingDistanceAllDrives",2013
173,173,"Brian Gay",79,270.5,267789,990,"DrivingDistanceAllDrives",2013
174,174,"Dicky Pride",71,269.7,221464,821,"DrivingDistanceAllDrives",2013
175,175,"Jerry Kelly",75,269.3,239705,890,"DrivingDistanceAllDrives",2013
175,175,"Darron Stiles",51,269.3,157831,586,"DrivingDistanceAllDrives",2013
177,177,"Bryce Molder",82,268.2,265016,988,"DrivingDistanceAllDrives",2013
178,178,"Colt Knost",69,268.1,216060,806,"DrivingDistanceAllDrives",2013
179,179,"Jin Park",52,267.7,160356,599,"DrivingDistanceAllDrives",2013
180,180,"Mike Weir",60,267.1,174933,655,"DrivingDistanceAllDrives",2013
