"EarlyScoringAverage_RANKTHISWEEK_2007","EarlyScoringAverage_RANKLASTWEEK_2007","EarlyScoringAverage_PLAYERNAME_2007","EarlyScoringAverage_ROUNDS_2007","EarlyScoringAverage_AVG_2007","EarlyScoringAverage_TOTALSTROKES_2007","EarlyScoringAverage_TOTALEARLYROUNDS_2007","stat_name","year"
22,22,"Bart Bryant",87,70.49,2890,41,"EarlyScoringAverage",2007
23,23,"Chris Riley",59,70.52,1904,27,"EarlyScoringAverage",2007
24,24,"Bill Haas",93,70.54,3245,46,"EarlyScoringAverage",2007
25,25,"Jonathan Byrd",73,70.56,2540,36,"EarlyScoringAverage",2007
25,25,"Hunter Mahan",91,70.56,3175,45,"EarlyScoringAverage",2007
27,27,"Jeff Gove",103,70.58,3529,50,"EarlyScoringAverage",2007
27,27,"Sean OHair",98,70.58,3176,45,"EarlyScoringAverage",2007
29,29,"Brian Gay",107,70.62,3743,53,"EarlyScoringAverage",2007
30,30,"Lucas Glover",98,70.63,3249,46,"EarlyScoringAverage",2007
30,30,"Tim Herron",98,70.63,4167,59,"EarlyScoringAverage",2007
32,32,"Stewart Cink",91,70.65,2826,40,"EarlyScoringAverage",2007
33,33,"Rocco Mediate",72,70.67,2968,42,"EarlyScoringAverage",2007
33,33,"Vaughn Taylor",91,70.67,3251,46,"EarlyScoringAverage",2007
33,33,"Bob Tway",103,70.67,3887,55,"EarlyScoringAverage",2007
36,36,"Charles Warren",101,70.68,3746,53,"EarlyScoringAverage",2007
37,37,"Daniel Chopra",106,70.7,3818,54,"EarlyScoringAverage",2007
37,37,"Mathew Goggin",97,70.7,3323,47,"EarlyScoringAverage",2007
37,37,"Jesper Parnevik",88,70.7,3252,46,"EarlyScoringAverage",2007
40,40,"Mathias Gronberg",95,70.73,3678,52,"EarlyScoringAverage",2007
40,40,"Arron Oberholser",69,70.73,2334,33,"EarlyScoringAverage",2007
40,40,"Pat Perez",84,70.73,2617,37,"EarlyScoringAverage",2007
43,43,"Tim Petrovic",106,70.74,3820,54,"EarlyScoringAverage",2007
44,44,"Mark Calcavecchia",93,70.77,3397,48,"EarlyScoringAverage",2007
44,44,"Kent Jones",97,70.77,3751,53,"EarlyScoringAverage",2007
44,44,"Tom Pernice Jr",104,70.77,3397,48,"EarlyScoringAverage",2007
47,47,"Chris Stroud",66,70.78,2265,32,"EarlyScoringAverage",2007
48,48,"Luke Donald",69,70.79,2407,34,"EarlyScoringAverage",2007
48,48,"Johnson Wagner",97,70.79,3398,48,"EarlyScoringAverage",2007
50,50,"Phil Mickelson",73,70.8,2124,30,"EarlyScoringAverage",2007
51,51,"Stephen Ames",81,70.82,2337,33,"EarlyScoringAverage",2007
52,52,"Ted Purdy",102,70.83,3825,54,"EarlyScoringAverage",2007
53,53,"Doug LaBelle II",104,70.85,4251,60,"EarlyScoringAverage",2007
53,53,"Geoff Ogilvy",84,70.85,2409,34,"EarlyScoringAverage",2007
55,55,"Brian Davis",101,70.86,4110,58,"EarlyScoringAverage",2007
55,55,"Mark Wilson",87,70.86,3118,44,"EarlyScoringAverage",2007
57,57,"Boo Weekley",101,70.88,3686,52,"EarlyScoringAverage",2007
58,58,"Jason Bohn",57,70.89,1914,27,"EarlyScoringAverage",2007
58,58,"JP Hayes",89,70.89,3261,46,"EarlyScoringAverage",2007
58,58,"John Rollins",102,70.89,4041,57,"EarlyScoringAverage",2007
61,61,"Justin Leonard",95,70.9,3545,50,"EarlyScoringAverage",2007
61,61,"Peter Lonard",85,70.9,2978,42,"EarlyScoringAverage",2007
63,63,"Bob Heintz",85,70.91,3120,44,"EarlyScoringAverage",2007
64,64,"Steve Elkington",87,70.93,3121,44,"EarlyScoringAverage",2007
64,64,"Sergio Garcia",68,70.93,1915,27,"EarlyScoringAverage",2007
64,64,"Jay Williamson",50,70.93,1915,27,"EarlyScoringAverage",2007
67,67,"Chris Couch",76,70.94,2341,33,"EarlyScoringAverage",2007
67,67,"John Merrick",92,70.94,3547,50,"EarlyScoringAverage",2007
69,69,"Craig Kanada",109,70.96,3761,53,"EarlyScoringAverage",2007
69,69,"Michael Sim",52,70.96,1703,24,"EarlyScoringAverage",2007
71,71,"David Toms",80,70.97,2768,39,"EarlyScoringAverage",2007
72,72,"Nathan Green",103,70.98,3620,51,"EarlyScoringAverage",2007
72,72,"Kenny Perry",83,70.98,2910,41,"EarlyScoringAverage",2007
74,74,"Ryan Armour",107,71,3692,52,"EarlyScoringAverage",2007
74,74,"Rich Barcelo",80,71,3053,43,"EarlyScoringAverage",2007
74,74,"Craig Barlow",52,71,2201,31,"EarlyScoringAverage",2007
74,74,"Jerry Kelly",101,71,3408,48,"EarlyScoringAverage",2007
74,74,"Craig Lile",77,71,2769,39,"EarlyScoringAverage",2007
74,74,"George McNeill",95,71,3692,52,"EarlyScoringAverage",2007
80,80,"JJ Henry",86,71.02,3409,48,"EarlyScoringAverage",2007
80,80,"Frank Lickliter II",95,71.02,3764,53,"EarlyScoringAverage",2007
80,80,"Kevin Na",84,71.02,3054,43,"EarlyScoringAverage",2007
83,83,"Rory Sabbatini",81,71.03,2628,37,"EarlyScoringAverage",2007
83,83,"Bubba Watson",80,71.03,2628,37,"EarlyScoringAverage",2007
85,85,"Joe Ogilvie",102,71.04,3765,53,"EarlyScoringAverage",2007
86,86,"DJ Brigman",67,71.06,2487,35,"EarlyScoringAverage",2007
86,86,"Bob Estes",88,71.06,3482,49,"EarlyScoringAverage",2007
88,88,"Robert Allenby",90,71.07,2914,41,"EarlyScoringAverage",2007
89,89,"Ryan Moore",92,71.08,3554,50,"EarlyScoringAverage",2007
89,89,"Dean Wilson",92,71.08,3767,53,"EarlyScoringAverage",2007
91,91,"Stephen Leaney",82,71.09,3057,43,"EarlyScoringAverage",2007
92,92,"Will Ma Kenzie",100,71.1,3697,52,"EarlyScoringAverage",2007
93,93,"Woody Austin",95,71.11,3769,53,"EarlyScoringAverage",2007
94,94,"Camilo Villegas",82,71.12,2916,41,"EarlyScoringAverage",2007
95,95,"Ryuji Imada",104,71.14,3557,50,"EarlyScoringAverage",2007
96,96,"Steve Marino",106,71.15,3415,48,"EarlyScoringAverage",2007
96,96,"Ryan Palmer",91,71.15,3415,48,"EarlyScoringAverage",2007
98,98,"Zach Johnson",76,71.16,2633,37,"EarlyScoringAverage",2007
99,99,"Carl Pettersson",111,71.17,3701,52,"EarlyScoringAverage",2007
99,99,"Kevin Sutherland",85,71.17,2989,42,"EarlyScoringAverage",2007
101,101,"Ken Duke",112,71.18,4413,62,"EarlyScoringAverage",2007
101,101,"Jarrod Lyle",77,71.18,3203,45,"EarlyScoringAverage",2007
101,101,"Troy Matteson",87,71.18,3132,44,"EarlyScoringAverage",2007
104,104,"Steve Allan",63,71.19,2278,32,"EarlyScoringAverage",2007
105,105,"Marco Dawson",73,71.21,3062,43,"EarlyScoringAverage",2007
106,106,"Tommy Armour III",81,71.22,2920,41,"EarlyScoringAverage",2007
106,106,"Paul Stankowski",52,71.22,1923,27,"EarlyScoringAverage",2007
108,108,"Charley Hoffman",97,71.23,3348,47,"EarlyScoringAverage",2007
109,109,"Cameron Beckman",96,71.24,3633,51,"EarlyScoringAverage",2007
109,109,"Gavin Coles",87,71.24,3491,49,"EarlyScoringAverage",2007
109,109,"Brendon de Jonge",76,71.24,2351,33,"EarlyScoringAverage",2007
109,109,"Ernie Els",59,71.24,1781,25,"EarlyScoringAverage",2007
113,113,"John Mallinger",96,71.25,3776,53,"EarlyScoringAverage",2007
114,114,"Craig Bowden",78,71.26,3278,46,"EarlyScoringAverage",2007
114,114,"Scott Gutschewski",67,71.26,2779,39,"EarlyScoringAverage",2007
116,116,"Nick Watney",87,71.27,3136,44,"EarlyScoringAverage",2007
117,117,"John Senden",97,71.3,3779,53,"EarlyScoringAverage",2007
118,118,"Jeff Maggert",79,71.32,2924,41,"EarlyScoringAverage",2007
119,119,"Aaron Baddeley",83,71.33,2354,33,"EarlyScoringAverage",2007
119,119,"Robert Gamez",88,71.33,3424,48,"EarlyScoringAverage",2007
121,121,"Billy Mayfair",98,71.34,3353,47,"EarlyScoringAverage",2007
121,121,"Mike Weir",82,71.34,2925,41,"EarlyScoringAverage",2007
123,123,"Steve Flesch",100,71.38,3926,55,"EarlyScoringAverage",2007
124,124,"Glen Day",85,71.39,3141,44,"EarlyScoringAverage",2007
124,124,"Adam Scott",69,71.39,1999,28,"EarlyScoringAverage",2007
126,126,"Jason Gore",86,71.4,2856,40,"EarlyScoringAverage",2007
127,127,"Chris DiMarco",79,71.41,2785,39,"EarlyScoringAverage",2007
128,128,"Harrison Frazar",88,71.42,3214,45,"EarlyScoringAverage",2007
129,129,"Corey Pavin",81,71.43,3286,46,"EarlyScoringAverage",2007
130,130,"Robert Garrigus",95,71.45,3644,51,"EarlyScoringAverage",2007
131,131,"Steve Lowery",74,71.47,2716,38,"EarlyScoringAverage",2007
132,132,"Jose Coceres",50,71.48,1644,23,"EarlyScoringAverage",2007
132,132,"Parker McLachlin",83,71.48,3145,44,"EarlyScoringAverage",2007
132,132,"Jeff Quinney",95,71.48,3717,52,"EarlyScoringAverage",2007
135,135,"Michael Boyd",61,71.5,2145,30,"EarlyScoringAverage",2007
136,136,"Brett Wetterich",88,71.52,3290,46,"EarlyScoringAverage",2007
137,137,"Mark Hensby",81,71.56,3077,43,"EarlyScoringAverage",2007
138,138,"Andrew Buckle",77,71.57,2505,35,"EarlyScoringAverage",2007
138,138,"Chris Tidland",59,71.57,2004,28,"EarlyScoringAverage",2007
140,140,"Kevin Stadler",95,71.59,3866,54,"EarlyScoringAverage",2007
141,141,"Steve Wheatcroft",73,71.61,2578,36,"EarlyScoringAverage",2007
142,142,"Tom Byrum",50,71.62,1862,26,"EarlyScoringAverage",2007
142,142,"Michael Putnam",96,71.62,3366,47,"EarlyScoringAverage",2007
142,142,"Darron Stiles",65,71.62,2435,34,"EarlyScoringAverage",2007
145,145,"Trevor Immelman",74,71.63,2149,30,"EarlyScoringAverage",2007
145,145,"Richard Johnson",93,71.63,4011,56,"EarlyScoringAverage",2007
145,145,"Shigeki Maruyama",84,71.63,2865,40,"EarlyScoringAverage",2007
145,145,"Jason Schultz",63,71.63,2292,32,"EarlyScoringAverage",2007
149,149,"Daisuke Maruyama",86,71.65,3511,49,"EarlyScoringAverage",2007
150,150,"Rich Beem",89,71.66,3153,44,"EarlyScoringAverage",2007
150,150,"Nick OHern",72,71.66,2293,32,"EarlyScoringAverage",2007
152,152,"Dicky Pride",71,71.67,2795,39,"EarlyScoringAverage",2007
153,153,"Mark Brooks",53,71.68,2007,28,"EarlyScoringAverage",2007
153,153,"Tag Ridings",52,71.68,2007,28,"EarlyScoringAverage",2007
155,155,"Stuart Appleby",74,71.69,2079,29,"EarlyScoringAverage",2007
155,155,"Ian Poulter",63,71.69,2294,32,"EarlyScoringAverage",2007
155,155,"Kirk Triplett",77,71.69,3011,42,"EarlyScoringAverage",2007
158,158,"Michael Allen",74,71.7,2868,40,"EarlyScoringAverage",2007
158,158,"Brian Bateman",55,71.7,2151,30,"EarlyScoringAverage",2007
158,158,"DJ Trahan",99,71.7,3800,53,"EarlyScoringAverage",2007
161,161,"Kyle Reifers",71,71.72,2797,39,"EarlyScoringAverage",2007
162,162,"Fred Funk",65,71.74,2511,35,"EarlyScoringAverage",2007
162,162,"Tom Lehman",62,71.74,2224,31,"EarlyScoringAverage",2007
164,164,"Billy Andrade",88,71.75,3157,44,"EarlyScoringAverage",2007
164,164,"Duffy Waldorf",69,71.75,2296,32,"EarlyScoringAverage",2007
166,166,"Matt Hendrix",63,71.76,2440,34,"EarlyScoringAverage",2007
167,167,"JB Holmes",71,71.77,2512,35,"EarlyScoringAverage",2007
168,168,"Jason Dufner",100,71.79,3733,52,"EarlyScoringAverage",2007
169,169,"Anders Hansen",55,71.81,1939,27,"EarlyScoringAverage",2007
170,170,"Paul Goydos",60,71.84,2299,32,"EarlyScoringAverage",2007
170,170,"Shaun Micheel",91,71.84,3233,45,"EarlyScoringAverage",2007
172,172,"Paul Gow",70,71.85,2874,40,"EarlyScoringAverage",2007
173,173,"David Branshaw",83,71.93,3165,44,"EarlyScoringAverage",2007
174,174,"Tripp Isenhour",86,71.95,3022,42,"EarlyScoringAverage",2007
175,175,"Lee Janzen",66,71.97,2375,33,"EarlyScoringAverage",2007
176,176,"Greg Owen",81,72,3096,43,"EarlyScoringAverage",2007
177,177,"Jaco Van Zyl",51,72.04,1657,23,"EarlyScoringAverage",2007
178,178,"Joe Durant",88,72.08,3532,49,"EarlyScoringAverage",2007
179,179,"Henrik Stenson",52,72.09,1586,22,"EarlyScoringAverage",2007
180,180,"Joey Sindelar",75,72.1,2956,41,"EarlyScoringAverage",2007
181,181,"John Daly",59,72.17,2165,30,"EarlyScoringAverage",2007
182,182,"Charles Howell III",89,72.22,3322,46,"EarlyScoringAverage",2007
183,183,"Brett Quigley",79,72.23,2889,40,"EarlyScoringAverage",2007
184,184,"Eric Axley",107,72.27,3975,55,"EarlyScoringAverage",2007
185,185,"Davis Love III",66,72.32,2242,31,"EarlyScoringAverage",2007
186,186,"Jeff Sluman",60,72.4,2534,35,"EarlyScoringAverage",2007
187,187,"Chad Campbell",96,72.41,3331,46,"EarlyScoringAverage",2007
188,188,"Retief Goosen",50,72.44,1811,25,"EarlyScoringAverage",2007
189,189,"Tom Johnson",74,72.54,2974,41,"EarlyScoringAverage",2007
190,190,"Ben Curtis",80,72.6,3485,48,"EarlyScoringAverage",2007
191,191,"Bubba Dickerson",51,72.64,1816,25,"EarlyScoringAverage",2007
192,192,"Jeff Brehaut",59,72.65,1889,26,"EarlyScoringAverage",2007
193,193,"Bryce Molder",56,72.71,2254,31,"EarlyScoringAverage",2007
194,194,"Jim Rutledge",59,72.73,2182,30,"EarlyScoringAverage",2007
195,195,"Jose Maria Olazabal",52,73,1971,27,"EarlyScoringAverage",2007
196,196,"Todd Hamilton",76,73.85,3028,41,"EarlyScoringAverage",2007
