"EarlyRound1ScoringAverage_RANKTHISWEEK_2016","EarlyRound1ScoringAverage_RANKLASTWEEK_2016","EarlyRound1ScoringAverage_PLAYERNAME_2016","EarlyRound1ScoringAverage__2016","EarlyRound1ScoringAverage_AVG_2016","EarlyRound1ScoringAverage_TOTALSTROKES_2016","EarlyRound1ScoringAverage_TOTALROUNDS_2016","stat_name","year"
135,158,"Ian Poulter",NA,71.25,285,4,"EarlyRound1ScoringAverage",2016
137,142,"Russell Henley",NA,71.29,499,7,"EarlyRound1ScoringAverage",2016
137,115,"DH Lee",NA,71.29,499,7,"EarlyRound1ScoringAverage",2016
139,135,"Michael Kim",NA,71.3,713,10,"EarlyRound1ScoringAverage",2016
140,144,"Blayne Barber",NA,71.33,642,9,"EarlyRound1ScoringAverage",2016
140,144,"Jason Bohn",NA,71.33,428,6,"EarlyRound1ScoringAverage",2016
140,144,"Jon Curran",NA,71.33,642,9,"EarlyRound1ScoringAverage",2016
140,115,"Geoff Ogilvy",NA,71.33,642,9,"EarlyRound1ScoringAverage",2016
140,115,"DA Points",NA,71.33,428,6,"EarlyRound1ScoringAverage",2016
140,144,"Chris Stroud",NA,71.33,642,9,"EarlyRound1ScoringAverage",2016
146,148,"Steve Wheatcroft",NA,71.4,714,10,"EarlyRound1ScoringAverage",2016
147,151,"Lucas Glover",NA,71.44,643,9,"EarlyRound1ScoringAverage",2016
147,156,"William McGirt",NA,71.44,643,9,"EarlyRound1ScoringAverage",2016
147,151,"Kevin Streelman",NA,71.44,643,9,"EarlyRound1ScoringAverage",2016
150,154,"Rickie Fowler",NA,71.5,429,6,"EarlyRound1ScoringAverage",2016
150,142,"Patrick Reed",NA,71.5,572,8,"EarlyRound1ScoringAverage",2016
152,136,"Hunter Mahan",NA,71.56,644,9,"EarlyRound1ScoringAverage",2016
153,151,"Thomas Aiken",NA,71.57,501,7,"EarlyRound1ScoringAverage",2016
154,154,"Brandt Snedeker",NA,71.6,358,5,"EarlyRound1ScoringAverage",2016
155,163,"Carlos Ortiz",NA,71.63,573,8,"EarlyRound1ScoringAverage",2016
155,150,"Vijay Singh",NA,71.63,573,8,"EarlyRound1ScoringAverage",2016
157,148,"Brendon Todd",NA,71.64,788,11,"EarlyRound1ScoringAverage",2016
158,156,"Chad Collins",NA,71.67,645,9,"EarlyRound1ScoringAverage",2016
158,158,"Brian Gay",NA,71.67,215,3,"EarlyRound1ScoringAverage",2016
158,158,"Troy Merritt",NA,71.67,430,6,"EarlyRound1ScoringAverage",2016
158,158,"Carl Pettersson",NA,71.67,430,6,"EarlyRound1ScoringAverage",2016
158,166,"Scott Stallings",NA,71.67,645,9,"EarlyRound1ScoringAverage",2016
163,163,"Kevin Kisner",NA,71.71,502,7,"EarlyRound1ScoringAverage",2016
164,162,"Kyle Reifers",NA,71.73,789,11,"EarlyRound1ScoringAverage",2016
165,115,"Jamie Donaldson",NA,71.75,287,4,"EarlyRound1ScoringAverage",2016
165,166,"Rory Sabbatini",NA,71.75,574,8,"EarlyRound1ScoringAverage",2016
165,166,"Webb Simpson",NA,71.75,287,4,"EarlyRound1ScoringAverage",2016
168,170,"Tyler Aldridge",NA,71.82,790,11,"EarlyRound1ScoringAverage",2016
169,171,"Dicky Pride",NA,71.86,503,7,"EarlyRound1ScoringAverage",2016
170,173,"Jason Kokrak",NA,72,720,10,"EarlyRound1ScoringAverage",2016
170,173,"Steve Marino",NA,72,504,7,"EarlyRound1ScoringAverage",2016
170,163,"Camilo Villegas",NA,72,576,8,"EarlyRound1ScoringAverage",2016
173,173,"Tyrone Van Aswegen",NA,72.08,865,12,"EarlyRound1ScoringAverage",2016
174,166,"Will Wilcox",NA,72.11,649,9,"EarlyRound1ScoringAverage",2016
175,177,"Bryce Molder",NA,72.13,577,8,"EarlyRound1ScoringAverage",2016
176,190,"Erik Compton",NA,72.17,433,6,"EarlyRound1ScoringAverage",2016
177,179,"Ernie Els",NA,72.2,361,5,"EarlyRound1ScoringAverage",2016
178,177,"Will Ma Kenzie",NA,72.22,650,9,"EarlyRound1ScoringAverage",2016
178,180,"Shawn Stefani",NA,72.22,650,9,"EarlyRound1ScoringAverage",2016
180,181,"Daniel Berger",NA,72.25,578,8,"EarlyRound1ScoringAverage",2016
180,181,"Stewart Cink",NA,72.25,578,8,"EarlyRound1ScoringAverage",2016
182,184,"James Hahn",NA,72.33,434,6,"EarlyRound1ScoringAverage",2016
182,181,"Scott Pinckney",NA,72.33,651,9,"EarlyRound1ScoringAverage",2016
184,185,"Sam Saunders",NA,72.38,579,8,"EarlyRound1ScoringAverage",2016
185,186,"Vaughn Taylor",NA,72.43,507,7,"EarlyRound1ScoringAverage",2016
186,186,"Miguel Angel Carballo",NA,72.5,435,6,"EarlyRound1ScoringAverage",2016
186,186,"Branden Grace",NA,72.5,145,2,"EarlyRound1ScoringAverage",2016
188,172,"Derek Fathauer",NA,72.56,653,9,"EarlyRound1ScoringAverage",2016
189,189,"Chris Kirk",NA,72.57,508,7,"EarlyRound1ScoringAverage",2016
190,191,"Matt Every",NA,72.67,436,6,"EarlyRound1ScoringAverage",2016
191,192,"Robert Streb",NA,72.7,727,10,"EarlyRound1ScoringAverage",2016
192,193,"Andres Gonzales",NA,72.71,509,7,"EarlyRound1ScoringAverage",2016
193,194,"Bernd Wiesberger",NA,72.75,291,4,"EarlyRound1ScoringAverage",2016
194,195,"Graeme McDowell",NA,72.8,364,5,"EarlyRound1ScoringAverage",2016
195,196,"Abraham Ancer",NA,72.83,437,6,"EarlyRound1ScoringAverage",2016
195,202,"Scott Langley",NA,72.83,437,6,"EarlyRound1ScoringAverage",2016
195,196,"Wes Roach",NA,72.83,437,6,"EarlyRound1ScoringAverage",2016
198,198,"Brooks Koepka",NA,73,292,4,"EarlyRound1ScoringAverage",2016
198,198,"Andy Sullivan",NA,73,292,4,"EarlyRound1ScoringAverage",2016
200,200,"Luke Guthrie",NA,73.33,440,6,"EarlyRound1ScoringAverage",2016
201,201,"Robert Allenby",NA,73.38,587,8,"EarlyRound1ScoringAverage",2016
202,203,"Steven Bowditch",NA,73.5,588,8,"EarlyRound1ScoringAverage",2016
203,204,"Lucas Lee",NA,73.67,221,3,"EarlyRound1ScoringAverage",2016
204,205,"Darron Stiles",NA,73.83,443,6,"EarlyRound1ScoringAverage",2016
205,173,"Davis Love III",NA,74,370,5,"EarlyRound1ScoringAverage",2016
206,207,"Ken Duke",NA,74.2,371,5,"EarlyRound1ScoringAverage",2016
207,208,"Charlie Beljan",NA,74.57,522,7,"EarlyRound1ScoringAverage",2016
