"Puttingfrom510_RANKTHISWEEK_2015","Puttingfrom510_RANKLASTWEEK_2015","Puttingfrom510_PLAYERNAME_2015","Puttingfrom510_ROUNDS_2015","Puttingfrom510_Pct_2015","Puttingfrom510_ATTEMPTS_2015","Puttingfrom510_PUTTSMADE_2015","stat_name","year"
51,51,"Justin Leonard",61,58.96,251,148,"Puttingfrom510",2015
52,52,"Jerry Kelly",79,58.91,258,152,"Puttingfrom510",2015
53,53,"Morgan Hoffmann",85,58.8,284,167,"Puttingfrom510",2015
54,54,"Rickie Fowler",76,58.77,211,124,"Puttingfrom510",2015
55,55,"Andres Romero",69,58.75,240,141,"Puttingfrom510",2015
56,56,"Louis Oosthuizen",68,58.73,189,111,"Puttingfrom510",2015
57,57,"Keegan Bradley",87,58.7,276,162,"Puttingfrom510",2015
57,57,"George McNeill",93,58.7,385,226,"Puttingfrom510",2015
59,59,"Max Homa",78,58.65,266,156,"Puttingfrom510",2015
60,60,"David Hearn",97,58.64,382,224,"Puttingfrom510",2015
61,61,"Billy Horschel",99,58.62,290,170,"Puttingfrom510",2015
61,61,"Carlos Ortiz",100,58.62,348,204,"Puttingfrom510",2015
63,63,"John Huh",102,58.51,417,244,"Puttingfrom510",2015
64,64,"Russell Knox",96,58.45,361,211,"Puttingfrom510",2015
64,64,"Mark Wilson",89,58.45,361,211,"Puttingfrom510",2015
66,66,"DA Points",72,58.37,245,143,"Puttingfrom510",2015
67,67,"Bubba Watson",71,58.3,271,158,"Puttingfrom510",2015
68,68,"Jason Kokrak",88,58.28,338,197,"Puttingfrom510",2015
69,69,"Marc Leishman",74,58.26,218,127,"Puttingfrom510",2015
70,70,"Carl Pettersson",106,58.21,390,227,"Puttingfrom510",2015
71,71,"Seung Yul Noh",65,58.19,232,135,"Puttingfrom510",2015
72,72,"Bo Van Pelt",81,58.17,251,146,"Puttingfrom510",2015
73,73,"Camilo Villegas",83,58.14,301,175,"Puttingfrom510",2015
74,74,"Phil Mickelson",70,58.11,265,154,"Puttingfrom510",2015
75,75,"Jonathan Randolph",72,58,250,145,"Puttingfrom510",2015
76,76,"Jason Bohn",95,57.89,342,198,"Puttingfrom510",2015
77,77,"Hideki Matsuyama",95,57.88,311,180,"Puttingfrom510",2015
78,78,"Rory Sabbatini",81,57.76,277,160,"Puttingfrom510",2015
79,79,"Scott Piercy",90,57.71,350,202,"Puttingfrom510",2015
80,80,"Colt Knost",90,57.68,293,169,"Puttingfrom510",2015
81,81,"Shawn Stefani",94,57.61,368,212,"Puttingfrom510",2015
82,82,"Ben Crane",62,57.59,191,110,"Puttingfrom510",2015
82,82,"JB Holmes",89,57.59,290,167,"Puttingfrom510",2015
82,82,"Patrick Reed",103,57.59,349,201,"Puttingfrom510",2015
85,85,"Gary Woodland",81,57.58,231,133,"Puttingfrom510",2015
86,86,"Zach Johnson",90,57.53,299,172,"Puttingfrom510",2015
87,87,"Brendan Steele",88,57.52,339,195,"Puttingfrom510",2015
88,88,"Martin Laird",77,57.41,317,182,"Puttingfrom510",2015
89,89,"Chad Collins",79,57.35,272,156,"Puttingfrom510",2015
90,90,"Hudson Swafford",97,57.32,328,188,"Puttingfrom510",2015
91,91,"Fabian Gomez",83,57.3,274,157,"Puttingfrom510",2015
92,92,"Tyrone Van Aswegen",58,57.23,173,99,"Puttingfrom510",2015
93,93,"Billy Hurley III",83,57.2,257,147,"Puttingfrom510",2015
94,94,"Andrew Putnam",68,57.14,210,120,"Puttingfrom510",2015
95,95,"Scott Brown",97,56.92,325,185,"Puttingfrom510",2015
96,96,"Alex Prugh",84,56.9,297,169,"Puttingfrom510",2015
97,97,"Blayne Barber",76,56.78,273,155,"Puttingfrom510",2015
