"PuttingAverage_RANKTHISWEEK_2015","PuttingAverage_RANKLASTWEEK_2015","PuttingAverage_PLAYERNAME_2015","PuttingAverage_ROUNDS_2015","PuttingAverage_AVG_2015","PuttingAverage_GIRPUTTS_2015","PuttingAverage_GREENSHIT_2015","PuttingAverage_BIRDIECONVERSION_2015","PuttingAverage_GIRRANK_2015","stat_name","year"
29,29,"Shawn Stefani",94,1.745,2031,1164,30.98,32,"PuttingAverage",2015
30,30,"Sergio Garcia",59,1.746,1189,681,31.08,59,"PuttingAverage",2015
30,30,"Charley Hoffman",97,1.746,1955,1120,32.62,97,"PuttingAverage",2015
32,32,"Ryo Ishikawa",90,1.748,1839,1052,30.78,92,"PuttingAverage",2015
32,32,"Ian Poulter",68,1.748,1323,757,30.6,108,"PuttingAverage",2015
32,32,"Steve Wheatcroft",87,1.748,1687,965,32.43,136,"PuttingAverage",2015
35,35,"Luke Guthrie",84,1.749,1646,941,30.81,153,"PuttingAverage",2015
36,36,"Fabian Gomez",83,1.75,1661,949,30.38,157,"PuttingAverage",2015
36,36,"David Hearn",97,1.75,2077,1187,29.11,47,"PuttingAverage",2015
36,36,"Tom Hoge",83,1.75,1643,939,31.63,102,"PuttingAverage",2015
36,36,"Colt Knost",90,1.75,1827,1044,29.65,63,"PuttingAverage",2015
36,36,"Bryce Molder",91,1.75,1794,1025,29.33,119,"PuttingAverage",2015
36,36,"Robert Streb",110,1.75,2396,1369,30.99,23,"PuttingAverage",2015
42,42,"Jonas Blixt",78,1.751,1443,824,30.66,170,"PuttingAverage",2015
42,42,"David Lingmerth",90,1.751,1842,1052,30.45,130,"PuttingAverage",2015
44,44,"Scott Brown",97,1.752,1994,1138,30.24,126,"PuttingAverage",2015
44,44,"Greg Chalmers",58,1.752,1086,620,30.47,152,"PuttingAverage",2015
46,46,"Patrick Rodgers",57,1.754,1117,637,32.03,77,"PuttingAverage",2015
46,46,"Brian Stuard",97,1.754,1856,1058,28.36,161,"PuttingAverage",2015
48,48,"Steven Bowditch",103,1.755,2064,1176,31.31,158,"PuttingAverage",2015
48,48,"Jeff Overton",94,1.755,1909,1088,28.66,109,"PuttingAverage",2015
48,48,"Nick Taylor",91,1.755,1852,1055,30.93,142,"PuttingAverage",2015
51,51,"Tony Finau",106,1.756,2265,1290,33.26,57,"PuttingAverage",2015
51,51,"Russell Henley",87,1.756,1781,1014,31.29,69,"PuttingAverage",2015
51,51,"Bubba Watson",71,1.756,1468,836,34.38,19,"PuttingAverage",2015
54,54,"Brendon de Jonge",106,1.757,2263,1288,30.17,62,"PuttingAverage",2015
54,54,"Hudson Swafford",97,1.757,2059,1172,31.62,39,"PuttingAverage",2015
56,56,"Andres Gonzales",90,1.758,1814,1032,29.87,81,"PuttingAverage",2015
56,56,"Whee Kim",71,1.758,1489,847,29.31,46,"PuttingAverage",2015
56,56,"Chris Kirk",76,1.758,1491,848,31.28,139,"PuttingAverage",2015
59,59,"Kevin Chappell",86,1.759,1798,1022,31.21,103,"PuttingAverage",2015
59,59,"Erik Compton",86,1.759,1720,978,30.46,162,"PuttingAverage",2015
59,59,"Scott Piercy",90,1.759,1901,1081,30.9,80,"PuttingAverage",2015
59,59,"Andrew Putnam",68,1.759,1214,690,31.4,183,"PuttingAverage",2015
63,63,"Sangmoon Bae",98,1.76,1954,1110,30.98,168,"PuttingAverage",2015
63,63,"KJ Choi",66,1.76,1253,712,29.21,151,"PuttingAverage",2015
63,63,"Harris English",105,1.76,2166,1231,30,70,"PuttingAverage",2015
63,63,"Brooks Koepka",84,1.76,1783,1013,31.42,17,"PuttingAverage",2015
63,63,"Carl Pettersson",106,1.76,2115,1202,31.14,166,"PuttingAverage",2015
63,63,"Chris Stroud",84,1.76,1748,993,30.54,112,"PuttingAverage",2015
63,63,"David Toms",62,1.76,1188,675,26.6,135,"PuttingAverage",2015
70,70,"Derek Fathauer",81,1.761,1497,850,29.43,178,"PuttingAverage",2015
70,70,"James Hahn",94,1.761,1970,1119,29.54,98,"PuttingAverage",2015
72,72,"Brian Harman",90,1.762,1903,1080,29.49,81,"PuttingAverage",2015
73,73,"John Huh",102,1.763,2078,1179,28.43,132,"PuttingAverage",2015
73,73,"George McNeill",93,1.763,1960,1112,30.09,91,"PuttingAverage",2015
75,75,"Andres Romero",69,1.764,1293,733,30.04,176,"PuttingAverage",2015
75,75,"Brendan Steele",88,1.764,1827,1036,32.04,40,"PuttingAverage",2015
77,77,"Steven Alker",62,1.765,1269,719,27.79,84,"PuttingAverage",2015
77,77,"Alex Cejka",94,1.765,1920,1088,28.97,109,"PuttingAverage",2015
77,77,"Oscar Fraustro",58,1.765,1084,614,29.69,163,"PuttingAverage",2015
77,77,"Carlos Ortiz",100,1.765,2038,1155,31.25,74,"PuttingAverage",2015
77,77,"Lee Westwood",56,1.765,1098,622,30.42,89,"PuttingAverage",2015
82,82,"Scott Langley",94,1.766,1891,1071,29.03,134,"PuttingAverage",2015
82,82,"William McGirt",103,1.766,2222,1258,27.37,50,"PuttingAverage",2015
84,84,"Blayne Barber",76,1.767,1564,885,30.43,90,"PuttingAverage",2015
84,84,"Chad Collins",79,1.767,1661,940,27.61,100,"PuttingAverage",2015
84,84,"Jason Gore",76,1.767,1546,875,30.89,61,"PuttingAverage",2015
87,87,"Justin Leonard",61,1.769,1215,687,26.46,171,"PuttingAverage",2015
87,87,"Will Wilcox",58,1.769,1247,705,29.73,4,"PuttingAverage",2015
89,89,"Graham DeLaet",65,1.77,1432,809,29.21,22,"PuttingAverage",2015
89,89,"Martin Laird",77,1.77,1627,919,29.77,94,"PuttingAverage",2015
89,89,"Troy Merritt",91,1.77,1837,1038,27.61,159,"PuttingAverage",2015
89,89,"Scott Pinckney",88,1.77,1896,1071,28.96,57,"PuttingAverage",2015
89,89,"Nicholas Thompson",90,1.77,1880,1062,28.71,36,"PuttingAverage",2015
94,94,"Zac Blair",108,1.771,2173,1227,27.76,116,"PuttingAverage",2015
94,94,"Kevin Kisner",104,1.771,2196,1240,28.19,95,"PuttingAverage",2015
94,94,"Marc Leishman",74,1.771,1443,815,29.73,113,"PuttingAverage",2015
97,97,"Paul Casey",87,1.772,1893,1068,29.61,5,"PuttingAverage",2015
97,97,"Adam Hadwin",95,1.772,1974,1114,28.3,85,"PuttingAverage",2015
97,97,"Seung Yul Noh",65,1.772,1366,771,30.73,105,"PuttingAverage",2015
97,97,"Cameron Percy",72,1.772,1513,854,28.96,54,"PuttingAverage",2015
101,101,"John Senden",80,1.773,1610,908,29.99,68,"PuttingAverage",2015
102,102,"Jason Kokrak",88,1.774,1891,1066,30.39,67,"PuttingAverage",2015
102,102,"Ben Martin",93,1.774,1975,1113,30.33,34,"PuttingAverage",2015
102,102,"Ryan Palmer",80,1.774,1621,914,30.48,75,"PuttingAverage",2015
102,102,"Rory Sabbatini",81,1.774,1754,989,30.74,52,"PuttingAverage",2015
106,106,"Brian Davis",86,1.775,1631,919,27.98,174,"PuttingAverage",2015
106,106,"Michael Thompson",83,1.775,1693,954,30.04,121,"PuttingAverage",2015
108,108,"Jon Curran",83,1.776,1677,944,27.33,93,"PuttingAverage",2015
109,109,"Eric Axley",57,1.777,1077,606,27.36,179,"PuttingAverage",2015
109,109,"Russell Knox",96,1.777,2175,1224,28.13,7,"PuttingAverage",2015
109,109,"Hunter Mahan",88,1.777,1725,971,29.21,107,"PuttingAverage",2015
109,109,"Louis Oosthuizen",68,1.777,1354,762,30.66,43,"PuttingAverage",2015
109,109,"Andrew Svoboda",80,1.777,1587,893,28.57,155,"PuttingAverage",2015
109,109,"Tyrone Van Aswegen",58,1.777,1153,649,27.01,77,"PuttingAverage",2015
109,109,"Tim Wilkinson",73,1.777,1418,798,25.91,173,"PuttingAverage",2015
109,109,"Mark Wilson",89,1.777,1845,1038,27.48,51,"PuttingAverage",2015
117,117,"Nick Watney",91,1.778,1961,1103,30.18,66,"PuttingAverage",2015
118,118,"Daniel Berger",97,1.779,2138,1202,29.97,30,"PuttingAverage",2015
118,118,"Max Homa",78,1.779,1493,839,29.24,167,"PuttingAverage",2015
118,118,"Kyle Reifers",96,1.779,1975,1110,28.79,72,"PuttingAverage",2015
118,118,"Scott Stallings",60,1.779,1249,702,29.71,127,"PuttingAverage",2015
122,122,"Chad Campbell",97,1.78,2133,1198,27.32,35,"PuttingAverage",2015
122,122,"Billy Hurley III",83,1.78,1652,928,25.3,122,"PuttingAverage",2015
124,124,"Keegan Bradley",87,1.781,1818,1021,31.34,60,"PuttingAverage",2015
124,124,"Cameron Tringale",96,1.781,1988,1116,29.02,137,"PuttingAverage",2015
124,124,"Johnson Wagner",68,1.781,1503,844,28,26,"PuttingAverage",2015
127,127,"Ken Duke",93,1.782,1832,1028,28.98,146,"PuttingAverage",2015
127,127,"Kevin Streelman",95,1.782,2014,1130,28.26,25,"PuttingAverage",2015
127,127,"Camilo Villegas",83,1.782,1679,942,30.96,165,"PuttingAverage",2015
130,130,"Billy Horschel",99,1.783,2091,1173,30.69,18,"PuttingAverage",2015
130,130,"Jonathan Randolph",72,1.783,1446,811,28.31,143,"PuttingAverage",2015
130,130,"Chez Reavie",56,1.783,1252,702,28.53,15,"PuttingAverage",2015
133,133,"Jamie Donaldson",50,1.785,964,540,27.93,150,"PuttingAverage",2015
133,133,"Retief Goosen",81,1.785,1539,862,29.5,175,"PuttingAverage",2015
133,133,"Mark Hubbard",79,1.785,1653,926,28.46,75,"PuttingAverage",2015
133,133,"Henrik Stenson",63,1.785,1417,794,30.73,1,"PuttingAverage",2015
133,133,"Boo Weekley",79,1.785,1719,963,29.27,55,"PuttingAverage",2015
138,138,"Jason Dufner",76,1.786,1620,907,28.32,24,"PuttingAverage",2015
139,139,"Charles Howell III",105,1.787,2316,1296,26.97,38,"PuttingAverage",2015
140,140,"Matt Every",73,1.788,1309,732,27.71,184,"PuttingAverage",2015
141,141,"John Merrick",78,1.789,1612,901,28.67,56,"PuttingAverage",2015
141,141,"John Peterson",84,1.789,1848,1033,25.97,41,"PuttingAverage",2015
141,141,"Vijay Singh",78,1.789,1664,930,28.34,95,"PuttingAverage",2015
144,144,"Roberto Castro",54,1.79,1065,595,26.14,99,"PuttingAverage",2015
144,144,"Gonzalo Fdez Castano",81,1.79,1586,886,27.83,149,"PuttingAverage",2015
144,144,"Roger Sloan",56,1.79,1058,591,29.49,164,"PuttingAverage",2015
144,144,"Bo Van Pelt",81,1.79,1702,951,28.98,73,"PuttingAverage",2015
148,148,"Luke Donald",71,1.791,1501,838,26.16,115,"PuttingAverage",2015
148,148,"Jim Furyk",71,1.791,1440,804,27.86,14,"PuttingAverage",2015
148,148,"Webb Simpson",81,1.791,1705,952,29.23,53,"PuttingAverage",2015
151,151,"Jonathan Byrd",69,1.792,1412,788,28.72,65,"PuttingAverage",2015
151,151,"Alex Prugh",84,1.792,1810,1010,27.9,11,"PuttingAverage",2015
151,151,"Charl Schwartzel",67,1.792,1321,737,30.16,128,"PuttingAverage",2015
154,154,"Spencer Levin",99,1.794,2139,1192,26.05,45,"PuttingAverage",2015
154,154,"Jhonattan Vegas",90,1.794,1817,1013,28.68,120,"PuttingAverage",2015
156,156,"Ben Crane",62,1.795,1185,660,26.97,160,"PuttingAverage",2015
156,156,"Gary Woodland",81,1.795,1596,889,28.6,79,"PuttingAverage",2015
158,158,"Brice Garnett",81,1.797,1745,971,26.78,43,"PuttingAverage",2015
158,158,"Robert Garrigus",70,1.797,1366,760,29.16,148,"PuttingAverage",2015
160,160,"Martin Flores",95,1.798,2012,1119,26.91,41,"PuttingAverage",2015
160,160,"Heath Slocum",57,1.798,1077,599,27.55,169,"PuttingAverage",2015
162,162,"Stewart Cink",77,1.799,1819,1011,27.79,3,"PuttingAverage",2015
162,162,"Francesco Molinari",56,1.799,1220,678,24.85,6,"PuttingAverage",2015
164,164,"Padraig Harrington",60,1.801,1187,659,29.38,181,"PuttingAverage",2015
165,165,"DA Points",72,1.802,1460,810,27.1,145,"PuttingAverage",2015
166,166,"Bill Haas",89,1.803,1920,1065,26.79,31,"PuttingAverage",2015
166,166,"Sam Saunders",83,1.803,1715,951,28.81,125,"PuttingAverage",2015
168,168,"Greg Owen",58,1.805,1305,723,25.59,20,"PuttingAverage",2015
168,168,"Michael Putnam",87,1.805,1937,1073,26.31,12,"PuttingAverage",2015
170,170,"Angel Cabrera",53,1.806,1118,619,29.4,131,"PuttingAverage",2015
170,170,"Adam Scott",51,1.806,1064,589,30.05,16,"PuttingAverage",2015
170,170,"Byron Smith",59,1.806,1232,682,26.47,28,"PuttingAverage",2015
173,173,"Charlie Beljan",76,1.809,1536,849,29.99,117,"PuttingAverage",2015
174,174,"Jim Herman",88,1.81,2100,1160,26.68,2,"PuttingAverage",2015
175,175,"JJ Henry",94,1.812,2051,1132,24.09,13,"PuttingAverage",2015
176,176,"Davis Love III",51,1.814,1123,619,24.88,64,"PuttingAverage",2015
177,177,"Ernie Els",57,1.816,1202,662,28.59,140,"PuttingAverage",2015
178,178,"Bill Lunde",50,1.819,1035,569,24.87,33,"PuttingAverage",2015
179,179,"Derek Ernst",75,1.82,1547,850,26.97,88,"PuttingAverage",2015
180,180,"SJ Park",79,1.824,1636,897,24.44,133,"PuttingAverage",2015
181,181,"Robert Allenby",63,1.826,1293,708,24.58,81,"PuttingAverage",2015
181,181,"Geoff Ogilvy",50,1.826,1050,575,27.4,85,"PuttingAverage",2015
183,183,"Lucas Glover",79,1.831,1835,1002,27.73,10,"PuttingAverage",2015
184,184,"Jim Renner",68,1.841,1427,775,22.58,123,"PuttingAverage",2015
