"LaunchAngle_RANKTHISWEEK_2014","LaunchAngle_RANKLASTWEEK_2014","LaunchAngle_PLAYERNAME_2014","LaunchAngle_ROUNDS_2014","LaunchAngle_AVG_2014","LaunchAngle_TOTALVERTLAUNCHANGLE_2014","LaunchAngle_TOTALATTEMPTS_2014","LaunchAngle_LOWESTLAUNCHANGLE_2014","LaunchAngle_STEEPESTLAUNCHANGLE_2014","stat_name","year"
19,19,"Chris Kirk",105,12.7,1079.67,85,8.2,17.16,"LaunchAngle",2014
20,20,"Hunter Mahan",88,12.63,985.08,78,7.57,15.97,"LaunchAngle",2014
21,21,"Heath Slocum",71,12.61,807.33,64,8.71,16.5,"LaunchAngle",2014
22,22,"Ernie Els",85,12.57,817.28,65,8.31,17.05,"LaunchAngle",2014
23,23,"Brian Davis",93,12.56,1155.81,92,10.07,15.58,"LaunchAngle",2014
24,24,"Brian Gay",81,12.47,810.63,65,8.03,15.82,"LaunchAngle",2014
24,24,"James Hahn",82,12.47,910.05,73,8.48,16.54,"LaunchAngle",2014
26,26,"Webb Simpson",87,12.43,907.52,73,8.49,17.9,"LaunchAngle",2014
27,27,"Vijay Singh",83,12.4,905.08,73,8.23,19.05,"LaunchAngle",2014
28,28,"Jamie Lovemark",64,12.38,544.62,44,9.22,15.62,"LaunchAngle",2014
29,29,"JB Holmes",86,12.33,813.93,66,7.59,18.08,"LaunchAngle",2014
30,30,"Tommy Gainey",73,12.22,745.37,61,9.5,16.52,"LaunchAngle",2014
30,30,"Chesson Hadley",84,12.22,977.58,80,8.01,16.53,"LaunchAngle",2014
32,32,"Troy Matteson",62,12.11,605.43,50,8.45,17.3,"LaunchAngle",2014
33,33,"John Huh",87,12.06,856.44,71,9.49,15.57,"LaunchAngle",2014
33,33,"Tim Wilkinson",86,12.06,940.68,78,8.58,16.08,"LaunchAngle",2014
35,35,"Ryan Palmer",85,12.03,818.02,68,9.6,14.84,"LaunchAngle",2014
36,36,"Hideki Matsuyama",82,12.02,805.47,67,8.39,15.61,"LaunchAngle",2014
37,37,"Wes Roach",67,12.01,648.29,54,8.24,16.24,"LaunchAngle",2014
37,37,"Justin Rose",70,12.01,648.58,54,8.46,16.01,"LaunchAngle",2014
39,39,"Carl Pettersson",91,11.99,1090.82,91,8.19,17.33,"LaunchAngle",2014
40,40,"Keegan Bradley",89,11.96,777.31,65,7.7,14.92,"LaunchAngle",2014
40,40,"Louis Oosthuizen",50,11.96,322.9,27,7.49,15.12,"LaunchAngle",2014
42,42,"Matt Kuchar",91,11.94,943.17,79,8.05,15.33,"LaunchAngle",2014
43,43,"Robert Allenby",83,11.93,763.26,64,8.18,16.72,"LaunchAngle",2014
43,43,"DH Lee",54,11.93,584.36,49,8.75,16.44,"LaunchAngle",2014
45,45,"Retief Goosen",94,11.91,1048.15,88,7.3,17.91,"LaunchAngle",2014
46,46,"Jerry Kelly",80,11.84,840.45,71,9.18,15.24,"LaunchAngle",2014
47,47,"Richard Lee",80,11.78,812.48,69,8.15,16.62,"LaunchAngle",2014
48,48,"Ben Curtis",77,11.77,824,70,9.08,18.31,"LaunchAngle",2014
48,48,"Graham DeLaet",80,11.77,647.58,55,8.2,16.1,"LaunchAngle",2014
48,48,"Bo Van Pelt",83,11.77,859.39,73,8.78,15.83,"LaunchAngle",2014
51,51,"Kyle Stanley",87,11.75,869.33,74,7.34,16.03,"LaunchAngle",2014
52,52,"Chris Stroud",88,11.73,856.05,73,7.72,15.97,"LaunchAngle",2014
53,53,"DA Points",75,11.7,632.05,54,8.88,15.27,"LaunchAngle",2014
54,54,"Jimmy Walker",98,11.69,830.17,71,6.17,15.51,"LaunchAngle",2014
55,55,"Luke Donald",57,11.68,490.42,42,9.7,14.37,"LaunchAngle",2014
56,56,"Jeff Overton",80,11.65,803.55,69,3.03,15.59,"LaunchAngle",2014
57,57,"Brian Harman",111,11.64,1234.03,106,7.63,15.59,"LaunchAngle",2014
58,58,"Josh Teater",90,11.63,930.49,80,7.95,15.45,"LaunchAngle",2014
59,59,"Brice Garnett",92,11.61,952.23,82,8.82,14.63,"LaunchAngle",2014
60,60,"Scott Brown",100,11.59,950,82,5.89,15.69,"LaunchAngle",2014
60,60,"Cameron Tringale",111,11.59,1228.87,106,8.84,14.72,"LaunchAngle",2014
62,62,"Bill Haas",107,11.58,938,81,6.39,15.1,"LaunchAngle",2014
62,62,"Tyrone Van Aswegen",79,11.58,532.87,46,9.58,15.57,"LaunchAngle",2014
64,64,"David Lingmerth",80,11.56,809.35,70,7.34,18.38,"LaunchAngle",2014
65,65,"Scott Stallings",77,11.54,738.35,64,8.82,15.85,"LaunchAngle",2014
66,66,"Matt Every",85,11.53,761.18,66,8.54,14.81,"LaunchAngle",2014
66,66,"Rory McIlroy",66,11.53,553.26,48,8.22,15.63,"LaunchAngle",2014
66,66,"Brandt Snedeker",89,11.53,772.62,67,8.8,15.03,"LaunchAngle",2014
69,69,"JJ Henry",91,11.49,861.53,75,7.97,14.83,"LaunchAngle",2014
70,70,"Andres Romero",81,11.48,700.46,61,6.63,15.23,"LaunchAngle",2014
71,71,"Rickie Fowler",91,11.45,721.18,63,8.47,13.8,"LaunchAngle",2014
71,71,"Russell Henley",92,11.45,892.94,78,8.35,14.23,"LaunchAngle",2014
73,73,"Jordan Spieth",102,11.39,991.16,87,7.18,14.58,"LaunchAngle",2014
74,74,"Robert Garrigus",80,11.38,796.6,70,6.55,16.76,"LaunchAngle",2014
75,75,"KJ Choi",80,11.31,791.62,70,5.67,16.61,"LaunchAngle",2014
76,76,"Brad Fritsch",50,11.29,417.8,37,8.2,15.55,"LaunchAngle",2014
76,76,"Kevin Stadler",90,11.29,756.65,67,7.6,15.1,"LaunchAngle",2014
78,78,"Mike Weir",69,11.27,631.21,56,6.63,14.76,"LaunchAngle",2014
79,79,"Geoff Ogilvy",84,11.26,799.27,71,8.22,14.37,"LaunchAngle",2014
79,79,"Ian Poulter",57,11.26,473.13,42,9.06,15.09,"LaunchAngle",2014
81,81,"Stuart Appleby",92,11.25,1012.92,90,6.18,16.67,"LaunchAngle",2014
82,82,"Billy Horschel",92,11.2,772.66,69,8.51,14.11,"LaunchAngle",2014
83,83,"Chad Collins",78,11.19,626.56,56,8.31,13.84,"LaunchAngle",2014
84,84,"Brendon Todd",108,11.18,1028.8,92,6.71,14.98,"LaunchAngle",2014
85,85,"Dustin Johnson",58,11.14,456.57,41,8.12,14.67,"LaunchAngle",2014
86,86,"Kevin Kisner",85,11.12,834.16,75,7.49,16.09,"LaunchAngle",2014
87,87,"Kevin Streelman",79,11.05,740.22,67,7.29,17.05,"LaunchAngle",2014
88,88,"Troy Merritt",62,11.04,651.07,59,8.55,14.03,"LaunchAngle",2014
89,89,"Chad Campbell",57,11.01,506.58,46,7.38,16.13,"LaunchAngle",2014
90,90,"Marc Leishman",81,10.9,752.02,69,8.16,16.19,"LaunchAngle",2014
91,91,"Ryan Moore",86,10.89,740.23,68,5.47,13.74,"LaunchAngle",2014
92,92,"Michael Thompson",74,10.88,642.18,59,8.42,14.06,"LaunchAngle",2014
93,93,"Angel Cabrera",69,10.87,728.43,67,3.11,19.35,"LaunchAngle",2014
94,94,"Jonathan Byrd",76,10.82,725.2,67,5.02,14.29,"LaunchAngle",2014
94,94,"Justin Leonard",75,10.82,735.8,68,7.3,14.17,"LaunchAngle",2014
96,96,"Roberto Castro",76,10.8,647.9,60,7.28,14.69,"LaunchAngle",2014
96,96,"Charlie Wi",72,10.8,734.63,68,7.69,14.74,"LaunchAngle",2014
98,98,"Patrick Reed",92,10.79,722.94,67,5.34,14.98,"LaunchAngle",2014
98,98,"Rory Sabbatini",82,10.79,734.05,68,6.32,14.88,"LaunchAngle",2014
100,100,"Harris English",95,10.73,686.53,64,7.01,17.18,"LaunchAngle",2014
100,100,"Pat Perez",84,10.73,804.44,75,5.95,14.07,"LaunchAngle",2014
102,102,"Justin Hicks",103,10.71,1113.99,104,7.11,13.85,"LaunchAngle",2014
103,103,"Jim Renner",61,10.7,556.55,52,7.23,13.3,"LaunchAngle",2014
104,104,"Kevin Chappell",100,10.68,961.4,90,4.55,14.08,"LaunchAngle",2014
105,105,"Shawn Stefani",60,10.66,596.91,56,6.32,14.86,"LaunchAngle",2014
106,106,"Hudson Swafford",75,10.65,564.21,53,7.89,19.24,"LaunchAngle",2014
107,107,"Andrew Loupe",65,10.64,500.12,47,7.99,14.02,"LaunchAngle",2014
108,108,"Graeme McDowell",66,10.62,520.26,49,7.49,13.23,"LaunchAngle",2014
109,109,"Seung Yul Noh",92,10.59,794.41,75,6.19,13.52,"LaunchAngle",2014
109,109,"John Peterson",62,10.59,625,59,5.45,15.95,"LaunchAngle",2014
109,109,"John Rollins",84,10.59,677.57,64,7.15,15.8,"LaunchAngle",2014
112,112,"Martin Laird",66,10.58,486.84,46,8.12,13.82,"LaunchAngle",2014
113,113,"Erik Compton",88,10.55,875.31,83,7.09,14.59,"LaunchAngle",2014
114,114,"Briny Baird",50,10.54,411.12,39,5.38,15.93,"LaunchAngle",2014
114,114,"Luke Guthrie",85,10.54,864.46,82,7.95,14.63,"LaunchAngle",2014
116,116,"Daniel Summerhays",98,10.53,1021.75,97,3.72,16.4,"LaunchAngle",2014
117,117,"Brian Stuard",91,10.5,871.15,83,5.42,15.53,"LaunchAngle",2014
118,118,"Brendan Steele",89,10.49,776.09,74,6.56,13.72,"LaunchAngle",2014
119,119,"Ryo Ishikawa",75,10.43,605.11,58,3.37,16.27,"LaunchAngle",2014
120,120,"Steven Bowditch",93,10.37,840.01,81,5.31,17.59,"LaunchAngle",2014
