"BirdietoBogeyRatio_RANKTHISWEEK_2016","BirdietoBogeyRatio_RANKLASTWEEK_2016","BirdietoBogeyRatio_PLAYERNAME_2016","BirdietoBogeyRatio_ROUNDS_2016","BirdietoBogeyRatio_BIRDIETOBOGEYRATIO_2016","BirdietoBogeyRatio_TOTALBIRDIESANDBETTER_2016","BirdietoBogeyRatio_TOTALBOGEYSANDWORSE_2016","stat_name","year"
22,25,"Charl Schwartzel",29,1.55,99,64,"BirdietoBogeyRatio",2016
22,16,"Henrik Stenson",30,1.55,132,85,"BirdietoBogeyRatio",2016
24,19,"Jason Bohn",37,1.54,146,95,"BirdietoBogeyRatio",2016
25,29,"Aaron Baddeley",51,1.52,196,129,"BirdietoBogeyRatio",2016
25,29,"Smylie Kaufman",57,1.52,224,147,"BirdietoBogeyRatio",2016
25,22,"Kevin Kisner",49,1.52,197,130,"BirdietoBogeyRatio",2016
28,28,"Patton Kizzire",57,1.51,214,142,"BirdietoBogeyRatio",2016
28,25,"William McGirt",54,1.51,213,141,"BirdietoBogeyRatio",2016
30,38,"Roberto Castro",55,1.5,210,140,"BirdietoBogeyRatio",2016
30,33,"Russell Henley",42,1.5,147,98,"BirdietoBogeyRatio",2016
30,33,"Freddie Jacobson",54,1.5,205,137,"BirdietoBogeyRatio",2016
33,36,"Matt Kuchar",46,1.49,162,109,"BirdietoBogeyRatio",2016
34,41,"Daniel Berger",52,1.46,193,132,"BirdietoBogeyRatio",2016
34,22,"Jhonattan Vegas",49,1.46,184,126,"BirdietoBogeyRatio",2016
36,44,"Chez Reavie",56,1.45,198,137,"BirdietoBogeyRatio",2016
37,46,"Sergio Garcia",28,1.44,98,68,"BirdietoBogeyRatio",2016
37,36,"Sean OHair",45,1.44,169,117,"BirdietoBogeyRatio",2016
39,29,"Paul Casey",39,1.43,142,99,"BirdietoBogeyRatio",2016
40,41,"Kevin Chappell",49,1.42,190,134,"BirdietoBogeyRatio",2016
40,33,"JB Holmes",39,1.42,148,104,"BirdietoBogeyRatio",2016
40,49,"Brendan Steele",48,1.42,187,132,"BirdietoBogeyRatio",2016
43,38,"Bill Haas",42,1.41,135,96,"BirdietoBogeyRatio",2016
