"RightRoughTendencyRTPScore_RANKTHISWEEK_2010","RightRoughTendencyRTPScore_RANKLASTWEEK_2010","RightRoughTendencyRTPScore_PLAYERNAME_2010","RightRoughTendencyRTPScore_ROUNDS_2010","RightRoughTendencyRTPScore_RTPSCORE_2010","stat_name","year"
161,161,"Jeff Maggert",76,0.144,"RightRoughTendencyRTPScore",2010
162,162,"Garrett Willis",82,0.148,"RightRoughTendencyRTPScore",2010
163,163,"Aron Price",70,0.15,"RightRoughTendencyRTPScore",2010
164,164,"Kenny Perry",69,0.151,"RightRoughTendencyRTPScore",2010
165,165,"Boo Weekley",88,0.156,"RightRoughTendencyRTPScore",2010
166,166,"Derek Lamely",81,0.159,"RightRoughTendencyRTPScore",2010
167,167,"Carl Pettersson",99,0.16,"RightRoughTendencyRTPScore",2010
168,168,"Mathew Goggin",85,0.163,"RightRoughTendencyRTPScore",2010
169,169,"Jay Williamson",76,0.164,"RightRoughTendencyRTPScore",2010
170,170,"Charles Warren",64,0.165,"RightRoughTendencyRTPScore",2010
171,171,"Will Ma Kenzie",72,0.168,"RightRoughTendencyRTPScore",2010
172,172,"Mark Calcavecchia",50,0.171,"RightRoughTendencyRTPScore",2010
173,173,"Cameron Beckman",68,0.175,"RightRoughTendencyRTPScore",2010
174,174,"Garth Mulroy",53,0.178,"RightRoughTendencyRTPScore",2010
175,175,"Jerry Kelly",99,0.182,"RightRoughTendencyRTPScore",2010
175,175,"Josh Teater",101,0.182,"RightRoughTendencyRTPScore",2010
177,177,"Jason Bohn",84,0.187,"RightRoughTendencyRTPScore",2010
178,178,"Greg Owen",69,0.188,"RightRoughTendencyRTPScore",2010
179,179,"Skip Kendall",58,0.189,"RightRoughTendencyRTPScore",2010
180,180,"Pat Perez",90,0.196,"RightRoughTendencyRTPScore",2010
180,180,"Vance Veazey",58,0.196,"RightRoughTendencyRTPScore",2010
182,182,"Nathan Green",86,0.21,"RightRoughTendencyRTPScore",2010
183,183,"Craig Bowden",56,0.211,"RightRoughTendencyRTPScore",2010
184,184,"Ian Poulter",55,0.22,"RightRoughTendencyRTPScore",2010
185,185,"Rich Barcelo",70,0.222,"RightRoughTendencyRTPScore",2010
186,186,"Mike Weir",59,0.229,"RightRoughTendencyRTPScore",2010
187,187,"Kevin Johnson",62,0.233,"RightRoughTendencyRTPScore",2010
188,188,"Rocco Mediate",71,0.241,"RightRoughTendencyRTPScore",2010
189,189,"Brad Faxon",58,0.247,"RightRoughTendencyRTPScore",2010
189,189,"Jerod Turner",54,0.247,"RightRoughTendencyRTPScore",2010
191,191,"Greg Kraft",52,0.268,"RightRoughTendencyRTPScore",2010
192,192,"Jeff Gove",57,0.33,"RightRoughTendencyRTPScore",2010
